country,G4E,G4E,G4E,G4E,G4E,G4E,G4E,G4E,G4E
subject,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPOR_GYSA,LORSGPOR_IXOBSA,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,2010=100,,
time,,,,,,,,,
1960-02,,,,,99.98114,,25.49471,99.75341,25.55773
1960-03,,,,,100.0116,,25.60975,99.81219,25.65794
1960-04,,,,,100.0311,,25.72148,99.85599,25.75857
1960-05,,,,,100.0562,,25.83484,99.90416,25.85962
1960-06,,,,,100.0968,,25.95274,99.96788,25.96108
1960-07,,,,,100.1452,,26.07284,100.038,26.06294
1960-08,,,,,100.1877,,26.19093,100.0984,26.16518
1960-09,,,,,100.2151,,26.30423,100.1387,26.26779
1960-10,,,,,100.2343,,26.41498,100.1676,26.37078
1960-11,,,,,100.2569,,26.5269,100.1994,26.47412
1960-12,,,,,100.2882,,26.64177,100.2406,26.57781
1961-01,,,,,100.3218,,26.7576,100.284,26.68184
1961-02,,,,,100.3445,5.395414,26.87025,100.3138,26.7862
1961-03,,,,,100.3474,5.337626,26.9767,100.3191,26.89089
1961-04,,,,,100.3367,5.276512,27.07868,100.3067,26.99589
1961-05,,,,,100.324,5.205859,27.17977,100.2899,27.10121
1961-06,,,,,100.3187,5.125176,27.28287,100.2795,27.20683
1961-07,,,,,100.3193,5.042648,27.38761,100.2741,27.31275
1961-08,,,,,100.3199,4.968672,27.49227,100.2673,27.41897
1961-09,,,,,100.3165,4.909498,27.59563,100.2548,27.52549
1961-10,,,,,100.3125,4.860342,27.69884,100.2408,27.63229
1961-11,,,,,100.3144,4.814444,27.80402,100.233,27.73938
1961-12,100.4445,100.3803,,27.97053,100.3275,4.771425,27.91296,100.2377,27.84676
1962-01,100.3582,100.3225,,28.05455,100.3512,4.738637,28.02555,100.2545,27.95441
1962-02,100.2866,100.2727,,28.14277,100.3812,4.727771,28.14062,100.2789,28.06234
1962-03,100.2354,100.2357,,28.23685,100.4121,4.74409,28.2565,100.3051,28.17055
1962-04,100.2201,100.2224,,28.34126,100.4382,4.774159,28.37146,100.3269,28.27902
1962-05,100.2155,100.2155,,28.44894,100.4514,4.794626,28.48293,100.3352,28.38777
1962-06,100.2012,100.1998,,28.55411,100.4389,4.779915,28.58697,100.3165,28.49679
1962-07,100.1906,100.1836,,28.66059,100.3822,4.71065,28.67774,100.2506,28.60607
1962-08,100.1866,100.1692,,28.7692,100.2625,4.57267,28.7494,100.1177,28.71561
1962-09,100.1841,100.1539,,28.87847,100.0698,4.360138,28.79884,99.90781,28.82541
1962-10,100.1685,100.1286,,28.98423,99.80902,4.075124,28.8276,99.62717,28.93548
1962-11,100.1435,100.0973,,29.0875,99.50604,3.739829,28.84384,99.30466,29.04581
1962-12,100.1186,100.0674,4.363329,29.19098,99.21218,3.405248,28.86347,98.9953,29.1564
1963-01,100.1244,100.0615,4.452383,29.30365,99.00539,3.158428,28.91072,98.78181,29.26725
1963-02,100.1958,100.1047,4.594783,29.43587,98.96129,3.086506,29.00918,98.74339,29.37835
1963-03,100.3525,100.2123,4.805059,29.59365,99.11359,3.231326,29.16956,98.91441,29.4897
1963-04,100.5606,100.3592,5.03138,29.76722,99.43113,3.562577,29.38221,99.25994,29.60128
1963-05,100.7819,100.5175,5.260151,29.94539,99.83992,4.006064,29.62398,99.70017,29.71307
1963-06,100.9885,100.6671,5.483464,30.11986,100.2602,4.487978,29.86994,100.1505,29.82505
