country,IRL,IRL
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,8.027954
1960-Q2,,8.137115
1960-Q3,,8.246877
1960-Q4,,8.357238
1961-Q1,5.464306,8.466625
1961-Q2,5.38363,8.575188
1961-Q3,4.987092,8.658156
1961-Q4,4.258704,8.713148
1962-Q1,3.553469,8.767485
1962-Q2,2.873233,8.821572
1962-Q3,2.867885,8.906462
1962-Q4,3.566068,9.023865
1963-Q1,4.251483,9.140233
1963-Q2,4.921535,9.25573
1963-Q3,5.087019,9.359535
1963-Q4,4.723972,9.45015
1964-Q1,4.369742,9.539638
1964-Q2,4.035701,9.629263
1964-Q3,3.62291,9.698623
1964-Q4,3.139137,9.746803
1965-Q1,2.669783,9.794325
1965-Q2,2.206333,9.841717
1965-Q3,1.708039,9.86428
1965-Q4,1.162032,9.860064
1966-Q1,0.6321724,9.856242
1966-Q2,0.1053837,9.852088
1966-Q3,0.6120243,9.924651
1966-Q4,2.221087,10.07906
1967-Q1,3.822702,10.23302
1967-Q2,5.408445,10.38493
1967-Q3,6.582321,10.57792
1967-Q4,7.289443,10.81377
1968-Q1,7.960987,11.04767
1968-Q2,8.628158,11.28096
1968-Q3,8.577225,11.48522
1968-Q4,7.817076,11.65909
1969-Q1,7.092007,11.83117
1969-Q2,6.393463,12.00221
1969-Q3,5.539778,12.12147
1969-Q4,4.505964,12.18445
1970-Q1,4.7377,12.39169
1970-Q2,2.63578,12.31856
1970-Q3,1.645344,12.32091
1970-Q4,1.678857,12.38901
1971-Q1,0.9677776,12.51162
1971-Q2,2.880248,12.67336
1971-Q3,4.437009,12.86759
1971-Q4,5.597021,13.08242
1972-Q1,6.32689,13.30321
1972-Q2,6.680442,13.52
1972-Q3,6.65055,13.72336
1972-Q4,6.302843,13.90699
1973-Q1,5.742336,14.06713
1973-Q2,5.063199,14.20454
1973-Q3,4.361901,14.32196
1973-Q4,3.767364,14.43091
1974-Q1,3.469965,14.55525
1974-Q2,3.62373,14.71928
1974-Q3,4.380451,14.94932
1974-Q4,5.537774,15.23006
1975-Q1,6.501057,15.5015
1975-Q2,6.733338,15.71038
1975-Q3,5.73504,15.80667
1975-Q4,3.732118,15.79847
1976-Q1,1.679888,15.7619
1976-Q2,0.4409813,15.77966
1976-Q3,0.7689501,15.92822
1976-Q4,2.689778,16.22341
1977-Q1,5.398533,16.61282
1977-Q2,7.96407,17.03636
1977-Q3,9.559947,17.45095
1977-Q4,9.860413,17.82311
1978-Q1,9.178468,18.13762
1978-Q2,7.982757,18.39633
1978-Q3,6.567177,18.59698
1978-Q4,5.175965,18.74562
1979-Q1,3.986564,18.86069
1979-Q2,3.105041,18.96754
1979-Q3,2.642082,19.08833
1979-Q4,2.585266,19.23025
1980-Q1,2.778647,19.38476
1980-Q2,3.040938,19.54433
1980-Q3,3.220024,19.70298
1980-Q4,3.272444,19.85955
1981-Q1,3.264339,20.01754
1981-Q2,3.262883,20.18204
1981-Q3,3.339522,20.36096
1981-Q4,3.431786,20.54109
1982-Q1,3.35221,20.68857
1982-Q2,2.94893,20.7772
1982-Q3,2.054635,20.77931
1982-Q4,0.8149627,20.70849
