country,PRT,PRT
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,17.84957
1960-Q2,,17.96505
1960-Q3,,18.13159
1960-Q4,,18.34919
1961-Q1,4.304231,18.61785
1961-Q2,5.221695,18.90313
1961-Q3,5.920135,19.20501
1961-Q4,6.399768,19.5235
1962-Q1,6.664279,19.8586
1962-Q2,6.762632,20.18147
1962-Q3,6.702057,20.49214
1962-Q4,6.49004,20.79058
1963-Q1,6.1344,21.0768
1963-Q2,5.910975,21.3744
1963-Q3,5.813004,21.68334
1963-Q4,5.834762,22.00366
1964-Q1,5.971238,22.33535
1964-Q2,6.264626,22.71342
1964-Q3,6.70818,23.1379
1964-Q4,7.294715,23.60877
1965-Q1,8.017283,24.12604
1965-Q2,8.078712,24.54837
1965-Q3,7.510968,24.87578
1965-Q4,6.35147,25.10827
1966-Q1,4.641395,25.24582
1966-Q2,3.757119,25.47069
1966-Q3,3.646399,25.78285
1966-Q4,4.277714,26.18233
1967-Q1,5.637748,26.66912
1967-Q2,6.942624,27.23902
1967-Q3,8.180646,27.89206
1967-Q4,9.341703,28.62821
1968-Q1,10.41791,29.44748
1968-Q2,10.20645,30.01916
1968-Q3,8.788009,30.34321
1968-Q4,6.257648,30.41966
1969-Q1,2.68988,30.23959
1969-Q2,0.5493842,30.18408
1969-Q3,1.41308,30.77199
1969-Q4,3.826461,31.58365
1970-Q1,7.49188,32.5051
1970-Q2,10.91305,33.47808
1970-Q3,9.496946,33.69439
1970-Q4,8.573941,34.29162
1971-Q1,5.471936,34.28376
1971-Q2,6.46672,35.64302
1971-Q3,6.397823,35.85009
1971-Q4,8.12172,37.07669
1972-Q1,8.089314,37.05708
1972-Q2,5.986622,37.77683
1972-Q3,10.53817,39.62804
1972-Q4,7.459235,39.84233
1973-Q1,11.81305,41.43465
1973-Q2,12.00191,42.31077
1973-Q3,9.956854,43.57375
1973-Q4,11.10852,44.26822
1974-Q1,7.423313,44.51048
1974-Q2,3.059634,43.60532
1974-Q3,-1.587561,42.88198
1974-Q4,-3.879991,42.55062
1975-Q1,-6.303167,41.70491
1975-Q2,-5.785301,41.08263
1975-Q3,-4.095496,41.12576
1975-Q4,-1.082823,42.08987
1976-Q1,3.349627,43.10186
1976-Q2,7.525321,44.17422
1976-Q3,7.910617,44.37906
1976-Q4,8.820955,45.8026
1977-Q1,7.245683,46.22489
1977-Q2,5.572513,46.63584
1977-Q3,6.140318,47.10407
1977-Q4,3.564408,47.43519
1978-Q1,3.112201,47.6635
1978-Q2,2.691383,47.89099
1978-Q3,2.216226,48.148
1978-Q4,3.245362,48.97463
1979-Q1,3.843737,49.49556
1979-Q2,5.548596,50.54827
1979-Q3,6.380889,51.22028
1979-Q4,6.744946,52.27794
1980-Q1,7.284454,53.10104
1980-Q2,5.022778,53.08719
1980-Q3,3.290391,52.90562
1980-Q4,2.891256,53.78943
1981-Q1,1.749247,54.02991
1981-Q2,1.857853,54.07347
1981-Q3,2.032555,53.98096
1981-Q4,0.8444155,54.24364
1982-Q1,2.831411,55.55972
1982-Q2,1.366956,54.81264
1982-Q3,2.007,55.06435
1982-Q4,2.335787,55.51065
1983-Q1,0.833596,56.02286
