country,BEL,BEL
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1973-01,,103.0769
1973-02,,102.9141
1973-03,,102.7711
1973-04,,102.6559
1973-05,,102.7077
1973-06,,102.9232
1973-07,,103.105
1973-08,,103.229
1973-09,,103.263
1973-10,,103.0426
1973-11,,102.4314
1973-12,,101.542
1974-01,,100.9575
1974-02,,100.6772
1974-03,,100.506
1974-04,,100.3352
1974-05,,100.1187
1974-06,,99.85023
1974-07,,99.58446
1974-08,,99.31715
1974-09,,99.05636
1974-10,,98.89526
1974-11,,98.88404
1974-12,,98.99664
1975-01,,99.14188
1975-02,,99.24532
1975-03,,99.29852
1975-04,,99.25555
1975-05,,99.17423
1975-06,,99.06472
1975-07,,98.97076
1975-08,,98.88477
1975-09,,98.84183
1975-10,,99.0056
1975-11,,99.51691
1975-12,,100.3299
1976-01,,100.8953
1976-02,,101.0972
1976-03,,101.0767
1976-04,,101.03
1976-05,,101.0346
1976-06,,101.0957
1976-07,,101.1418
1976-08,,101.1578
1976-09,,101.1394
1976-10,,101.0764
1976-11,,100.9717
1976-12,,100.9044
1977-01,,100.9392
1977-02,,101.0003
1977-03,,101.0304
1977-04,,100.9296
1977-05,,100.7202
1977-06,,100.4523
1977-07,,100.2196
1977-08,,100.0379
1977-09,,99.88358
1977-10,,99.87517
1977-11,,100.0388
1977-12,,100.3166
1978-01,,100.403
1978-02,,100.2452
1978-03,,99.95586
1978-04,,99.77732
1978-05,,99.78709
1978-06,,99.88214
1978-07,,99.96353
1978-08,,100.0358
1978-09,,100.1256
1978-10,,100.2093
1978-11,,100.3179
1978-12,,100.4533
1979-01,,100.4792
1979-02,,100.3752
1979-03,,100.2108
1979-04,,100.0546
1979-05,,99.94466
1979-06,,99.84987
1979-07,,99.78019
1979-08,,99.68687
1979-09,,99.53214
1979-10,,99.38258
1979-11,,99.17487
1979-12,,98.86542
1980-01,,98.63807
1980-02,,98.43576
1980-03,,98.18786
1980-04,,98.01247
1980-05,,97.88104
1980-06,,97.79369
1980-07,,97.71626
1980-08,,97.66759
1980-09,,97.60255
1980-10,,97.46073
1980-11,,97.23144
1980-12,,96.90107
1981-01,,96.68243
1981-02,,96.56732
1981-03,,96.54517
1981-04,,96.52366
1981-05,,96.54539
1981-06,,96.61491
1981-07,,96.677
1981-08,,96.74156
1981-09,,96.82155
1981-10,,96.86842
1981-11,,96.88657
1981-12,,96.88651
1982-01,,96.86666
1982-02,,96.81342
1982-03,,96.72102
1982-04,,96.64483
1982-05,,96.59921
1982-06,,96.63374
1982-07,,96.68442
1982-08,,96.73358
1982-09,,96.75919
1982-10,,96.68565
1982-11,,96.55275
1982-12,,96.39462
1983-01,,96.37273
1983-02,,96.54508
1983-03,,96.88815
1983-04,,97.12444
1983-05,,97.15729
1983-06,,97.02898
1983-07,,96.88792
1983-08,,96.728
1983-09,,96.52971
1983-10,,96.42002
1983-11,,96.4818
1983-12,,96.66909
1984-01,,96.74525
1984-02,,96.67907
1984-03,,96.5686
1984-04,,96.51287
1984-05,,96.52793
1984-06,,96.60256
1984-07,,96.68323
1984-08,,96.79388
1984-09,,96.95531
1984-10,,97.07447
1984-11,,97.17197
1984-12,,97.26292
1985-01,99.46963,97.25933
1985-02,99.05449,97.26821
1985-03,98.73189,97.26448
1985-04,98.57865,97.29602
1985-05,98.51122,97.2735
1985-06,98.66315,97.24997
1985-07,98.92922,97.30728
1985-08,99.20596,97.52125
1985-09,99.53688,98.04044
1985-10,99.68613,98.75562
1985-11,99.64877,99.11098
1985-12,99.50154,99.15858
1986-01,99.42144,99.08618
1986-02,99.34706,98.8975
1986-03,99.30163,98.83456
1986-04,99.13093,98.88586
1986-05,99.01607,98.9465
1986-06,98.93385,99.0391
1986-07,98.97724,99.25323
1986-08,99.15725,99.61382
1986-09,99.28474,99.73101
1986-10,99.36987,99.68394
1986-11,99.40116,99.61192
1986-12,99.31644,99.72264
1987-01,99.15845,99.89748
1987-02,99.04742,100.0474
1987-03,99.02131,100.1523
1987-04,98.97863,100.2855
1987-05,98.98486,100.3344
1987-06,98.86662,100.3143
1987-07,98.91563,100.2612
1987-08,99.03504,100.2713
1987-09,99.23244,100.3011
1987-10,99.59395,100.3521
1987-11,99.80641,100.4412
1987-12,99.91742,100.5685
1988-01,99.91723,100.609
1988-02,100.0203,100.594
1988-03,100.2917,100.5729
1988-04,100.6186,100.5313
1988-05,100.7195,100.5093
1988-06,100.7891,100.5456
1988-07,100.8553,100.5637
1988-08,100.9905,100.7049
1988-09,101.1698,100.999
1988-10,101.286,101.2623
1988-11,101.3254,101.3864
1988-12,101.382,101.3668
1989-01,101.3568,101.2568
1989-02,101.3499,101.2641
1989-03,101.4794,101.2787
1989-04,101.6649,101.2532
1989-05,101.8527,101.189
1989-06,101.9237,101.298
1989-07,101.7676,101.444
1989-08,101.4918,101.5589
1989-09,101.3724,101.7108
1989-10,101.4194,101.8528
1989-11,101.664,101.9436
1989-12,101.7574,101.98
1990-01,101.6972,101.926
1990-02,101.6226,101.8899
1990-03,101.6122,101.7315
1990-04,101.4976,101.5645
1990-05,101.3035,101.5652
1990-06,101.2123,101.6727
1990-07,101.086,101.6461
1990-08,100.9683,101.3275
1990-09,100.6873,100.862
1990-10,100.4595,100.5696
1990-11,100.1051,100.3801
1990-12,99.64992,100.1062
1991-01,99.15645,99.9047
1991-02,98.74882,100.1232
1991-03,98.71392,100.6069
1991-04,98.9744,100.8493
1991-05,99.12354,100.8894
1991-06,99.062,100.9139
1991-07,99.05434,101.0415
1991-08,99.08019,101.085
1991-09,99.01015,101.0848
1991-10,98.9912,101.09
1991-11,98.8251,101.1396
1991-12,98.62292,101.0823
1992-01,98.57855,100.857
1992-02,98.61013,100.57
1992-03,98.57265,100.2923
1992-04,98.45071,100.0742
1992-05,98.28381,99.99017
1992-06,98.19483,99.96778
1992-07,98.0149,100.0466
1992-08,97.7088,99.99252
1992-09,97.3119,99.82138
1992-10,96.8811,99.65891
1992-11,96.33099,99.56172
1992-12,95.8273,99.38811
1993-01,95.49576,99.03144
1993-02,95.49597,98.82699
1993-03,95.69869,98.76144
1993-04,95.83514,98.59958
1993-05,96.00462,98.51367
1993-06,96.14548,98.50652
1993-07,96.31429,98.47781
1993-08,96.45152,98.44527
1993-09,96.6987,98.37887
1993-10,97.05559,98.29171
1993-11,97.56289,98.26752
1993-12,98.11364,98.35339
1994-01,98.76831,98.58395
1994-02,99.33494,98.93441
1994-03,99.59295,99.36217
1994-04,99.8107,99.68976
1994-05,100.0201,99.99368
1994-06,100.229,100.2185
1994-07,100.4729,100.4564
1994-08,100.7566,100.7415
1994-09,100.996,101.0068
1994-10,101.2028,101.0707
1994-11,101.4314,100.9364
1994-12,101.6842,100.6884
1995-01,101.8328,100.4912
1995-02,101.6644,100.4093
1995-03,101.1067,100.4489
1995-04,100.4148,100.4645
1995-05,99.7205,100.4505
1995-06,99.27442,100.4277
1995-07,99.01952,100.2632
1995-08,98.96217,99.90693
1995-09,98.79151,99.49792
1995-10,98.53506,99.00117
1995-11,98.22456,98.53876
1995-12,97.96558,98.34228
1996-01,97.81808,98.30124
1996-02,97.73766,98.35408
1996-03,97.72298,98.50971
1996-04,97.72803,98.65859
1996-05,97.78894,98.6893
1996-06,98.00023,98.74801
1996-07,98.34174,98.89664
1996-08,98.80379,99.13197
1996-09,99.25133,99.29525
1996-10,99.59734,99.34258
1996-11,99.86005,99.37592
1996-12,100.0225,99.26533
1997-01,100.1438,98.98498
1997-02,100.2524,98.80157
1997-03,100.2812,98.71856
1997-04,100.2767,98.75679
1997-05,100.4822,98.92082
1997-06,100.7816,99.14126
1997-07,101.0923,99.34409
1997-08,101.4392,99.54131
1997-09,101.8872,99.64755
1997-10,102.2316,99.7496
1997-11,102.2791,99.7278
1997-12,101.9712,99.81525
1998-01,101.4666,100.1528
1998-02,101.0013,100.6046
1998-03,100.7574,100.8869
1998-04,100.6552,101.0304
1998-05,100.6349,101.0588
1998-06,100.5719,100.9622
1998-07,100.4086,100.7856
1998-08,99.90047,100.6081
1998-09,99.20898,100.4675
1998-10,98.58704,100.3818
1998-11,98.24833,100.4507
1998-12,98.22269,100.7282
1999-01,98.45188,100.9781
1999-02,98.72183,100.9991
1999-03,99.03149,100.9394
1999-04,99.50984,100.8087
1999-05,99.86328,100.5378
1999-06,100.0561,100.2068
1999-07,100.2562,100.2378
1999-08,100.5675,100.5208
1999-09,101.0913,100.9271
1999-10,101.5966,101.3371
1999-11,101.7999,101.7591
1999-12,101.8507,102.0749
2000-01,101.885,102.2985
2000-02,102.0683,102.2409
2000-03,102.2617,102.1222
2000-04,102.3439,101.9687
2000-05,102.3349,101.9641
2000-06,102.1651,102.0594
2000-07,101.8516,102.1911
2000-08,101.6687,102.3411
2000-09,101.6014,102.4055
2000-10,101.397,102.608
2000-11,101.1752,102.7944
2000-12,101.0711,102.7545
2001-01,100.8405,102.4834
2001-02,100.4313,102.0657
2001-03,99.8588,101.8102
2001-04,99.29716,101.6571
2001-05,98.96046,101.5883
2001-06,98.78566,101.5673
2001-07,98.54508,101.4911
2001-08,98.28286,101.1917
2001-09,98.01346,100.7259
2001-10,97.83434,100.2864
2001-11,97.9524,100.3172
2001-12,98.24622,100.8061
2002-01,98.57796,101.3701
2002-02,98.9668,101.7005
2002-03,99.51888,101.8153
2002-04,99.96378,101.7867
2002-05,100.2799,101.6466
2002-06,100.231,101.3949
2002-07,99.90986,101.1985
2002-08,99.65631,101.0014
2002-09,99.51859,100.8759
2002-10,99.37598,100.8512
2002-11,99.31961,100.8242
2002-12,99.19688,100.6237
2003-01,99.04163,100.29
2003-02,98.84181,100.0029
2003-03,98.45164,99.94904
2003-04,98.09058,100.259
2003-05,97.85491,100.5748
2003-06,97.76105,100.654
2003-07,97.96254,100.618
2003-08,98.47004,100.6585
2003-09,99.02467,100.8404
2003-10,99.45024,101.0033
2003-11,99.84644,101.2592
2003-12,100.1258,101.4419
2004-01,100.2529,101.5891
2004-02,100.414,101.6433
2004-03,100.628,101.577
2004-04,100.8841,101.5328
2004-05,101.0593,101.5201
2004-06,101.2038,101.4984
2004-07,101.4033,101.3704
2004-08,101.3919,101.2956
2004-09,101.3614,101.1374
2004-10,101.2257,100.9855
2004-11,101.0243,100.9443
2004-12,100.7784,101.0128
2005-01,100.5797,101.1454
2005-02,100.276,101.2415
2005-03,99.91199,101.149
2005-04,99.45457,100.8405
2005-05,99.15612,100.5059
2005-06,99.05889,100.2967
2005-07,99.14388,100.1749
2005-08,99.5028,100.1608
2005-09,100.0662,100.2217
2005-10,100.6185,100.5385
2005-11,101.0005,100.8812
2005-12,101.2121,101.1668
2006-01,101.3472,101.3307
2006-02,101.5885,101.313
2006-03,101.8473,101.2451
2006-04,102.009,101.1752
2006-05,102.1036,101.1174
2006-06,102.1817,101.1597
2006-07,102.3321,101.2114
2006-08,102.4166,101.213
2006-09,102.4805,101.3379
2006-10,102.4434,101.5429
2006-11,102.3164,101.6189
2006-12,102.145,101.5688
2007-01,101.8376,101.5319
2007-02,101.6544,101.5222
2007-03,101.6547,101.5051
2007-04,101.9183,101.5427
2007-05,102.245,101.5386
2007-06,102.3593,101.4337
2007-07,102.1813,101.2108
2007-08,101.8994,100.9403
2007-09,101.7188,100.7121
2007-10,101.4884,100.4587
2007-11,101.2933,100.1249
2007-12,101.1614,99.97968
2008-01,101.1469,99.88036
2008-02,101.2183,99.86534
2008-03,101.2178,99.7671
2008-04,101.1443,99.49954
2008-05,101.2104,99.13676
2008-06,101.1307,98.83059
2008-07,100.8035,98.76507
2008-08,100.2593,98.95705
2008-09,99.39034,99.12724
2008-10,98.25156,99.07217
2008-11,97.051,98.98008
2008-12,96.16709,98.92213
2009-01,95.79778,99.04167
2009-02,95.62945,99.06776
2009-03,95.71088,99.16788
2009-04,96.2104,99.37733
2009-05,96.88586,99.63532
2009-06,97.55705,99.92542
2009-07,98.06577,100.1537
2009-08,98.42714,100.4421
2009-09,98.71336,100.6278
2009-10,99.04753,100.6745
2009-11,99.37351,100.643
2009-12,99.53292,100.4495
2010-01,99.63082,100.3059
2010-02,99.72675,100.2323
2010-03,99.97981,100.2977
2010-04,100.2163,100.3442
2010-05,100.3122,100.2324
2010-06,100.3492,100.3197
2010-07,100.5373,100.5615
2010-08,100.7482,100.8315
2010-09,100.8132,100.9724
2010-10,100.9102,101.0307
2010-11,101.1809,100.9998
2010-12,101.522,100.8194
2011-01,101.7627,100.6016
2011-02,101.7726,100.4992
2011-03,101.7628,100.3216
2011-04,101.5843,100.2396
2011-05,101.2803,100.2436
2011-06,100.9092,100.1865
2011-07,100.4188,100.0913
2011-08,99.77423,99.99393
2011-09,99.29918,99.94117
2011-10,98.9743,99.93273
2011-11,98.68813,99.72108
2011-12,98.74882,99.46157
2012-01,99.04882,99.18523
2012-02,99.47148,99.11661
2012-03,99.55367,99.38616
2012-04,99.37154,99.72948
2012-05,99.12188,99.89828
2012-06,98.9491,100.0171
2012-07,98.9893,100.0256
2012-08,99.00094,99.94871
2012-09,98.82935,99.75172
2012-10,98.65678,99.43697
2012-11,98.61325,99.14346
2012-12,98.78082,99.07274
2013-01,98.93812,99.21853
2013-02,99.04699,99.37908
2013-03,98.92693,99.41977
2013-04,98.81917,99.52081
2013-05,98.90853,99.63108
2013-06,99.15087,99.73647
2013-07,99.57622,99.94408
2013-08,99.93431,100.4352
2013-09,100.0169,101.0242
2013-10,100.0099,101.4456
2013-11,100.2241,101.6784
2013-12,100.4664,101.7391
2014-01,100.7789,101.6816
2014-02,101.0474,101.5178
2014-03,101.0064,101.2358
2014-04,100.6993,101.0415
2014-05,100.3517,100.9991
2014-06,100.1363,101.0307
2014-07,100.0903,100.9784
2014-08,100.1255,100.7473
2014-09,100.1303,100.4557
2014-10,100.084,100.1015
2014-11,99.92096,99.83496
2014-12,99.76415,99.8847
2015-01,99.86371,100.2023
2015-02,100.1369,100.5293
2015-03,100.3864,100.7013
2015-04,100.5879,100.8078
2015-05,100.7711,100.864
2015-06,100.8376,100.7828
2015-07,100.7695,100.6096
2015-08,100.6568,100.409
2015-09,100.5035,100.3027
2015-10,100.4901,100.3387
2015-11,100.51,100.4426
2015-12,100.4444,100.5559
2016-01,100.1802,100.5138
2016-02,100.0676,100.3583
2016-03,100.3063,100.1677
2016-04,100.6463,100.0557
2016-05,100.9538,100.0511
2016-06,101.2629,100.171
2016-07,101.1694,100.3281
2016-08,100.9048,100.4443
2016-09,100.757,100.4293
2016-10,100.7369,100.3955
2016-11,100.8567,100.4976
2016-12,101.0753,100.5777
2017-01,101.0854,100.7047
2017-02,101.0476,100.7836
2017-03,101.1883,100.8554
2017-04,101.3324,100.9025
2017-05,101.2864,100.9317
2017-06,101.0679,101.0052
2017-07,100.7647,101.1922
2017-08,100.6597,101.3391
2017-09,100.7866,101.525
2017-10,101.091,101.642
2017-11,101.3406,101.6177
2017-12,101.438,101.5318
2018-01,101.5823,101.4652
2018-02,101.6294,101.3723
2018-03,101.5648,101.2831
2018-04,101.4936,101.1051
2018-05,101.4809,100.8676
2018-06,101.4735,100.6081
2018-07,101.4436,100.5518
2018-08,101.5266,100.5734
2018-09,101.4723,100.6816
2018-10,101.2339,100.6859
2018-11,101.0415,100.439
2018-12,100.9117,100.0848
2019-01,100.9703,99.91661
2019-02,100.9843,99.95367
2019-03,100.8826,100.1286
2019-04,100.574,100.2505
2019-05,100.2918,100.2381
2019-06,100.0048,100.0761
2019-07,99.79372,99.90479
2019-08,99.63293,99.7157
2019-09,99.62045,99.60065
2019-10,99.7648,99.66862
2019-11,99.96016,99.77187
2019-12,100.2158,99.86583
2020-01,100.4796,99.92518
2020-02,100.1764,99.79164
2020-03,98.95394,99.2896
2020-04,97.06091,98.8069
2020-05,96.10173,98.94123
2020-06,96.38764,99.23295
2020-07,97.52197,99.314
2020-08,98.6937,99.35509
2020-09,99.63665,99.65417
2020-10,100.2241,99.97302
2020-11,100.6287,100.3271
2020-12,101.0527,100.725
2021-01,101.4357,100.9311
2021-02,101.7409,101.0593
2021-03,102.0765,101.2504
2021-04,102.335,101.5047
2021-05,102.4737,101.8802
2021-06,102.6866,102.1407
2021-07,102.6863,102.0806
2021-08,102.4999,101.7695
2021-09,102.3768,101.4377
2021-10,102.4507,100.9707
2021-11,102.5643,100.5323
2021-12,102.4383,100.1762
2022-01,102.0248,99.81775
2022-02,101.5027,99.27882
2022-03,101.1118,98.52983
2022-04,101.0206,98.22852
2022-05,100.8385,98.15505
2022-06,100.4734,98.11619
2022-07,100.0526,97.94087
2022-08,99.40881,97.59695
2022-09,98.70661,97.11367
2022-10,98.2828,97.10064
2022-11,98.2829,97.55883
2022-12,98.54298,98.18529
2023-01,98.683,98.78999
2023-02,98.78136,99.36932
