country,EU27_2020,EU27_2020
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1985-01,99.6825,99.93465
1985-02,99.45861,99.77126
1985-03,99.31927,99.64041
1985-04,99.31799,99.59835
1985-05,99.38309,99.54574
1985-06,99.42517,99.51096
1985-07,99.4629,99.56485
1985-08,99.53857,99.71771
1985-09,99.65909,100.0032
1985-10,99.72038,100.4289
1985-11,99.70508,100.7597
1985-12,99.62128,101.0564
1986-01,99.56028,101.449
1986-02,99.56817,101.736
1986-03,99.5795,101.8535
1986-04,99.55799,101.7948
1986-05,99.54877,101.6994
1986-06,99.55145,101.6707
1986-07,99.55046,101.7338
1986-08,99.51244,101.8638
1986-09,99.42962,101.9575
1986-10,99.33671,102.0132
1986-11,99.30872,101.9682
1986-12,99.29934,101.8844
1987-01,99.23255,101.7864
1987-02,99.20296,101.6421
1987-03,99.28801,101.495
1987-04,99.3865,101.333
1987-05,99.47316,101.1666
1987-06,99.56373,101.0532
1987-07,99.71323,101.0562
1987-08,99.92538,101.1524
1987-09,100.1092,101.2977
1987-10,100.185,101.2961
1987-11,100.1767,101.206
1987-12,100.1785,101.1696
1988-01,100.2777,101.1926
1988-02,100.4476,101.2842
1988-03,100.6388,101.3995
1988-04,100.8427,101.4857
1988-05,101.0489,101.4704
1988-06,101.2536,101.4508
1988-07,101.4231,101.5024
1988-08,101.6073,101.6982
1988-09,101.8338,101.9544
1988-10,102.0301,102.2132
1988-11,102.0938,102.359
1988-12,102.0996,102.3384
1989-01,102.1086,102.2211
1989-02,102.1196,102.0487
1989-03,102.1027,101.8824
1989-04,102.1156,101.7691
1989-05,102.1722,101.7699
1989-06,102.2082,101.9354
1989-07,102.1729,102.1329
1989-08,102.0788,102.2942
1989-09,101.9936,102.459
1989-10,101.9649,102.5798
1989-11,101.9573,102.6663
1989-12,101.9014,102.7343
1990-01,101.8083,102.7187
1990-02,101.6979,102.6466
1990-03,101.6282,102.5502
1990-04,101.5087,102.5035
1990-05,101.3401,102.4441
1990-06,101.1848,102.3911
1990-07,101.0391,102.2299
1990-08,100.8817,101.7989
1990-09,100.7348,101.1547
1990-10,100.5034,100.8302
1990-11,100.2281,100.7909
1990-12,99.87067,100.6908
1991-01,99.39895,100.4279
1991-02,98.9953,100.3824
1991-03,98.76462,100.6119
1991-04,98.67113,100.7241
1991-05,98.62052,100.681
1991-06,98.57468,100.4113
1991-07,98.51736,100.0602
1991-08,98.43648,99.91422
1991-09,98.33886,99.99493
1991-10,98.28879,100.0667
1991-11,98.25095,100.1072
1991-12,98.20415,100.0638
1992-01,98.20043,99.95043
1992-02,98.17835,99.85674
1992-03,98.09414,99.6824
1992-04,97.96491,99.43756
1992-05,97.82561,99.2449
1992-06,97.6036,99.13658
1992-07,97.23669,99.00579
1992-08,96.78915,98.715
1992-09,96.28806,98.29572
1992-10,95.76769,97.89469
1992-11,95.34631,97.57313
1992-12,95.08858,97.3287
1993-01,94.98153,97.17596
1993-02,94.97994,97.14956
1993-03,95.00736,97.2159
1993-04,95.02136,97.3684
1993-05,95.07098,97.35441
1993-06,95.13419,97.17736
1993-07,95.25923,97.07626
1993-08,95.52269,97.08264
1993-09,95.90437,97.1216
1993-10,96.34217,97.10885
1993-11,96.7748,97.15282
1993-12,97.17074,97.36084
1994-01,97.62616,97.6572
1994-02,98.11747,98.1265
1994-03,98.61884,98.71722
1994-04,99.09892,99.39256
1994-05,99.48631,100.0221
1994-06,99.84727,100.4643
1994-07,100.2317,100.695
1994-08,100.6093,100.8477
1994-09,100.9943,100.9479
1994-10,101.3441,100.9334
1994-11,101.5981,100.8291
1994-12,101.7525,100.6929
1995-01,101.7977,100.5818
1995-02,101.7539,100.5165
1995-03,101.5845,100.523
1995-04,101.3453,100.6294
1995-05,101.0782,100.7559
1995-06,100.7962,100.7804
1995-07,100.5164,100.6883
1995-08,100.2029,100.5128
1995-09,99.89822,100.255
1995-10,99.6332,99.99058
1995-11,99.35001,99.74848
1995-12,99.01857,99.49988
1996-01,98.64388,99.29684
1996-02,98.32166,99.17641
1996-03,98.12494,99.15695
1996-04,98.04433,99.15186
1996-05,98.01506,99.19569
1996-06,98.03996,99.20819
1996-07,98.13389,99.19154
1996-08,98.2988,99.21789
1996-09,98.51471,99.20482
1996-10,98.72334,99.16463
1996-11,98.84558,99.14854
1996-12,99.01852,99.21789
1997-01,99.30337,99.32249
1997-02,99.55505,99.3346
1997-03,99.75266,99.35777
1997-04,99.93874,99.43909
1997-05,100.1702,99.61496
1997-06,100.4384,99.86419
1997-07,100.7134,100.1389
1997-08,100.952,100.4251
1997-09,101.1827,100.6409
1997-10,101.3316,100.7284
1997-11,101.4155,100.7486
1997-12,101.4781,100.7247
1998-01,101.4847,100.76
1998-02,101.451,100.8892
1998-03,101.3935,101.0778
1998-04,101.2576,101.1961
1998-05,101.1023,101.3477
1998-06,100.96,101.5093
1998-07,100.7163,101.7244
1998-08,100.337,101.8381
1998-09,99.85698,101.9361
1998-10,99.37793,102.0595
1998-11,99.06007,102.141
1998-12,98.8586,102.1223
1999-01,98.71427,102.0797
1999-02,98.64872,101.9325
1999-03,98.65419,101.6584
1999-04,98.75906,101.4052
1999-05,98.95874,101.3183
1999-06,99.25933,101.4137
1999-07,99.60527,101.5969
1999-08,99.96066,101.8084
1999-09,100.3453,102.0467
1999-10,100.7126,102.33
1999-11,101.0108,102.5261
1999-12,101.24,102.6549
2000-01,101.4505,102.7616
2000-02,101.7053,102.7873
2000-03,101.9543,102.7729
2000-04,102.1399,102.7299
2000-05,102.2666,102.6891
2000-06,102.321,102.6056
2000-07,102.3157,102.5724
2000-08,102.2767,102.4557
2000-09,102.2064,102.2381
2000-10,102.08,102.2391
2000-11,101.8952,102.3674
2000-12,101.628,102.4648
2001-01,101.2698,102.4536
2001-02,100.8181,102.3076
2001-03,100.3379,102.0984
2001-04,99.90427,101.7964
2001-05,99.59434,101.4806
2001-06,99.36917,101.2262
2001-07,99.1716,101.0423
2001-08,98.85429,100.8504
2001-09,98.39857,100.7027
2001-10,98.0619,100.6641
2001-11,98.00611,100.7184
2001-12,98.20969,100.8762
2002-01,98.45992,101.0166
2002-02,98.76458,101.0404
2002-03,99.05939,100.9357
2002-04,99.26396,100.7198
2002-05,99.39027,100.5441
2002-06,99.38043,100.3584
2002-07,99.2987,100.2248
2002-08,99.23524,100.0554
2002-09,99.21807,99.88354
2002-10,99.17046,99.6199
2002-11,99.11903,99.2588
2002-12,99.07166,98.90075
2003-01,99.04767,98.63113
2003-02,99.01907,98.43037
2003-03,98.91341,98.34028
2003-04,98.79079,98.45804
2003-05,98.67381,98.68179
2003-06,98.62766,98.90295
2003-07,98.72861,99.0236
2003-08,98.98279,99.04543
2003-09,99.24653,99.08687
2003-10,99.50261,99.15455
2003-11,99.70265,99.23968
2003-12,99.76562,99.28483
2004-01,99.82344,99.33992
2004-02,99.92458,99.41378
2004-03,100.0823,99.419
2004-04,100.2798,99.3737
2004-05,100.4182,99.3619
2004-06,100.48,99.40651
2004-07,100.4759,99.48112
2004-08,100.4461,99.56882
2004-09,100.4219,99.65639
2004-10,100.3714,99.7156
2004-11,100.2865,99.75337
2004-12,100.1915,99.85596
2005-01,100.0578,99.97897
2005-02,99.87828,100.0169
2005-03,99.65204,99.92146
2005-04,99.45792,99.69794
2005-05,99.38365,99.43185
2005-06,99.44421,99.27128
2005-07,99.63476,99.24502
2005-08,99.87017,99.31984
2005-09,100.0915,99.3923
2005-10,100.2852,99.524
2005-11,100.4316,99.73127
2005-12,100.6082,100.0602
2006-01,100.8222,100.345
2006-02,101.067,100.4646
2006-03,101.2995,100.5058
2006-04,101.5132,100.5059
2006-05,101.6759,100.4457
2006-06,101.8128,100.3877
2006-07,101.9076,100.4325
2006-08,101.999,100.5013
2006-09,102.1496,100.6013
2006-10,102.2907,100.7225
2006-11,102.3898,100.8753
2006-12,102.4162,101.0382
2007-01,102.3896,101.1086
2007-02,102.3758,101.222
2007-03,102.3641,101.3372
2007-04,102.3449,101.4673
2007-05,102.3006,101.5989
2007-06,102.2243,101.5967
2007-07,102.1217,101.4505
2007-08,102.024,101.1058
2007-09,101.9632,100.7126
2007-10,101.9634,100.3505
2007-11,101.9959,99.93938
2007-12,101.936,99.60149
2008-01,101.7645,99.28017
2008-02,101.5213,99.0778
2008-03,101.2434,98.88799
2008-04,100.8901,98.56358
2008-05,100.493,98.03749
2008-06,100.0433,97.40598
2008-07,99.54866,97.04131
2008-08,98.95258,97.08636
2008-09,98.16245,97.16467
2008-10,97.07256,96.98996
2008-11,95.84496,96.77025
2008-12,94.81113,96.52116
2009-01,94.21416,96.32012
2009-02,93.88468,96.17653
2009-03,93.85892,96.26715
2009-04,94.17776,96.66635
2009-05,94.65791,97.18654
2009-06,95.18833,97.70248
2009-07,95.7382,98.21675
2009-08,96.27208,98.72286
2009-09,96.75171,99.17321
2009-10,97.1963,99.48982
2009-11,97.58486,99.63076
2009-12,97.94204,99.61804
2010-01,98.28912,99.43113
2010-02,98.66877,99.15748
2010-03,99.09498,98.93829
2010-04,99.49179,98.72536
2010-05,99.8187,98.39697
2010-06,100.0983,98.31522
2010-07,100.3652,98.62099
2010-08,100.5985,99.04
2010-09,100.7947,99.30051
2010-10,100.9674,99.40339
2010-11,101.1424,99.43053
2010-12,101.3332,99.30415
2011-01,101.4726,99.13855
2011-02,101.5396,98.98765
2011-03,101.5478,98.76932
2011-04,101.4781,98.58861
2011-05,101.3129,98.54258
2011-06,101.0637,98.52213
2011-07,100.7241,98.36131
2011-08,100.3489,97.9956
2011-09,100.0119,97.65719
2011-10,99.7779,97.41382
2011-11,99.59444,97.30052
2011-12,99.48292,97.21843
2012-01,99.44639,97.25479
2012-02,99.43254,97.38609
2012-03,99.39144,97.47617
2012-04,99.28935,97.42046
2012-05,99.10745,97.33167
2012-06,98.90143,97.25081
2012-07,98.68633,97.13273
2012-08,98.49408,96.92696
2012-09,98.33391,96.69576
2012-10,98.21487,96.57875
2012-11,98.28476,96.54182
2012-12,98.43996,96.5974
2013-01,98.59502,96.80702
2013-02,98.73959,96.98456
2013-03,98.78349,97.07224
2013-04,98.79397,97.13543
2013-05,98.88818,97.206
2013-06,99.07422,97.42591
2013-07,99.30537,97.76984
2013-08,99.59117,98.16988
2013-09,99.85117,98.51607
2013-10,100.0535,98.70426
2013-11,100.1881,98.87563
2013-12,100.2771,99.05618
2014-01,100.3456,99.26103
2014-02,100.397,99.45163
2014-03,100.429,99.64101
2014-04,100.4033,99.7721
2014-05,100.2988,99.87281
2014-06,100.1797,99.89056
2014-07,100.1088,99.79823
2014-08,100.0332,99.61089
2014-09,99.9827,99.4781
2014-10,99.99696,99.49234
2014-11,100.0484,99.61501
2014-12,100.0916,99.90337
2015-01,100.2034,100.3535
2015-02,100.369,100.853
2015-03,100.5195,101.1788
2015-04,100.5784,101.2212
2015-05,100.5862,101.0711
2015-06,100.5788,100.8748
2015-07,100.5792,100.7429
2015-08,100.5837,100.774
2015-09,100.6041,100.8765
2015-10,100.5994,101.048
2015-11,100.5829,101.238
2015-12,100.584,101.3487
2016-01,100.5805,101.2864
2016-02,100.5606,101.0916
2016-03,100.5477,100.8983
2016-04,100.5145,100.8186
2016-05,100.4803,100.7915
2016-06,100.4811,100.8001
2016-07,100.4974,100.7958
2016-08,100.5594,100.8271
2016-09,100.7096,100.9407
2016-10,100.8775,101.1505
2016-11,101.0471,101.358
2016-12,101.2375,101.4874
2017-01,101.3978,101.5191
2017-02,101.5339,101.4634
2017-03,101.634,101.5015
2017-04,101.7439,101.593
2017-05,101.8464,101.7135
2017-06,101.9845,101.8667
2017-07,102.1374,101.9979
2017-08,102.295,102.1167
2017-09,102.4959,102.2694
2017-10,102.6698,102.4542
2017-11,102.7758,102.6063
2017-12,102.8201,102.689
2018-01,102.7916,102.6451
2018-02,102.6821,102.486
2018-03,102.5566,102.3012
2018-04,102.4722,102.1422
2018-05,102.349,102.0002
2018-06,102.245,101.9308
2018-07,102.1404,101.8858
2018-08,102.0623,101.8173
2018-09,101.9986,101.7571
2018-10,101.9123,101.7126
2018-11,101.7841,101.5897
2018-12,101.5502,101.4433
2019-01,101.2517,101.4289
2019-02,100.9716,101.4659
2019-03,100.687,101.4934
2019-04,100.4017,101.4679
2019-05,100.1541,101.4732
2019-06,99.87844,101.4707
2019-07,99.67371,101.466
2019-08,99.56989,101.4082
2019-09,99.4781,101.4015
2019-10,99.48544,101.418
2019-11,99.60719,101.4772
2019-12,99.75835,101.4569
2020-01,99.75909,101.2404
2020-02,99.12003,100.4622
2020-03,97.5083,98.79213
2020-04,95.5563,96.99026
2020-05,95.20033,96.68149
2020-06,96.11559,97.36877
2020-07,97.40895,98.01656
2020-08,98.46493,98.36183
2020-09,99.15881,98.43844
2020-10,99.56466,98.26637
2020-11,99.81302,98.15408
2020-12,100.1732,98.38828
2021-01,100.5927,98.5882
2021-02,101.1009,98.95289
2021-03,101.6442,99.54453
2021-04,102.1507,100.2337
2021-05,102.5812,101.1072
2021-06,102.9742,101.7436
2021-07,103.3122,101.8568
2021-08,103.5116,101.7267
2021-09,103.6353,101.5696
2021-10,103.7151,101.1858
2021-11,103.7344,100.6339
2021-12,103.696,100.1316
2022-01,103.5399,99.54044
2022-02,103.2454,98.52271
2022-03,102.7533,96.92645
2022-04,102.3665,95.87189
2022-05,102.0758,95.28239
2022-06,101.8184,94.7323
2022-07,101.4933,94.20869
2022-08,101.1762,93.90355
2022-09,100.893,93.66932
2022-10,100.7032,93.90977
2022-11,100.6436,94.57391
2022-12,100.7062,95.26012
2023-01,100.7917,95.82666
2023-02,100.7528,96.25678
2023-03,100.5844,96.57443
2023-04,100.3355,96.93097
