country,FRA,FRA
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,22.14697
1960-Q2,,22.23018
1960-Q3,,22.39659
1960-Q4,,22.66203
1961-Q1,3.971438,23.02653
1961-Q2,5.239927,23.39503
1961-Q3,6.121194,23.76753
1961-Q4,6.660063,24.17134
1962-Q1,6.86151,24.60649
1962-Q2,6.877658,25.00406
1962-Q3,6.717294,25.36406
1962-Q4,6.248001,25.68157
1963-Q1,2.630487,25.25376
1963-Q2,5.50874,26.38146
1963-Q3,7.442327,27.25174
1963-Q4,6.444313,27.33657
1964-Q1,10.28537,27.85121
1964-Q2,6.583462,28.11828
1964-Q3,4.445013,28.46308
1964-Q4,5.061879,28.72031
1965-Q1,3.34945,28.78407
1965-Q2,4.914833,29.50024
1965-Q3,5.141568,29.92653
1965-Q4,5.650559,30.34317
1966-Q1,6.367614,30.61693
1966-Q2,5.355112,31.08002
1966-Q3,5.038778,31.43446
1966-Q4,4.162074,31.60608
1967-Q1,4.999723,32.14769
1967-Q2,4.567421,32.49957
1967-Q3,4.376944,32.81033
1967-Q4,4.822062,33.13014
1968-Q1,6.05459,34.0941
1968-Q2,-3.046592,31.50944
1968-Q3,6.957438,35.09309
1968-Q4,7.010255,35.45265
1969-Q1,4.175765,35.51779
1969-Q2,15.48619,36.38905
1969-Q3,4.673238,36.73307
1969-Q4,4.430437,37.02335
1970-Q1,6.231298,37.73101
1970-Q2,4.996378,38.20719
1970-Q3,5.445563,38.73339
1970-Q4,6.261521,39.34158
1971-Q1,4.403152,39.39236
1971-Q2,4.98047,40.11008
1971-Q3,5.242838,40.76412
1971-Q4,4.503637,41.11338
1972-Q1,5.735934,41.65188
1972-Q2,4.242857,41.8119
1972-Q3,3.481127,42.18317
1972-Q4,4.305489,42.88351
1973-Q1,5.008155,43.73787
1973-Q2,5.73643,44.21041
1973-Q3,5.705915,44.59011
1973-Q4,5.308799,45.16011
1974-Q1,4.242214,45.59333
1974-Q2,3.64434,45.82159
1974-Q3,3.731282,46.25389
1974-Q4,0.8752422,45.55537
1975-Q1,-0.5327757,45.35042
1975-Q2,-0.7781192,45.46504
1975-Q3,-1.324734,45.64115
1975-Q4,1.541171,46.25746
1976-Q1,3.497158,46.93639
1976-Q2,4.467073,47.496
1976-Q3,4.556114,47.72062
1976-Q4,4.448314,48.31514
1977-Q1,4.075391,48.84924
1977-Q2,3.296345,49.06163
1977-Q3,3.281466,49.28655
1977-Q4,2.243418,49.39905
1978-Q1,2.530302,50.08527
1978-Q2,3.783741,50.918
1978-Q3,3.219253,50.87321
1978-Q4,3.860699,51.30619
1979-Q1,3.318718,51.74746
1979-Q2,2.600582,52.24216
1979-Q3,3.864765,52.83934
1979-Q4,3.184112,52.93984
1980-Q1,3.526874,53.57253
1980-Q2,1.79989,53.18246
1980-Q3,0.8027769,53.26352
1980-Q4,0.411259,53.15756
1981-Q1,-0.4549244,53.32881
1981-Q2,0.9793582,53.70331
1981-Q3,1.48145,54.05259
1981-Q4,2.279951,54.36953
1982-Q1,2.805374,54.82488
1982-Q2,2.788655,55.20091
1982-Q3,2.108812,55.19246
1982-Q4,2.115845,55.51991
