country,CAN,CAN
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1961-Q1,,17.69835
1961-Q2,,18.14649
1961-Q3,,18.58807
1961-Q4,,18.84096
1962-Q1,9.288778,19.3423
1962-Q2,7.436927,19.49603
1962-Q3,6.226028,19.74537
1962-Q4,6.856677,20.13282
1963-Q1,4.746974,20.26048
1963-Q2,5.43244,20.55514
1963-Q3,4.892184,20.71135
1963-Q4,6.093019,21.35952
1964-Q1,8.063715,21.89423
1964-Q2,6.913496,21.97622
1964-Q3,7.239632,22.21077
1964-Q4,4.506997,22.32219
1965-Q1,5.1979,23.03227
1965-Q2,5.764937,23.24314
1965-Q3,6.108471,23.56751
1965-Q4,8.166431,24.14511
1966-Q1,6.871593,24.61495
1966-Q2,8.188091,25.1463
1966-Q3,6.648054,25.13429
1966-Q4,5.38687,25.44578
1967-Q1,3.142374,25.38844
1967-Q2,3.066304,25.91737
1967-Q3,3.440623,25.99907
1967-Q4,2.619498,26.11233
1968-Q1,3.727988,26.33492
1968-Q2,4.342809,27.04291
1968-Q3,5.46364,27.41956
1968-Q4,6.460174,27.79923
1969-Q1,7.005557,28.17983
1969-Q2,4.632862,28.29577
1969-Q3,4.340423,28.60969
1969-Q4,4.369663,29.01397
1970-Q1,3.596348,29.19327
1970-Q2,3.180466,29.19571
1970-Q3,3.104432,29.49786
1970-Q4,1.822156,29.54265
1971-Q1,0.6761754,29.39067
1971-Q2,3.607135,30.24883
1971-Q3,5.379762,31.08477
1971-Q4,6.370006,31.42451
1972-Q1,6.56229,31.31937
1972-Q2,6.474349,32.20725
1972-Q3,3.918446,32.30281
1972-Q4,5.209481,33.06157
1973-Q1,8.271973,33.9101
1973-Q2,6.291609,34.2336
1973-Q3,6.469917,34.39278
1973-Q4,5.945163,35.02713
1974-Q1,4.148991,35.31703
1974-Q2,4.223005,35.67929
1974-Q3,3.760589,35.68615
1974-Q4,1.350648,35.50023
1975-Q1,-0.02891733,35.30682
1975-Q2,0.2255823,35.75978
1975-Q3,2.128788,36.44583
1975-Q4,3.851639,36.86757
1976-Q1,6.240238,37.51004
1976-Q2,7.156554,38.31894
1976-Q3,5.624891,38.49587
1976-Q4,4.585333,38.55807
1977-Q1,4.370662,39.14948
1977-Q2,2.688801,39.34926
1977-Q3,2.817681,39.58056
1977-Q4,4.278478,40.20777
1978-Q1,3.590128,40.555
1978-Q2,3.765692,40.83104
1978-Q3,4.12163,41.21192
1978-Q4,3.469267,41.60268
1979-Q1,3.40179,41.9346
1979-Q2,4.065198,42.4909
1979-Q3,3.859234,42.80239
1979-Q4,3.573996,43.08956
1980-Q1,3.467659,43.38874
1980-Q2,2.068395,43.36978
1980-Q3,1.241413,43.33374
1980-Q4,1.958171,43.93333
1981-Q1,3.436515,44.8798
1981-Q2,4.613178,45.3705
1981-Q3,3.758816,44.96258
1981-Q4,1.872078,44.75579
1982-Q1,-1.417576,44.2436
1982-Q2,-3.606476,43.73423
1982-Q3,-3.594525,43.34639
1982-Q4,-4.042843,42.94638
1983-Q1,-1.345628,43.64825
1983-Q2,1.772293,44.50933
1983-Q3,3.836479,45.00936
1983-Q4,6.106533,45.56892
