country,OECD,OECD
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1973-01,,101.9943
1973-02,,101.6766
1973-03,,101.3518
1973-04,,101.0325
1973-05,,100.777
1973-06,,100.6226
1973-07,,100.5675
1973-08,,100.5943
1973-09,,100.6028
1973-10,,100.4467
1973-11,,100.0237
1973-12,,99.48436
1974-01,,99.11025
1974-02,,99.05888
1974-03,,99.18784
1974-04,,99.3262
1974-05,,99.30555
1974-06,100.7281,99.13866
1974-07,100.2436,98.9045
1974-08,99.59381,98.67514
1974-09,98.758,98.46882
1974-10,97.92079,98.30563
1974-11,97.14102,98.23003
1974-12,96.54681,98.24592
1975-01,96.30905,98.38463
1975-02,96.3252,98.63347
1975-03,96.43883,98.92411
1975-04,96.76512,99.1867
1975-05,97.18275,99.36016
1975-06,97.62244,99.46581
1975-07,98.07083,99.5484
1975-08,98.54567,99.60508
1975-09,98.96372,99.67439
1975-10,99.28145,99.82473
1975-11,99.5257,100.1
1975-12,99.8282,100.4478
1976-01,100.1354,100.7587
1976-02,100.3913,100.9181
1976-03,100.5416,100.9762
1976-04,100.673,101.0122
1976-05,100.6983,101.0686
1976-06,100.6451,101.1047
1976-07,100.507,101.0802
1976-08,100.3302,100.9826
1976-09,100.1593,100.8568
1976-10,100.0277,100.766
1976-11,99.94734,100.7712
1976-12,99.9675,100.8441
1977-01,99.94285,100.9359
1977-02,99.93579,100.9809
1977-03,99.96851,100.9604
1977-04,99.87329,100.9027
1977-05,99.77245,100.875
1977-06,99.61776,100.9374
1977-07,99.48644,101.0548
1977-08,99.35559,101.1677
1977-09,99.2966,101.2729
1977-10,99.34358,101.3778
1977-11,99.45022,101.4648
1977-12,99.55231,101.5396
1978-01,99.5434,101.582
1978-02,99.54259,101.5665
1978-03,99.63426,101.5069
1978-04,99.85921,101.5063
1978-05,100.1327,101.534
1978-06,100.3823,101.5397
1978-07,100.5897,101.5524
1978-08,100.7144,101.5326
1978-09,100.8051,101.5146
1978-10,100.8774,101.3838
1978-11,100.9119,101.1177
1978-12,100.8673,100.8445
1979-01,100.84,100.7515
1979-02,100.8613,100.7343
1979-03,100.9232,100.6724
1979-04,100.957,100.5931
1979-05,100.9114,100.4909
1979-06,100.77,100.2977
1979-07,100.5661,100.0917
1979-08,100.3775,99.98071
1979-09,100.2466,99.86993
1979-10,100.1118,99.69112
1979-11,99.95194,99.52436
1979-12,99.81747,99.36189
1980-01,99.74812,99.2111
1980-02,99.54927,98.98016
1980-03,98.98966,98.65839
1980-04,98.23534,98.44754
1980-05,97.57664,98.42586
1980-06,97.35535,98.57473
1980-07,97.56102,98.80871
1980-08,98.04504,99.10036
1980-09,98.49913,99.33146
1980-10,98.80588,99.39635
1980-11,98.86537,99.26386
1980-12,98.68815,99.02148
1981-01,98.47272,98.89211
1981-02,98.36533,98.75697
1981-03,98.38714,98.70387
1981-04,98.50172,98.7834
1981-05,98.59566,98.88508
1981-06,98.56381,98.86974
1981-07,98.46319,98.82482
1981-08,98.34689,98.76617
1981-09,98.12384,98.65781
1981-10,97.8898,98.50648
1981-11,97.71246,98.40527
1981-12,97.65482,98.47536
1982-01,97.65029,98.65105
1982-02,97.64644,98.71549
1982-03,97.6162,98.76366
1982-04,97.54071,98.87067
1982-05,97.42444,98.92162
1982-06,97.34365,98.85972
1982-07,97.24572,98.73411
1982-08,97.15571,98.67031
1982-09,97.14515,98.69148
1982-10,97.20992,98.76221
1982-11,97.38737,98.82
1982-12,97.74871,98.90075
1983-01,98.21835,99.09612
1983-02,98.69539,99.45046
1983-03,98.98344,99.90308
1983-04,99.16299,100.2736
1983-05,99.36327,100.4688
1983-06,99.62626,100.5247
1983-07,99.92564,100.5259
1983-08,100.1543,100.497
1983-09,100.3493,100.4682
1983-10,100.5579,100.506
1983-11,100.7582,100.6623
1983-12,100.8341,100.8824
1984-01,100.6862,101.0587
1984-02,100.5907,101.085
1984-03,100.5375,101.0268
1984-04,100.5229,100.9018
1984-05,100.4849,100.8053
1984-06,100.427,100.7562
1984-07,100.2925,100.8111
1984-08,100.087,100.912
1984-09,99.90238,100.9799
1984-10,99.81173,100.9578
1984-11,99.77019,100.9459
1984-12,99.76646,100.9679
1985-01,99.74292,101.0242
1985-02,99.69457,100.9987
1985-03,99.62762,100.9526
1985-04,99.60179,100.9211
1985-05,99.58092,100.8922
1985-06,99.58442,100.9031
1985-07,99.6022,100.898
1985-08,99.66331,100.8979
1985-09,99.792,100.9362
1985-10,99.90675,101.0109
1985-11,99.95134,101.1153
1985-12,99.90623,101.2464
1986-01,99.83266,101.366
1986-02,99.78711,101.4221
1986-03,99.73647,101.434
1986-04,99.67592,101.429
1986-05,99.64124,101.4167
1986-06,99.54448,101.4221
1986-07,99.50543,101.3851
1986-08,99.58906,101.3248
1986-09,99.64682,101.2776
1986-10,99.65611,101.265
1986-11,99.67818,101.1951
1986-12,99.73528,101.1245
1987-01,99.84238,101.1126
1987-02,99.94298,101.1486
1987-03,100.0982,101.2052
1987-04,100.2489,101.2675
1987-05,100.3945,101.3023
1987-06,100.5214,101.3542
1987-07,100.6752,101.4203
1987-08,100.8778,101.4523
1987-09,101.0488,101.4146
1987-10,101.1609,101.2914
1987-11,101.1944,101.1749
1987-12,101.1914,101.2205
1988-01,101.1122,101.3536
1988-02,101.0407,101.4737
1988-03,101.0281,101.556
1988-04,101.1221,101.5873
1988-05,101.2771,101.6254
1988-06,101.4454,101.6573
1988-07,101.5107,101.7039
1988-08,101.5057,101.7901
1988-09,101.5143,101.8353
1988-10,101.5706,101.818
1988-11,101.5956,101.7774
1988-12,101.5703,101.734
1989-01,101.4714,101.7102
1989-02,101.338,101.5967
1989-03,101.1787,101.4198
1989-04,101.0462,101.2556
1989-05,100.9027,101.1673
1989-06,100.7673,101.1691
1989-07,100.6498,101.2453
1989-08,100.5549,101.3436
1989-09,100.5107,101.4549
1989-10,100.5077,101.4492
1989-11,100.5092,101.3961
1989-12,100.508,101.3694
1990-01,100.5082,101.351
1990-02,100.5266,101.2825
1990-03,100.5423,101.2188
1990-04,100.5209,101.1842
1990-05,100.4381,101.0957
1990-06,100.3038,100.9663
1990-07,100.1106,100.7383
1990-08,99.90878,100.3306
1990-09,99.6978,99.88583
1990-10,99.47336,99.59367
1990-11,99.23515,99.52266
1990-12,98.99182,99.56758
1991-01,98.741,99.66653
1991-02,98.60305,99.93411
1991-03,98.62294,100.3227
1991-04,98.78773,100.4669
1991-05,99.01675,100.4591
1991-06,99.30988,100.4151
1991-07,99.5438,100.3534
1991-08,99.71593,100.308
1991-09,99.75669,100.2469
1991-10,99.62638,100.0525
1991-11,99.3904,99.77974
1991-12,99.19016,99.58334
1992-01,99.17326,99.52473
1992-02,99.32858,99.62351
1992-03,99.48981,99.79456
1992-04,99.58041,99.89742
1992-05,99.6282,99.9056
1992-06,99.52094,99.80515
1992-07,99.31989,99.60656
1992-08,99.06093,99.38354
1992-09,98.79437,99.19345
1992-10,98.62403,99.13246
1992-11,98.55386,99.26805
1992-12,98.53582,99.42558
1993-01,98.53342,99.49847
1993-02,98.50976,99.49684
1993-03,98.45817,99.48656
1993-04,98.39716,99.45707
1993-05,98.37183,99.33897
1993-06,98.33768,99.17854
1993-07,98.35479,99.04947
1993-08,98.4707,99.00205
1993-09,98.67393,99.02679
1993-10,98.9108,99.12542
1993-11,99.11294,99.30779
1993-12,99.25536,99.62517
1994-01,99.3734,99.95453
1994-02,99.49535,100.1767
1994-03,99.66763,100.3232
1994-04,99.87745,100.4764
1994-05,100.1006,100.6315
1994-06,100.3288,100.76
1994-07,100.5551,100.8536
1994-08,100.7771,100.9566
1994-09,100.9568,101.0309
1994-10,101.0662,101.0558
1994-11,101.0962,101.036
1994-12,101.0658,101.0071
1995-01,101.0022,100.9582
1995-02,100.852,100.8292
1995-03,100.6124,100.6867
1995-04,100.3386,100.6409
1995-05,100.0582,100.6627
1995-06,99.88652,100.7624
1995-07,99.84299,100.8348
1995-08,99.75185,100.8132
1995-09,99.63381,100.6761
1995-10,99.46881,100.5561
1995-11,99.29088,100.4751
1995-12,99.14625,100.4524
1996-01,99.0574,100.4587
1996-02,99.02248,100.5008
1996-03,99.04533,100.5856
1996-04,99.11923,100.6124
1996-05,99.22191,100.6032
1996-06,99.37975,100.6271
1996-07,99.48318,100.6679
1996-08,99.60334,100.7133
1996-09,99.69827,100.7362
1996-10,99.7924,100.7436
1996-11,99.91015,100.7291
1996-12,100.0383,100.6986
1997-01,100.1585,100.7253
1997-02,100.2637,100.8122
1997-03,100.3779,100.9297
1997-04,100.4898,101.0804
1997-05,100.6296,101.2531
1997-06,100.7564,101.4118
1997-07,100.8902,101.5184
1997-08,100.9434,101.5424
1997-09,100.9513,101.5262
1997-10,100.9345,101.4679
1997-11,100.8425,101.4154
1997-12,100.7166,101.3757
1998-01,100.578,101.4326
1998-02,100.4518,101.5189
1998-03,100.3227,101.5559
1998-04,100.1406,101.5639
1998-05,99.9391,101.5266
1998-06,99.76771,101.4609
1998-07,99.61182,101.4046
1998-08,99.41346,101.3335
1998-09,99.18317,101.2748
1998-10,98.98466,101.2805
1998-11,98.8904,101.3889
1998-12,98.91075,101.5042
1999-01,99.01199,101.6619
1999-02,99.12394,101.7647
1999-03,99.22114,101.756
1999-04,99.3569,101.7275
1999-05,99.54342,101.7464
1999-06,99.73246,101.7919
1999-07,99.90981,101.8282
1999-08,100.1461,101.8693
1999-09,100.3969,101.9354
1999-10,100.5771,102.0097
1999-11,100.7,102.1128
1999-12,100.7714,102.2231
2000-01,100.8027,102.3406
2000-02,100.8316,102.35
2000-03,100.8478,102.2989
2000-04,100.8271,102.2789
2000-05,100.7939,102.2703
2000-06,100.7602,102.237
2000-07,100.7379,102.2299
2000-08,100.6695,102.1693
2000-09,100.5692,102.0376
2000-10,100.4291,101.9385
2000-11,100.2482,101.8052
2000-12,99.99005,101.592
2001-01,99.68531,101.3835
2001-02,99.38184,101.2109
2001-03,99.19337,101.1116
2001-04,99.10997,101.0445
2001-05,99.07384,100.9996
2001-06,99.07564,100.9579
2001-07,99.04538,100.8637
2001-08,98.88539,100.6641
2001-09,98.55251,100.4016
2001-10,98.25755,100.2777
2001-11,98.26286,100.3401
2001-12,98.45666,100.5318
2002-01,98.7666,100.7089
2002-02,99.15931,100.8392
2002-03,99.49491,100.9486
2002-04,99.6904,100.9781
2002-05,99.75775,100.967
2002-06,99.7165,100.8508
2002-07,99.58495,100.692
2002-08,99.5176,100.5372
2002-09,99.52098,100.386
2002-10,99.53069,100.2217
2002-11,99.5337,100.1076
2002-12,99.4936,99.96613
2003-01,99.31187,99.76674
2003-02,99.06685,99.59393
2003-03,98.88411,99.58545
2003-04,98.91164,99.83386
2003-05,99.05471,100.1117
2003-06,99.18639,100.2797
2003-07,99.36388,100.348
2003-08,99.60363,100.3397
2003-09,99.82731,100.345
2003-10,100.1058,100.4159
2003-11,100.4307,100.5513
2003-12,100.6863,100.6962
2004-01,100.8259,100.8455
2004-02,100.9198,100.832
2004-03,101.0001,100.7856
2004-04,101.0993,100.7435
2004-05,101.1344,100.7201
2004-06,101.0527,100.764
2004-07,100.9725,100.8217
2004-08,100.936,100.8221
2004-09,100.8982,100.7949
2004-10,100.8085,100.7964
2004-11,100.7119,100.8506
2004-12,100.6503,100.9463
2005-01,100.5518,101.0232
2005-02,100.4002,101.0018
2005-03,100.2185,100.8658
2005-04,100.0389,100.7185
2005-05,99.96181,100.6638
2005-06,100.0328,100.7066
2005-07,100.1951,100.6678
2005-08,100.3729,100.4557
2005-09,100.5772,100.1988
2005-10,100.6626,100.1745
2005-11,100.6753,100.4049
2005-12,100.6789,100.7327
2006-01,100.6867,100.9611
2006-02,100.7498,101.0083
2006-03,100.8187,100.9676
2006-04,100.8789,100.8606
2006-05,100.8687,100.6856
2006-06,100.8443,100.5904
2006-07,100.8631,100.5625
2006-08,100.8624,100.5886
2006-09,100.8264,100.7333
2006-10,100.7866,100.9419
2006-11,100.8154,101.0585
2006-12,100.8829,101.1156
2007-01,100.9255,101.1271
2007-02,100.995,101.0637
2007-03,101.0405,100.9826
2007-04,101.0597,100.959
2007-05,101.0634,100.9779
2007-06,101.0465,100.9533
2007-07,100.9539,100.9081
2007-08,100.8517,100.7507
2007-09,100.7624,100.5475
2007-10,100.6931,100.3017
2007-11,100.6532,100.0219
2007-12,100.5605,99.80847
2008-01,100.4429,99.58829
2008-02,100.2717,99.27281
2008-03,100.1207,98.89236
2008-04,99.95359,98.42378
2008-05,99.83418,97.96468
2008-06,99.71297,97.60809
2008-07,99.4676,97.49937
2008-08,98.98669,97.58216
2008-09,98.17167,97.59233
2008-10,97.17155,97.3187
2008-11,96.26657,97.06933
2008-12,95.62356,96.93389
2009-01,95.32851,96.87355
2009-02,95.2627,96.88471
2009-03,95.47977,97.11759
2009-04,95.99543,97.58656
2009-05,96.58636,98.05395
2009-06,97.14838,98.40105
2009-07,97.69489,98.62403
2009-08,98.17389,98.83246
2009-09,98.52473,99.05482
2009-10,98.79834,99.15337
2009-11,98.99372,99.18334
2009-12,99.23984,99.24945
2010-01,99.54266,99.32529
2010-02,99.82333,99.34591
2010-03,100.138,99.34448
2010-04,100.3508,99.32242
2010-05,100.4131,99.27254
2010-06,100.4095,99.22498
2010-07,100.4519,99.17274
2010-08,100.5306,99.18626
2010-09,100.6286,99.20934
2010-10,100.7533,99.25217
2010-11,100.9028,99.33437
2010-12,101.0606,99.37154
2011-01,101.1719,99.33466
2011-02,101.2161,99.22598
2011-03,101.1775,98.99609
2011-04,101.0326,98.86459
2011-05,100.7935,98.85662
2011-06,100.5886,98.76924
2011-07,100.3566,98.52652
2011-08,100.1548,98.2402
2011-09,99.97829,98.12966
2011-10,99.83006,98.1497
2011-11,99.76669,98.28973
2011-12,99.79117,98.48139
2012-01,99.88494,98.69394
2012-02,99.98024,98.84327
2012-03,100.0158,98.91032
2012-04,99.95651,98.91
2012-05,99.78858,98.87721
2012-06,99.60914,98.78267
2012-07,99.50317,98.72888
2012-08,99.44117,98.72757
2012-09,99.39604,98.77123
2012-10,99.32574,98.83212
2012-11,99.30256,98.84129
2012-12,99.37662,98.79227
2013-01,99.50964,98.86182
2013-02,99.62701,98.98201
2013-03,99.64341,99.09425
2013-04,99.60973,99.20437
2013-05,99.65783,99.35477
2013-06,99.80833,99.48638
2013-07,100.0127,99.59187
2013-08,100.2189,99.60163
2013-09,100.3507,99.54239
2013-10,100.3999,99.46552
2013-11,100.4207,99.49306
2013-12,100.3905,99.58215
2014-01,100.337,99.64017
2014-02,100.3722,99.68947
2014-03,100.4462,99.77885
2014-04,100.508,99.88887
2014-05,100.5208,99.94034
2014-06,100.5057,99.94906
2014-07,100.511,99.92188
2014-08,100.5285,99.90479
2014-09,100.5023,99.9171
2014-10,100.4945,99.97218
2014-11,100.4359,100.0835
2014-12,100.3215,100.2753
2015-01,100.2373,100.4853
2015-02,100.1877,100.6215
2015-03,100.1603,100.6797
2015-04,100.1648,100.6766
2015-05,100.1609,100.6095
2015-06,100.1024,100.5576
2015-07,100.0111,100.4461
2015-08,99.91197,100.3521
2015-09,99.82026,100.3189
2015-10,99.76785,100.4252
2015-11,99.7402,100.5639
2015-12,99.7471,100.611
2016-01,99.78469,100.544
2016-02,99.84466,100.4348
2016-03,99.93318,100.3713
2016-04,99.98756,100.3765
2016-05,100.0374,100.4315
2016-06,100.0845,100.422
2016-07,100.0637,100.3429
2016-08,100.0218,100.3266
2016-09,100.0937,100.3612
2016-10,100.2112,100.3976
2016-11,100.3618,100.47
2016-12,100.5027,100.5288
2017-01,100.6343,100.526
2017-02,100.7639,100.5515
2017-03,100.8206,100.6528
2017-04,100.8333,100.762
2017-05,100.8995,100.8353
2017-06,101.0425,100.8606
2017-07,101.1709,100.8916
2017-08,101.3165,100.9527
2017-09,101.4438,101.0245
2017-10,101.4868,101.1107
2017-11,101.5072,101.1352
2017-12,101.529,101.1287
2018-01,101.5335,101.1317
2018-02,101.5047,101.1516
2018-03,101.4282,101.1612
2018-04,101.3877,101.1482
2018-05,101.3902,101.1441
2018-06,101.3838,101.1606
2018-07,101.3304,101.1811
2018-08,101.2617,101.1294
2018-09,101.1211,101.0526
2018-10,100.9652,100.9543
2018-11,100.8564,100.8439
2018-12,100.6934,100.7653
2019-01,100.5628,100.7402
2019-02,100.4418,100.8106
2019-03,100.3596,100.8925
2019-04,100.242,100.9067
2019-05,100.1013,100.8745
2019-06,99.91689,100.7795
2019-07,99.71133,100.6507
2019-08,99.55248,100.4964
2019-09,99.43179,100.4718
2019-10,99.43452,100.5422
2019-11,99.50359,100.6843
2019-12,99.55506,100.7887
2020-01,99.49618,100.7185
2020-02,99.02079,100.2251
2020-03,98.00083,99.16608
2020-04,96.87791,98.03645
2020-05,96.76222,97.68506
