country,COL,COL,COL,COL,COL,COL,COL,COL,COL
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1997-04,96.37067,,,,,,101.4338,101.86,52.45838
1997-05,96.67737,,,,,,101.7996,102.4,52.51271
1997-06,96.85302,,,,,,102.1281,102.885,52.56494
1997-07,97.10921,,,,,,102.4049,103.2937,52.61505
1997-08,97.38371,,,,,,102.6329,103.6304,52.66306
1997-09,98.04941,,,,,,102.8213,103.9084,52.70898
1997-10,98.66243,,,,,,102.9769,104.1383,52.75285
1997-11,98.99441,,,,,,103.1024,104.3235,52.79473
1997-12,99.21113,,,,,,103.1946,104.4597,52.83467
1998-01,99.23884,,,,,,103.2478,104.5382,52.87275
1998-02,99.10098,,,,,,103.2497,104.541,52.90909
1998-03,98.58916,,,,,,103.1821,104.4412,52.94379
1998-04,97.56389,,,,,,103.0248,104.2089,52.97699
1998-05,96.48628,,,,,,102.7585,103.8158,53.00884
1998-06,95.90868,,,,,,102.3753,103.25,53.03952
1998-07,95.03329,,,,,,101.8953,102.5413,53.06922
1998-08,93.85758,,,,,,101.3514,101.7383,53.09813
1998-09,92.83569,,,,,,100.7804,100.8954,53.12648
1998-10,92.07561,,,,,,100.2198,100.0676,53.15448
1998-11,91.61839,,,,,,99.70245,99.30382,53.18236
1998-12,91.31339,,,,,,99.25272,98.63983,53.21034
1999-01,91.11166,,,,,,98.87809,98.08671,53.23864
1999-02,90.9345,,,,,,98.58079,97.64777,53.26749
1999-03,91.08206,,,,,,98.36347,97.32693,53.29709
1999-04,91.74425,,,,,,98.22923,97.12873,53.32764
1999-05,92.61282,,,,,,98.18077,97.05718,53.35933
1999-06,93.71239,,,,,,98.21362,97.10568,53.39234
1999-07,95.12571,,,,,,98.30294,97.23756,53.42683
1999-08,96.60056,,,,,,98.4209,97.41171,53.46296
1999-09,97.65341,,,,,,98.5499,97.60217,53.50086
1999-10,97.81551,,,,,,98.69366,97.81443,53.54068
1999-11,97.8129,,,,,,98.86331,98.0649,53.58253
1999-12,97.88067,,,,,,99.06194,98.35814,53.62654
2000-01,98.29123,,,,,,99.26694,98.66081,53.67283
2000-02,99.11816,,,,,,99.44658,98.92603,53.72147
2000-03,99.98044,,,,,,99.57593,99.117,53.77258
2000-04,100.5131,,,,,,99.65457,99.23312,53.82625
2000-05,100.8022,,,,,,99.69346,99.29053,53.88258
2000-06,100.9824,,,,,,99.70493,99.30746,53.94164
2000-07,101.073,,,,,,99.69528,99.29322,54.00354
2000-08,101.1859,,,,,,99.6677,99.2525,54.06835
2000-09,100.9455,,,,,,99.6264,99.19153,54.13617
2000-10,100.6562,,,,,,99.58179,99.12566,54.20707
2000-11,100.4928,,,,,,99.54532,99.07182,54.28114
2000-12,100.5071,,,,,,99.52435,99.04086,54.35846
2001-01,100.3506,,,,,,99.51614,99.02874,54.43909
2001-02,99.91258,,,,,,99.51414,99.02579,54.5231
2001-03,99.14053,,,,,,99.51305,99.02419,54.61057
2001-04,98.37654,,,,,,99.51307,99.0242,54.70156
2001-05,97.83022,,,,,,99.51625,99.02891,54.79613
2001-06,97.42233,,,,,,99.52253,99.03817,54.89434
2001-07,96.87576,,,,,,99.52509,99.04195,54.99624
2001-08,96.33018,,,,,,99.5145,99.02631,55.10189
2001-09,96.23289,,,,,,99.48263,98.97926,55.21134
2001-10,96.575,,,,,,99.4273,98.89758,55.32462
2001-11,96.9885,96.8139,99.24866,99.61874,,55.02524,99.35484,98.79059,55.4418
2001-12,97.27162,97.34397,99.48184,99.73769,,55.27499,99.28391,98.68588,55.56289
2002-01,97.49194,97.43176,99.55805,99.77657,,55.44184,99.25034,98.63631,55.68796
2002-02,97.39673,96.81654,99.58779,99.79175,,55.58694,99.28753,98.69122,55.81702
2002-03,97.59666,96.28286,99.77741,99.88849,,55.82557,99.40415,98.8634,55.95011
2002-04,97.99301,96.33649,100.2069,100.1076,,56.20327,99.55602,99.08761,56.08725
2002-05,98.36617,97.16891,100.8758,100.4489,,56.7209,99.68055,99.27148,56.22843
2002-06,98.61999,98.23853,101.5927,100.8146,,57.27154,99.72844,99.34217,56.37369
2002-07,98.94672,98.66312,102.1345,101.091,,57.7295,99.69681,99.29548,56.52302
2002-08,99.24213,98.80838,102.4732,101.2638,,58.07816,99.60776,99.164,56.67644
2002-09,99.29132,98.60586,102.5849,101.3208,,58.30307,99.49177,98.99275,56.83396
2002-10,99.14596,98.63155,102.4925,101.2736,,58.41622,99.37499,98.82034,56.99559
2002-11,98.94175,98.92054,102.2551,101.1525,6.224654,58.45037,99.27847,98.67783,57.16132
2002-12,98.68566,99.20299,101.8834,100.9629,5.673323,58.41092,99.21717,98.58734,57.33116
2003-01,98.43303,99.02943,101.3828,100.7075,5.155749,58.30029,99.1974,98.55814,57.5051
2003-02,98.30292,98.60274,100.8849,100.4535,4.689291,58.19357,99.21999,98.59151,57.68312
2003-03,98.69438,98.17853,100.519,100.2668,4.191482,58.16549,99.2803,98.68053,57.8652
2003-04,99.27826,98.17954,100.4049,100.2086,3.706371,58.28637,99.36459,98.80499,58.05131
2003-05,99.81685,98.66833,100.5522,100.2838,3.247761,58.56306,99.45752,98.94219,58.24142
2003-06,100.2203,99.24937,100.8689,100.4453,2.918945,58.94326,99.5474,99.0749,58.43549
2003-07,100.536,99.59415,101.2851,100.6577,2.871137,59.38699,99.63053,99.19763,58.63348
2003-08,100.7303,99.86108,101.7069,100.8728,3.032838,59.83957,99.70792,99.31188,58.83533
2003-09,101.0311,99.85573,102.0636,101.0548,3.355368,60.25935,99.7821,99.42141,59.041
2003-10,101.1911,99.94039,102.3805,101.2165,3.842529,60.66088,99.85409,99.52769,59.25043
2003-11,101.273,100.3175,102.6041,101.3306,4.382686,61.01206,99.92144,99.62714,59.46357
2003-12,101.927,101.0733,102.7106,101.3849,4.942756,61.29803,99.97625,99.70805,59.68035
2004-01,102.4058,101.6536,102.6561,101.3571,5.474103,61.49171,100.0031,99.74764,59.90071
2004-02,102.7526,101.5151,102.4413,101.2475,5.84056,61.5924,99.98794,99.7253,60.12457
2004-03,102.8862,101.1825,102.1504,101.0991,5.990143,61.64969,99.92896,99.63822,60.35188
2004-04,102.7328,100.9614,101.804,100.9224,5.814567,61.67547,99.84943,99.52082,60.58257
2004-05,102.5028,100.8463,101.4084,100.7205,5.310556,61.67308,99.78339,99.42331,60.81656
2004-06,102.1578,100.7896,101.0,100.5122,4.616401,61.66432,99.76242,99.39235,61.05379
2004-07,101.8382,100.6763,100.6216,100.3192,3.852998,61.67517,99.80168,99.45032,61.29417
2004-08,101.5428,100.4277,100.3114,100.1609,3.157897,61.72924,99.90172,99.59801,61.53762
2004-09,101.2907,100.2692,100.1182,100.0623,2.651448,61.85709,100.0455,99.81036,61.78406
2004-10,101.1278,100.4742,100.0629,100.0341,2.326868,62.07238,100.1909,100.025,62.03339
