country,ESP,ESP
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,15.4429
1960-Q2,,15.76038
1960-Q3,,16.20126
1960-Q4,,16.52739
1961-Q1,10.08166,16.9998
1961-Q2,12.6545,17.75478
1961-Q3,11.82722,18.11742
1961-Q4,12.71371,18.62864
1962-Q1,12.17378,19.06931
1962-Q2,9.902243,19.5129
1962-Q3,10.34009,19.99077
1962-Q4,7.599938,20.0444
1963-Q1,11.16051,21.19755
1963-Q2,8.723546,21.21512
1963-Q3,8.414429,21.67288
1963-Q4,10.13725,22.07635
1964-Q1,4.734725,22.20119
1964-Q2,6.372596,22.56707
1964-Q3,4.908126,22.73662
1964-Q4,5.229997,23.23095
1965-Q1,6.865156,23.72534
1965-Q2,5.581073,23.82656
1965-Q3,5.8606,24.06912
1965-Q4,6.705244,24.78864
1966-Q1,3.770687,24.61995
1966-Q2,8.669457,25.89219
1966-Q3,9.708259,26.40581
1966-Q4,6.812414,26.47734
1967-Q1,7.840549,26.55029
1967-Q2,3.773644,26.86927
1967-Q3,3.500479,27.33014
1967-Q4,2.478593,27.13361
1968-Q1,4.377876,27.71263
1968-Q2,6.267992,28.55343
1968-Q3,5.318367,28.78366
1968-Q4,10.3811,29.95038
1969-Q1,11.90936,31.01302
1969-Q2,8.24702,30.90824
1969-Q3,9.384354,31.48482
1969-Q4,6.300111,31.83728
1970-Q1,4.577156,32.43254
1970-Q2,5.098377,32.48406
1970-Q3,3.701024,32.65008
1970-Q4,3.362137,32.9077
1971-Q1,2.257438,33.16468
1971-Q2,4.086708,33.81159
1971-Q3,5.462799,34.43369
1971-Q4,6.744114,35.12703
1972-Q1,7.635506,35.69697
1972-Q2,8.070737,36.54043
1972-Q3,8.449559,37.34318
1972-Q4,8.414972,38.08296
1973-Q1,8.647696,38.78394
1973-Q2,8.032031,39.47537
1973-Q3,7.45567,40.12737
1973-Q4,7.102055,40.78763
1974-Q1,6.952372,41.48034
1974-Q2,6.406806,42.00448
1974-Q3,5.416587,42.3009
1974-Q4,3.778734,42.32889
1975-Q1,1.533484,42.11643
1975-Q2,0.1832362,42.08145
1975-Q3,-0.08420926,42.26528
1975-Q4,0.5515065,42.56234
1976-Q1,2.063101,42.98534
1976-Q2,3.326985,43.48149
1976-Q3,3.875386,43.90322
1976-Q4,3.942492,44.24035
1977-Q1,3.734999,44.59084
1977-Q2,3.016516,44.79312
1977-Q3,2.365981,44.94196
1977-Q4,2.264558,45.2422
1978-Q1,2.094121,45.52463
1978-Q2,1.838992,45.61686
1978-Q3,1.377153,45.56088
1978-Q4,0.5553603,45.49346
1979-Q1,-0.2277522,45.42094
1979-Q2,-0.2747023,45.49155
1979-Q3,0.08795689,45.60096
1979-Q4,0.5886465,45.76125
1980-Q1,1.423892,46.06769
1980-Q2,1.610682,46.22427
1980-Q3,0.964949,46.04099
1980-Q4,1.194843,46.30803
1981-Q1,-0.04742833,46.04584
1981-Q2,-0.4963105,45.99486
1981-Q3,0.3440548,46.19939
1981-Q4,-0.3342071,46.15326
1982-Q1,0.6458586,46.34323
1982-Q2,1.140082,46.51924
1982-Q3,1.370187,46.83241
1982-Q4,1.82918,46.99749
