country,BRA
subject,LORSGPOR_IXOBSA
measure,
unit,Index
powercode,Units
reference_period,2010=100
time,
1996,60.33015
1997,62.57317
1998,62.79321
1999,63.09164
2000,65.78615
2001,66.78895
2002,68.80604
2003,69.60658
2004,73.38148
2005,76.03936
2006,79.05079
2007,83.76068
2008,87.76136
2009,87.90012
2010,94.54286
2011,98.41586
2012,99.99863
2013,103.211
2014,103.752
2015,100.0835
2016,96.57523
2017,98.14276
2018,99.7896
2019,101.0048
2020,96.77859
