country,OECD
subject,LORSGPRT
measure,
unit,Index
powercode,Units
reference_period,
time,
1960-Q2,100.0597
1960-Q3,99.75256
1960-Q4,99.4486
1961-Q1,99.37313
1961-Q2,99.49632
1961-Q3,99.7603
1961-Q4,100.079
1962-Q1,100.2237
1962-Q2,100.1207
1962-Q3,99.83826
1962-Q4,99.35343
1963-Q1,99.05264
1963-Q2,99.42208
1963-Q3,100.0441
1963-Q4,100.4475
1964-Q1,100.6666
1964-Q2,100.6395
1964-Q3,100.4023
1964-Q4,100.1168
1965-Q1,99.98602
1965-Q2,99.97431
1965-Q3,100.1119
1965-Q4,100.3801
1966-Q1,100.6301
1966-Q2,100.649
1966-Q3,100.3752
1966-Q4,99.94854
1967-Q1,99.5834
1967-Q2,99.31177
1967-Q3,99.19116
1967-Q4,99.21853
1968-Q1,99.41235
1968-Q2,99.7094
1968-Q3,100.1609
1968-Q4,100.5431
1969-Q1,100.7038
1969-Q2,100.7462
1969-Q3,100.6773
1969-Q4,100.4423
1970-Q1,100.2364
1970-Q2,100.1839
1970-Q3,100.0155
1970-Q4,99.5451
1971-Q1,99.19891
1971-Q2,99.15745
1971-Q3,99.16795
1971-Q4,99.15305
1972-Q1,99.43346
1972-Q2,99.95181
1972-Q3,100.5461
1972-Q4,101.3645
1973-Q1,102.2333
1973-Q2,102.6117
1973-Q3,102.5224
1973-Q4,102.203
1974-Q1,101.5823
1974-Q2,100.9016
1974-Q3,100.0197
1974-Q4,98.83473
1975-Q1,97.81461
1975-Q2,97.44204
1975-Q3,97.67894
1975-Q4,98.24274
1976-Q1,98.83457
1976-Q2,99.18748
1976-Q3,99.33353
1976-Q4,99.41486
1977-Q1,99.49651
1977-Q2,99.57163
1977-Q3,99.61844
1977-Q4,99.68108
1978-Q1,99.98756
1978-Q2,100.5816
1978-Q3,101.091
1978-Q4,101.4152
1979-Q1,101.6196
1979-Q2,101.8275
1979-Q3,101.9332
1979-Q4,101.8621
1980-Q1,101.3865
