country,MEX,MEX
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,12.33365
1960-Q2,,12.45676
1960-Q3,,12.58054
1960-Q4,,12.705
1961-Q1,4.01356,12.82867
1961-Q2,3.968465,12.9511
1961-Q3,3.982714,13.08159
1961-Q4,4.052759,13.2199
1962-Q1,4.120105,13.35722
1962-Q2,4.186414,13.49329
1962-Q3,4.593796,13.68253
1962-Q4,5.353576,13.92764
1963-Q1,6.096019,14.17148
1963-Q2,6.81321,14.41261
1963-Q3,7.815201,14.75184
1963-Q4,9.0939,15.1942
1964-Q1,10.31237,15.6329
1964-Q2,11.50287,16.07047
1964-Q3,11.22824,16.40822
1964-Q4,9.526078,16.64162
1965-Q1,7.932758,16.87302
1965-Q2,6.42249,17.1026
1965-Q3,5.770325,17.35502
1965-Q4,5.941481,17.63037
1966-Q1,6.103648,17.90289
1966-Q2,6.263108,18.17375
1966-Q3,6.239657,18.43792
1966-Q4,6.028594,18.69324
1967-Q1,5.827579,18.94619
1967-Q2,5.632259,19.19735
1967-Q3,5.833421,19.51348
1967-Q4,6.441396,19.89734
1968-Q1,7.029301,20.27798
1968-Q2,7.606983,20.65768
1968-Q3,7.540691,20.98493
1968-Q4,6.834904,21.25731
1969-Q1,6.164891,21.52809
1969-Q2,5.510474,21.79602
1969-Q3,5.479422,22.13478
1969-Q4,6.069005,22.54741
1970-Q1,6.629729,22.95535
1970-Q2,7.181341,23.36127
1970-Q3,6.85329,23.65174
1970-Q4,5.628724,23.81655
1971-Q1,4.462872,23.97981
1971-Q2,3.341551,24.1419
1971-Q3,3.596276,24.50233
1971-Q4,5.276771,25.07329
1972-Q1,6.927997,25.64113
1972-Q2,8.549659,26.20595
1972-Q3,9.294405,26.77967
1972-Q4,9.130326,27.36256
1973-Q1,8.968921,27.94087
1973-Q2,8.808347,28.51426
1973-Q3,8.344813,29.01439
1973-Q4,7.565879,29.43278
1974-Q1,6.817829,29.84583
1974-Q2,6.113171,30.25738
1974-Q3,5.765248,30.68714
1974-Q4,5.779068,31.13372
1975-Q1,5.794446,31.57523
1975-Q2,5.807361,32.01454
1975-Q3,5.621372,32.41217
1975-Q4,5.231911,32.76261
1976-Q1,4.856797,33.10877
1976-Q2,4.500615,33.45539
1976-Q3,4.065832,33.73
1976-Q4,3.561168,33.92934
1977-Q1,3.082237,34.12926
1977-Q2,2.60036,34.32535
1977-Q3,3.185989,34.80463
1977-Q4,4.878946,35.58474
1978-Q1,6.536367,36.36008
1978-Q2,8.163618,37.12754
1978-Q3,9.06114,37.95833
1978-Q4,9.181234,38.85186
1979-Q1,9.284451,39.73591
1979-Q2,9.392879,40.61488
1979-Q3,9.214405,41.45596
1979-Q4,8.749299,42.25112
1980-Q1,9.274204,43.4211
1980-Q2,7.606767,43.70436
1980-Q3,7.699434,44.64784
1980-Q4,8.732685,45.94078
1981-Q1,8.165443,46.96663
1981-Q2,10.24894,48.1836
1981-Q3,8.483373,48.43548
1981-Q4,7.319118,49.30324
1982-Q1,2.952408,48.35327
1982-Q2,0.5050594,48.42695
1982-Q3,-0.7366849,48.07866
1982-Q4,-4.623493,47.02371
1983-Q1,-3.468731,46.67603
