country,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,98.34004,98.0262,26.56613
1960-03,,,,,,,98.70038,98.43809,26.66435
1960-04,,,,,,,99.07314,98.86417,26.76293
1960-05,,,,,,,99.46812,99.31565,26.86186
1960-06,,,,,,,99.88061,99.78716,26.96114
1960-07,,,,,,,100.276,100.2391,27.06075
1960-08,,,,,,,100.6082,100.6188,27.16069
1960-09,,,,,,,100.8394,100.8831,27.26093
1960-10,,,,,,,100.9645,101.0261,27.36148
1960-11,,,,,,,100.9928,101.0584,27.46233
1960-12,,,,,,,100.9372,100.9949,27.56346
1961-01,,,101.0053,100.8428,,27.94301,100.8105,100.8501,27.66488
1961-02,,,100.8222,100.6891,,27.99489,100.6268,100.6401,27.76659
1961-03,,,100.6167,100.5166,,28.04045,100.4088,100.3909,27.86859
1961-04,,,100.4019,100.3363,,28.08328,100.1986,100.1506,27.97087
1961-05,,,100.1971,100.1644,,28.12879,100.0385,99.96763,28.07345
1961-06,,,100.0295,100.0237,,28.18464,99.95211,99.86889,28.17633
1961-07,,,99.89862,99.91392,,28.25084,99.92175,99.83419,28.27951
1961-08,,,99.79809,99.82954,,28.32569,99.91457,99.82598,28.383
1961-09,,,99.72159,99.76534,,28.40748,99.90416,99.81408,28.48679
1961-10,,,99.67408,99.72546,,28.4977,99.89034,99.79828,28.59088
1961-11,,,99.67011,99.72213,,28.60062,99.88647,99.79386,28.69528
1961-12,,,99.69038,99.73914,,28.71083,99.90714,99.81747,28.8
1962-01,,,99.71619,99.7608,3.158263,28.82299,99.955,99.8722,28.90502
1962-02,,,99.7253,99.76845,3.350392,28.93067,100.0273,99.95484,29.01036
1962-03,,,99.72372,99.76712,3.555161,29.03557,100.1201,100.0609,29.11601
1962-04,,,99.71695,99.76144,3.764994,29.13926,100.2305,100.1872,29.22197
1962-05,,,99.69105,99.7397,3.945649,29.23763,100.3495,100.3232,29.32824
1962-06,,,99.62605,99.68514,4.048143,29.32475,100.4521,100.4405,29.43483
1962-07,,,99.52155,99.59743,4.071867,29.40038,100.4882,100.4816,29.54172
1962-08,,,99.38551,99.48326,4.031435,29.46674,100.4019,100.3831,29.64893
1962-09,,,99.228,99.35105,3.943645,29.52673,100.1573,100.1035,29.75645
1962-10,,,99.053,99.20418,3.807531,29.58147,99.74943,99.63721,29.86429
1962-11,,,98.88177,99.06046,3.630223,29.63729,99.2156,99.02702,29.97245
1962-12,100.1727,,98.72649,98.93013,3.444563,29.69785,98.63605,98.36455,30.08094
1963-01,100.0431,,98.61441,98.83606,3.298329,29.77146,98.14295,97.80092,30.18977
1963-02,100.0107,,98.57483,98.80284,3.244857,29.86712,97.86656,97.48498,30.29893
1963-03,100.0479,,98.63662,98.8547,3.307938,29.99385,97.87782,97.49785,30.40843
1963-04,100.1132,,98.76368,98.96134,3.444319,30.14095,98.15377,97.81329,30.51826
1963-05,100.2309,,98.92367,99.09563,3.634637,30.29872,98.60661,98.3309,30.62838
1963-06,100.3878,,99.10046,99.244,3.88282,30.46226,99.12894,98.92796,30.73877
1963-07,100.4931,,99.27657,99.39182,4.17139,30.62622,99.62646,99.49666,30.8494
1963-08,100.5742,,99.44759,99.53535,4.487802,30.7892,100.0296,99.95751,30.96023
1963-09,100.632,,99.61581,99.67655,4.824203,30.95186,100.3077,100.2754,31.07123
1963-10,100.6774,,99.80211,99.83292,5.19841,31.12066,100.4698,100.4607,31.18237
1963-11,100.7906,,100.0418,100.0341,5.625164,31.30667,100.5521,100.5547,31.29361
1963-12,101.0367,,100.3439,100.2877,6.101197,31.51293,100.5939,100.6025,31.40491
1964-01,101.3145,,100.7017,100.5879,6.589755,31.73741,100.6189,100.6311,31.51626
1964-02,101.5402,,101.0446,100.8758,6.984414,31.95801,100.639,100.654,31.62762
1964-03,101.7213,,101.329,101.1145,7.207002,32.16078,100.658,100.6758,31.73896
1964-04,101.887,,101.5477,101.298,7.288451,32.3432,100.6775,100.698,31.85024
1964-05,101.9855,,101.6991,101.425,7.2623,32.50449,100.6984,100.7219,31.96145
1964-06,102.0314,,101.7708,101.4852,7.133652,32.64049,100.7231,100.7502,32.07256
1964-07,102.0857,,101.7594,101.4757,6.91819,32.74975,100.7576,100.7896,32.18353
1964-08,102.1713,,101.6917,101.4189,6.649216,32.84069,100.8095,100.8489,32.29435
1964-09,102.2183,,101.6063,101.3472,6.364566,32.92553,100.8855,100.9358,32.40499
1964-10,102.2133,,101.5337,101.2862,6.07402,33.01413,100.9877,101.0527,32.51545
1964-11,102.1911,,101.4939,101.2528,5.761641,33.11307,101.1152,101.1984,32.62568
1964-12,102.1608,,101.4736,101.2358,5.404741,33.21808,101.2635,101.3679,32.73569
1965-01,102.0894,,101.4406,101.2081,4.978501,33.31863,101.4226,101.5497,32.84546
1965-02,101.9711,,101.3533,101.1349,4.514235,33.40096,101.579,101.7285,32.95498
1965-03,101.82,,101.2125,101.0167,4.057496,33.46515,101.718,101.8875,33.06423
1965-04,101.6323,,101.0446,100.8758,3.641792,33.51976,101.8254,102.0101,33.17323
1965-05,101.4203,,100.8653,100.7252,3.283839,33.56994,101.8895,102.0834,33.28196
1965-06,101.2441,,100.6778,100.5679,2.998521,33.61678,101.9064,102.1028,33.39045
1965-07,101.1508,,100.5049,100.4227,2.811649,33.66782,101.8876,102.0813,33.4987
1965-08,101.0771,,100.3426,100.2865,2.692063,33.72187,101.8519,102.0405,33.60674
1965-09,100.9426,,100.1824,100.1521,2.592577,33.77608,101.8202,102.0043,33.71458
1965-10,100.7239,,100.0153,100.0118,2.473391,33.82743,101.8118,101.9947,33.82226
1965-11,100.5105,,99.86744,99.88774,2.341329,33.88484,101.8387,102.0254,33.92982
1965-12,100.3327,,99.7564,99.79455,2.227767,33.95438,101.8985,102.0937,34.0373
1966-01,100.2196,,99.66675,99.71931,2.149476,34.03094,101.9649,102.1696,34.14473
1966-02,100.1034,,99.54842,99.61999,2.09722,34.09751,102.002,102.212,34.25219
1966-03,99.93257,,99.35588,99.45838,2.024049,34.13839,101.9773,102.1838,34.35971
1966-04,99.70943,,99.06751,99.21635,1.881481,34.14596,101.8778,102.07,34.46737
1966-05,99.42673,,98.68687,98.89687,1.657175,34.12121,101.6978,101.8643,34.57523
1966-06,99.09483,,98.22636,98.51036,1.360243,34.06823,101.4331,101.5617,34.68338
1966-07,98.71147,,97.70898,98.07612,0.9913907,33.99482,101.0803,101.1584,34.7919
1966-08,98.24199,,97.16208,97.6171,0.5823191,33.91042,100.6382,100.6532,34.90088
1966-09,97.61225,,96.62203,97.16383,0.178826,33.82777,100.1163,100.0566,35.01041
1966-10,96.9824,,96.13326,96.75359,-0.1644386,33.76257,99.54816,99.40716,35.12059
1966-11,96.47739,,95.76463,96.4442,-0.402594,33.73933,98.97588,98.753,35.23152
1966-12,96.34795,,95.56856,96.27963,-0.4986684,33.77707,98.43804,98.13822,35.34329
1967-01,96.45917,,95.55435,96.2677,-0.4276038,33.87976,97.95872,97.59032,35.45601
1967-02,96.57584,,95.70506,96.3942,-0.1566969,34.04205,97.55658,97.13066,35.56976
1967-03,96.72018,,95.98606,96.63004,0.3254652,34.25226,97.2498,96.77999,35.68462
1967-04,96.93799,,96.36742,96.95013,1.01406,34.50021,97.05534,96.55772,35.80069
1967-05,97.19289,,96.82825,97.33691,1.891733,34.7788,96.98524,96.47759,35.91803
1967-06,97.50027,,97.3503,97.77507,2.938279,35.08184,97.0348,96.53423,36.03671
1967-07,97.94556,,97.90637,98.24179,4.098176,35.39978,97.16953,96.68822,36.15677
1967-08,98.41549,,98.46924,98.71422,5.312502,35.72293,97.3417,96.88503,36.27826
1967-09,98.89491,,99.00261,99.16188,6.502611,36.03815,97.50842,97.07561,36.40121
1967-10,99.34851,,99.47003,99.5542,7.578858,36.33208,97.64684,97.23383,36.52566
1967-11,99.67174,,99.85072,99.87371,8.438229,36.5969,97.74784,97.34928,36.65161
1967-12,99.82322,,100.1413,100.1176,9.012812,36.83104,97.81138,97.42191,36.77909
1968-01,99.97057,,100.3643,100.3047,9.31247,37.04253,97.84416,97.45938,36.90809
1968-02,100.2216,,100.5817,100.4872,9.42178,37.25406,97.85768,97.47483,37.03862
1968-03,100.5943,,100.8267,100.6928,9.41537,37.47794,97.86812,97.48676,37.17067
