country,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1973-06,,,,,,,99.13101,98.87118,36.72535
1973-07,,,,,,,99.40244,99.19274,36.83066
1973-08,,,,,,,99.73687,99.58896,36.93557
1973-09,,,,,,,100.0969,100.0155,37.04003
1973-10,,,,,,,100.4588,100.4443,37.14399
1973-11,,,,,,,100.8086,100.8587,37.24739
1973-12,,,,,,,101.1377,101.2486,37.3502
1974-01,,,,,,,101.4394,101.6061,37.45236
1974-02,,,,,,,101.707,101.923,37.55382
1974-03,,,,,,,101.9324,102.1901,37.65455
1974-04,,,,,,,102.1088,102.3991,37.75451
1974-05,,,,,,,102.2261,102.5381,37.85366
1974-06,102.2144,,,,,,102.2697,102.5897,37.952
1974-07,102.0893,,,,,,102.2243,102.5359,38.04949
1974-08,101.9771,,,,,,102.0782,102.3628,38.14613
1974-09,101.8977,,,,,,101.8338,102.0732,38.24193
1974-10,101.8604,,,,,,101.5255,101.7081,38.33688
1974-11,101.8124,,,,,,101.2017,101.3244,38.431
1974-12,101.6762,,,,,,100.9115,100.9806,38.52432
1975-01,101.3975,,101.1719,100.8171,,39.06941,100.6935,100.7224,38.61684
1975-02,101.0814,,101.2955,100.9031,,39.2101,100.5743,100.5812,38.70861
1975-03,100.8799,,101.4922,101.04,,39.37862,100.5615,100.5659,38.79964
1975-04,100.9165,,101.7421,101.2139,,39.56746,100.6297,100.6467,38.88997
1975-05,101.0959,,101.9972,101.3915,,39.75812,100.7421,100.7799,38.97961
1975-06,101.2962,,102.2215,101.5475,,39.93651,100.8658,100.9265,39.06861
1975-07,101.4176,,102.382,101.6593,,40.08972,100.9844,101.067,39.157
1975-08,101.4106,,102.4393,101.6992,,40.20213,101.0912,101.1935,39.24482
1975-09,101.1867,,102.3668,101.6487,,40.26302,101.1834,101.3028,39.3321
1975-10,100.6589,,102.1531,101.4999,,40.26762,101.2569,101.3898,39.4189
1975-11,99.99754,,101.8486,101.2881,,40.23557,101.303,101.4444,39.50526
1975-12,99.40793,,101.5398,101.0731,,40.20088,101.3062,101.4482,39.59124
1976-01,99.04163,,101.2505,100.8718,2.824823,40.17305,101.2443,101.3749,39.67691
1976-02,98.83562,,100.9367,100.6534,2.358218,40.13476,101.1021,101.2065,39.76231
1976-03,98.71557,,100.5533,100.3866,1.750695,40.06802,100.889,100.9539,39.84753
1976-04,98.63873,,100.0919,100.0655,1.015717,39.96935,100.6621,100.6852,39.93263
1976-05,98.55087,,99.55784,99.69376,0.2078575,39.84076,100.4875,100.4782,40.01771
1976-06,98.39788,,99.0116,99.3136,-0.5760486,39.70646,100.4021,100.3771,40.10283
1976-07,98.14838,,98.50127,98.95843,-1.257034,39.58578,100.3732,100.3429,40.18809
1976-08,97.8815,,98.05887,98.65053,-1.766919,39.49179,100.3395,100.303,40.27356
1976-09,97.71011,,97.69588,98.39791,-2.070447,39.42939,100.2479,100.1945,40.35932
1976-10,97.72156,,97.39902,98.19131,-2.170805,39.39349,100.0905,100.0079,40.44546
1976-11,97.82279,,97.14635,98.01545,-2.137748,39.37543,99.88298,99.76206,40.53208
1976-12,97.89208,,96.92237,97.85957,-2.068948,39.36914,99.64832,99.48405,40.61926
1977-01,97.84081,,96.71942,97.71832,-1.994855,39.37165,99.40357,99.19409,40.70708
1977-02,97.70737,,96.55394,97.60316,-1.856115,39.38981,99.15946,98.90488,40.79565
1977-03,97.54525,,96.44916,97.53024,-1.584137,39.43329,98.92063,98.62193,40.88505
1977-04,97.39346,,96.41078,97.50352,-1.162596,39.50467,98.68583,98.34374,40.97536
1977-05,97.27544,,96.44079,97.52441,-0.5917255,39.60501,98.45392,98.06898,41.06667
1977-06,97.2205,,96.52725,97.58459,0.05851374,39.72969,98.22943,97.80303,41.15904
1977-07,97.25121,,96.653,97.6721,0.7226168,39.87183,98.02779,97.56414,41.25256
1977-08,97.30797,,96.8071,97.77935,1.355489,40.0271,97.87033,97.37759,41.34727
1977-09,97.31612,,96.98004,97.89971,1.933333,40.19169,97.77779,97.26794,41.44326
1977-10,97.22706,,97.17083,98.03249,2.46698,40.36531,97.76057,97.24756,41.54057
1977-11,97.10793,,97.38393,98.1808,2.982789,40.54992,97.82204,97.32037,41.63923
1977-12,97.0676,,97.61491,98.34155,3.491617,40.74377,97.95588,97.47894,41.73928
1978-01,97.21264,,97.84395,98.50095,3.980001,40.93865,98.13774,97.6944,41.84076
1978-02,97.52462,,97.95419,98.57768,4.305071,41.08557,98.33343,97.92624,41.94366
1978-03,98.00861,,98.04826,98.64315,4.549568,41.22733,98.50342,98.12764,42.048
1978-04,98.6748,,98.13702,98.70493,4.717935,41.36847,98.60636,98.2496,42.15379
1978-05,99.34809,,98.19231,98.74341,4.777295,41.49706,98.61044,98.25443,42.26101
1978-06,99.78479,,98.20942,98.75531,4.735277,41.611,98.5094,98.13472,42.36966
1978-07,99.78225,,98.21528,98.75938,4.639268,41.72159,98.34483,97.93976,42.47974
1978-08,99.52509,,98.23569,98.77359,4.528615,41.83977,98.17636,97.74015,42.59121
1978-09,99.22883,,98.25612,98.78781,4.398092,41.95936,98.05631,97.59793,42.70407
1978-10,99.0383,,98.28271,98.80632,4.255254,42.08296,98.00514,97.5373,42.81828
1978-11,98.96503,,98.31898,98.83157,4.099008,42.21206,98.02259,97.55798,42.93378
1978-12,99.01258,,98.37125,98.86794,3.940731,42.34937,98.09354,97.64204,43.05055
1979-01,99.18448,,98.43739,98.91397,3.799116,42.49395,98.18847,97.7545,43.16851
1979-02,99.37152,,98.51764,98.96982,3.797794,42.64592,98.2766,97.85892,43.28759
1979-03,99.44081,,98.62092,99.04169,3.836688,42.8091,98.33711,97.9306,43.40773
1979-04,99.30966,,98.75437,99.13457,3.911535,42.98661,98.37066,97.97034,43.52882
1979-05,99.1373,,98.93871,99.26287,4.073714,43.18753,98.39142,97.99495,43.65079
1979-06,99.16242,,99.20238,99.44637,4.357969,43.4244,98.42091,98.02989,43.77354
1979-07,99.58195,,99.55598,99.69247,4.746847,43.70205,98.48259,98.10296,43.89697
1979-08,100.2323,,99.9987,100.0006,5.211776,44.02037,98.59786,98.23952,44.02094
1979-09,100.9204,,100.5165,100.3609,5.753171,44.37336,98.77974,98.455,44.14536
1979-10,101.5229,,101.0893,100.7596,6.343075,44.75232,99.02246,98.74257,44.27008
1979-11,102.0493,,101.6778,101.1692,6.935894,45.13985,99.31209,99.0857,44.39497
1979-12,102.5282,,102.2485,101.5663,7.488981,45.5209,99.6325,99.46531,44.51988
1980-01,102.9701,,102.7709,101.9299,7.97241,45.88175,99.96796,99.86275,44.64468
1980-02,103.3783,,103.2253,102.2462,8.364796,46.21316,100.3043,100.2612,44.7692
1980-03,103.7307,,103.6241,102.5237,8.669088,46.52026,100.6287,100.6455,44.8933
1980-04,103.9957,,104.0041,102.7882,8.916086,46.81934,100.9298,101.0022,45.01682
1980-05,104.2039,,104.3941,103.0596,9.112659,47.12307,101.1958,101.3174,45.13961
1980-06,104.3792,,104.8168,103.3538,9.251189,47.44167,101.4145,101.5766,45.26151
1980-07,104.5254,,105.254,103.6581,9.300961,47.76676,101.5761,101.768,45.38239
1980-08,104.6479,,105.65,103.9336,9.206125,48.07294,101.6755,101.8858,45.50209
1980-09,104.7366,,105.9266,104.1262,8.90365,48.3242,101.7196,101.938,45.62048
1980-10,104.7752,,106.0184,104.1901,8.352133,48.49009,101.7385,101.9604,45.73742
1980-11,104.782,,105.9095,104.1143,7.582257,48.56247,101.7709,101.9987,45.85279
1980-12,104.7718,,105.6367,103.9244,6.670654,48.55745,101.8515,102.0942,45.96646
1981-01,104.7489,,105.2871,103.6811,5.73821,48.51454,101.9979,102.2677,46.07833
1981-02,104.7174,,104.9083,103.4175,4.851842,48.45535,102.2151,102.525,46.18828
1981-03,104.6716,,104.5515,103.1692,4.047987,48.40339,102.4951,102.8567,46.29621
1981-04,104.5945,,104.2086,102.9305,3.279724,48.35489,102.8118,103.232,46.40202
1981-05,104.4716,,103.8596,102.6876,2.498761,48.30056,103.1316,103.6108,46.50563
1981-06,104.2693,,103.4932,102.4327,1.672323,48.23505,103.4204,103.953,46.60695
1981-07,103.9607,,103.1424,102.1885,0.851705,48.1736,103.6523,104.2278,46.70592
1981-08,103.6295,,102.8199,101.9641,0.1027124,48.12231,103.8058,104.4096,46.80251
1981-09,103.3877,,102.5086,101.7473,-0.5196587,48.07308,103.8638,104.4783,46.89665
1981-10,103.3147,,102.1565,101.5024,-1.007249,48.00167,103.8206,104.4272,46.98835
1981-11,103.3082,,101.7256,101.2024,-1.384807,47.88997,103.6782,104.2584,47.07759
1981-12,103.2222,,101.2133,100.8459,-1.690369,47.73664,103.4498,103.9878,47.1644
1982-01,102.9385,,100.6332,100.4422,-1.992318,47.54797,103.1552,103.6388,47.24879
1982-02,102.5185,,100.0127,100.0104,-2.30831,47.33685,102.8218,103.2439,47.33081
