country,LUX,LUX
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1983-01,96.88235,
1983-02,97.58182,
1983-03,98.26749,
1983-04,98.54476,
1983-05,98.65417,
1983-06,98.77962,
1983-07,98.89793,
1983-08,99.06792,
1983-09,99.3531,
1983-10,99.85966,
1983-11,100.5347,
1983-12,101.0329,
1984-01,101.2459,
1984-02,100.9276,
1984-03,100.8925,
1984-04,101.3007,
1984-05,101.693,
1984-06,101.8686,
1984-07,101.8666,
1984-08,101.79,
1984-09,101.808,
1984-10,101.8177,
1984-11,101.8833,
1984-12,101.9771,
1985-01,101.7489,
1985-02,101.4311,
1985-03,101.2708,
1985-04,101.2248,
1985-05,101.2321,
1985-06,101.3966,
1985-07,101.6941,
1985-08,102.0435,
1985-09,102.0598,
1985-10,101.7501,
1985-11,101.273,
1985-12,100.838,
1986-01,100.8831,
1986-02,101.0418,
1986-03,101.2299,
1986-04,101.276,
1986-05,101.0312,
1986-06,100.4487,
1986-07,100.0888,
1986-08,99.88495,
1986-09,99.9136,
1986-10,99.98866,
1986-11,100.0309,
1986-12,99.74404,
1987-01,99.08292,
1987-02,98.31622,
1987-03,98.21452,
1987-04,98.70084,
1987-05,99.47509,
1987-06,99.83898,
1987-07,99.92601,
1987-08,99.97657,
1987-09,100.0766,
1987-10,100.2815,
1987-11,100.7272,
1987-12,101.289,
1988-01,101.4717,
1988-02,101.4781,
1988-03,101.604,
1988-04,101.845,
1988-05,102.02,
1988-06,102.1277,
1988-07,102.1216,
1988-08,102.0142,
1988-09,101.9205,
1988-10,101.891,
1988-11,101.8444,
1988-12,101.8205,
1989-01,101.8527,
1989-02,102.0045,
1989-03,102.3246,
1989-04,102.5958,
1989-05,102.5001,
1989-06,102.0077,
1989-07,101.1609,
1989-08,100.3928,
1989-09,99.95435,
1989-10,99.96109,
1989-11,100.1714,
1989-12,100.3657,
1990-01,100.6468,
1990-02,101.0836,
1990-03,101.5042,
1990-04,101.7076,
1990-05,101.5895,
1990-06,101.3755,
1990-07,101.1663,
1990-08,101.0522,
1990-09,100.986,
1990-10,101.0837,
1990-11,101.2305,
1990-12,101.2072,
1991-01,100.9662,
1991-02,100.5679,
1991-03,99.82429,
1991-04,98.75928,
1991-05,98.05367,
1991-06,97.75739,
1991-07,97.57178,
1991-08,97.4945,
1991-09,97.40759,
1991-10,97.42859,
1991-11,97.58671,
1991-12,97.68972,
1992-01,97.66384,
1992-02,97.69963,
1992-03,97.80489,
1992-04,97.85594,
1992-05,97.86591,
1992-06,98.15767,
1992-07,98.48255,
1992-08,98.74927,
1992-09,98.87341,
1992-10,98.82186,
1992-11,98.4016,
1992-12,97.70953,
1993-01,97.47809,
1993-02,97.72574,
1993-03,98.33698,
1993-04,98.72752,
1993-05,98.8016,
1993-06,98.67348,
1993-07,98.40665,
1993-08,98.04229,
1993-09,97.9035,
1993-10,98.02601,
1993-11,98.25963,
1993-12,98.54409,
1994-01,98.86212,
1994-02,99.30362,
1994-03,99.72264,
1994-04,100.0055,
1994-05,100.2245,
1994-06,100.3299,
1994-07,100.4664,
1994-08,100.6934,
1994-09,101.1473,
1994-10,101.7149,
1994-11,102.2018,
1994-12,102.599,
1995-01,103.1189,
1995-02,103.5491,
1995-03,103.9401,
1995-04,104.2869,
1995-05,104.0884,
1995-06,103.4941,
1995-07,102.7311,
1995-08,101.765,
1995-09,101.0746,
1995-10,100.5896,
1995-11,100.1813,
1995-12,99.41372,
1996-01,98.94721,
1996-02,98.91625,
1996-03,98.89787,
1996-04,98.68953,
1996-05,98.57655,
1996-06,98.42003,
1996-07,98.54159,
1996-08,98.78452,
1996-09,99.00213,
1996-10,99.35011,
1996-11,99.74528,
1996-12,100.1649,
1997-01,100.5131,
1997-02,100.8606,
1997-03,101.1718,
1997-04,101.4296,
1997-05,101.5863,
1997-06,101.791,
1997-07,102.1085,
1997-08,102.5758,
1997-09,103.0841,
1997-10,103.3845,
1997-11,103.5006,
1997-12,103.3286,
1998-01,103.0694,
1998-02,102.9889,
1998-03,103.0309,
1998-04,103.071,
1998-05,102.9624,
1998-06,102.7693,
1998-07,102.3652,
1998-08,101.8005,
1998-09,101.1709,
1998-10,100.6967,
1998-11,100.3568,
1998-12,99.86478,
1999-01,99.24506,
1999-02,98.87713,
1999-03,98.95746,
1999-04,99.24493,
1999-05,99.65282,
1999-06,99.94878,
1999-07,100.1687,
1999-08,100.4824,
1999-09,100.9365,
1999-10,101.7134,
1999-11,102.4279,
1999-12,102.7325,
2000-01,102.5488,
2000-02,102.4102,
2000-03,102.5375,
2000-04,102.8659,
2000-05,102.6436,
2000-06,102.2692,
2000-07,102.1079,
2000-08,101.9442,
2000-09,101.8404,
2000-10,101.7031,
2000-11,101.5359,
2000-12,101.3653,
2001-01,101.1468,
2001-02,100.6363,
2001-03,99.80762,
2001-04,98.75375,
2001-05,98.10404,
2001-06,97.80032,
2001-07,97.68423,
2001-08,97.81345,
2001-09,98.07982,
2001-10,97.98052,
2001-11,97.74599,
2001-12,97.38104,
2002-01,96.92434,103.6916
2002-02,96.51453,103.388
2002-03,96.46107,103.0068
2002-04,96.75777,102.7275
2002-05,97.27308,102.6174
2002-06,97.97636,102.7238
2002-07,98.68391,102.6203
2002-08,98.96569,102.3019
2002-09,99.05609,101.9129
2002-10,99.22359,101.44
2002-11,99.33177,101.0697
2002-12,99.33167,100.8486
2003-01,99.17838,100.5843
2003-02,98.89349,100.4732
2003-03,98.66854,100.5831
2003-04,98.41544,100.8699
2003-05,98.26531,100.9747
2003-06,98.26138,101.0309
2003-07,98.47179,101.1842
2003-08,98.86897,101.318
2003-09,99.40565,101.4624
2003-10,99.61761,101.2541
2003-11,99.668,101.0741
2003-12,99.62495,101.1927
2004-01,99.54816,101.4182
2004-02,99.76847,101.4785
2004-03,100.255,101.3269
2004-04,101.0299,101.1761
2004-05,102.1048,101.2429
2004-06,102.868,101.43
2004-07,103.0882,101.6034
2004-08,102.9609,101.655
2004-09,102.4148,101.6426
2004-10,101.4258,101.6437
2004-11,100.2396,101.7373
2004-12,99.65093,101.8463
2005-01,99.7625,101.8625
2005-02,99.97609,101.6942
2005-03,99.91413,101.5315
2005-04,99.49253,101.1699
2005-05,99.26891,100.7676
2005-06,99.42014,100.4562
2005-07,99.61749,100.6185
2005-08,99.89608,100.5416
2005-09,100.3331,99.97542
2005-10,100.6324,99.74089
2005-11,100.8199,99.88811
2005-12,100.9821,100.0874
2006-01,101.1283,100.3262
2006-02,101.0405,100.2097
2006-03,100.9367,99.94158
2006-04,100.8866,99.50226
2006-05,100.7653,99.29225
2006-06,100.7027,99.60217
2006-07,100.8679,99.91576
2006-08,101.1712,100.32
2006-09,101.3604,100.6599
2006-10,101.6507,100.7594
2006-11,101.9757,100.8639
2006-12,102.2321,100.8833
2007-01,102.4281,100.976
2007-02,102.6135,101.0291
2007-03,102.2729,101.1595
2007-04,101.9204,101.3487
2007-05,101.8223,101.7496
2007-06,101.8635,101.8096
2007-07,101.8948,101.7146
2007-08,101.8538,101.5472
2007-09,101.8454,101.2257
2007-10,101.7721,100.8901
2007-11,101.8773,100.3164
2007-12,101.9228,100.1911
2008-01,101.7807,100.2451
2008-02,101.4872,100.0362
2008-03,101.2976,99.4264
2008-04,101.2082,98.66553
2008-05,101.0213,97.96947
2008-06,100.5339,97.43655
2008-07,100.0612,97.33701
2008-08,99.64162,97.42644
2008-09,98.92417,97.23291
2008-10,97.70039,96.65549
2008-11,96.36024,96.28294
2008-12,95.647,96.2198
2009-01,95.43295,96.64669
2009-02,95.25836,97.00783
2009-03,95.18047,97.14767
2009-04,95.35046,97.32503
2009-05,95.73038,97.69802
2009-06,96.25932,98.24051
2009-07,96.98376,98.96323
2009-08,97.7777,99.52769
2009-09,98.47712,99.93067
2009-10,99.08195,99.84595
2009-11,99.1189,99.75358
2009-12,99.09062,99.74254
2010-01,99.09435,99.88448
2010-02,99.68422,100.0259
2010-03,100.2616,99.92781
2010-04,100.5768,99.31146
2010-05,100.1637,99.05141
2010-06,99.20776,99.35255
2010-07,98.36108,99.94756
2010-08,97.70684,100.5151
2010-09,97.6806,100.4912
2010-10,98.3303,100.2531
2010-11,99.15573,100.08
2010-12,100.0025,99.8905
2011-01,100.772,100.0412
2011-02,101.483,100.2029
2011-03,101.3907,100.1482
2011-04,100.8393,99.87079
2011-05,100.0981,99.89089
2011-06,99.93683,100.0937
2011-07,100.1265,100.3976
2011-08,100.41,100.2069
2011-09,100.2373,99.48461
2011-10,99.8765,98.62969
2011-11,99.40383,97.9489
2011-12,99.20141,97.82364
2012-01,99.19751,98.13987
2012-02,99.09386,98.38213
2012-03,98.73056,98.63068
2012-04,97.81631,98.66256
2012-05,97.12572,98.73502
2012-06,97.21017,98.89686
2012-07,97.39537,98.82224
2012-08,97.53936,98.43063
2012-09,97.47382,97.89877
2012-10,97.04678,97.17683
2012-11,96.6862,96.80162
2012-12,96.38285,96.86735
2013-01,96.3373,97.24448
2013-02,96.35446,97.76421
2013-03,96.32491,97.9976
2013-04,96.44415,98.14318
2013-05,96.71942,98.26186
2013-06,97.01224,98.50661
2013-07,97.18639,98.65986
2013-08,97.38773,99.077
2013-09,97.6958,99.62627
2013-10,97.84772,99.83454
2013-11,97.87625,99.77646
2013-12,97.78362,99.49099
2014-01,97.81174,99.0082
2014-02,98.09908,98.69726
2014-03,98.22939,98.81109
2014-04,98.23896,99.01554
2014-05,98.11286,99.08862
2014-06,97.86253,99.12253
2014-07,97.72652,99.01283
2014-08,97.63661,98.79977
2014-09,97.60278,98.77798
2014-10,97.6786,98.7714
2014-11,97.83327,98.56159
2014-12,98.02515,98.48847
2015-01,98.18409,98.69071
2015-02,98.16884,99.11634
2015-03,98.04387,99.50808
2015-04,97.95768,99.88462
2015-05,98.00634,100.0238
2015-06,98.0707,99.86784
2015-07,98.16611,99.85323
2015-08,98.32825,99.90964
2015-09,98.44301,100.0061
2015-10,98.42048,100.001
2015-11,98.39142,100.1395
2015-12,98.35631,100.4018
2016-01,98.52563,100.6466
2016-02,99.03133,100.7864
2016-03,99.85704,100.8552
2016-04,100.5689,100.7125
2016-05,100.6228,101.0691
2016-06,100.3454,101.3469
2016-07,99.7845,101.4798
2016-08,99.59707,101.48
2016-09,99.63026,101.4611
2016-10,99.81867,101.5441
2016-11,100.0888,101.6576
2016-12,100.5068,101.642
2017-01,101.0582,101.9184
2017-02,101.2297,102.0966
2017-03,101.3378,102.3249
2017-04,101.3983,102.3302
2017-05,101.3549,102.4715
2017-06,101.3919,102.5468
2017-07,101.442,102.4019
2017-08,101.4986,102.3557
2017-09,101.3035,102.4382
2017-10,101.1497,102.4992
2017-11,101.0306,102.6259
2017-12,101.0304,102.707
2018-01,101.0078,102.8686
2018-02,100.9441,102.5804
2018-03,100.9293,102.0883
2018-04,101.0133,101.7654
2018-05,101.047,101.759
2018-06,100.9965,101.8757
2018-07,100.7972,102.0888
2018-08,100.5914,102.0457
2018-09,100.6161,102.0122
2018-10,100.7364,102.0712
2018-11,100.695,102.2813
2018-12,100.49,102.3675
2019-01,100.4282,102.5431
2019-02,100.2102,102.6106
2019-03,100.0127,102.7241
2019-04,99.78564,102.6338
2019-05,99.61115,102.542
2019-06,99.51997,102.3178
2019-07,99.36721,102.1202
2019-08,99.16,101.8725
2019-09,98.8119,101.5528
2019-10,98.76092,101.4424
2019-11,98.89845,101.6321
2019-12,99.06845,101.695
2020-01,98.99211,101.4033
2020-02,98.73276,100.5409
2020-03,98.01283,98.9131
2020-04,97.08319,97.3344
2020-05,97.43063,97.37995
2020-06,98.28827,98.08589
2020-07,99.27571,98.34298
2020-08,99.84025,98.3484
2020-09,99.90015,98.6607
2020-10,100.1391,98.84965
2020-11,100.166,98.87268
2020-12,100.4923,99.19859
2021-01,100.7866,99.65877
2021-02,100.7811,100.0281
2021-03,101.0229,100.6282
2021-04,101.7591,101.3949
2021-05,102.8568,102.06
2021-06,103.5653,102.3856
2021-07,103.7705,102.124
2021-08,103.573,101.9122
2021-09,102.909,101.5938
2021-10,102.469,101.1511
2021-11,102.3709,100.6161
2021-12,102.587,100.1695
2022-01,102.8304,99.58157
2022-02,102.6134,98.47044
2022-03,102.0366,96.73421
2022-04,101.7076,95.84951
2022-05,101.4626,95.54181
2022-06,101.1937,95.23297
2022-07,100.77,94.81805
2022-08,100.5557,94.19234
2022-09,100.4018,93.76009
2022-10,100.0228,94.05958
2022-11,99.73512,94.94441
2022-12,99.75366,96.00338
2023-01,99.94376,96.95768
2023-02,100.0766,97.41506
2023-03,99.90078,97.57288
2023-04,99.15833,97.44797
2023-05,98.15937,97.62577
2023-06,97.27954,97.79036
2023-07,97.32406,97.64112
2023-08,98.19172,97.63507
2023-09,99.11671,97.44743
