country,HUN,HUN
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1993-02,,97.34869
1993-03,,97.64897
1993-04,,97.93472
1993-05,,98.03679
1993-06,,97.96167
1993-07,,97.70325
1993-08,,97.60126
1993-09,,97.651
1993-10,,97.79014
1993-11,,98.12003
1993-12,,98.53248
1994-01,,98.93432
1994-02,,99.38937
1994-03,,99.9754
1994-04,,100.4399
1994-05,,100.6614
1994-06,,100.4066
1994-07,,99.95937
1994-08,,99.20473
1994-09,,98.58139
1994-10,,98.12366
1994-11,,97.72755
1994-12,,97.39903
1995-01,,97.0464
1995-02,,96.72252
1995-03,,96.28751
1995-04,,96.10228
1995-05,,96.10813
1995-06,,96.09833
1995-07,,96.14342
1995-08,,96.20684
1995-09,,96.33382
1995-10,,96.37859
1995-11,,96.45642
1995-12,,96.62788
1996-01,100.2362,96.77167
1996-02,100.1865,96.94294
1996-03,99.92346,97.1433
1996-04,99.60905,97.29738
1996-05,99.67619,97.29891
1996-06,99.72139,97.23858
1996-07,99.56512,97.36553
1996-08,99.37826,97.51937
1996-09,99.56866,97.60688
1996-10,100.2572,97.70694
1996-11,100.7198,97.79824
1996-12,100.7576,97.75773
1997-01,100.7494,97.71294
1997-02,100.7313,97.78673
1997-03,100.4292,97.99428
1997-04,100.1354,98.29247
1997-05,100.6178,98.59412
1997-06,101.2572,98.82713
1997-07,101.7461,99.07639
1997-08,102.0868,99.4
1997-09,102.3478,99.72793
1997-10,102.4698,99.8464
1997-11,102.446,99.93242
1997-12,102.4209,100.0534
1998-01,102.2727,100.3768
1998-02,102.1531,100.7166
1998-03,101.9985,100.9241
1998-04,101.8943,100.9924
1998-05,101.6173,101.1686
1998-06,101.3029,101.5776
1998-07,100.9137,101.9229
1998-08,100.4559,101.977
1998-09,99.95126,101.7534
1998-10,99.38098,101.4157
1998-11,98.87109,101.0083
1998-12,98.67463,100.6587
1999-01,98.82367,100.5779
1999-02,98.68842,100.5604
1999-03,98.44595,100.3481
1999-04,97.84285,100.0051
1999-05,97.4426,99.79734
1999-06,97.70902,99.68574
1999-07,98.32795,99.64439
1999-08,98.97036,99.85866
1999-09,99.5558,100.2613
1999-10,100.0267,100.5154
1999-11,100.3268,100.5479
1999-12,100.4692,100.2836
2000-01,100.5553,100.1915
2000-02,100.6319,100.0581
2000-03,100.5567,99.85612
2000-04,100.8281,99.71716
2000-05,101.0921,99.78923
2000-06,101.0471,99.8456
2000-07,100.8664,99.84119
2000-08,100.753,99.85622
2000-09,100.8506,99.84184
2000-10,101.1607,99.90079
2000-11,101.3965,100.0432
2000-12,101.2852,100.2997
2001-01,101.0184,100.5182
2001-02,100.8736,100.6241
2001-03,100.6962,100.599
2001-04,100.1916,100.5848
2001-05,99.51941,100.6374
2001-06,98.9889,100.7284
2001-07,98.62832,100.8776
2001-08,98.39676,101.0125
2001-09,98.12798,101.1642
2001-10,97.78652,101.3942
2001-11,97.58939,101.6055
2001-12,97.75926,101.7689
2002-01,98.01075,101.9946
2002-02,98.18946,102.2703
2002-03,98.29008,102.6056
2002-04,98.5473,102.8419
2002-05,99.11465,103.0323
2002-06,99.34147,103.2663
2002-07,99.38717,103.5047
2002-08,99.52863,103.6655
2002-09,99.5508,103.6321
2002-10,99.51208,103.5115
2002-11,99.33004,103.2361
2002-12,98.99171,102.9313
2003-01,98.68658,102.6114
2003-02,98.48309,102.2503
2003-03,98.26617,102.0398
2003-04,98.30831,101.913
2003-05,98.45703,101.7425
2003-06,98.60748,101.4918
2003-07,98.8724,101.2009
2003-08,98.89236,100.8059
2003-09,98.94355,100.6885
2003-10,99.50108,100.7404
2003-11,100.2074,100.7273
2003-12,100.2704,100.5321
2004-01,99.93938,100.2179
2004-02,99.75479,100.0013
2004-03,99.89943,100.0488
2004-04,100.0396,100.3736
2004-05,99.74441,100.7503
2004-06,99.54639,100.9825
2004-07,99.25153,101.0551
2004-08,99.24017,101.026
2004-09,99.14417,101.0885
2004-10,98.83865,101.1323
2004-11,98.51358,101.1369
2004-12,98.39093,101.091
2005-01,97.94677,101.0741
2005-02,97.35754,100.9819
2005-03,96.98827,100.8388
2005-04,96.80518,100.5949
2005-05,96.8186,100.4409
2005-06,97.24146,100.5106
2005-07,97.7896,100.7756
2005-08,98.45989,100.9759
2005-09,99.20282,101.1433
2005-10,99.61978,101.3395
2005-11,99.73991,101.6369
2005-12,99.75014,101.9957
2006-01,99.63007,102.3367
2006-02,99.77887,102.5884
2006-03,100.1551,102.5689
2006-04,100.3727,102.0902
2006-05,100.1832,100.9419
2006-06,99.9194,99.59078
2006-07,99.90078,98.65392
2006-08,100.0844,98.17978
2006-09,100.5247,97.95667
2006-10,100.8471,97.97459
2006-11,100.8363,97.946
2006-12,100.6787,97.84239
2007-01,100.6048,97.78735
2007-02,100.557,97.88905
2007-03,100.5819,98.06126
2007-04,100.6329,98.15571
2007-05,100.7908,98.17183
2007-06,100.8447,98.17462
2007-07,100.6734,98.14304
2007-08,100.437,98.01643
2007-09,100.135,97.84937
2007-10,100.0883,97.81499
2007-11,100.3336,97.99021
2007-12,100.107,98.30374
2008-01,99.55894,98.39789
2008-02,99.22156,98.27608
2008-03,99.13477,98.03619
2008-04,99.13468,97.79526
2008-05,99.28356,97.78144
2008-06,99.23263,98.04523
2008-07,99.10263,98.27606
2008-08,98.7014,98.22857
2008-09,97.9235,97.99688
2008-10,96.63666,97.58157
2008-11,95.06753,97.24462
2008-12,93.66686,96.93898
2009-01,92.64413,96.57161
2009-02,92.19167,96.28449
2009-03,92.33087,96.09505
2009-04,93.21753,96.06006
2009-05,94.56146,96.16938
2009-06,95.69581,96.38094
2009-07,96.70872,96.65928
2009-08,97.33358,96.98574
2009-09,97.57834,97.35124
2009-10,97.63993,97.70084
2009-11,97.65948,97.87627
2009-12,97.93037,98.00561
2010-01,98.11884,98.1184
2010-02,98.26762,98.33665
2010-03,98.68113,98.72511
2010-04,98.99219,99.23309
2010-05,99.56248,99.77437
2010-06,99.92131,100.1749
2010-07,100.3524,100.3711
2010-08,100.7262,100.5632
2010-09,100.7795,100.6625
2010-10,100.7467,100.7144
2010-11,100.9389,100.677
2010-12,101.1148,100.4668
2011-01,101.1219,100.0827
2011-02,101.1129,99.6071
2011-03,101.1216,99.1088
2011-04,101.1702,98.84804
2011-05,100.8685,98.7643
2011-06,100.517,98.73706
2011-07,100.0853,98.75582
2011-08,99.71054,98.79948
2011-09,99.32008,98.58345
2011-10,98.76141,98.24297
2011-11,98.38849,97.90839
2011-12,98.32146,97.57755
2012-01,98.50084,97.3763
2012-02,99.07317,97.47053
2012-03,99.67245,97.5774
2012-04,99.73021,97.61038
2012-05,99.27335,97.52309
2012-06,98.91544,97.59666
2012-07,98.81838,97.73849
2012-08,98.68261,97.83994
2012-09,98.60403,97.81925
2012-10,98.62154,97.70498
2012-11,98.55041,97.7059
2012-12,98.52864,97.91875
2013-01,98.45072,98.31493
2013-02,98.16102,98.68787
2013-03,97.89935,98.97142
2013-04,97.87985,99.2243
2013-05,98.6262,99.50666
2013-06,99.34879,99.67651
2013-07,99.74765,99.83429
2013-08,100.0987,100.0668
2013-09,100.4627,100.3263
2013-10,100.7018,100.5925
2013-11,101.0474,100.9084
2013-12,101.3947,101.1514
2014-01,101.4966,101.37
2014-02,101.7197,101.5044
2014-03,101.9126,101.7095
2014-04,101.9672,101.8019
2014-05,101.6507,101.7938
2014-06,101.0895,101.7764
2014-07,100.6945,101.8043
2014-08,100.7897,101.864
2014-09,101.2485,101.9812
2014-10,101.7651,101.9768
2014-11,101.8868,101.8048
2014-12,101.6491,101.5577
2015-01,101.4048,101.4281
2015-02,101.5228,101.4018
2015-03,101.8235,101.3752
2015-04,101.8769,101.4029
2015-05,101.7076,101.3922
2015-06,101.7412,101.3463
2015-07,101.8212,101.4608
2015-08,102.0338,101.6405
2015-09,102.2842,101.8032
2015-10,102.2809,102.0947
2015-11,102.0931,102.2455
2015-12,101.7875,102.1661
2016-01,101.517,101.9936
2016-02,101.3856,101.7644
2016-03,101.425,101.5868
2016-04,101.3822,101.6361
2016-05,101.5384,101.8146
2016-06,101.7715,101.9859
2016-07,101.8406,102.1039
2016-08,101.5701,102.1163
2016-09,101.4175,102.1539
2016-10,101.3716,102.2104
2016-11,101.4724,102.3387
2016-12,101.5387,102.4472
2017-01,101.4347,102.5157
2017-02,101.347,102.4503
2017-03,101.4476,102.3601
2017-04,101.7115,102.1911
2017-05,101.9392,102.1245
2017-06,102.3013,102.1415
2017-07,102.5962,102.2019
2017-08,102.7214,102.3121
2017-09,103.0158,102.4287
2017-10,103.0561,102.6188
2017-11,103.0293,102.8573
2017-12,103.0303,103.1082
2018-01,103.0642,103.2456
2018-02,103.2417,103.2717
2018-03,103.3527,103.2775
2018-04,103.4733,103.195
2018-05,103.8545,103.0258
2018-06,104.1406,102.8616
2018-07,104.0165,102.6962
2018-08,103.4126,102.5404
2018-09,103.0941,102.5013
2018-10,103.3287,102.5313
2018-11,103.6904,102.566
2018-12,103.9032,102.5925
2019-01,103.6268,102.6028
2019-02,103.224,102.5668
2019-03,102.6892,102.4961
2019-04,102.0263,102.4433
2019-05,101.7104,102.4368
2019-06,101.4633,102.4723
2019-07,101.2306,102.5559
2019-08,100.9884,102.743
2019-09,100.8773,102.8574
2019-10,101.1999,102.7966
2019-11,101.4777,102.7631
2019-12,100.9865,102.7456
2020-01,100.2678,102.5282
2020-02,99.43858,102.0526
2020-03,97.758,101.1306
2020-04,95.41252,99.85757
2020-05,94.63276,99.43661
2020-06,95.37178,99.63152
2020-07,96.23192,100.0874
2020-08,96.74071,100.4682
2020-09,97.25059,100.6051
2020-10,97.81735,100.5463
2020-11,98.18045,100.482
2020-12,98.6915,100.4091
2021-01,98.99516,100.3675
2021-02,99.06235,100.3781
2021-03,99.35234,100.4837
2021-04,99.93663,100.6408
2021-05,100.7482,100.9826
2021-06,101.5121,101.3668
2021-07,102.1347,101.4402
2021-08,102.3811,101.3266
2021-09,102.5273,101.2454
2021-10,102.991,101.2675
2021-11,103.2541,101.2367
2021-12,102.9919,101.4007
2022-01,102.4972,101.4925
2022-02,101.6914,101.2943
2022-03,100.9876,100.6681
2022-04,100.6991,100.0255
2022-05,100.7378,99.38867
2022-06,100.8052,98.74993
2022-07,100.5251,98.16628
2022-08,100.0623,97.63428
2022-09,99.54517,97.30409
2022-10,98.98886,97.16125
2022-11,98.76359,97.23371
2022-12,98.94978,97.43896
2023-01,98.97513,97.73334
2023-02,98.85006,98.12855
2023-03,98.94624,98.50822
2023-04,98.9697,98.67619
2023-05,99.04109,98.67921
2023-06,98.86343,98.74979
2023-07,98.82726,98.78573
