country,ZAF,ZAF
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,18.48279
1960-Q2,,18.7842
1960-Q3,,19.13031
1960-Q4,,19.31914
1961-Q1,5.283162,19.45927
1961-Q2,3.141132,19.37423
1961-Q3,3.537146,19.80698
1961-Q4,3.457112,19.98703
1962-Q1,5.368853,20.50401
1962-Q2,6.509247,20.63535
1962-Q3,6.215872,21.03816
1962-Q4,6.60729,21.30763
1963-Q1,5.293912,21.58947
1963-Q2,7.390212,22.16035
1963-Q3,8.114004,22.74519
1963-Q4,8.627786,23.146
1964-Q1,9.217818,23.57955
1964-Q2,8.330023,24.00631
1964-Q3,6.53619,24.23186
1964-Q4,7.75281,24.94047
1965-Q1,7.806655,25.42032
1965-Q2,6.914559,25.66624
1965-Q3,5.584937,25.5852
1965-Q4,4.291391,26.01076
1966-Q1,3.75966,26.37604
1966-Q2,3.88385,26.66308
1966-Q3,5.748258,27.0559
1966-Q4,4.360363,27.14493
1967-Q1,6.656582,28.13178
1967-Q2,5.676076,28.17649
1967-Q3,9.378366,29.5933
1967-Q4,7.040123,29.05596
1968-Q1,4.980981,29.53302
1968-Q2,5.279119,29.66396
1968-Q3,1.320679,29.98413
1968-Q4,5.145436,30.55102
1969-Q1,4.190434,30.77058
1969-Q2,3.643047,30.74463
1969-Q3,7.21894,32.14867
1969-Q4,3.809053,31.71472
1970-Q1,5.28685,32.39738
1970-Q2,7.525999,33.05848
1970-Q3,1.642861,32.67683
1970-Q4,6.658863,33.82656
1971-Q1,5.957884,34.32758
1971-Q2,2.992433,34.04773
1971-Q3,5.552637,34.49125
1971-Q4,2.697886,34.73916
1972-Q1,0.6024105,34.53437
1972-Q2,2.490415,34.89566
1972-Q3,1.23498,34.91721
1972-Q4,2.29261,35.5356
1973-Q1,4.22629,35.99389
1973-Q2,2.688449,35.83381
1973-Q3,5.593101,36.87017
1973-Q4,5.754146,37.58037
1974-Q1,6.358559,38.28259
1974-Q2,8.302041,38.80875
1974-Q3,6.449967,39.24828
1974-Q4,3.452454,38.87781
1975-Q1,1.148133,38.72212
1975-Q2,1.496719,39.38961
1975-Q3,1.163622,39.70498
1975-Q4,2.969627,40.03234
1976-Q1,4.74246,40.5585
1976-Q2,0.9131646,39.7493
1976-Q3,2.493509,40.69503
1976-Q4,0.9124596,40.39762
1977-Q1,-0.6141926,40.30939
1977-Q2,1.50649,40.34812
1977-Q3,-1.235059,40.19242
1977-Q4,0.002963558,40.39882
1978-Q1,1.869821,41.06311
1978-Q2,3.739029,41.85674
1978-Q3,3.020487,41.40643
1978-Q4,3.427018,41.78329
1979-Q1,3.534903,42.51465
1979-Q2,2.227985,42.78931
1979-Q3,4.111072,43.10868
1979-Q4,5.289308,43.99334
1980-Q1,5.603967,44.89716
1980-Q2,6.920809,45.75067
1980-Q3,7.945618,46.53393
1980-Q4,6.012704,46.63853
1981-Q1,5.168765,47.21778
1981-Q2,5.460639,48.24895
1981-Q3,5.194573,48.95117
1981-Q4,5.613476,49.25657
1982-Q1,3.351452,48.80027
1982-Q2,0.2986929,48.39307
1982-Q3,-1.165397,48.38069
1982-Q4,-3.854637,47.35791
