country,ISR,ISR
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1983-11,101.1671,
1983-12,100.7972,
1984-01,100.4226,
1984-02,100.0424,
1984-03,99.67294,
1984-04,99.3667,
1984-05,99.22192,
1984-06,99.329,
1984-07,99.55556,
1984-08,99.73611,
1984-09,99.74247,
1984-10,99.60004,
1984-11,99.33518,
1984-12,98.97145,
1985-01,98.64811,
1985-02,98.55463,
1985-03,98.82471,
1985-04,99.20037,
1985-05,99.32375,
1985-06,98.92305,
1985-07,98.25098,
1985-08,97.653,
1985-09,97.40699,
1985-10,97.48881,
1985-11,97.90452,
1985-12,98.69479,
1986-01,99.60545,
1986-02,100.334,
1986-03,100.6561,
1986-04,100.7333,
1986-05,100.7602,
1986-06,100.8548,
1986-07,101.0004,
1986-08,101.1387,
1986-09,101.2127,
1986-10,101.2163,
1986-11,101.131,
1986-12,100.9337,
1987-01,100.6925,
1987-02,100.489,
1987-03,100.3837,
1987-04,100.3444,
1987-05,100.333,
1987-06,100.3271,
1987-07,100.3125,
1987-08,100.2773,
1987-09,100.2139,
1987-10,100.1419,
1987-11,100.0849,
1987-12,100.0558,
1988-01,100.0273,
1988-02,99.95502,
1988-03,99.80064,
1988-04,99.59789,
1988-05,99.38335,
1988-06,99.17543,
1988-07,98.96521,
1988-08,98.73,
1988-09,98.44936,
1988-10,98.14594,
1988-11,97.857,
1988-12,97.62845,
1989-01,97.49461,
1989-02,97.52815,
1989-03,97.7952,
1989-04,98.1433,
1989-05,98.3828,
1989-06,98.38749,
1989-07,98.3036,
1989-08,98.34322,
1989-09,98.66625,
1989-10,99.13889,
1989-11,99.57925,
1989-12,99.85335,
1990-01,100.0034,
1990-02,100.0854,
1990-03,100.1308,
1990-04,100.1763,
1990-05,100.2549,
1990-06,100.3875,
1990-07,100.5408,
1990-08,100.6689,
1990-09,100.7344,
1990-10,100.7549,
1990-11,100.7395,
1990-12,100.6709,
1991-01,100.5238,
1991-02,100.2531,
1991-03,99.86102,
1991-04,99.58758,
1991-05,99.80861,
1991-06,100.8146,
1991-07,102.0951,
1991-08,102.9542,
1991-09,102.8511,
1991-10,102.162,
1991-11,101.3509,
1991-12,100.7263,
1992-01,100.3195,
1992-02,100.1449,
1992-03,100.2425,
1992-04,100.4875,
1992-05,100.771,
1992-06,101.0339,
1992-07,101.261,
1992-08,101.4376,
1992-09,101.5416,
1992-10,101.5852,
1992-11,101.5643,
1992-12,101.4674,
1993-01,101.349,
1993-02,101.2737,
1993-03,101.2802,
1993-04,101.3037,
1993-05,101.2518,
1993-06,101.0632,
1993-07,100.8429,
1993-08,100.749,
1993-09,100.9121,
1993-10,101.2277,
1993-11,101.5665,
1993-12,101.832,
1994-01,101.9952,
1994-02,102.0052,
1994-03,101.803,
1994-04,101.4872,
1994-05,101.1633,
1994-06,100.9055,
1994-07,100.727,
1994-08,100.6569,
1994-09,100.7383,
1994-10,100.917,
1994-11,101.1475,
1994-12,101.4011,
1995-01,101.6225,
1995-02,101.7367,
1995-03,101.688,
1995-04,101.5865,
1995-05,101.5792,
1995-06,101.775,
1995-07,102.0739,
1995-08,102.3389,
1995-09,102.4632,
1995-10,102.472,
1995-11,102.389,
1995-12,102.2178,
1996-01,102.0157,
1996-02,101.8316,
1996-03,101.6747,
1996-04,101.4657,
1996-05,101.0662,
1996-06,100.3593,
1996-07,99.52194,
1996-08,98.78266,
1996-09,98.30939,
1996-10,97.9997,
1996-11,97.72709,
1996-12,97.42355,
1997-01,97.12518,
1997-02,96.92253,
1997-03,96.90559,
1997-04,97.01327,
1997-05,97.18559,
1997-06,97.39141,
1997-07,97.59144,
1997-08,97.73796,
1997-09,97.78037,
1997-10,97.7242,
1997-11,97.55016,
1997-12,97.23174,
1998-01,96.87064,
1998-02,96.59763,
1998-03,96.51585,
1998-04,96.55629,
1998-05,96.64275,
1998-06,96.73486,
1998-07,96.82479,
1998-08,96.92129,
1998-09,97.03572,
1998-10,97.16165,
1998-11,97.29357,
1998-12,97.43407,
1999-01,97.59516,
1999-02,97.80286,
1999-03,98.08131,
1999-04,98.39023,
1999-05,98.6812,
1999-06,98.9234,
1999-07,99.14744,
1999-08,99.40027,
1999-09,99.71835,
1999-10,100.0721,
1999-11,100.4198,
1999-12,100.7262,
2000-01,100.9872,
2000-02,101.1848,
2000-03,101.2888,
2000-04,101.3203,
2000-05,101.2882,
2000-06,101.1968,
2000-07,101.1176,
2000-08,101.1312,
2000-09,101.2562,
2000-10,101.2858,
2000-11,100.8855,
2000-12,99.78504,
2001-01,98.40166,
2001-02,97.28665,
2001-03,96.85526,
2001-04,96.84812,
2001-05,96.93842,
2001-06,96.91469,
2001-07,96.7663,
2001-08,96.5234,
2001-09,96.22165,
2001-10,95.96134,
2001-11,95.8817,
2001-12,96.09381,
2002-01,96.43276,
2002-02,96.68908,
2002-03,96.71323,
2002-04,96.60284,
2002-05,96.49223,
2002-06,96.47656,
2002-07,96.53612,
2002-08,96.63791,
2002-09,96.76193,
2002-10,96.88525,
2002-11,96.98055,
2002-12,97.0155,
2003-01,96.98002,
2003-02,96.84764,
2003-03,96.60744,
2003-04,96.39272,
2003-05,96.40795,
2003-06,96.83029,
2003-07,97.48109,
2003-08,98.14826,
2003-09,98.68025,
2003-10,99.06361,
2003-11,99.28279,
2003-12,99.32869,
2004-01,99.37126,
2004-02,99.63503,
2004-03,100.2779,
2004-04,101.049,
2004-05,101.5975,
2004-06,101.654,
2004-07,101.4343,
2004-08,101.2091,
2004-09,101.1507,
2004-10,101.185,
2004-11,101.1789,
2004-12,101.0354,
2005-01,100.8287,
2005-02,100.6763,
2005-03,100.6754,
2005-04,100.7834,
2005-05,100.9545,
2005-06,101.1663,
2005-07,101.3837,
2005-08,101.5706,
2005-09,101.6946,
2005-10,101.7639,
2005-11,101.7813,
2005-12,101.753,
2006-01,101.7494,
2006-02,101.872,
2006-03,102.1945,
2006-04,102.5787,
2006-05,102.8249,
2006-06,102.7607,
2006-07,102.4677,
2006-08,102.0285,
2006-09,101.5013,
2006-10,101.0421,
2006-11,100.8694,
2006-12,101.1619,
2007-01,101.6683,
2007-02,102.0764,
2007-03,102.1675,
2007-04,102.0699,
2007-05,101.966,
2007-06,101.9901,
2007-07,102.1305,
2007-08,102.3652,
2007-09,102.6801,
2007-10,102.9934,
2007-11,103.1911,
2007-12,103.164,
2008-01,102.9602,
2008-02,102.6027,
2008-03,102.0838,
2008-04,101.5131,
2008-05,101.0221,
2008-06,100.7219,
2008-07,100.5798,
2008-08,100.5764,
2008-09,100.7032,
2008-10,100.823,
2008-11,100.7349,
2008-12,100.2466,
2009-01,99.45446,
2009-02,98.42921,
2009-03,97.20484,
2009-04,96.00105,
2009-05,95.13274,
2009-06,94.89894,
2009-07,95.13628,
2009-08,95.7384,
2009-09,96.70422,
2009-10,97.82142,
2009-11,98.88118,
2009-12,99.74162,
2010-01,100.4486,
2010-02,101.0439,
2010-03,101.5273,
2010-04,101.9294,
2010-05,102.2384,
2010-06,102.4073,
2010-07,102.4549,
2010-08,102.3516,
2010-09,102.0279,
2010-10,101.5325,
2010-11,100.901,
2010-12,100.1959,
2011-01,99.68343,
2011-02,99.35949,
2011-03,99.12177,100.1284
2011-04,98.91031,100.3965
2011-05,98.60025,100.3788
2011-06,98.33234,100.3743
2011-07,98.10043,99.87651
2011-08,97.86002,99.35468
2011-09,97.65319,99.34368
2011-10,97.6362,99.50312
2011-11,97.59651,99.60663
2011-12,97.44675,99.71605
2012-01,97.45536,99.51015
2012-02,97.57896,99.25621
2012-03,97.71667,99.29735
2012-04,97.75793,99.62331
2012-05,97.70562,100.0762
2012-06,97.59222,100.0088
2012-07,97.32481,99.02116
2012-08,97.03745,97.52557
2012-09,96.85428,96.77186
2012-10,96.80157,97.02309
2012-11,96.93834,97.57474
2012-12,97.41576,97.92123
2013-01,98.19071,98.14731
2013-02,98.70132,98.25121
2013-03,98.82073,98.22002
2013-04,98.7166,97.82964
2013-05,98.58867,96.97093
2013-06,98.59498,96.4797
2013-07,98.7288,96.76604
2013-08,98.89523,97.22779
2013-09,98.87347,97.75092
2013-10,98.82156,98.45616
2013-11,98.84747,98.56653
2013-12,98.95834,98.44771
2014-01,99.1339,98.3494
2014-02,99.31603,98.55303
2014-03,99.3904,99.15247
2014-04,99.42121,99.79264
2014-05,99.32691,99.9683
2014-06,99.04259,99.47758
2014-07,98.74742,98.85899
2014-08,98.62178,98.57347
2014-09,98.72117,98.6767
2014-10,98.9261,98.87691
2014-11,99.11777,98.81013
2014-12,99.2918,99.00753
2015-01,99.4223,99.62466
2015-02,99.40781,100.3916
2015-03,99.34034,101.0158
2015-04,99.32336,101.1627
2015-05,99.34067,101.0147
2015-06,99.33771,100.9966
2015-07,99.28834,101.0729
2015-08,99.16396,100.8691
2015-09,99.04839,100.3234
2015-10,99.07226,100.0023
2015-11,99.28197,100.3606
2015-12,99.73918,100.898
2016-01,100.359,101.4717
2016-02,100.8143,101.7913
2016-03,100.9371,102.0449
2016-04,100.9294,102.1975
2016-05,100.8801,102.3308
2016-06,100.9147,102.3081
2016-07,100.9169,102.3047
2016-08,100.9418,102.3399
2016-09,100.9352,102.2996
2016-10,100.8734,102.3438
2016-11,100.9259,102.3985
2016-12,101.2012,102.3231
2017-01,101.4741,102.1509
2017-02,101.6771,102.0904
2017-03,101.8131,102.2586
2017-04,101.8613,102.3881
2017-05,101.7802,102.596
2017-06,101.701,102.6477
2017-07,101.5969,102.7343
2017-08,101.5614,102.7497
2017-09,101.5047,102.6317
2017-10,101.4484,102.5763
2017-11,101.4989,102.5601
2017-12,101.6118,102.6261
2018-01,101.6198,102.57
2018-02,101.4662,102.3612
2018-03,101.3662,102.2053
2018-04,101.39,102.279
2018-05,101.4175,102.4262
2018-06,101.4205,102.4796
2018-07,101.3953,102.3508
2018-08,101.4377,102.201
2018-09,101.4654,102.2943
2018-10,101.4176,102.2813
2018-11,101.3976,102.254
2018-12,101.415,102.0504
2019-01,101.4952,102.1248
2019-02,101.6084,102.3341
2019-03,101.6919,102.476
2019-04,101.7863,102.4837
2019-05,101.7681,102.1877
2019-06,101.6846,101.6386
2019-07,101.5609,101.6087
2019-08,101.4406,101.7893
2019-09,101.4388,101.976
2019-10,101.5018,101.8938
2019-11,101.5512,101.7522
2019-12,101.7216,101.6208
2020-01,101.857,101.1642
2020-02,101.4323,100.0426
2020-03,100.5021,97.95798
2020-04,99.79233,96.65765
2020-05,99.53313,96.80331
2020-06,99.61872,96.3076
2020-07,99.78476,95.63175
2020-08,99.95929,95.59328
2020-09,100.0967,95.67148
2020-10,100.3515,96.02811
2020-11,100.6294,97.16306
2020-12,100.8834,98.36443
2021-01,101.1975,99.38667
2021-02,101.5221,100.4937
2021-03,101.8749,101.7223
2021-04,102.104,102.6858
2021-05,102.2573,102.8723
2021-06,102.2859,102.5387
2021-07,102.1821,101.8086
2021-08,102.0949,101.0061
2021-09,102.1084,100.9945
2021-10,102.1067,100.7869
2021-11,102.0428,100.1856
2021-12,102.0256,99.4852
2022-01,102.0934,98.66015
2022-02,102.1296,98.25066
2022-03,102.1824,98.2249
2022-04,102.2601,98.40774
2022-05,102.3185,98.39097
2022-06,102.3395,97.76431
2022-07,102.4446,97.32214
2022-08,102.5134,97.43205
2022-09,102.5263,97.64307
2022-10,102.4517,98.06718
2022-11,102.383,98.42102
2022-12,102.3072,98.30099
2023-01,102.3724,98.02905
2023-02,102.4257,98.00935
2023-03,102.3778,97.90644
2023-04,102.3373,97.87733
2023-05,102.3895,97.84047
2023-06,102.4488,97.707
2023-07,102.5089,97.73507
2023-08,102.6837,97.6241
