country,POL,POL
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1997-07,103.9252,
1997-08,104.6084,
1997-09,105.144,
1997-10,105.0445,
1997-11,104.4179,
1997-12,103.0621,
1998-01,100.9442,
1998-02,99.70348,
1998-03,99.37329,
1998-04,99.47499,
1998-05,99.76488,
1998-06,100.0835,
1998-07,100.3111,
1998-08,100.0978,
1998-09,99.61731,
1998-10,99.09317,
1998-11,98.51933,
1998-12,97.98786,
1999-01,97.55158,
1999-02,97.48577,
1999-03,97.52265,
1999-04,97.67751,
1999-05,97.72133,
1999-06,97.88428,
1999-07,98.29691,
1999-08,98.72906,
1999-09,98.93754,
1999-10,99.04335,
1999-11,99.24962,
1999-12,99.53957,
2000-01,99.61741,
2000-02,99.62399,
2000-03,99.7646,
2000-04,99.98355,
2000-05,100.1669,
2000-06,100.2426,
2000-07,100.3154,
2000-08,100.3955,
2000-09,100.2275,
2000-10,99.92149,
2000-11,99.6305,
2000-12,99.29253,
2001-01,98.92144,
2001-02,98.60159,
2001-03,98.36841,
2001-04,98.16035,
2001-05,97.95399,97.58594
2001-06,97.77586,97.58989
2001-07,97.61449,97.37759
2001-08,97.52498,97.07804
2001-09,97.47147,97.10555
2001-10,97.44129,97.57964
2001-11,97.40026,97.77394
2001-12,97.34747,97.61078
2002-01,97.3072,97.55072
2002-02,97.38174,97.52001
2002-03,97.74263,97.49422
2002-04,98.13911,97.50805
2002-05,98.29762,97.61823
2002-06,98.18747,97.68029
2002-07,98.18114,97.92955
2002-08,98.42873,98.16503
2002-09,98.81518,98.35891
2002-10,99.15417,98.29539
2002-11,99.36578,98.00511
2002-12,99.43177,97.8287
2003-01,99.42924,97.82739
2003-02,99.36655,97.83376
2003-03,99.23493,97.83007
2003-04,99.12016,97.98372
2003-05,99.13799,98.31587
2003-06,99.3037,98.52689
2003-07,99.53882,98.5228
2003-08,99.82413,98.33006
2003-09,99.98919,98.07856
2003-10,100.1628,97.71278
2003-11,100.2153,97.51546
2003-12,100.2722,97.63575
2004-01,100.2933,97.65805
2004-02,100.3593,97.55
2004-03,100.5525,97.66106
2004-04,100.7439,98.07656
2004-05,100.8167,98.69521
2004-06,100.8673,99.10674
2004-07,100.8628,99.27177
2004-08,100.7869,99.50829
2004-09,100.8156,99.63541
2004-10,100.8049,99.65839
2004-11,100.7277,99.64153
2004-12,100.5621,99.68517
2005-01,100.3439,99.73317
2005-02,100.2345,99.69672
2005-03,100.1255,99.67867
2005-04,100.0918,99.71677
2005-05,100.1321,99.75985
2005-06,100.2037,99.67154
2005-07,100.2792,99.71084
2005-08,100.4225,99.84547
2005-09,100.6156,100.0268
2005-10,100.639,100.2017
2005-11,100.6398,100.3827
2005-12,100.6415,100.5986
2006-01,100.5438,100.8604
2006-02,100.4639,100.9028
2006-03,100.54,100.7193
2006-04,100.7415,100.4978
2006-05,101.087,100.4907
2006-06,101.4677,100.6705
2006-07,101.8164,100.8416
2006-08,102.0708,100.859
2006-09,102.2901,100.8544
2006-10,102.4993,100.926
2006-11,102.6415,101.1009
2006-12,102.638,101.285
2007-01,102.4672,101.2759
2007-02,102.3891,101.3333
2007-03,102.5024,101.2873
2007-04,102.6756,101.4654
2007-05,102.8263,101.6705
2007-06,102.8705,101.7565
2007-07,102.768,101.8213
2007-08,102.601,101.8277
2007-09,102.5048,101.9784
2007-10,102.4918,102.2065
2007-11,102.5226,102.4234
2007-12,102.5929,102.4579
2008-01,102.6537,102.279
2008-02,102.6144,102.1293
2008-03,102.4786,102.0962
2008-04,102.2357,102.2825
2008-05,101.9969,102.3372
2008-06,101.7479,102.1694
2008-07,101.4401,101.9776
2008-08,101.117,102.0825
2008-09,100.683,102.1134
2008-10,100.0294,101.8247
2008-11,99.1013,101.3372
2008-12,98.01127,100.8618
2009-01,96.96191,99.99257
2009-02,96.2813,98.97854
2009-03,96.17244,98.50354
2009-04,96.48643,98.7526
2009-05,96.92944,99.2586
2009-06,97.36184,99.59563
2009-07,97.82124,99.73177
2009-08,98.38431,99.94334
2009-09,98.85463,99.9248
2009-10,99.13157,99.87564
2009-11,99.25498,99.82788
2009-12,99.3245,99.94646
2010-01,99.49878,100.0954
2010-02,99.70518,100.2425
2010-03,99.88249,100.3949
2010-04,99.89712,100.451
2010-05,99.8563,100.4049
2010-06,99.92182,100.2898
2010-07,100.0565,100.2876
2010-08,100.2284,100.0471
2010-09,100.35,99.77619
2010-10,100.351,99.58144
2010-11,100.2781,99.46666
2010-12,100.2201,99.44394
2011-01,100.0619,99.37617
2011-02,100.1315,99.06259
2011-03,100.2049,98.59976
2011-04,100.2706,98.38099
2011-05,100.2113,98.65858
2011-06,100.1055,98.96674
2011-07,99.99309,99.24719
2011-08,99.88239,99.31068
2011-09,99.7895,99.33142
2011-10,99.79977,99.19718
2011-11,99.86639,98.82367
2011-12,99.80009,98.37249
2012-01,99.66857,98.31058
2012-02,99.54391,98.33239
2012-03,99.48696,98.36436
2012-04,99.42673,98.33364
2012-05,99.38906,98.30363
2012-06,99.3851,98.35813
2012-07,99.22831,98.56854
2012-08,98.97983,98.62513
2012-09,98.73743,98.46446
2012-10,98.56517,98.2337
2012-11,98.56403,98.05335
2012-12,98.52923,97.97575
2013-01,98.44178,97.99789
2013-02,98.42982,98.11804
2013-03,98.51262,98.22986
2013-04,98.68614,98.40014
2013-05,98.93837,98.56856
2013-06,99.10029,98.92188
2013-07,99.25584,99.26482
2013-08,99.45742,99.46252
2013-09,99.64386,99.53751
2013-10,99.7332,99.45101
2013-11,99.75505,99.44682
2013-12,99.81032,99.50953
2014-01,99.90218,99.51528
2014-02,99.97896,99.58797
2014-03,100.0139,99.75839
2014-04,100.0757,99.9334
2014-05,100.1215,100.1653
2014-06,100.1807,100.2257
2014-07,100.2111,100.1272
2014-08,100.1377,100.1262
2014-09,100.0672,100.172
2014-10,100.1169,100.3269
2014-11,100.19,100.4268
2014-12,100.221,100.3872
2015-01,100.2247,100.2917
2015-02,100.2411,100.3902
2015-03,100.3068,100.5863
2015-04,100.3652,100.8211
2015-05,100.348,100.8557
2015-06,100.313,100.707
2015-07,100.3628,100.55
2015-08,100.4597,100.4686
2015-09,100.4734,100.4661
2015-10,100.4526,100.693
2015-11,100.39,100.968
2015-12,100.3171,101.1377
2016-01,100.3421,101.157
2016-02,100.4529,101.1714
2016-03,100.5414,101.33
2016-04,100.5134,101.5195
2016-05,100.4205,101.583
2016-06,100.3904,101.6328
2016-07,100.3765,101.6937
2016-08,100.3836,101.6954
2016-09,100.4824,101.7046
2016-10,100.5078,101.6511
2016-11,100.4998,101.5488
2016-12,100.5797,101.5494
2017-01,100.6888,101.6257
2017-02,100.8268,101.571
2017-03,101.0167,101.5515
2017-04,101.1668,101.6156
2017-05,101.2237,101.6935
2017-06,101.2927,101.6999
2017-07,101.3595,101.7284
2017-08,101.4424,101.8989
2017-09,101.5497,102.1614
2017-10,101.6459,102.2509
2017-11,101.7654,102.2421
2017-12,102.0139,102.2922
2018-01,102.3762,102.3773
2018-02,102.5156,102.389
2018-03,102.4673,102.4262
2018-04,102.351,102.6368
2018-05,102.3217,102.7829
2018-06,102.3424,102.8466
2018-07,102.2868,102.7376
2018-08,102.0905,102.5222
2018-09,101.88,102.4283
2018-10,101.8257,102.3482
2018-11,101.8868,102.2885
2018-12,101.8404,102.2623
2019-01,101.6868,102.4109
2019-02,101.6223,102.6538
2019-03,101.5797,102.7279
2019-04,101.4396,102.6571
2019-05,101.2698,102.7412
2019-06,101.0968,102.977
2019-07,100.9536,103.0374
2019-08,100.8807,102.9151
2019-09,100.8976,102.7364
2019-10,100.9534,102.4647
2019-11,100.9584,102.331
2019-12,100.8761,102.2459
2020-01,100.5706,102.039
2020-02,99.69263,101.3758
2020-03,97.83826,100.0695
2020-04,95.45111,98.1789
2020-05,94.91653,97.67062
2020-06,95.93428,98.29875
2020-07,97.32854,99.05573
2020-08,98.33551,99.21962
2020-09,98.80337,98.9376
2020-10,98.87205,98.58033
2020-11,98.72609,98.31189
2020-12,98.89388,98.42612
2021-01,99.21631,98.75637
2021-02,99.53748,99.23141
2021-03,99.89721,99.62904
2021-04,100.1854,100.0225
2021-05,100.3956,100.5715
2021-06,100.508,100.877
2021-07,100.5006,100.9408
2021-08,100.4327,100.9015
2021-09,100.4521,100.7611
2021-10,100.52,100.4249
2021-11,100.514,99.96709
2021-12,100.4058,99.56918
2022-01,100.1196,99.28659
2022-02,99.8368,99.19535
2022-03,99.59551,99.0672
2022-04,99.49954,98.85883
2022-05,99.34666,98.69338
2022-06,99.01887,98.60812
2022-07,98.61073,98.30091
2022-08,98.29121,97.88579
2022-09,98.09862,97.6346
2022-10,98.08845,97.61725
2022-11,98.18264,97.80626
2022-12,98.37593,98.11507
2023-01,98.56811,98.35565
2023-02,98.68954,98.3695
2023-03,98.68068,98.60386
2023-04,98.49326,99.23917
2023-05,98.31992,100.0385
2023-06,98.2665,100.5292
2023-07,98.30476,100.8575
2023-08,98.44835,101.0057
