country,GBR,GBR
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1955-Q1,,23.67226
1955-Q2,,23.69295
1955-Q3,,24.17188
1955-Q4,,24.04045
1956-Q1,2.722893,24.31684
1956-Q2,2.452136,24.27393
1956-Q3,0.3054412,24.24571
1956-Q4,1.305624,24.35433
1957-Q1,2.157135,24.84138
1957-Q2,2.348061,24.84389
1957-Q3,1.837429,24.69121
1957-Q4,1.566555,24.73585
1958-Q1,1.766138,25.28012
1958-Q2,-0.6620404,24.67942
1958-Q3,2.176874,25.2287
1958-Q4,2.097153,25.2546
1959-Q1,0.5512275,25.41947
1959-Q2,4.711373,25.84216
1959-Q3,4.633311,26.39763
1959-Q4,7.203043,27.0737
1960-Q1,9.162105,27.74842
1960-Q2,6.552387,27.53544
1960-Q3,5.886617,27.95156
1960-Q4,3.859251,28.11855
1961-Q1,2.986,28.57699
1961-Q2,4.222001,28.69798
1961-Q3,2.144917,28.55109
1961-Q4,1.361652,28.50142
1962-Q1,0.1819325,28.62898
1962-Q2,0.682233,28.89377
1962-Q3,1.833161,29.07448
1962-Q4,1.609863,28.96025
1963-Q1,1.581086,29.08163
1963-Q2,5.07037,30.35879
1963-Q3,4.923852,30.50607
1963-Q4,7.724906,31.19741
1964-Q1,7.941888,31.39126
1964-Q2,5.327994,31.97631
1964-Q3,5.22181,32.09903
1964-Q4,4.451879,32.58628
1965-Q1,3.491608,32.48732
1965-Q2,1.673064,32.51129
1965-Q3,2.117654,32.77878
1965-Q4,1.207585,32.97979
1966-Q1,1.684227,33.03448
1966-Q2,2.204942,33.22814
1966-Q3,1.686351,33.33155
1966-Q4,0.6335086,33.18872
1967-Q1,1.821905,33.63634
1967-Q2,2.666325,34.11411
1967-Q3,2.798959,34.26448
1967-Q4,3.759652,34.4365
1968-Q1,6.116046,35.69355
1968-Q2,4.216287,35.55246
1968-Q3,5.795785,36.25038
1968-Q4,5.682086,36.39321
1969-Q1,1.70513,36.30217
1969-Q2,2.917672,36.58977
1969-Q3,1.493397,36.79174
1969-Q4,1.568259,36.96395
1970-Q1,1.177147,36.7295
1970-Q2,2.752027,37.59673
1970-Q3,3.203404,37.97033
1970-Q4,3.617759,38.30121
1971-Q1,3.762932,38.11161
1971-Q2,3.187251,38.79503
1971-Q3,3.987112,39.48425
1971-Q4,3.485896,39.63635
1972-Q1,4.118891,39.68139
1972-Q2,4.988915,40.73048
1972-Q3,3.435296,40.84065
1972-Q4,4.639698,41.47536
1973-Q1,9.710147,43.53451
1973-Q2,7.02765,43.59288
1973-Q3,5.730471,43.18101
1973-Q4,3.658088,42.99257
1974-Q1,-3.948554,41.81553
1974-Q2,-2.706285,42.41313
1974-Q3,-1.165976,42.67753
1974-Q4,-2.185279,42.05306
1975-Q1,0.6286023,42.07838
1975-Q2,-2.424753,41.38472
1975-Q3,-3.368914,41.23976
1975-Q4,-0.8102692,41.71231
1976-Q1,0.7689022,42.40192
1976-Q2,2.325288,42.34703
1976-Q3,3.991114,42.88568
1976-Q4,4.990756,43.79408
1977-Q1,3.302383,43.80219
1977-Q2,2.694623,43.48812
1977-Q3,2.095182,43.78422
1977-Q4,1.680568,44.53006
