country,AUS,AUS
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,14.95317
1960-Q2,,15.36578
1960-Q3,,15.40167
1960-Q4,,15.37239
1961-Q1,3.102453,15.41708
1961-Q2,-0.7766378,15.24645
1961-Q3,-1.706909,15.13878
1961-Q4,-0.3910166,15.31228
1962-Q1,2.09937,15.74074
1962-Q2,5.213297,16.04129
1962-Q3,6.826941,16.17229
1962-Q4,7.521749,16.46403
1963-Q1,7.000881,16.84274
1963-Q2,3.623586,16.62256
1963-Q3,7.0142,17.30665
1963-Q4,7.375361,17.67831
1964-Q1,4.783257,17.64837
1964-Q2,8.780598,18.08212
1964-Q3,5.139753,18.19617
1964-Q4,5.858689,18.71403
1965-Q1,6.922837,18.87013
1965-Q2,5.984779,19.16429
1965-Q3,5.019179,19.10947
1965-Q4,2.367198,19.15703
1966-Q1,1.22048,19.10044
1966-Q2,1.024816,19.36069
1966-Q3,4.18707,19.9096
1966-Q4,4.618019,20.0417
1967-Q1,9.016715,20.82267
1967-Q2,7.388664,20.79119
1967-Q3,6.396461,21.1831
1967-Q4,6.621258,21.36872
1968-Q1,1.703464,21.17738
1968-Q2,5.770473,21.99094
1968-Q3,5.192862,22.28311
1968-Q4,8.172938,23.11517
1969-Q1,8.389216,22.954
1969-Q2,6.438855,23.4069
1969-Q3,6.791166,23.7964
1969-Q4,5.325573,24.34618
1970-Q1,8.267467,24.85171
1970-Q2,8.299392,25.34953
1970-Q3,6.307482,25.29735
1970-Q4,4.407868,25.41933
1971-Q1,3.519062,25.72626
1971-Q2,1.91693,25.83546
1971-Q3,5.337917,26.6477
1971-Q4,4.500689,26.56337
1972-Q1,1.998408,26.24037
1972-Q2,3.835894,26.82649
1972-Q3,0.165251,26.69174
1972-Q4,1.553318,26.97599
1973-Q1,5.454027,27.67153
1973-Q2,3.341267,27.72283
1973-Q3,4.914706,28.00356
1973-Q4,6.406353,28.70416
1974-Q1,3.746081,28.70813
1974-Q2,1.449437,28.12466
1974-Q3,1.633828,28.46109
1974-Q4,-0.7417464,28.49125
1975-Q1,-0.3689047,28.60222
1975-Q2,4.902298,29.50341
1975-Q3,2.53048,29.18129
1975-Q4,0.8833007,28.74292
1976-Q1,4.924368,30.0107
1976-Q2,2.029135,30.10207
1976-Q3,3.993662,30.34669
1976-Q4,6.508151,30.61355
1977-Q1,1.447521,30.44511
1977-Q2,2.566616,30.87468
1977-Q3,1.308152,30.74367
1977-Q4,0.115794,30.649
1978-Q1,1.374797,30.86367
1978-Q2,0.7808823,31.11577
1978-Q3,2.751538,31.5896
1978-Q4,3.934598,31.85491
1979-Q1,6.032416,32.72549
1979-Q2,3.480728,32.19883
1979-Q3,2.87859,32.49893
1979-Q4,4.002682,33.12996
1980-Q1,1.680661,33.2755
1980-Q2,3.609136,33.36093
1980-Q3,3.196412,33.53773
1980-Q4,2.987326,34.11966
1981-Q1,2.922649,34.24803
1981-Q2,4.2457,34.77733
1981-Q3,5.781212,35.47662
1981-Q4,3.573088,35.33879
1982-Q1,2.334985,35.04771
1982-Q2,1.685966,35.36367
1982-Q3,-0.9886611,35.12588
1982-Q4,-2.165096,34.57367
