country,ITA,ITA
1983-Q1,-0.3492832,67.74859
1983-Q2,-0.1856251,67.66702
1983-Q3,1.727558,68.92712
1983-Q4,4.285885,70.4551
1984-Q1,3.790993,70.31693
1984-Q2,4.25069,70.54333
1984-Q3,3.549873,71.37395
1984-Q4,1.320416,71.38541
1985-Q1,2.099924,71.79353
1985-Q2,3.116546,72.74184
1985-Q3,2.732879,73.32452
1985-Q4,3.401308,73.81344
1986-Q1,3.454208,74.27343
1986-Q2,2.765945,74.75384
1986-Q3,2.966894,75.49998
1986-Q4,2.704834,75.80997
1987-Q1,2.486861,76.12051
1987-Q2,3.370291,77.27326
1987-Q3,2.644146,77.49631
1987-Q4,3.324353,78.33016
1988-Q1,4.417268,79.48296
1988-Q2,3.513017,79.98788
1988-Q3,4.571307,81.0389
1988-Q4,4.693286,82.00642
1989-Q1,3.815779,82.51585
1989-Q2,3.606494,82.87264
1989-Q3,3.328821,83.73654
1989-Q4,3.160587,84.5983
1990-Q1,2.932383,84.93553
1990-Q2,2.801594,85.1944
1990-Q3,1.904144,85.331
1990-Q4,0.2108806,84.77671
1991-Q1,1.782874,86.44982
1991-Q2,0.918293,85.97673
1991-Q3,0.7928262,86.00753
1991-Q4,2.642528,87.01695
1992-Q1,0.926735,87.25098
1992-Q2,1.423993,87.20103
1992-Q3,1.162539,87.0074
1992-Q4,-0.7002103,86.40765
1993-Q1,-1.104674,86.28715
1993-Q2,-1.286754,86.07897
1993-Q3,-1.223094,85.94322
1993-Q4,0.1916981,86.5733
1994-Q1,1.09582,87.2327
1994-Q2,2.073646,87.86395
1994-Q3,2.872283,88.41175
1994-Q4,3.08247,89.24189
1995-Q1,3.587753,90.36239
1995-Q2,2.915683,90.42578
1995-Q3,2.732949,90.828
1995-Q4,2.620186,91.58019
1996-Q1,1.57067,91.78168
1996-Q2,1.392524,91.68498
1996-Q3,1.093063,91.82081
1996-Q4,-0.0424684,91.5413
1997-Q1,0.07279607,91.8485
1997-Q2,1.507796,93.06741
1997-Q3,2.038185,93.69228
1997-Q4,4.171702,95.36013
1998-Q1,3.074021,94.67194
1998-Q2,2.29467,95.203
1998-Q3,1.77415,95.35452
1998-Q4,-0.4974949,94.88572
1999-Q1,0.836751,95.46411
1999-Q2,0.6329906,95.80562
1999-Q3,1.364549,96.65569
1999-Q4,3.456481,98.16543
2000-Q1,3.879919,99.16804
2000-Q2,4.351585,99.97469
2000-Q3,4.068438,100.5881
2000-Q4,3.947553,102.0406
2001-Q1,3.581153,102.7194
2001-Q2,2.339788,102.3139
2001-Q3,1.426085,102.0225
2001-Q4,-0.1952954,101.8413
2002-Q1,-0.7449199,101.9542
2002-Q2,0.05611522,102.3713
2002-Q3,0.571305,102.6054
2002-Q4,1.124547,102.9865
2003-Q1,0.6632204,102.6304
2003-Q2,0.09290642,102.4664
2003-Q3,-0.2075027,102.3925
2003-Q4,0.3532159,103.3503
2004-Q1,0.9158645,103.5704
2004-Q2,1.506206,104.0098
2004-Q3,1.568368,103.9984
2004-Q4,0.8889567,104.269
2005-Q1,0.4703529,104.0575
2005-Q2,0.7908786,104.8323
2005-Q3,1.431507,105.4871
2005-Q4,1.32084,105.6463
2006-Q1,1.749459,105.8779
2006-Q2,1.678303,106.5918
2006-Q3,1.479911,107.0482
2006-Q4,2.615454,108.4094
2007-Q1,2.232657,108.2418
2007-Q2,1.730399,108.4362
2007-Q3,1.525032,108.6808
2007-Q4,-0.09210055,108.3095
2008-Q1,1.178645,109.5176
2008-Q2,0.04169349,108.4814
2008-Q3,-1.413233,107.1448
2008-Q4,-3.667228,104.3376
2009-Q1,-7.296199,101.527
2009-Q2,-6.708562,101.2039
2009-Q3,-4.995209,101.7927
2009-Q4,-2.12247,102.1231
2010-Q1,0.8568441,102.3969
2010-Q2,1.935195,103.1624
2010-Q3,1.829996,103.6555
2010-Q4,2.057593,104.2243
2011-Q1,2.269856,104.7212
2011-Q2,1.556687,104.7683
2011-Q3,0.5452403,104.2207
2011-Q4,-0.9516585,103.2325
2012-Q1,-2.491873,102.1117
2012-Q2,-3.255424,101.3576
2012-Q3,-3.251035,100.8325
2012-Q4,-3.059459,100.0741
2013-Q1,-2.909571,99.14066
2013-Q2,-2.168135,99.16006
2013-Q3,-1.431975,99.38856
2013-Q4,-0.9048028,99.16864
2014-Q1,0.186335,99.32539
2014-Q2,0.1347832,99.29372
2014-Q3,0.007220859,99.39574
2014-Q4,-0.04013174,99.12885
2015-Q1,0.06609949,99.39105
2015-Q2,0.4946754,99.7849
2015-Q3,0.6325454,100.0245
2015-Q4,1.436718,100.553
2016-Q1,1.444889,100.8271
2016-Q2,1.252262,101.0345
2016-Q3,1.582186,101.607
2016-Q4,1.337739,101.8982
2017-Q1,1.617354,102.4579
2017-Q2,1.81436,102.8676
2017-Q3,1.627176,103.2604
2017-Q4,1.880438,103.8143
2018-Q1,1.286549,103.776
2018-Q2,0.9073633,103.801
2018-Q3,0.6441605,103.9255
2018-Q4,0.4074261,104.2373
2019-Q1,0.6372805,104.4374
2019-Q2,0.8902185,104.725
2019-Q3,0.7884504,104.7449
2019-Q4,-0.3237328,103.8998
2020-Q1,-6.405772,97.74737
2020-Q2,-18.4791,85.37279
2020-Q3,-5.357124,99.13361
2020-Q4,-6.088454,97.57394
2021-Q1,0.02301513,97.76986
2021-Q2,17.5358,100.3436
2021-Q3,3.98917,103.0882
2021-Q4,6.366958,103.7864
2022-Q1,6.27296,103.9029
2022-Q2,4.721901,105.0817
