country,ITA,ITA
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,26.18597
1960-Q2,,26.57028
1960-Q3,,26.9605
1960-Q4,,26.98119
1961-Q1,6.728397,27.94787
1961-Q2,7.409879,28.5391
1961-Q3,8.322359,29.20425
1961-Q4,10.31005,29.76297
1962-Q1,8.07064,30.20344
1962-Q2,6.971203,30.52862
1962-Q3,5.162466,30.71191
1962-Q4,4.737787,31.17307
1963-Q1,3.89548,31.38001
1963-Q2,5.606666,32.24026
1963-Q3,6.699401,32.76942
1963-Q4,6.201995,33.10642
1964-Q1,7.065479,33.59716
1964-Q2,3.154239,33.25719
1964-Q3,1.317085,33.20102
1964-Q4,-0.1339445,33.06208
1965-Q1,-0.2639761,33.50846
1965-Q2,2.764439,34.17657
1965-Q3,4.309504,34.63182
1965-Q4,6.32153,35.15211
1966-Q1,5.919712,35.49207
1966-Q2,5.328251,35.99758
1966-Q3,6.880078,37.01451
1966-Q4,5.802717,37.19189
1967-Q1,6.879902,37.93389
1967-Q2,7.64556,38.7498
1967-Q3,6.301414,39.34695
1967-Q4,7.884903,40.12443
1968-Q1,6.031793,40.22198
1968-Q2,5.973454,41.0645
1968-Q3,6.874523,42.05187
1968-Q4,7.257052,43.03628
1969-Q1,8.672653,43.7103
1969-Q2,8.365127,44.4996
1969-Q3,6.073815,44.60602
1969-Q4,1.552415,43.70438
1970-Q1,5.982116,46.3251
1970-Q2,4.862221,46.66327
1970-Q3,6.710902,47.59949
1970-Q4,9.034177,47.65271
1971-Q1,2.327837,47.40347
1971-Q2,2.014957,47.60351
1971-Q3,1.473349,48.3008
1971-Q4,1.93222,48.57347
1972-Q1,3.60025,49.11012
1972-Q2,3.11816,49.08786
1972-Q3,2.999653,49.74965
1972-Q4,2.90821,49.98609
1973-Q1,2.701268,50.43671
1973-Q2,5.826845,51.94814
1973-Q3,7.741489,53.60102
1973-Q4,9.851129,54.91028
1974-Q1,9.752602,55.3556
1974-Q2,7.577068,55.88428
1974-Q3,4.433563,55.97745
1974-Q4,-0.1875257,54.80731
1975-Q1,-2.712864,53.85388
1975-Q2,-3.682963,53.82609
1975-Q3,-2.476471,54.59118
1975-Q4,0.7215743,55.20279
1976-Q1,4.310715,56.17537
1976-Q2,6.250916,57.19071
1976-Q3,7.424282,58.64419
1976-Q4,8.076919,59.66147
1977-Q1,6.247818,59.6851
1977-Q2,3.780385,59.35274
1977-Q3,0.2615704,58.79758
1977-Q4,-0.6035352,59.30139
1978-Q1,0.980897,60.27055
1978-Q2,3.302879,61.31309
1978-Q3,4.826972,61.63573
1978-Q4,5.520205,62.57495
1979-Q1,5.463809,63.56362
1979-Q2,4.424342,64.02579
1979-Q3,5.67523,65.1337
1979-Q4,6.539234,66.66687
1980-Q1,4.689559,66.54447
1980-Q2,4.740438,67.06089
1980-Q3,3.044983,67.117
1980-Q4,1.533254,67.68905
1981-Q1,1.139704,67.30289
1981-Q2,0.5565557,67.43412
1981-Q3,0.5190122,67.46535
1981-Q4,0.4784903,68.01293
1982-Q1,1.015064,67.98605
1982-Q2,0.5319714,67.79285
1982-Q3,0.4316891,67.75659
1982-Q4,-0.6665719,67.55958
