country,DEU,DEU
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,26.08668
1960-Q2,,26.55093
1960-Q3,,27.46871
1960-Q4,,27.74946
1961-Q1,7.45029,28.03021
1961-Q2,5.002099,27.87903
1961-Q3,3.57695,28.45125
1961-Q4,2.996161,28.58088
1962-Q1,3.466854,29.00198
1962-Q2,5.112241,29.30428
1962-Q3,5.465212,30.00617
1962-Q4,4.759933,29.94131
1963-Q1,-0.3724608,28.89395
1963-Q2,3.02141,30.18968
1963-Q3,4.102017,31.23703
1963-Q4,4.832455,31.38821
1964-Q1,10.12713,31.82008
1964-Q2,6.688293,32.20885
1964-Q3,4.182534,32.54353
1964-Q4,5.091161,32.98623
1965-Q1,5.36137,33.52607
1965-Q2,5.732236,34.05514
1965-Q3,5.341682,34.28191
1965-Q4,4.549873,34.48706
1966-Q1,4.73437,35.11332
1966-Q2,3.424304,35.22129
1966-Q3,2.86622,35.2645
1966-Q4,0.657536,34.71383
1967-Q1,-1.629791,34.54105
1967-Q2,-2.237879,34.43308
1967-Q3,0.0,35.2645
1967-Q4,2.892641,35.71798
1968-Q1,4.617509,36.13599
1968-Q2,5.761267,36.41686
1968-Q3,5.5347,37.21628
1968-Q4,5.76758,37.77804
1969-Q1,7.174888,38.7287
1969-Q2,7.712806,39.22562
1969-Q3,7.663339,40.06829
1969-Q4,7.692304,40.68404
1970-Q1,3.372586,40.03486
1970-Q2,6.120868,41.62657
1970-Q3,5.829537,42.40409
1970-Q4,5.111266,42.76351
1971-Q1,4.763644,41.94198
1971-Q2,2.872244,42.82219
1971-Q3,2.733086,43.56303
1971-Q4,1.783876,43.52636
1972-Q1,3.882472,43.57037
1972-Q2,3.408694,44.28187
1972-Q3,4.024254,45.31612
1972-Q4,5.729688,46.02028
1973-Q1,7.083374,46.65662
1973-Q2,6.141302,47.00135
1973-Q3,4.05874,47.15538
1973-Q4,2.721524,47.27274
1974-Q1,2.177399,47.67252
1974-Q2,1.349933,47.63584
1974-Q3,1.018886,47.63584
1974-Q4,-0.5043008,47.03434
1975-Q1,-1.907951,46.76295
1975-Q2,-2.325179,46.52822
1975-Q3,-1.262668,47.03436
1975-Q4,1.965095,47.95861
1976-Q1,3.478331,48.38952
1976-Q2,5.545306,49.10835
1976-Q3,4.440716,49.12302
1976-Q4,4.324486,50.03257
1977-Q1,4.278413,50.45982
1977-Q2,3.334568,50.7459
1977-Q3,3.273852,50.73124
1977-Q4,3.141081,51.60413
1978-Q1,2.689233,51.8168
1978-Q2,2.515067,52.0222
1978-Q3,3.889418,52.70438
1978-Q4,3.326126,53.32055
1979-Q1,3.029295,53.38649
1979-Q2,5.809207,55.04427
1979-Q3,4.439656,55.04428
1979-Q4,3.865566,55.38169
1980-Q1,4.568469,55.82543
1980-Q2,0.7662088,55.46603
1980-Q3,0.3664391,55.24598
1980-Q4,-0.3774867,55.17264
1981-Q1,0.006600282,55.82912
1981-Q2,0.4033505,55.68975
1981-Q3,1.06881,55.83646
1981-Q4,1.123387,55.79244
1982-Q1,0.3087266,56.00148
1982-Q2,-0.05928306,55.65673
1982-Q3,-1.307091,55.10662
1982-Q4,-0.9925853,55.23865
