country,IND
subject,LORSGPOR_IXOBSA
measure,
unit,Index
powercode,Units
reference_period,2010=100
time,
1997,29.631
1998,31.37252
1999,33.56603
2000,35.39865
2001,36.84651
2002,38.5035
2003,41.1986
2004,44.68409
2005,48.6974
2006,53.24946
2007,58.61573
2008,62.12477
2009,65.3161
2010,72.61652
2011,77.76833
2012,81.70438
2013,86.78953
2014,93.00289
2015,100.0383
2016,109.0303
2017,116.0009
2018,124.2629
2019,129.8812
2020,121.4939
2021,131.1732
