country,NOR,NOR
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,17.4668
1960-Q2,,17.6004
1960-Q3,,17.81578
1960-Q4,,18.11297
1961-Q1,5.869164,18.49195
1961-Q2,6.768961,18.79176
1961-Q3,6.716544,19.01239
1961-Q4,5.746506,19.15384
1962-Q1,3.916006,19.2161
1962-Q2,2.767736,19.31187
1962-Q3,2.254999,19.44112
1962-Q4,2.349554,19.60387
1963-Q1,3.039157,19.80011
1963-Q2,3.61235,20.00948
1963-Q3,4.067929,20.23197
1963-Q4,4.405923,20.4676
1964-Q1,4.627441,20.71635
1964-Q2,4.867999,20.98354
1964-Q3,5.126538,21.26917
1964-Q4,5.4019,21.57324
1965-Q1,5.693061,21.89574
1965-Q2,5.64241,22.16752
1965-Q3,5.263032,22.38857
1965-Q4,4.568888,22.55889
1966-Q1,3.574914,22.6785
1966-Q2,3.272871,22.89303
1966-Q3,3.63544,23.2025
1966-Q4,4.645599,23.60689
1967-Q1,6.295466,24.10621
1967-Q2,6.930096,24.47954
1967-Q3,6.569831,24.72686
1967-Q4,5.258175,24.84818
1968-Q1,3.058505,24.8435
1968-Q2,1.889273,24.94203
1968-Q3,1.685966,25.14375
1968-Q4,2.416678,25.44868
1969-Q1,4.078783,25.85681
1969-Q2,4.912591,26.16733
1969-Q3,4.917632,26.38022
1969-Q4,4.113433,26.4955
1970-Q1,2.538372,26.51316
1970-Q2,1.709244,26.61459
1970-Q3,1.590446,26.79979
1970-Q4,2.163656,27.06877
1971-Q1,3.426122,27.42153
1971-Q2,4.392476,27.78363
1971-Q3,5.057074,28.15507
1971-Q4,5.419882,28.53586
1972-Q1,5.486456,28.926
1972-Q2,5.383602,29.27939
1972-Q3,5.117879,29.59602
1972-Q4,4.695961,29.8759
1973-Q1,4.124374,30.11901
1973-Q2,3.895978,30.42011
1973-Q3,3.997633,30.77916
1973-Q4,4.419166,31.19616
1974-Q1,5.153281,31.67113
1974-Q2,5.458179,32.08049
1974-Q3,5.344785,32.42424
1974-Q4,4.828197,32.70237
1975-Q1,3.92713,32.9149
1975-Q2,3.673353,33.25892
1975-Q3,4.040834,33.73444
1975-Q4,5.012146,34.34146
1976-Q1,6.577838,35.07999
1976-Q2,7.28768,35.68272
1976-Q3,7.159554,36.14968
1976-Q4,6.229764,36.48086
1977-Q1,4.550339,36.67625
1977-Q2,3.514143,36.93666
1977-Q3,3.077262,37.2621
1977-Q4,3.211845,37.65257
1978-Q1,4.234917,38.22945
1978-Q2,5.178381,38.84939
1978-Q3,5.510585,39.31546
1978-Q4,4.55399,39.36726
1979-Q1,2.526457,39.1953
1979-Q2,3.907446,40.3674
1979-Q3,5.352513,41.41983
1979-Q4,6.157774,41.7914
1980-Q1,10.76198,43.4135
1980-Q2,5.348966,42.52665
1980-Q3,0.8225882,41.76054
1980-Q4,2.084171,42.66241
1981-Q1,-0.06619558,43.38476
1981-Q2,2.44108,43.56475
1981-Q3,3.019396,43.02146
1981-Q4,0.8158162,43.01046
1982-Q1,-0.1681882,43.31179
1982-Q2,-0.5706173,43.31617
1982-Q3,0.6553429,43.30339
1982-Q4,1.003063,43.44188
