country,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPOR_GYSA,LORSGPOR_IXOBSA,LORSGPRT,LORSGPTD
measure,,,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,2010=100,,
time,,,,,,,,,,,
1960-02,,,,,,,100.5987,,11.00905,100.6626,10.93659
1960-03,,,,,,,100.5414,,11.04435,100.5966,10.97885
1960-04,,,,,,,100.4522,,11.07575,100.4927,11.02145
1960-05,,,,,,,100.35,,11.10563,100.3727,11.0644
1960-06,,,,,,,100.2495,,11.13589,100.2537,11.1077
1960-07,,,,,,,100.1488,,11.16628,100.1337,11.15137
1960-08,,,,,,,100.0401,,11.19582,100.0036,11.19541
1960-09,,,,,,,99.92001,,11.22407,99.85986,11.23982
1960-10,,,,,,,99.80003,,11.25259,99.71619,11.28461
1960-11,,,,,,,99.69715,,11.28366,99.59286,11.32979
1960-12,,,,,,,99.62443,,11.3191,99.50537,11.37536
1961-01,,,100.7447,100.3755,,11.50639,99.5822,,11.359,99.45425,11.42133
1961-02,,,100.8898,100.5054,,11.56975,99.56493,3.575393,11.40267,99.43289,11.4677
1961-03,,,101.0788,100.6769,,11.63914,99.57739,3.682626,11.45107,99.44545,11.51493
1961-04,,,101.278,100.8623,,11.71032,99.60718,3.85036,11.5022,99.47804,11.56255
1961-05,,,101.4499,101.0279,,11.77894,99.65556,4.057204,11.55621,99.53163,11.61059
1961-06,,,101.5766,101.1571,,11.84285,99.72442,4.287474,11.61334,99.60801,11.65904
1961-07,,,101.644,101.2368,,11.90038,99.81239,4.541714,11.67342,99.70553,11.7079
1961-08,,,101.6555,101.2675,,11.95182,99.91619,4.825415,11.73606,99.82046,11.75717
1961-09,,,101.6228,101.2553,,11.99846,100.0302,5.135919,11.80053,99.94643,11.80686
1961-10,,,101.5645,101.2145,,12.04246,100.1451,5.447296,11.86555,100.0725,11.85695
1961-11,,,101.4961,101.158,,12.08561,100.25,5.724657,11.92962,100.1861,11.90746
1961-12,,,101.4035,101.0755,,12.12622,100.3346,5.938709,11.99131,100.2753,11.95838
1962-01,,,101.2464,100.9416,5.675273,12.1594,100.392,6.080399,12.04967,100.3327,12.00971
1962-02,,,101.0564,100.7768,5.351225,12.18887,100.4181,6.151768,12.10414,100.3539,12.06146
1962-03,,,100.8388,100.5858,4.949474,12.21522,100.4121,6.143973,12.15462,100.3386,12.11361
1962-04,,,100.6126,100.3844,4.529074,12.24069,100.3798,6.083741,12.20197,100.2943,12.16616
1962-05,,,100.3942,100.189,4.146066,12.2673,100.3278,5.978816,12.24714,100.2292,12.21913
1962-06,,,100.2002,100.0153,3.835431,12.29708,100.2593,5.832097,12.29064,100.1477,12.27251
1962-07,,,100.0601,99.88824,3.641169,12.33369,100.1717,5.642571,12.3321,100.0472,12.32629
1962-08,,,99.98136,99.81457,3.567272,12.37817,100.0601,5.408735,12.37083,99.92211,12.38048
1962-09,,,99.96331,99.79421,3.600925,12.43051,99.92236,5.135183,12.40651,99.77029,12.43507
1962-10,,,99.99525,99.81887,3.712071,12.48948,99.76317,4.839277,12.43976,99.59714,12.49008
1962-11,,,100.0705,99.88291,3.878327,12.55433,99.59544,4.549479,12.47235,99.41708,12.54548
1962-12,,,100.1719,99.97078,4.096399,12.62296,99.44072,4.30242,12.50722,99.25348,12.60129
1963-01,,,100.2915,100.0738,4.399887,12.69441,99.32825,4.138319,12.54833,99.13741,12.65751
1963-02,,,100.4312,100.1917,4.759057,12.76895,99.28658,4.092915,12.59955,99.09884,12.71412
1963-03,,,100.5909,100.3237,5.168759,12.84659,99.33069,4.182487,12.66299,99.1532,12.77113
1963-04,,,100.75,100.4529,5.588318,12.92474,99.45313,4.39054,12.7377,99.29195,12.82853
1963-05,,,100.8813,100.5574,5.971865,12.99989,99.63107,4.682775,12.82064,99.49036,12.88632
1963-06,,,100.9706,100.6258,6.286354,13.07011,99.83645,5.023238,12.90803,99.71843,12.94447
1963-07,,,101.0274,100.666,6.509841,13.13659,100.0405,5.38266,12.9959,99.9454,13.003
1963-08,,,101.0625,100.6884,6.644723,13.20066,100.2206,5.741729,13.08113,100.1474,13.06188
1963-09,,,101.0837,100.7022,6.69953,13.2633,100.3659,6.09095,13.16218,100.313,13.12111
1963-10,,,101.0893,100.7072,6.683728,13.32425,100.4809,6.429856,13.23962,100.4472,13.18067
1963-11,,,101.0815,100.706,6.60677,13.38376,100.5765,6.755505,13.31492,100.5616,13.24057
1963-12,,,101.0725,100.709,6.499878,13.44344,100.661,7.051185,13.38913,100.6642,13.30078
1964-01,,,101.0703,100.7222,6.379976,13.5043,100.7309,7.277643,13.46155,100.7503,13.36131
1964-02,,,101.0628,100.7331,6.232534,13.56477,100.7773,7.390055,13.53066,100.8086,13.42213
1964-03,,,101.0506,100.7397,6.058449,13.6249,100.7925,7.361463,13.59517,100.8301,13.48324
1964-04,,,101.0364,100.7422,5.882379,13.68502,100.7768,7.201755,13.65504,100.815,13.54464
1964-05,,,101.0232,100.7422,5.735822,13.74554,100.7345,6.943785,13.71088,100.7685,13.60632
1964-06,,,101.0098,100.7385,5.632444,13.80628,100.6704,6.626714,13.7634,100.6961,13.66826
1964-07,,,100.982,100.721,5.547157,13.8653,100.5884,6.288566,13.81315,100.6022,13.73047
1964-08,,,100.9348,100.6865,5.463293,13.92185,100.4927,5.959435,13.8607,100.4913,13.79292
1964-09,,,100.8772,100.6442,5.382349,13.97717,100.3894,5.658661,13.90699,100.3706,13.85563
1964-10,,,100.8117,100.5973,5.308488,14.03156,100.2904,5.395126,13.95391,100.2538,13.91858
1964-11,,,100.7558,100.5603,5.257737,14.08745,100.2081,5.171499,14.0035,100.1555,13.98177
