country,NZL,NZL
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1961-06,97.17634,
1961-07,97.08675,
1961-08,97.00697,
1961-09,96.9636,
1961-10,96.99732,
1961-11,97.12365,
1961-12,97.394,
1962-01,97.86416,
1962-02,98.41866,
1962-03,98.91676,
1962-04,99.25402,
1962-05,99.48027,
1962-06,99.65987,
1962-07,99.84309,
1962-08,100.084,
1962-09,100.4611,
1962-10,101.0406,
1962-11,101.7028,
1962-12,102.2948,
1963-01,102.7,
1963-02,102.9782,
1963-03,103.1924,
1963-04,103.3626,
1963-05,103.4833,
1963-06,103.5085,
1963-07,103.3857,
1963-08,103.1855,
1963-09,102.9862,
1963-10,102.8359,
1963-11,102.7132,
1963-12,102.5827,
1964-01,102.4225,
1964-02,102.2601,
1964-03,102.1444,
1964-04,102.1207,
1964-05,102.1586,
1964-06,102.2256,
1964-07,102.2997,
1964-08,102.3525,
1964-09,102.3439,
1964-10,102.2392,
1964-11,102.0867,
1964-12,101.9402,
1965-01,101.8302,
1965-02,101.7279,
1965-03,101.5802,
1965-04,101.3363,
1965-05,101.0201,
1965-06,100.6509,
1965-07,100.236,
1965-08,99.81642,
1965-09,99.44873,
1965-10,99.19125,
1965-11,99.03839,
1965-12,99.00772,
1966-01,99.12225,
1966-02,99.27058,
1966-03,99.30888,
1966-04,99.12913,
1966-05,98.83727,
1966-06,98.56879,
1966-07,98.41654,
1966-08,98.33497,
1966-09,98.25216,
1966-10,98.11117,
1966-11,97.91254,
1966-12,97.65644,
1967-01,97.34247,
1967-02,97.02687,
1967-03,96.79011,
1967-04,96.70608,
1967-05,96.73248,
1967-06,96.83569,
1967-07,97.00507,
1967-08,97.19061,
1967-09,97.34531,
1967-10,97.45133,
1967-11,97.5771,
1967-12,97.83842,
1968-01,98.33992,
1968-02,98.98089,
1968-03,99.65057,
1968-04,100.284,
1968-05,100.8892,
1968-06,101.4895,
1968-07,102.0945,
1968-08,102.6754,
1968-09,103.1685,
1968-10,103.5026,
1968-11,103.7136,
1968-12,103.8132,
1969-01,103.7804,
1969-02,103.6638,
1969-03,103.4924,
1969-04,103.27,
1969-05,103.0244,
1969-06,102.7824,
1969-07,102.5684,
1969-08,102.3994,
1969-09,102.3086,
1969-10,102.3247,
1969-11,102.372,
1969-12,102.3449,
1970-01,102.1518,
1970-02,101.832,
1970-03,101.417,
1970-04,100.9179,
1970-05,100.4088,
1970-06,99.97764,
1970-07,99.68812,
1970-08,99.4631,
1970-09,99.20675,
1970-10,98.862,
1970-11,98.49948,
1970-12,98.24131,
1971-01,98.20256,
1971-02,98.32852,
1971-03,98.57876,
1971-04,98.94645,
1971-05,99.35355,
1971-06,99.72108,
1971-07,100.0002,
1971-08,100.2426,
1971-09,100.5169,
1971-10,100.8619,
1971-11,101.2071,
1971-12,101.4447,
1972-01,101.5012,
1972-02,101.516,
1972-03,101.6897,
1972-04,102.174,
1972-05,102.8023,
1972-06,103.3528,
1972-07,103.6667,
1972-08,103.8449,
1972-09,104.0205,
1972-10,104.2672,
1972-11,104.5108,
1972-12,104.6068,
1973-01,104.4219,
1973-02,104.0629,
1973-03,103.642,
1973-04,103.2161,
1973-05,102.7888,
1973-06,102.3292,
1973-07,101.7933,
1973-08,101.1769,
1973-09,100.4664,
1973-10,99.6701,
1973-11,98.94276,
1973-12,98.52136,
1974-01,98.59133,
1974-02,98.84696,
1974-03,98.88612,
1974-04,98.41925,
1974-05,97.69491,
1974-06,97.05617,
1974-07,96.75459,
1974-08,96.67847,
1974-09,96.68349,
1974-10,96.6977,
1974-11,96.74557,
1974-12,96.91352,
1975-01,97.28184,
1975-02,97.73649,
1975-03,98.1245,
1975-04,98.32294,
1975-05,98.37465,
1975-06,98.32127,
1975-07,98.18314,
1975-08,98.04428,
1975-09,98.00833,
1975-10,98.15536,
1975-11,98.39569,
1975-12,98.61492,
1976-01,98.7256,
1976-02,98.74,
1976-03,98.67175,
1976-04,98.53373,
1976-05,98.41862,
1976-06,98.45303,
1976-07,98.72878,
1976-08,99.08456,
1976-09,99.29673,
1976-10,99.19001,
1976-11,98.89187,
1976-12,98.55639,
1977-01,98.27969,
1977-02,98.05253,
1977-03,97.84097,
1977-04,97.61738,
1977-05,97.37589,
1977-06,97.12142,
1977-07,96.87646,
1977-08,96.70103,
1977-09,96.70855,
1977-10,97.01228,
1977-11,97.48885,
1977-12,98.01484,
1978-01,98.53077,
1978-02,99.05544,
1978-03,99.64201,
1978-04,100.3255,
1978-05,101.0079,
1978-06,101.5268,
1978-07,101.7248,
1978-08,101.6819,
1978-09,101.4473,
1978-10,101.0118,
1978-11,100.4722,
1978-12,99.90983,
1979-01,99.37442,
1979-02,98.88976,
1979-03,98.49931,
1979-04,98.26106,
1979-05,98.14814,
1979-06,98.16348,
1979-07,98.32916,
1979-08,98.54752,
1979-09,98.70428,
1979-10,98.71895,
1979-11,98.65683,
1979-12,98.60194,
1980-01,98.6065,
1980-02,98.63343,
1980-03,98.61931,
1980-04,98.51507,
1980-05,98.36771,
1980-06,98.25008,
1980-07,98.23371,
1980-08,98.33201,
1980-09,98.59409,
1980-10,99.08411,
1980-11,99.69666,
1980-12,100.3211,
1981-01,100.8837,
1981-02,101.3772,
1981-03,101.7845,
1981-04,102.0716,
1981-05,102.2664,
1981-06,102.3649,
1981-07,102.3308,
1981-08,102.1899,
1981-09,101.933,
1981-10,101.5238,
1981-11,101.0243,
1981-12,100.4887,
1982-01,99.9476,
1982-02,99.42903,
1982-03,98.97044,
1982-04,98.6086,
1982-05,98.30937,
1982-06,98.0451,
1982-07,97.8094,
1982-08,97.59689,
1982-09,97.42516,
1982-10,97.33355,
1982-11,97.34109,
1982-12,97.51393,
1983-01,97.93372,
1983-02,98.50054,
1983-03,99.12114,
1983-04,99.75001,
1983-05,100.3768,
1983-06,101.0036,
1983-07,101.6244,
1983-08,102.2047,
1983-09,102.6701,
1983-10,102.9365,
1983-11,103.054,
1983-12,103.0382,
1984-01,102.8495,
1984-02,102.5059,
1984-03,101.9712,
1984-04,101.1983,
1984-05,100.363,
1984-06,99.70197,
1984-07,99.41296,
1984-08,99.38038,
1984-09,99.4877,
1984-10,99.67343,
1984-11,99.84711,
1984-12,99.90562,
1985-01,99.76167,
1985-02,99.48734,
1985-03,99.14959,
1985-04,98.77611,
1985-05,98.38452,
1985-06,97.97993,
1985-07,97.57044,
1985-08,97.19578,
1985-09,96.92896,
1985-10,96.84309,
1985-11,96.87037,
1985-12,96.95236,
1986-01,97.07698,
1986-02,97.26093,
1986-03,97.56229,
1986-04,98.034,
1986-05,98.55963,
1986-06,98.98204,
1986-07,99.17786,
1986-08,99.23539,
1986-09,99.25771,
1986-10,99.30423,
1986-11,99.36736,
1986-12,99.41449,
1987-01,99.4133,
1987-02,99.37312,
1987-03,99.30195,
1987-04,99.20242,
1987-05,99.09877,
1987-06,99.01467,
1987-07,98.9552,
1987-08,98.86922,
1987-09,98.6758,
1987-10,98.3171,
1987-11,97.91865,
1987-12,97.66001,
1988-01,97.68508,
1988-02,97.87258,
1988-03,98.08081,
1988-04,98.2298,
1988-05,98.36292,
1988-06,98.5723,97.91946
1988-07,98.94021,98.16445
1988-08,99.40424,98.3884
1988-09,99.88561,98.55128
1988-10,100.3215,98.61727
1988-11,100.6798,98.63886
1988-12,100.9037,98.67915
1989-01,100.9334,98.7785
1989-02,100.8625,98.90244
1989-03,100.8001,99.00312
1989-04,100.8331,99.05624
1989-05,100.9802,99.12106
1989-06,101.2777,99.28735
1989-07,101.7496,99.61057
1989-08,102.2291,99.94553
1989-09,102.4773,100.0742
1989-10,102.2958,99.82187
1989-11,101.8695,99.37919
1989-12,101.4151,98.99008
1990-01,101.0742,98.82953
1990-02,100.8347,98.82795
1990-03,100.6615,98.89057
1990-04,100.5259,98.95789
1990-05,100.3687,99.00179
1990-06,100.1132,98.99363
1990-07,99.69887,98.89555
1990-08,99.21397,98.70395
1990-09,98.77192,98.3829
1990-10,98.45791,97.89096
1990-11,98.23294,97.33753
1990-12,98.06071,96.86694
1991-01,97.94544,96.60394
1991-02,97.91705,96.51644
1991-03,98.06013,96.59225
1991-04,98.45607,96.84026
1991-05,98.95377,97.12833
1991-06,99.3632,97.29615
1991-07,99.54729,97.22791
1991-08,99.60207,97.04533
1991-09,99.66509,96.9171
1991-10,99.85313,96.9825
1991-11,100.1917,97.22092
1991-12,100.7321,97.6256
1992-01,101.518,98.20451
1992-02,102.3499,98.81485
1992-03,102.9572,99.27439
1992-04,103.123,99.44141
1992-05,103.0348,99.44537
1992-06,102.9173,99.44149
1992-07,102.919,99.52828
1992-08,103.0284,99.67309
1992-09,103.2133,99.81346
1992-10,103.4526,99.90065
1992-11,103.6914,99.94744
1992-12,103.862,99.9763
1993-01,103.9042,100.0079
1993-02,103.8544,100.0674
1993-03,103.742,100.1962
1993-04,103.5788,100.4357
1993-05,103.4101,100.7411
1993-06,103.291,101.0643
1993-07,103.2667,101.3691
1993-08,103.3047,101.6305
1993-09,103.3749,101.8075
1993-10,103.4666,101.861
1993-11,103.5746,101.8547
1993-12,103.7029,101.8625
1994-01,103.8526,101.9356
1994-02,103.989,102.0554
1994-03,104.0539,102.1939
1994-04,103.9911,102.3271
1994-05,103.8432,102.43
1994-06,103.6449,102.4611
1994-07,103.4002,102.3769
1994-08,103.1108,102.2188
1994-09,102.7513,102.0245
1994-10,102.2876,101.8134
1994-11,101.7672,101.6085
1994-12,101.2461,101.4399
1995-01,100.7726,101.3413
1995-02,100.3719,101.3112
1995-03,100.0979,101.3682
1995-04,100.013,101.5377
1995-05,100.0394,101.7523
1995-06,100.1038,101.9289
1995-07,100.1693,102.0014
1995-08,100.2292,101.9913
1995-09,100.2886,101.9192
1995-10,100.3492,101.7995
1995-11,100.3966,101.6966
1995-12,100.399,101.6917
1996-01,100.3205,101.8326
1996-02,100.178,101.9862
1996-03,99.98177,101.9594
1996-04,99.74026,101.6094
1996-05,99.51798,101.1325
1996-06,99.4101,100.7986
1996-07,99.4976,100.8123
1996-08,99.68811,101.031
1996-09,99.86955,101.2692
1996-10,99.96074,101.3972
1996-11,99.97115,101.4207
1996-12,99.91152,101.3528
1997-01,99.78539,101.1905
1997-02,99.65054,100.9822
1997-03,99.58361,100.7711
1997-04,99.65348,100.5832
1997-05,99.82664,100.4192
1997-06,100.0686,100.2813
1997-07,100.3417,100.1771
1997-08,100.5348,100.0955
1997-09,100.4705,100.0297
1997-10,99.9921,99.97588
1997-11,99.30911,99.91651
1997-12,98.67691,99.82358
1998-01,98.28172,99.66673
1998-02,98.07452,99.45528
1998-03,98.00546,99.19115
1998-04,98.0703,98.87639
1998-05,98.21877,98.5733
1998-06,98.43452,98.37807
1998-07,98.73168,98.3826
1998-08,99.08393,98.52858
1998-09,99.48139,98.77159
1998-10,99.93233,99.10374
1998-11,100.4197,99.47933
1998-12,100.9328,99.85915
1999-01,101.4627,100.2114
1999-02,101.9716,100.5085
1999-03,102.3943,100.6961
1999-04,102.6599,100.718
1999-05,102.7999,100.6497
1999-06,102.8176,100.575
1999-07,102.6816,100.5519
1999-08,102.4429,100.5857
1999-09,102.1298,100.6871
1999-10,101.7462,100.8738
1999-11,101.3436,101.1044
1999-12,100.9754,101.3267
2000-01,100.6704,101.4833
2000-02,100.3716,101.5237
2000-03,99.995,101.3419
2000-04,99.48258,100.831
2000-05,98.93284,100.158
2000-06,98.50242,99.52636
2000-07,98.34509,99.09975
2000-08,98.43131,98.88453
2000-09,98.7709,98.92895
2000-10,99.39205,99.31091
2000-11,100.067,99.86605
2000-12,100.5052,100.4215
2001-01,100.4926,100.8566
2001-02,100.2677,101.163
2001-03,100.1323,101.3154
2001-04,100.2742,101.2713
2001-05,100.5011,101.1244
2001-06,100.5096,100.9681
2001-07,100.0686,100.8623
2001-08,99.42239,100.8095
2001-09,98.91783,100.8127
2001-10,98.83739,100.8822
2001-11,99.09032,100.9843
2001-12,99.58797,101.0865
2002-01,100.2857,101.1684
2002-02,100.9802,101.2336
2002-03,101.4119,101.2863
2002-04,101.3716,101.3256
2002-05,101.0684,101.3507
2002-06,100.7426,101.3537
2002-07,100.541,101.3257
2002-08,100.4138,101.2851
2002-09,100.2604,101.2507
2002-10,99.99947,101.2274
2002-11,99.66591,101.1856
2002-12,99.31522,101.0767
2003-01,99.0011,100.8672
2003-02,98.76978,100.6398
2003-03,98.70657,100.5164
2003-04,98.89951,100.5991
2003-05,99.23499,100.8078
2003-06,99.58896,101.0518
2003-07,99.87569,101.2764
2003-08,100.078,101.4737
2003-09,100.1654,101.6422
2003-10,100.0969,101.7743
2003-11,99.93849,101.8715
2003-12,99.75297,101.9188
2004-01,99.5802,101.8929
2004-02,99.44398,101.821
2004-03,99.37696,101.7283
2004-04,99.40891,101.6312
2004-05,99.48592,101.5521
2004-06,99.54375,101.5257
2004-07,99.53629,101.5883
2004-08,99.483,101.7137
2004-09,99.40743,101.8806
2004-10,99.32149,102.0758
2004-11,99.232,102.2572
2004-12,99.14143,102.3628
2005-01,99.05209,102.3325
2005-02,98.97155,102.2069
2005-03,98.91316,102.0204
2005-04,98.88785,101.7895
2005-05,98.87367,101.5616
2005-06,98.83335,101.3916
2005-07,98.72061,101.3146
2005-08,98.51263,101.261
2005-09,98.15983,101.1334
2005-10,97.63079,100.8603
2005-11,97.10208,100.5239
2005-12,96.83139,100.2365
2006-01,97.03027,100.0814
2006-02,97.4789,100.0042
2006-03,97.91006,99.93586
2006-04,98.14331,99.83937
2006-05,98.23663,99.74613
2006-06,98.28524,99.7232
2006-07,98.36042,99.83714
2006-08,98.49292,100.0474
2006-09,98.71919,100.3163
2006-10,99.07034,100.6215
2006-11,99.46723,100.9116
2006-12,99.80264,101.1142
2007-01,99.97752,101.1596
2007-02,99.99892,101.0917
2007-03,99.84256,100.9448
2007-04,99.4689,100.7324
2007-05,99.01701,100.5162
2007-06,98.6549,100.3709
2007-07,98.50809,100.3537
2007-08,98.49836,100.4026
2007-09,98.5281,100.4357
2007-10,98.52748,100.3845
2007-11,98.46223,100.2437
2007-12,98.28706,99.98448
2008-01,97.96374,99.55878
2008-02,97.58904,99.02065
2008-03,97.29472,98.42275
2008-04,97.19891,97.82504
2008-05,97.27697,97.36312
2008-06,97.52083,97.26562
2008-07,97.92424,97.73558
2008-08,98.30236,98.46763
2008-09,98.39697,99.08389
2008-10,98.00689,99.3079
2008-11,97.402,99.2543
2008-12,96.94006,99.06757
2009-01,96.89838,98.83833
2009-02,97.16249,98.65288
2009-03,97.61422,98.61446
2009-04,98.21383,98.82098
2009-05,98.89468,99.19547
2009-06,99.6246,99.67181
2009-07,100.3859,100.2124
2009-08,101.1066,100.7239
2009-09,101.6707,101.0778
2009-10,101.9692,101.1594
2009-11,102.1078,101.0747
2009-12,102.192,100.9357
2010-01,102.2715,100.8117
2010-02,102.3397,100.7347
2010-03,102.3498,100.7375
2010-04,102.2426,100.8442
2010-05,102.0322,100.9814
2010-06,101.7166,101.0515
2010-07,101.2924,100.976
2010-08,100.8732,100.8061
2010-09,100.6156,100.5939
2010-10,100.639,100.3587
2010-11,100.7843,100.095
2010-12,100.851,99.78051
2011-01,100.7114,99.4121
2011-02,100.5041,99.09293
2011-03,100.442,98.99296
2011-04,100.6891,99.26028
2011-05,101.0908,99.71322
2011-06,101.4319,100.1259
2011-07,101.541,100.3285
2011-08,101.4536,100.3471
2011-09,101.2035,100.2018
2011-10,100.8106,99.88744
2011-11,100.4303,99.51913
2011-12,100.2687,99.22711
2012-01,100.484,99.10532
2012-02,100.8699,99.08373
2012-03,101.1622,99.07771
2012-04,101.1743,99.03694
2012-05,101.0262,98.97902
2012-06,100.8879,98.94775
2012-07,100.8811,98.98875
2012-08,100.9726,99.09841
2012-09,101.1111,99.2848
2012-10,101.2667,99.55997
2012-11,101.4221,99.85558
2012-12,101.5696,100.085
2013-01,101.7089,100.1849
2013-02,101.8515,100.2232
2013-03,102.0126,100.2875
2013-04,102.1999,100.4349
2013-05,102.3835,100.6158
2013-06,102.5181,100.7543
2013-07,102.5689,100.7945
2013-08,102.5872,100.7892
2013-09,102.6395,100.8134
2013-10,102.7697,100.9217
2013-11,102.9273,101.0778
2013-12,103.0316,101.2299
2014-01,103.0078,101.3391
2014-02,102.8773,101.4119
2014-03,102.6513,101.4537
2014-04,102.3322,101.4584
2014-05,102.0098,101.4295
2014-06,101.8022,101.356
2014-07,101.7999,101.2215
2014-08,101.8955,101.0581
2014-09,101.9536,100.9043
2014-10,101.884,100.7922
2014-11,101.7515,100.7249
2014-12,101.6501,100.7137
2015-01,101.6395,100.7708
2015-02,101.6511,100.8466
2015-03,101.5704,100.8741
2015-04,101.2965,100.7953
2015-05,100.895,100.6353
2015-06,100.445,100.4169
2015-07,100.0142,100.1553
2015-08,99.68225,99.91248
