country,LVA,LVA
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
1993-04,86.01868,
1993-05,85.86696,
1993-06,85.67775,
1993-07,85.56684,
1993-08,86.03165,
1993-09,87.51483,
1993-10,90.05679,
1993-11,91.92974,
1993-12,93.2718,
1994-01,94.40952,
1994-02,94.63302,
1994-03,93.8728,
1994-04,92.47613,
1994-05,91.92822,
1994-06,92.53546,
1994-07,94.01237,
1994-08,94.87436,
1994-09,94.90887,
1994-10,94.39152,
1994-11,94.16882,
1994-12,94.37753,
1995-01,94.90178,
1995-02,95.24265,
1995-03,95.36196,
1995-04,95.34141,
1995-05,95.22419,
1995-06,94.99644,
1995-07,94.74361,
1995-08,94.87807,
1995-09,95.57125,
1995-10,96.69724,
1995-11,97.21779,
1995-12,96.8708,
1996-01,95.88425,
1996-02,95.4014,
1996-03,95.65287,
1996-04,96.43955,
1996-05,96.76385,
1996-06,96.34926,
1996-07,95.35512,
1996-08,94.79124,
1996-09,94.73675,
1996-10,94.98207,
1996-11,95.20075,
1996-12,95.25136,
1997-01,95.19332,
1997-02,95.35364,
1997-03,96.03307,
1997-04,97.30675,
1997-05,98.22746,
1997-06,98.83549,
1997-07,99.35513,
1997-08,99.58668,
1997-09,99.55948,
1997-10,99.33944,
1997-11,99.17348,
1997-12,98.88876,
1998-01,98.37128,
1998-02,97.92885,
1998-03,97.55766,
1998-04,97.26749,
1998-05,97.33559,
1998-06,97.73692,
1998-07,98.2324,
1998-08,97.96754,
1998-09,96.42336,
1998-10,93.7593,
1998-11,92.47474,
1998-12,92.72432,
1999-01,93.99338,
1999-02,94.96562,
1999-03,95.65485,
1999-04,96.31543,
1999-05,96.55761,
1999-06,96.2896,
1999-07,95.70991,
1999-08,95.61449,
1999-09,96.21736,
1999-10,97.36338,
1999-11,98.04254,
1999-12,97.98025,
2000-01,97.38812,
2000-02,97.10447,
2000-03,97.50555,
2000-04,98.59384,
2000-05,99.3233,
2000-06,99.48183,
2000-07,99.31367,
2000-08,99.39988,
2000-09,100.0057,
2000-10,101.0725,
2000-11,101.8074,
2000-12,102.0007,
2001-01,101.7606,
2001-02,101.3974,
2001-03,101.1558,
2001-04,101.1872,
2001-05,101.4395,101.2757
2001-06,102.2902,101.9129
2001-07,103.1996,102.3377
2001-08,103.5018,102.6628
2001-09,103.0588,102.9012
2001-10,102.3102,103.3235
2001-11,101.8953,103.7266
2001-12,102.0727,103.8074
2002-01,103.1741,103.5179
2002-02,103.6684,103.1355
2002-03,103.5157,103.0223
2002-04,102.8528,103.1739
2002-05,102.5367,103.2181
2002-06,102.5789,103.2496
2002-07,102.6967,103.3304
2002-08,102.818,103.5345
2002-09,103.0413,103.5257
2002-10,103.3587,103.8316
2002-11,103.5494,104.1472
2002-12,103.6833,104.1279
2003-01,103.8913,103.8698
2003-02,104.1921,103.5501
2003-03,104.5191,103.268
2003-04,104.4583,103.3649
2003-05,104.2503,103.4932
2003-06,104.1088,103.3156
2003-07,104.2721,102.9071
2003-08,104.4018,102.5163
2003-09,104.5138,102.7457
2003-10,104.6146,103.3134
2003-11,104.628,103.6951
2003-12,104.5289,103.4284
2004-01,104.4862,102.4887
2004-02,104.4931,101.2911
2004-03,104.6048,100.3408
2004-04,104.6977,100.3323
2004-05,104.7089,100.6357
2004-06,104.5436,101.3901
2004-07,104.3373,102.1385
2004-08,104.1914,102.3245
2004-09,104.0667,102.0977
2004-10,103.9682,101.9382
2004-11,103.8356,102.0498
2004-12,103.7979,102.4813
2005-01,103.8763,103.0527
2005-02,104.0996,103.379
2005-03,104.3092,103.4732
2005-04,104.5215,103.3822
2005-05,104.7576,103.3206
2005-06,104.8701,103.0785
2005-07,105.089,103.0692
2005-08,105.4008,103.3205
2005-09,105.6422,103.5219
2005-10,105.7752,103.9857
2005-11,105.8402,104.6125
2005-12,105.5505,105.3742
2006-01,105.0472,105.9909
2006-02,104.7592,106.3059
2006-03,104.7734,106.5032
2006-04,104.6921,106.7541
2006-05,104.6744,107.0959
2006-06,104.7749,107.3328
2006-07,105.1958,107.5275
2006-08,105.6394,107.5372
2006-09,106.0204,107.577
2006-10,106.1792,107.3005
2006-11,106.1258,107.2379
2006-12,106.194,107.1399
2007-01,106.4692,107.0252
2007-02,106.5642,106.5971
2007-03,106.1253,105.9637
2007-04,105.3629,105.6501
2007-05,104.8264,105.7148
2007-06,104.4456,105.9123
2007-07,104.1854,105.5901
2007-08,103.9965,104.8183
2007-09,103.606,103.7257
2007-10,103.1758,102.4762
2007-11,102.9112,101.7169
2007-12,102.6704,101.402
2008-01,102.2679,100.9837
2008-02,101.52,100.7502
2008-03,100.2958,100.3495
2008-04,98.87357,99.89366
2008-05,97.71915,99.67815
2008-06,97.22713,99.65186
2008-07,97.0382,99.67063
2008-08,96.76559,99.03078
2008-09,95.79317,98.19382
2008-10,94.36897,96.92483
2008-11,93.01394,94.9399
2008-12,91.71818,92.34142
2009-01,90.47503,90.42793
2009-02,89.67779,89.51729
2009-03,89.9557,89.30623
2009-04,91.05579,89.32613
2009-05,91.99496,88.6993
2009-06,92.53977,87.36984
2009-07,92.81448,86.95779
2009-08,93.02989,87.00999
2009-09,93.48226,86.92814
2009-10,94.10334,86.78829
2009-11,94.75071,87.11951
2009-12,95.48576,87.83091
2010-01,96.27812,89.43436
2010-02,97.28688,91.04445
2010-03,98.34191,92.26189
2010-04,99.225,93.04152
2010-05,99.86568,93.8772
2010-06,100.1618,94.2263
2010-07,100.2769,94.36486
2010-08,100.3049,94.77328
2010-09,100.1946,95.39129
2010-10,100.1118,95.92966
2010-11,100.003,95.85864
2010-12,99.91217,95.57502
2011-01,99.89463,95.60149
2011-02,100.2639,95.54376
2011-03,100.6323,95.35268
2011-04,100.7922,95.45776
2011-05,100.6995,96.27608
2011-06,100.5875,97.31129
2011-07,100.6299,98.23027
2011-08,100.5829,99.00288
2011-09,100.6818,99.17246
2011-10,100.7101,98.78878
2011-11,100.6829,98.50367
2011-12,100.7011,98.59039
2012-01,100.8612,99.22865
2012-02,101.0029,99.7358
2012-03,101.0567,99.74764
2012-04,100.9027,99.81051
2012-05,100.8636,100.346
2012-06,100.8426,101.0578
2012-07,100.7536,101.1535
2012-08,101.0108,101.0973
2012-09,101.3282,100.9596
2012-10,101.4392,100.8903
2012-11,101.4443,100.9914
2012-12,101.5041,101.0451
2013-01,101.561,101.057
2013-02,101.5525,100.937
2013-03,101.3158,101.0182
2013-04,101.1432,101.2294
2013-05,101.2763,101.4305
2013-06,101.3749,101.2778
2013-07,101.3999,100.666
2013-08,101.3591,100.1096
2013-09,101.3596,100.0651
2013-10,101.4145,100.2754
2013-11,101.5986,100.5714
2013-12,101.72,100.9658
2014-01,101.7611,101.3186
2014-02,101.6795,101.4736
2014-03,101.2885,101.7013
2014-04,101.0421,101.9755
2014-05,100.863,102.0108
2014-06,100.8965,101.8602
2014-07,100.9081,101.7282
2014-08,100.7973,101.4394
2014-09,100.7423,101.366
2014-10,100.6463,101.5799
2014-11,100.4662,101.9641
2014-12,100.074,102.1118
2015-01,99.8669,102.1938
2015-02,99.79144,102.3556
2015-03,99.90224,102.4835
2015-04,100.0858,102.5741
2015-05,100.1058,102.6435
2015-06,100.0844,102.5238
2015-07,100.2869,102.3993
2015-08,100.5169,102.2069
2015-09,100.5011,102.0629
2015-10,100.4405,102.267
2015-11,100.2446,102.5355
2015-12,100.1395,102.7077
2016-01,100.1205,102.8563
2016-02,100.2143,102.8494
2016-03,100.4971,102.5056
2016-04,100.7671,102.1311
2016-05,100.9259,102.0678
2016-06,101.0209,102.2721
2016-07,100.9308,102.2641
2016-08,100.8954,101.7953
2016-09,101.1762,101.2733
2016-10,101.4659,100.4874
2016-11,101.7808,99.77485
2016-12,101.9362,99.06334
2017-01,101.9742,98.96242
2017-02,102.1255,99.3148
2017-03,102.3029,99.94156
2017-04,102.4183,100.4413
2017-05,102.5184,101.0037
2017-06,102.591,101.5685
2017-07,102.6605,101.6804
2017-08,102.9497,101.2881
2017-09,103.2238,101.2015
2017-10,103.479,101.1336
2017-11,103.5115,101.228
2017-12,103.4442,101.4057
2018-01,103.3036,101.8404
2018-02,103.1258,101.8701
2018-03,103.0193,101.6857
2018-04,102.9124,101.4667
2018-05,102.8554,101.2252
2018-06,102.932,101.1002
2018-07,103.1208,101.1446
2018-08,103.2969,101.2227
2018-09,103.356,101.2311
2018-10,103.5073,101.0965
2018-11,103.6278,100.9947
2018-12,103.4631,101.0299
2019-01,103.0932,101.1477
2019-02,102.6671,101.2889
2019-03,102.2646,101.7271
2019-04,101.8533,102.017
2019-05,101.6912,102.0351
2019-06,101.6825,102.0305
2019-07,101.6176,102.1144
2019-08,101.6515,102.0369
2019-09,101.6256,102.0132
2019-10,101.7373,101.853
2019-11,102.0973,101.7429
2019-12,102.5389,101.6859
2020-01,102.7283,101.1945
2020-02,101.9952,100.2581
2020-03,99.84827,98.16592
2020-04,97.09833,95.7326
2020-05,96.52025,95.49503
2020-06,97.55045,96.45206
2020-07,99.17122,97.3719
2020-08,100.4832,98.03341
2020-09,101.3519,98.04085
2020-10,101.4862,97.60265
2020-11,101.3292,96.61439
2020-12,100.9854,95.89279
2021-01,100.6517,96.04169
2021-02,100.6479,96.73332
2021-03,101.243,97.7723
2021-04,102.1892,99.23777
2021-05,102.9871,100.0654
2021-06,103.4249,100.1067
2021-07,103.3666,98.92226
2021-08,103.0963,98.28005
2021-09,102.9074,98.26093
2021-10,102.7081,99.03799
2021-11,102.4841,99.07642
2021-12,102.4199,98.90453
2022-01,102.4969,97.85374
2022-02,102.5189,96.65617
2022-03,102.0743,94.9706
2022-04,101.5691,93.67921
2022-05,101.2256,92.25251
2022-06,100.8444,91.36723
2022-07,100.5394,91.98318
2022-08,100.1414,92.13532
2022-09,99.65955,92.00284
2022-10,99.36681,91.82408
2022-11,99.30424,91.34687
2022-12,99.4567,91.14426
2023-01,99.73712,91.61361
2023-02,99.99049,92.76231
2023-03,100.0652,93.89002
2023-04,99.75497,94.71404
2023-05,99.34998,95.53014
2023-06,99.20393,95.97166
2023-07,99.16209,96.50539
2023-08,99.1763,96.73923
