country,KOR,KOR
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,1.703139
1960-Q2,,1.779713
1960-Q3,,1.75993
1960-Q4,,1.770424
1961-Q1,7.278033,1.827095
1961-Q2,7.093669,1.90596
1961-Q3,6.320768,1.871171
1961-Q4,7.061388,1.895441
1962-Q1,5.807167,1.933197
1962-Q2,-0.4658051,1.897082
1962-Q3,4.352703,1.952618
1962-Q4,5.983428,2.008853
1963-Q1,10.00225,2.12656
1963-Q2,9.452534,2.076404
1963-Q3,9.843458,2.144823
1963-Q4,6.868185,2.146825
1964-Q1,6.980385,2.275002
1964-Q2,6.414695,2.209599
1964-Q3,10.03104,2.359971
1964-Q4,14.34704,2.454831
1965-Q1,9.2842,2.486218
1965-Q2,12.77337,2.491839
1965-Q3,4.75251,2.472129
1965-Q4,3.053443,2.529788
1966-Q1,7.988938,2.68484
1966-Q2,14.41891,2.851135
1966-Q3,13.33743,2.801847
1966-Q4,12.22857,2.839145
1967-Q1,9.310977,2.934825
1967-Q2,5.084574,2.996103
1967-Q3,11.35976,3.120131
1967-Q4,10.62251,3.140733
1968-Q1,13.82573,3.340586
1968-Q2,13.13874,3.389753
1968-Q3,14.21701,3.56372
1968-Q4,11.53128,3.5029
1969-Q1,10.21817,3.681933
1969-Q2,12.36949,3.809048
1969-Q3,15.50048,4.116113
1969-Q4,19.86887,4.198887
1970-Q1,12.10801,4.127742
1970-Q2,12.72429,4.293723
1970-Q3,4.960291,4.320284
1970-Q4,10.8184,4.65314
1971-Q1,13.36084,4.679243
1971-Q2,12.52859,4.831666
1971-Q3,12.05285,4.841002
1971-Q4,4.818665,4.877358
1972-Q1,5.732198,4.947466
1972-Q2,5.423043,5.093689
1972-Q3,6.953982,5.177644
1972-Q4,10.66979,5.397762
1973-Q1,12.70998,5.576288
1973-Q2,14.07481,5.810616
1973-Q3,17.93762,6.10639
1973-Q4,14.76535,6.194761
1974-Q1,15.72943,6.453407
1974-Q2,10.76964,6.436399
1974-Q3,7.049421,6.536856
1974-Q4,5.162476,6.514564
1975-Q1,2.375728,6.606722
1975-Q2,7.47886,6.917768
1975-Q3,8.851622,7.115473
1975-Q4,12.59443,7.335036
1976-Q1,14.23104,7.546927
1976-Q2,14.33922,7.909722
1976-Q3,13.31898,8.063182
1976-Q4,11.1633,8.153869
1977-Q1,9.123661,8.235484
1977-Q2,9.400601,8.653283
1977-Q3,13.76746,9.173277
1977-Q4,16.74142,9.518942
1978-Q1,14.64884,9.441886
1978-Q2,12.47648,9.732908
1978-Q3,8.073386,9.913871
1978-Q4,9.145261,10.38947
1979-Q1,14.97224,10.85555
1979-Q2,12.37749,10.9376
1979-Q3,7.272683,10.63488
1979-Q4,0.807386,10.47336
1980-Q1,-2.665745,10.56617
1980-Q2,-3.917118,10.50916
1980-Q3,0.6884881,10.70809
1980-Q4,-0.5864657,10.41193
1981-Q1,2.595366,10.8404
1981-Q2,5.64358,11.10225
1981-Q3,7.996963,11.56442
1981-Q4,12.8113,11.74584
1982-Q1,9.087773,11.82555
1982-Q2,9.016197,12.10325
1982-Q3,6.830068,12.35427
1982-Q4,8.489928,12.74305
1983-Q1,12.53287,13.30763
