country,A5M,A5M,A5M,A5M,A5M,A5M,A5M,A5M,A5M,A5M,A5M
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPOR_GYSA,LORSGPOR_IXOBSA,LORSGPRT,LORSGPTD
measure,,,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,2010=100,,
time,,,,,,,,,,,
1978-01,,,,,,,100.2962,,8.588322,100.4586,8.549118
1978-02,,,,,,,100.3326,,8.623819,100.4659,8.583831
1978-03,,,,,,,100.352,,8.657917,100.4549,8.618714
1978-04,,,,,,,100.3576,,8.690927,100.4295,8.653762
1978-05,,,,,,,100.3565,,8.723481,100.3972,8.688968
1978-06,,,,,,,100.3561,,8.756183,100.3652,8.724325
1978-07,,,,,,,100.3642,,8.789901,100.3433,8.759828
1978-08,,,,,,,100.3914,,8.826012,100.3472,8.79547
1978-09,,,,,,,100.4424,,8.865166,100.3841,8.831247
1978-10,,,,,,,100.5182,,8.907537,100.4554,8.867152
1978-11,,,,,,,100.6189,,8.953285,100.5628,8.903181
1978-12,,,,,,,100.7407,,9.001988,100.7009,8.939328
1979-01,,,,,,,100.8788,5.411904,9.053114,100.8637,8.975589
1979-02,,,,,,,101.0296,5.597162,9.106508,101.0492,9.011957
1979-03,,,,,,,101.1816,5.809155,9.16087,101.2426,9.04843
1979-04,,,,,,,101.319,6.023452,9.21442,101.4245,9.085004
1979-05,,,,,,,101.4274,6.214806,9.265628,101.5781,9.121675
1979-06,,,,,,,101.4953,6.361878,9.313241,101.6902,9.158443
1979-07,,,,,,,101.5225,6.45304,9.357117,101.7597,9.195306
1979-08,,,,,,,101.5104,6.470745,9.39712,101.7857,9.232263
1979-09,,,,,,,101.4608,6.407002,9.433158,101.7676,9.269316
1979-10,,,,,,,101.3746,6.257074,9.464888,101.7023,9.306466
1979-11,,,,,,,101.2532,6.018419,9.492131,101.5884,9.343719
1979-12,,,,,,,101.1004,5.700969,9.515189,101.4296,9.38108
1980-01,,,,,,,100.922,5.319,9.534649,101.2326,9.418554
1980-02,,,,,,,100.7236,4.879694,9.550879,101.0018,9.456151
1980-03,,,,,,,100.5218,4.418283,9.565622,100.7557,9.493878
1980-04,,,,,,,100.3482,3.994176,9.58246,100.5321,9.531747
1980-05,,,,,,,100.2337,3.661206,9.604862,100.3667,9.569767
1980-06,,,,,,,100.1966,3.454182,9.634937,100.2809,9.60795
1980-07,,,,,,,100.2235,3.357546,9.671287,100.2589,9.646309
1980-08,,,,,,,100.2867,3.339934,9.710979,100.2698,9.684853
1980-09,,,,,,,100.3598,3.374239,9.751454,100.2865,9.723596
1980-10,,,,,,,100.4245,3.449072,9.791338,100.2949,9.762551
1980-11,,,,,,,100.4676,3.55686,9.829753,100.2859,9.801732
1980-12,,,,,,,100.4823,3.69014,9.866313,100.2557,9.841153
1981-01,,,,,,,100.4737,3.849697,9.901704,100.2113,9.880828
1981-02,,,,,,,100.4518,4.044141,9.937129,100.1649,9.920774
1981-03,,,,,,,100.4239,4.263872,9.973488,100.1253,9.961003
1981-04,,,,,,,100.3851,4.462106,10.01004,100.085,10.00153
1981-05,,,,,,,100.3283,4.590395,10.04576,100.0337,10.04238
1981-06,,,,,,,100.2516,4.621441,10.08021,99.96676,10.08356
1981-07,,,,,,,100.1665,4.581819,10.11441,99.89449,10.12509
1981-08,,,,,,,100.09,4.520738,10.14999,99.8328,10.16699
1981-09,,,,,,,100.0361,4.479756,10.1883,99.79463,10.20926
1981-10,,,,,,,100.0087,4.474852,10.22949,99.78098,10.25194
1981-11,,,,,,,100.0031,4.506358,10.27272,99.78323,10.29503
1981-12,,,,,,,100.0101,4.565059,10.31672,99.7887,10.33856
1982-01,,,,,,,100.0127,4.623035,10.35946,99.77775,10.38254
1982-02,,,,,,,99.99516,4.646882,10.3989,99.73261,10.42678
1982-03,,,,,,,99.94839,4.622236,10.43449,99.64658,10.47149
1982-04,,,,,,,99.87309,4.560413,10.46654,99.52292,10.51671
1982-05,,,,,,,99.77793,4.486205,10.49644,99.37502,10.56245
1982-06,,,,,,,99.67592,4.423684,10.52613,99.22144,10.60872
1982-07,,,,,,,99.58165,4.383031,10.55772,99.08192,10.65555
1982-08,,,,,,,99.50651,4.363704,10.5929,98.97176,10.70295
1982-09,,,,,,,99.45461,4.359115,10.63242,98.89748,10.75095
1982-10,,,,,,,99.41644,4.357397,10.67523,98.84882,10.79955
1982-11,,,,,,,99.37728,4.348835,10.71946,98.80807,10.84877
1982-12,,,,,,,99.32687,4.332337,10.76367,98.76167,10.89863
1983-01,,,,,,,99.26931,4.330745,10.80811,98.71186,10.94915
1983-02,,,,,,,99.21763,4.378627,10.85423,98.67133,11.00038
1983-03,,,,,,,99.18314,4.492498,10.90326,98.65144,11.0523
1983-04,,,,,,,99.17168,4.674446,10.95579,98.65717,11.10491
1983-05,,,,,,,99.18373,4.90958,11.01177,98.68747,11.15822
1983-06,,,,,,,99.21518,5.172553,11.0706,98.73667,11.21224
1983-07,,,,,,,99.25404,5.427147,11.13071,98.7905,11.26698
1983-08,,,,,,,99.28775,5.6414,11.19049,98.83456,11.32245
1983-09,,,,,,,99.30855,5.798562,11.24894,98.86016,11.37864
1983-10,,,,,,,99.31979,5.914399,11.3066,98.87218,11.43557
1983-11,,,,,,,99.33176,6.022742,11.36507,98.88474,11.49325
1983-12,,,,,,,99.35645,6.156175,11.4263,98.91478,11.55166
1984-01,,,,,,,99.40099,6.324189,11.49163,98.97342,11.61082
1984-02,,,,,,,99.46477,6.513949,11.56126,99.06042,11.67092
1984-03,,,,,,,99.54037,6.700576,11.63384,99.16525,11.73177
1984-04,,,,,,,99.62127,6.872208,11.7087,99.28211,11.79336
1984-05,,,,,,,99.69949,7.021733,11.78498,99.40355,11.8557
1984-06,,,,,,,99.7679,7.147316,11.86185,99.52235,11.91878
