country,ONM,ONM,ONM,ONM,ONM,ONM,ONM,ONM,ONM,ONM,ONM
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPOR_GYSA,LORSGPOR_IXOBSA,LORSGPRT,LORSGPTD
measure,,,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,2010=100,,
time,,,,,,,,,,,
1960-02,,,,,,,100.5059,,11.78136,100.5387,11.71823
1960-03,,,,,,,100.4657,,11.82326,100.4941,11.76513
1960-04,,,,,,,100.399,,11.86163,100.4169,11.81239
1960-05,,,,,,,100.3205,,11.89854,100.3248,11.86002
1960-06,,,,,,,100.2419,,11.93561,100.2317,11.90801
1960-07,,,,,,,100.1621,,11.97268,100.1364,11.95638
1960-08,,,,,,,100.0757,,12.00897,100.032,12.00513
1960-09,,,,,,,99.98083,,12.0442,99.91653,12.05427
1960-10,,,,,,,99.8877,,12.07991,99.8027,12.10379
1960-11,,,,,,,99.81061,,12.11826,99.70829,12.15372
1960-12,,,,,,,99.76016,,12.16091,99.64661,12.20404
1961-01,,,,,,,99.73425,,12.20764,99.61543,12.25477
1961-02,,,,,,,99.72604,4.041431,12.2575,99.60658,12.30591
1961-03,,,,,,,99.73811,4.126277,12.31112,99.622,12.35783
1961-04,,,,,,,99.76151,4.25945,12.36687,99.65113,12.41017
1961-05,,,,,,,99.79913,4.425596,12.42512,99.69668,12.46292
1961-06,,,,,,,99.85434,4.613795,12.48629,99.76196,12.51609
1961-07,,,,,,,99.92678,4.82477,12.55034,99.84622,12.56967
1961-08,,,,,,,100.0139,5.062287,12.6169,99.94638,12.62367
1961-09,,,,,,,100.1111,5.322705,12.68528,100.0568,12.67808
1961-10,,,,,,,100.2099,5.582546,12.75428,100.1678,12.73291
1961-11,,,,,,,100.3008,5.811019,12.82246,100.2682,12.78815
1961-12,,,,,,,100.3748,5.982638,12.88845,100.3476,12.84381
1962-01,,,,,,,100.4254,6.091912,12.95132,100.3988,12.89987
1962-02,,,,,,,100.4488,6.142847,13.01046,100.4176,12.95635
1962-03,,,,,,,100.4441,6.12996,13.06579,100.4039,13.01323
1962-04,,,,,,,100.4168,6.075311,13.1182,100.3648,13.07052
1962-05,,,,,,,100.373,5.984359,13.16868,100.3082,13.12821
1962-06,,,,,,,100.3151,5.857451,13.21767,100.2378,13.18632
1962-07,,,,,,,100.239,5.690773,13.26455,100.149,13.24482
1962-08,,,,,,,100.1385,5.479998,13.3083,100.0344,13.30373
1962-09,,,,,,,100.01,5.227098,13.34835,99.89014,13.36304
1962-10,,,,,,,99.858,4.947821,13.38534,99.72132,13.42274
1962-11,,,,,,,99.69556,4.669617,13.42122,99.54285,13.48285
1962-12,,,,,,,99.54474,4.429165,13.45931,99.37939,13.54336
1963-01,,,,,,,99.43546,4.2682,13.50411,99.26383,13.60426
1963-02,,,,,,,99.39706,4.224391,13.56007,99.22812,13.66555
1963-03,,,,,,,99.44496,4.31515,13.6296,99.28877,13.72723
1963-04,,,,,,,99.56989,4.521593,13.71135,99.43481,13.78929
1963-05,,,,,,,99.74712,4.806481,13.80163,99.63841,13.85172
1963-06,,,,,,,99.94724,5.131853,13.89598,99.86684,13.91451
1963-07,,,,,,,100.1432,5.471018,13.99026,100.0901,13.97766
1963-08,,,,,,,100.3149,5.808772,14.08135,100.2863,14.04115
1963-09,,,,,,,100.4536,6.139385,14.16786,100.4458,14.10498
1963-10,,,,,,,100.5632,6.462555,14.25037,100.5734,14.16913
1963-11,,,,,,,100.6535,6.774075,14.33038,100.68,14.23359
1963-12,,,,,,,100.732,7.05583,14.40897,100.7737,14.29835
1964-01,,,,,,,100.7966,7.268578,14.48566,100.8512,14.36341
1964-02,,,,,,,100.8405,7.368084,14.55918,100.904,14.42875
1964-03,,,,,,,100.8576,7.328155,14.62839,100.9247,14.49437
1964-04,,,,,,,100.8483,7.161592,14.6933,100.9138,14.56025
1964-05,,,,,,,100.8161,6.903831,14.75447,100.8757,14.62639
1964-06,,,,,,,100.765,6.596041,14.81257,100.8152,14.69279
1964-07,,,,,,,100.6987,6.275216,14.86818,100.7368,14.75942
1964-08,,,,,,,100.6214,5.969422,14.92193,100.645,14.8263
1964-09,,,,,,,100.5387,5.695487,14.97479,100.5465,14.8934
1964-10,,,,,,,100.4602,5.460365,15.02849,100.4529,14.96073
1964-11,,,,,,,100.3958,5.264547,15.08481,100.3761,15.02828
1964-12,,,,,,,100.3509,5.1063,15.14474,100.3225,15.09605
1965-01,,,,,,,100.3226,4.984523,15.20771,100.288,15.16403
1965-02,,,,,,,100.3046,4.899473,15.27251,100.2646,15.23221
1965-03,,,,,,,100.292,4.852393,15.33822,100.246,15.30059
1965-04,,,,,,,100.2848,4.843739,15.40501,100.2333,15.36916
1965-05,,,,,,,100.2865,4.874539,15.47369,100.2317,15.43792
1965-06,,,,,,,100.301,4.945936,15.54519,100.2472,15.50686
1965-07,,,,,,,100.3296,5.055801,15.61988,100.2818,15.57598
1965-08,,,,,,,100.3723,5.199809,15.69784,100.336,15.64528
1965-09,,,,,,,100.428,5.369674,15.77889,100.4082,15.71474
1965-10,,,,,,,100.4937,5.548849,15.8624,100.4944,15.78436
1965-11,,,,,,,100.5648,5.718867,15.94749,100.5888,15.85414
1965-12,,,,,,,100.6357,5.864915,16.03296,100.6838,15.92407
1966-01,,,,,,,100.6992,5.980945,16.11727,100.7697,15.99416
1966-02,,,,,,,100.7473,6.064474,16.19871,100.8361,16.06439
1966-03,,,,,,,100.7731,6.112494,16.27577,100.8739,16.13476
1966-04,,,,,,,100.7737,6.119972,16.34779,100.8794,16.20528
1966-05,,,,,,,100.7475,6.07967,16.41443,100.8509,16.27594
1966-06,,,,,,,100.6943,5.985179,16.47559,100.7882,16.34675
1966-07,,,,,,,100.6159,5.837135,16.53163,100.694,16.4177
