country,OECD
subject,LORSGPRT
measure,
unit,Index
powercode,Units
reference_period,
time,
1980-Q2,100.5587
1980-Q3,100.1788
1980-Q4,100.4067
1981-Q1,100.7095
1981-Q2,100.7287
1981-Q3,100.4973
1981-Q4,99.97196
1982-Q1,99.3145
1982-Q2,98.70918
1982-Q3,98.12774
1982-Q4,97.75868
1983-Q1,97.7927
1983-Q2,98.16677
1983-Q3,98.73522
1983-Q4,99.35293
1984-Q1,99.81699
1984-Q2,100.0274
1984-Q3,100.1239
1984-Q4,100.1404
1985-Q1,100.2214
1985-Q2,100.4104
1985-Q3,100.5577
1985-Q4,100.4767
1986-Q1,100.1868
1986-Q2,99.85978
1986-Q3,99.54331
1986-Q4,99.19401
1987-Q1,99.0101
1987-Q2,99.25639
1987-Q3,99.71667
1987-Q4,100.1601
1988-Q1,100.3065
1988-Q2,100.2958
1988-Q3,100.4249
1988-Q4,100.6962
1989-Q1,100.8674
1989-Q2,100.8451
1989-Q3,100.9036
1989-Q4,101.0973
1990-Q1,101.3127
1990-Q2,101.3984
1990-Q3,101.1988
1990-Q4,100.786
1991-Q1,100.4125
1991-Q2,100.1802
1991-Q3,100.0407
1991-Q4,100.059
1992-Q1,100.1347
1992-Q2,100.0727
1992-Q3,99.8877
1992-Q4,99.60316
1993-Q1,99.29101
1993-Q2,99.05634
1993-Q3,98.98556
1993-Q4,99.1393
1994-Q1,99.36825
1994-Q2,99.55471
1994-Q3,99.7429
1994-Q4,99.83761
1995-Q1,99.69823
1995-Q2,99.52288
1995-Q3,99.46004
1995-Q4,99.44087
1996-Q1,99.52029
1996-Q2,99.69184
1996-Q3,99.80133
1996-Q4,99.86638
1997-Q1,99.98956
1997-Q2,100.2484
1997-Q3,100.4596
1997-Q4,100.4854
1998-Q1,100.2892
1998-Q2,100.0571
1998-Q3,99.94851
1998-Q4,99.90593
1999-Q1,99.85174
1999-Q2,99.9248
1999-Q3,100.2621
1999-Q4,100.7483
2000-Q1,101.1986
2000-Q2,101.5059
2000-Q3,101.5315
2000-Q4,101.3478
2001-Q1,100.9775
2001-Q2,100.4369
2001-Q3,99.84454
2001-Q4,99.43735
2002-Q1,99.32892
2002-Q2,99.36685
2002-Q3,99.28665
2002-Q4,99.01379
2003-Q1,98.71137
2003-Q2,98.65655
2003-Q3,98.92244
2003-Q4,99.27381
2004-Q1,99.49356
2004-Q2,99.57284
2004-Q3,99.59407
2004-Q4,99.65024
2005-Q1,99.75647
2005-Q2,99.91009
2005-Q3,100.1503
2005-Q4,100.4634
2006-Q1,100.7958
2006-Q2,101.0064
2006-Q3,101.166
2006-Q4,101.4648
2007-Q1,101.7955
2007-Q2,102.0815
2007-Q3,102.3615
2007-Q4,102.6143
2008-Q1,102.6586
2008-Q2,102.3084
2008-Q3,101.2221
2008-Q4,99.34497
2009-Q1,97.62276
2009-Q2,97.01648
2009-Q3,97.283
2009-Q4,97.84984
2010-Q1,98.46014
2010-Q2,99.12075
2010-Q3,99.66377
2010-Q4,99.93345
2011-Q1,99.99738
2011-Q2,100.0566
2011-Q3,100.1872
2011-Q4,100.2942
2012-Q1,100.2842
2012-Q2,100.0968
2012-Q3,99.80729
2012-Q4,99.57526
2013-Q1,99.55428
2013-Q2,99.67434
2013-Q3,99.80424
2013-Q4,99.81768
2014-Q1,99.74873
2014-Q2,99.74978
2014-Q3,99.86375
2014-Q4,100.0077
2015-Q1,100.1494
2015-Q2,100.2044
2015-Q3,100.1445
2015-Q4,100.0132
2016-Q1,99.88868
2016-Q2,99.76218
2016-Q3,99.71626
2016-Q4,99.8233
2017-Q1,99.99013
2017-Q2,100.1813
2017-Q3,100.4076
2017-Q4,100.6347
2018-Q1,100.7849
2018-Q2,100.8047
2018-Q3,100.6676
2018-Q4,100.5539
2019-Q1,100.62
2019-Q2,100.7461
2019-Q3,100.7415
2019-Q4,100.5759
2020-Q1,98.30828
2020-Q2,89.37937
2020-Q3,94.84112
2020-Q4,96.36318
2021-Q1,96.90716
2021-Q2,97.88705
