country,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,101.6252,102.5338,12.02913
1960-03,,,,,,,101.5197,102.3644,12.08898
1960-04,,,,,,,101.4142,102.1952,12.14913
1960-05,,,,,,,101.3088,102.0259,12.20958
1960-06,,,,,,,101.2032,101.8564,12.27035
1960-07,,,,,,,101.0974,101.6864,12.33145
1960-08,,,,,,,100.991,101.5157,12.39287
1960-09,,,,,,,100.884,101.3439,12.45465
1960-10,,,,,,,100.7762,101.1707,12.5168
1960-11,,,,,,,100.6671,100.9956,12.57932
1960-12,,,,,,,100.5569,100.8186,12.64225
1961-01,,,,,,,100.4454,100.6397,12.7056
1961-02,,,,,,,100.333,100.4592,12.76938
1961-03,,,,,,,100.2201,100.2779,12.83363
1961-04,,,,,,,100.1074,100.0969,12.89837
1961-05,,,,,,,99.99567,99.91758,12.96361
1961-06,,,,,,,99.88556,99.7408,13.02939
1961-07,,,,,,,99.77705,99.56658,13.09572
1961-08,,,,,,,99.66979,99.39438,13.16263
1961-09,,,,,,,99.56319,99.22323,13.23015
1961-10,,,,,,,99.45621,99.05148,13.29829
1961-11,,,,,,,99.34797,98.87769,13.36709
1961-12,,,,,,,99.23814,98.70135,13.43657
1962-01,,,,,,,99.12737,98.52351,13.50674
1962-02,,,,,,,99.01752,98.34715,13.57764
1962-03,,,,,,,98.91183,98.17746,13.64927
1962-04,,,,,,,98.81485,98.02175,13.72167
1962-05,,,,,,,98.73179,97.88839,13.79485
1962-06,,,,,,,98.66711,97.78456,13.86882
1962-07,,,,,,,98.622,97.71214,13.9436
1962-08,,,,,,,98.59598,97.67035,14.0192
1962-09,,,,,,,98.58695,97.65586,14.09563
1962-10,,,,,,,98.58968,97.66024,14.17289
1962-11,,,,,,,98.59863,97.67461,14.251
1962-12,,,,,,,98.60975,97.69246,14.32995
1963-01,,,,,,,98.62154,97.7114,14.40975
1963-02,,,,,,,98.63553,97.73385,14.49038
1963-03,,,,,,,98.65644,97.76742,14.57185
1963-04,,,,,,,98.69196,97.82444,14.65415
1963-05,,,,,,,98.75144,97.91994,14.73726
1963-06,,,,,,,98.8434,98.06759,14.82117
1963-07,,,,,,,98.97092,98.27234,14.90587
1963-08,,,,,,,99.13448,98.53493,14.99134
1963-09,,,,,,,99.3317,98.85158,15.07754
1963-10,,,,,,,99.55432,99.209,15.16447
1963-11,,,,,,,99.79248,99.59137,15.25209
1963-12,,,,,,,100.0369,99.98373,15.34038
1964-01,,,,,,,100.2794,100.3731,15.4293
1964-02,,,,,,,100.5125,100.7473,15.51883
1964-03,,,,,,,100.7286,101.0943,15.60893
1964-04,,,,,,,100.9195,101.4009,15.69957
1964-05,,,,,,,101.0766,101.6531,15.79074
1964-06,,,,,,,101.1928,101.8396,15.88239
1964-07,,,,,,,101.2663,101.9576,15.9745
1964-08,,,,,,,101.2978,102.0083,16.06704
1964-09,,,,,,,101.2906,101.9966,16.15999
1964-10,,,,,,,101.253,101.9362,16.25333
1964-11,,,,,,,101.1944,101.8422,16.34704
1964-12,,,,,,,101.1232,101.7278,16.4411
1965-01,,,,,,,101.0457,101.6035,16.53549
1965-02,,,,,,,100.9669,101.4769,16.6302
1965-03,,,,,,,100.89,101.3534,16.72521
1965-04,,,,,,,100.8178,101.2376,16.82052
1965-05,,,,,,,100.7526,101.1328,16.91611
1965-06,,,,,,,100.6957,101.0415,17.01198
1965-07,,,,,,,100.6473,100.9639,17.10811
1965-08,,,,,,,100.6071,100.8993,17.20451
1965-09,,,,,,,100.5741,100.8462,17.30116
1965-10,,,,,,,100.5461,100.8013,17.39806
1965-11,,,,,,,100.521,100.7611,17.49521
1965-12,,,,,,,100.497,100.7224,17.5926
1966-01,,,,,,,100.4726,100.6833,17.69024
1966-02,,,,,,,100.4469,100.642,17.78813
1966-03,,,,,,,100.4192,100.5976,17.88626
1966-04,,,,,,,100.3891,100.5493,17.98463
1966-05,,,,,,,100.3561,100.4962,18.08326
1966-06,,,,,,,100.3196,100.4377,18.18213
1966-07,,,,,,,100.2795,100.3732,18.28127
1966-08,,,,,,,100.2355,100.3027,18.38066
1966-09,,,,,,,100.1876,100.2258,18.48032
1966-10,,,,,,,100.1362,100.1432,18.58025
1966-11,,,,,,,100.0817,100.0557,18.68046
1966-12,,,,,,,100.0252,99.96501,18.78096
1967-01,,,,,,,99.96815,99.87341,18.88175
1967-02,,,,,,,99.91283,99.78458,18.98284
1967-03,,,,,,,99.86247,99.70374,19.08423
1967-04,,,,,,,99.82134,99.6377,19.18594
1967-05,,,,,,,99.79424,99.59418,19.28797
1967-06,,,,,,,99.78529,99.57983,19.39033
1967-07,,,,,,,99.79585,99.59677,19.49302
1967-08,,,,,,,99.82585,99.64494,19.59605
1967-09,,,,,,,99.87383,99.72198,19.69942
1967-10,,,,,,,99.9354,99.82082,19.80313
1967-11,,,,,,,100.0054,99.93328,19.9072
1967-12,,,,,,,100.0792,100.0518,20.01162
1968-01,,,,,,,100.1529,100.17,20.1164
1968-02,,,,,,,100.2229,100.2823,20.22155
1968-03,,,,,,,100.2859,100.3836,20.32705
1968-04,,,,,,,100.3386,100.4682,20.43293
1968-05,,,,,,,100.3773,100.5304,20.53919
1968-06,,,,,,,100.3992,100.5654,20.64583
1968-07,,,,,,,100.4032,100.572,20.75285
1968-08,,,,,,,100.3896,100.5501,20.86028
1968-09,,,,,,,100.3594,100.5016,20.96811
1968-10,,,,,,,100.3158,100.4316,21.07636
1968-11,,,,,,,100.2625,100.346,21.18504
1968-12,,,,,,,100.2032,100.2507,21.29416
1969-01,,,,,,,100.1411,100.1511,21.40373
1969-02,,,,,,,100.0798,100.0527,21.51377
1969-03,,,,,,,100.023,99.96145,21.6243
1969-04,,,,,,,99.97507,99.88451,21.73532
1969-05,,,,,,,99.94077,99.82944,21.84686
1969-06,,,,,,,99.92409,99.80266,21.95892
1969-07,,,,,,,99.92629,99.80621,22.07152
1969-08,,,,,,,99.94735,99.84,22.18468
1969-09,,,,,,,99.98583,99.90179,22.29841
1969-10,,,,,,,100.0375,99.98469,22.41273
1969-11,,,,,,,100.0971,100.0805,22.52765
1969-12,,,,,,,100.1599,100.1812,22.64319
1970-01,,,,,,,100.221,100.2794,22.75935
1970-02,,,,,,,100.2758,100.3673,22.87616
1970-03,,,,,,,100.3186,100.436,22.99364
1970-04,,,,,,,100.343,100.4753,23.11179
1970-05,,,,,,,100.342,100.4737,23.23064
1970-06,,,,,,,100.3095,100.4214,23.35022
1970-07,,,,,,,100.2432,100.315,23.47053
1970-08,,,,,,,100.143,100.1541,23.5916
1970-09,,,,,,,100.0107,99.94167,23.71345
1970-10,,,,,,,99.85256,99.68783,23.83612
1970-11,,,,,,,99.6764,99.40499,23.95962
1970-12,,,,,,,99.48979,99.10539,24.08397
1971-01,,,,,,,99.30022,98.80103,24.20921
1971-02,,,,,,,99.11555,98.50452,24.33535
1971-03,,,,,,,98.94474,98.2303,24.46241
1971-04,,,,,,,98.79824,97.99509,24.59041
1971-05,,,,,,,98.68722,97.81683,24.71938
1971-06,,,,,,,98.62109,97.71068,24.84931
1971-07,,,,,,,98.60254,97.68089,24.98022
1971-08,,,,,,,98.63102,97.72661,25.1121
1971-09,,,,,,,98.70279,97.84184,25.24496
1971-10,,,,,,,98.80724,98.00954,25.3788
1971-11,,,,,,,98.93246,98.21058,25.51359
1971-12,,,,,,,99.06814,98.42842,25.64933
1972-01,,,,,,,99.20676,98.65099,25.786
1972-02,,,,,,,99.34364,98.87074,25.92356
1972-03,,,,,,,99.47643,99.08393,26.06201
1972-04,,,,,,,99.6046,99.28971,26.20131
1972-05,,,,,,,99.72868,99.48893,26.34142
1972-06,,,,,,,99.84967,99.68318,26.48232
1972-07,,,,,,,99.96844,99.87386,26.62397
1972-08,,,,,,,100.0857,100.0621,26.76633
1972-09,,,,,,,100.2018,100.2485,26.90937
1972-10,,,,,,,100.3166,100.4329,27.05305
1972-11,,,,,,,100.4297,100.6145,27.19734
1972-12,,,,,,,100.5403,100.792,27.34218
1973-01,,,,,,,100.6472,100.9637,27.48755
1973-02,,,,,,,100.7489,101.127,27.63341
1973-03,,,,,,,100.8431,101.2781,27.77971
1973-04,,,,,,,100.9267,101.4124,27.92644
1973-05,,,,,,,100.9965,101.5245,28.07354
