country,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPOR_GYSA,LORSGPOR_IXOBSA,LORSGPRT,LORSGPTD
measure,,,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,2010=100,,
time,,,,,,,,,,,
1960-02,,,,,,,100.3383,,17.92979,100.2876,17.87838
1960-03,,,,,,,100.2947,,17.99237,100.239,17.94947
1960-04,,,,,,,100.2238,,18.04939,100.157,18.0211
1960-05,,,,,,,100.1409,,18.1041,100.0597,18.0933
1960-06,,,,,,,100.0582,,18.15913,99.96182,18.16607
1960-07,,,,,,,99.975,,18.21432,99.86246,18.2394
1960-08,,,,,,,99.88629,,18.26852,99.75536,18.31332
1960-09,,,,,,,99.79064,,18.32145,99.63897,18.38784
1960-10,,,,,,,99.69865,,18.37552,99.52649,18.46295
1960-11,,,,,,,99.62508,,18.43416,99.43629,18.53866
1960-12,,,,,,,99.58082,,18.49995,99.38197,18.615
1961-01,,,,,,,99.56343,,18.5725,99.36098,18.69195
1961-02,,,,,,,99.56544,4.018065,18.65022,99.36437,18.76953
1961-03,,,,,,,99.58842,4.121253,18.73389,99.39281,18.84833
1961-04,,,,,,,99.62218,4.273284,18.8207,99.43433,18.92776
1961-05,,,,,,,99.66846,4.456591,18.91093,99.49021,19.00783
1961-06,,,101.0219,100.8721,,19.2836,99.73,4.658657,19.0051,99.56297,19.08852
1961-07,,,101.1119,100.9602,,19.383,99.80691,4.880281,19.10323,99.65244,19.16985
1961-08,,,101.152,101.0003,,19.4736,99.89751,5.125847,19.20494,99.75652,19.25182
1961-09,,,101.1476,100.9974,,19.55629,99.99767,5.391961,19.30934,99.87032,19.33441
1961-10,,,101.112,100.9639,,19.63356,100.099,5.654302,19.41453,99.98402,19.41763
1961-11,,,101.057,100.9109,,19.70761,100.1914,5.880832,19.51824,100.0859,19.50148
1961-12,,,101.0051,100.8796,,19.78281,100.2657,6.045345,19.61834,100.1653,19.58596
1962-01,,,100.8519,100.7498,,19.83864,100.3159,6.143391,19.71348,100.2157,19.67106
1962-02,,,100.664,100.5885,,19.88796,100.3388,6.180791,19.80295,100.2337,19.75678
1962-03,,,100.4462,100.3999,,19.93166,100.3343,6.153946,19.88676,100.22,19.84311
1962-04,,,100.2173,100.1997,,19.97338,100.3076,6.086401,19.9662,100.1813,19.93007
1962-05,,,99.99405,100.0038,,20.01644,100.264,5.984498,20.04265,100.125,20.01763
1962-06,,,99.79346,99.8281,4.04845,20.06429,100.2057,5.848794,20.11667,100.054,20.10581
1962-07,,,99.64598,99.698,3.818362,20.12311,100.1283,5.674759,20.18729,99.96379,20.1946
1962-08,,,99.56065,99.62118,3.703918,20.19488,100.0257,5.457127,20.25298,99.84707,20.284
1962-09,,,99.53767,99.59825,3.699665,20.27981,99.89468,5.197289,20.3129,99.70007,20.37401
1962-10,,,99.56607,99.62068,3.780535,20.37581,99.73954,4.911226,20.36802,99.52798,20.46462
1962-11,,,99.63933,99.68304,3.927825,20.48169,99.57345,4.626992,20.42135,99.34576,20.55583
1962-12,,,99.74033,99.77002,4.100637,20.59404,99.41862,4.381713,20.47795,99.17814,20.64765
1963-01,,,99.86034,99.87257,4.397789,20.7111,99.30533,4.216808,20.54476,99.05833,20.74007
1963-02,,,100.0008,99.99019,4.753059,20.83324,99.26328,4.169383,20.62861,99.01858,20.83308
1963-03,,,100.1609,100.1214,5.161038,20.96034,99.30807,4.256416,20.73322,99.07559,20.92667
1963-04,,,100.3204,100.25,5.581455,21.08818,99.43051,4.459345,20.85656,99.21848,21.02084
1963-05,,,100.4519,100.3541,5.967924,21.21101,99.60576,4.741471,20.99297,99.41934,21.11558
1963-06,,,100.5413,100.4225,6.286749,21.32568,99.80424,5.06529,21.13564,99.64534,21.21087
1963-07,,,100.6017,100.4664,6.518746,21.43488,99.99876,5.404156,21.27824,99.86648,21.30669
1963-08,,,100.6398,100.4919,6.660531,21.53997,100.1693,5.742772,21.41606,100.0609,21.40304
1963-09,,,100.6651,100.5092,6.721391,21.6429,100.3071,6.075356,21.54698,100.219,21.49989
1963-10,,,100.677,100.5186,6.712069,21.74345,100.4161,6.401615,21.67191,100.3457,21.59724
1963-11,,,100.6777,100.5225,6.642053,21.8421,100.5063,6.717336,21.79312,100.452,21.69506
1963-12,,,100.6789,100.5307,6.542021,21.9413,100.5849,7.004183,21.91227,100.5457,21.79335
1964-01,,,100.6875,100.5488,6.428875,22.04259,100.6497,7.222261,22.02856,100.6234,21.89208
1964-02,,,100.6898,100.5637,6.286608,22.14295,100.6938,7.326573,22.13999,100.6764,21.99125
1964-03,,,100.684,100.5722,6.114419,22.24194,100.7106,7.290438,22.24476,100.6968,22.09083
1964-04,,,100.6724,100.5745,5.936327,22.34005,100.7008,7.126544,22.34291,100.6853,22.19083
1964-05,,,100.6594,100.5735,5.785658,22.4382,100.6677,6.8704,22.43527,100.6462,22.29122
1964-06,,,100.6443,100.5681,5.676727,22.53628,100.6151,6.562999,22.52277,100.584,22.39199
1964-07,,,100.6159,100.5502,5.583395,22.63168,100.546,6.240558,22.60612,100.5023,22.49314
1964-08,,,100.5729,100.5189,5.497356,22.7241,100.4637,5.930261,22.68609,100.4046,22.59466
1964-09,,,100.522,100.4816,5.415717,22.81501,100.3738,5.64861,22.76408,100.2976,22.69654
1964-10,,,100.4645,100.4401,5.340469,22.90466,100.2869,5.403793,22.84301,100.1941,22.79876
1964-11,,,100.4157,100.4073,5.285271,22.99651,100.2143,5.198175,22.92596,100.1076,22.90132
1964-12,,,100.3825,100.3872,5.245362,23.0922,100.163,5.031891,23.01487,100.0463,23.00422
1965-01,,,100.3597,100.3731,5.207898,23.19055,100.1307,4.90511,23.10909,100.0071,23.10744
