country,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,98.76914,98.63503,21.91305
1960-03,,,,,,,99.05807,98.92735,21.98842
1960-04,,,,,,,99.33507,99.20761,22.06405
1960-05,,,,,,,99.58411,99.45959,22.13993
1960-06,,,,,,,99.79613,99.6741,22.21605
1960-07,,,,,,,99.98103,99.86117,22.29243
1960-08,,,,,,,100.1578,100.04,22.36904
1960-09,,,,,,,100.3465,100.231,22.44588
1960-10,,,,,,,100.5605,100.4475,22.52294
1960-11,,,,,,,100.8013,100.6911,22.60023
1960-12,,,,,,,101.0511,100.9438,22.67772
1961-01,,,,,,,101.2636,101.1588,22.75542
1961-02,,,,,,,101.388,101.2846,22.83333
1961-03,,,,,,,101.3955,101.2923,22.91144
1961-04,,,,,,,101.3123,101.2081,22.98975
1961-05,,,,,,,101.1854,101.0797,23.06827
1961-06,,,,,,,101.056,100.9488,23.147
1961-07,,,,,,,100.9352,100.8266,23.22595
1961-08,,,,,,,100.8194,100.7094,23.30513
1961-09,,,,,,,100.7043,100.5929,23.38456
1961-10,,,,,,,100.5982,100.4856,23.46424
1961-11,,,,,,,100.5117,100.3981,23.54418
1961-12,,,,,,,100.4465,100.3321,23.62441
1962-01,,,,,,,100.3825,100.2674,23.70494
1962-02,,,,,,,100.2934,100.1773,23.78577
1962-03,,,,,,,100.1612,100.0434,23.86694
1962-04,,,,,,,99.99258,99.87286,23.94845
1962-05,,,,,,,99.80402,99.68207,24.03033
1962-06,,,,,,,99.60864,99.4844,24.11259
1962-07,,,,,,,99.40541,99.27878,24.19524
1962-08,,,,,,,99.18874,99.05956,24.27832
1962-09,,,,,,,98.95861,98.82673,24.36182
1962-10,,,,,,,98.73147,98.59691,24.44577
1962-11,,,,,,,98.53454,98.39767,24.53018
1962-12,,,,,,,98.40018,98.26173,24.61505
1963-01,,,,,,,98.35815,98.2192,24.70041
1963-02,,,,,,,98.42995,98.29185,24.78624
1963-03,,,98.52901,98.78333,,24.50668,98.61648,98.48057,24.87255
1963-04,,,98.70125,98.92591,,24.63517,98.87697,98.74412,24.95933
1963-05,,,98.8924,99.08414,,24.76917,99.15839,99.02885,25.04659
1963-06,,,99.09913,99.25526,,24.90787,99.41912,99.29266,25.1343
1963-07,,,99.31881,99.43712,,25.05065,99.65117,99.52743,25.22246
1963-08,,,99.54865,99.62737,,25.19681,99.86259,99.74133,25.31105
1963-09,,,99.78779,99.82533,,25.34617,100.0617,99.94281,25.40007
1963-10,,,100.0298,100.0257,,25.4971,100.2425,100.1257,25.48949
1963-11,,,100.2659,100.2211,,25.64732,100.3931,100.2781,25.57931
1963-12,,,100.4852,100.4027,,25.79406,100.506,100.3923,25.66951
1964-01,,,100.6819,100.5654,,25.93572,100.5896,100.4769,25.76007
1964-02,,,100.847,100.7021,,26.06994,100.6587,100.5468,25.85098
1964-03,,,100.9761,100.809,6.891095,26.19545,100.7278,100.6167,25.94224
1964-04,,,101.0684,100.8854,6.806486,26.31196,100.804,100.6938,26.03382
1964-05,,,101.1273,100.9342,6.665816,26.42024,100.8918,100.7827,26.12572
1964-06,,,101.1597,100.961,6.480322,26.52198,100.9964,100.8885,26.21792
1964-07,,,101.1669,100.9669,6.254554,26.61745,101.1262,101.0198,26.31043
1964-08,,,101.1538,100.9561,5.997017,26.70787,101.2819,101.1773,26.40323
1964-09,,,101.1263,100.9334,5.715218,26.79476,101.4429,101.3402,26.49632
1964-10,,,101.0914,100.9045,5.42338,26.87991,101.5522,101.4509,26.5897
1964-11,,,101.0498,100.87,5.131734,26.96347,101.5476,101.4462,26.68335
1964-12,,,100.9944,100.8241,4.844137,27.04356,101.3963,101.2931,26.77729
1965-01,,,100.92,100.7626,4.561395,27.11875,101.1373,101.031,26.87153
1965-02,,,100.8345,100.6918,4.300601,27.1911,100.8412,100.7314,26.96606
1965-03,,,100.757,100.6276,4.085876,27.26577,100.5785,100.4657,27.06092
1965-04,,,100.6964,100.5775,3.926924,27.34521,100.391,100.276,27.1561
1965-05,,,100.6557,100.5438,3.823095,27.43031,100.2984,100.1823,27.25162
1965-06,,,100.6282,100.521,3.760352,27.5193,100.2998,100.1836,27.34751
1965-07,,,100.609,100.5051,3.732279,27.61089,100.3678,100.2525,27.44376
1965-08,,,100.5892,100.4887,3.724752,27.70267,100.4714,100.3573,27.54041
1965-09,,,100.5667,100.4701,3.729521,27.79407,100.593,100.4803,27.63745
1965-10,,,100.546,100.4529,3.744203,27.88634,100.7433,100.6324,27.73492
1965-11,,,100.5382,100.4465,3.779742,27.98262,100.9383,100.8297,27.83282
1965-12,,,100.561,100.4654,3.86164,28.08789,101.1741,101.0683,27.93119
1966-01,,,100.6106,100.5065,3.991526,28.2012,101.3981,101.2949,28.03004
1966-02,,,100.6604,100.5477,4.133888,28.31515,101.542,101.4405,28.12938
1966-03,,,100.6688,100.5546,4.22612,28.41805,101.5562,101.4549,28.22926
1966-04,,,100.6096,100.5056,4.231761,28.5024,101.4493,101.3467,28.3297
1966-05,,,100.4707,100.3906,4.134955,28.56454,101.2586,101.1538,28.43073
1966-06,,,100.2468,100.2053,3.937267,28.60281,101.0288,100.9212,28.5324
1966-07,,,99.93418,99.94652,3.639891,28.61589,100.7968,100.6865,28.63474
1966-08,,,99.54114,99.62115,3.260586,28.60594,100.5896,100.4769,28.73781
1966-09,,,99.08328,99.24216,2.81776,28.57724,100.4218,100.3071,28.84164
1966-10,,,98.58289,98.82793,2.329952,28.53608,100.2915,100.1752,28.94628
1966-11,,,98.08011,98.41174,1.82761,28.49403,100.1881,100.0707,29.05179
1966-12,,,97.61814,98.02933,1.338012,28.46371,100.0969,99.97839,29.15821
1967-01,,,97.2325,97.71009,0.902323,28.45567,100.0013,99.88172,29.26559
1967-02,,,96.92748,97.4576,0.5520601,28.47147,99.8846,99.7636,29.37399
1967-03,,,96.69447,97.26471,0.3195372,28.50886,99.73083,99.60802,29.48344
1967-04,,,96.5295,97.12816,0.226499,28.56696,99.52808,99.40289,29.59402
1967-05,,,96.43356,97.04874,0.2862806,28.64631,99.27309,99.14491,29.70575
1967-06,,,96.41042,97.02959,0.5088083,28.74834,98.97942,98.84778,29.81871
1967-07,,,96.46714,97.07654,0.9069983,28.87544,98.68876,98.5537,29.93293
1967-08,,,96.61028,97.19502,1.482113,29.02991,98.44965,98.31178,30.04847
1967-09,,,96.83665,97.38242,2.218198,29.21114,98.2963,98.15662,30.16538
1967-10,,,97.14008,97.6336,3.089147,29.4176,98.22385,98.08332,30.28369
1967-11,,,97.4976,97.92954,4.031032,29.64263,98.20991,98.06921,30.40345
1967-12,,,97.87473,98.24173,4.961584,29.87596,98.22948,98.08902,30.52469
1968-01,,,98.23945,98.54364,5.806234,30.10787,98.26524,98.12521,30.64743
1968-02,,,98.56749,98.81519,6.530897,30.33091,98.30768,98.16814,30.77172
1968-03,,,98.85034,99.04932,7.132807,30.54234,98.35371,98.21471,30.89756
1968-04,,,99.08991,99.24764,7.616023,30.74262,98.40452,98.26611,31.02497
1968-05,,,99.30191,99.42313,7.994709,30.9365,98.46125,98.32351,31.15399
1968-06,,,99.50582,99.59193,8.284505,31.13,98.51997,98.38292,31.2846
1968-07,,,99.71291,99.76334,8.488847,31.32663,98.56584,98.42934,31.41683
1968-08,,,99.91576,99.93127,8.591761,31.52409,98.58175,98.44543,31.55067
1968-09,,,100.1019,100.0854,8.583248,31.71841,98.55733,98.42072,31.68612
1968-10,,,100.2577,100.2143,8.456139,31.9052,98.49976,98.36248,31.82318
1968-11,,,100.3844,100.3192,8.238426,32.08472,98.42636,98.28821,31.96185
1968-12,,,100.4949,100.4107,7.983044,32.26097,98.35925,98.22032,32.1021
1969-01,,,100.5976,100.4957,7.734702,32.43662,98.32104,98.18166,32.24393
1969-02,,,100.7017,100.5818,7.529147,32.61457,98.33167,98.19241,32.38731
1969-03,,,100.8105,100.672,7.378511,32.79591,98.40306,98.26463,32.53222
1969-04,,,100.9235,100.7655,7.279169,32.98043,98.52987,98.39294,32.67863
1969-05,,,101.0368,100.8593,7.20942,33.16685,98.69706,98.5621,32.8265
1969-06,,,101.1469,100.9503,7.14412,33.35397,98.88291,98.75014,32.97578
1969-07,,,101.2486,101.0346,7.065687,33.54007,99.05878,98.92806,33.12644
