country,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK,SVK
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1993-02,,,,,,,99.715,99.1177,40.09935
1993-03,,,,,,,99.69025,99.07599,40.29
1993-04,,,,,,,99.66457,99.03271,40.48156
1993-05,,,,,,,99.63737,98.98688,40.67402
1993-06,,,,,,,99.60966,98.94019,40.86738
1993-07,,,,,,,99.58532,98.89918,41.06163
1993-08,98.57129,,,,,,99.56937,98.87231,41.25676
1993-09,99.43481,,96.92588,98.49741,,40.17845,99.56593,98.8665,41.45276
1993-10,101.0689,,97.35398,98.70654,,40.54755,99.57552,98.88265,41.6496
1993-11,103.3521,,97.79414,98.92155,,40.92418,99.59646,98.91795,41.84727
1993-12,103.6037,,98.21454,99.12691,,41.29502,99.62522,98.96642,42.04573
1994-01,102.6234,,98.64848,99.3389,,41.67401,99.65585,99.01803,42.24496
1994-02,101.6434,,99.12762,99.57295,,42.07464,99.68301,99.0638,42.44492
1994-03,100.3787,,99.64403,99.82522,,42.49377,99.70477,99.10046,42.64557
1994-04,99.37221,,100.2017,100.0976,,42.9333,99.7255,99.13539,42.84687
1994-05,99.79462,,100.7122,100.347,,43.35536,99.75156,99.1793,43.04878
1994-06,100.4558,,101.033,100.5037,,43.69804,99.78693,99.23891,43.25124
1994-07,99.7462,,101.1135,100.543,,43.93806,99.82851,99.30897,43.4542
1994-08,99.70293,,100.9571,100.4667,,44.07546,99.87035,99.37947,43.65761
1994-09,100.4274,,100.6244,100.3041,9.848077,44.13526,99.90744,99.44198,43.8614
1994-10,100.9941,,100.2642,100.1282,8.963286,44.18194,99.93932,99.49569,44.06551
1994-11,101.9222,,99.96854,99.98374,8.141315,44.25594,99.96763,99.5434,44.26987
1994-12,102.9772,,99.8709,99.93604,7.560171,44.417,99.99404,99.58791,44.47441
1995-01,102.6763,,99.96057,99.97984,7.168589,44.66145,100.0184,99.62894,44.67907
1995-02,101.6606,,100.1771,100.0856,6.865446,44.96325,100.0386,99.66298,44.88376
1995-03,100.1001,,100.4088,100.1988,6.539767,45.27276,100.0507,99.68337,45.08842
1995-04,99.57443,,100.5465,100.2661,6.072609,45.54047,100.0492,99.68086,45.29295
1995-05,98.4416,,100.5491,100.2674,5.516669,45.74713,100.0304,99.64925,45.49728
1995-06,99.22148,,100.4529,100.2204,5.058059,45.90832,99.99679,99.59254,45.70132
1995-07,100.6733,,100.3433,100.1668,4.835299,46.06259,99.96215,99.53417,45.90499
1995-08,101.6768,,100.3135,100.1522,4.939867,46.25273,99.94361,99.50293,46.1082
1995-09,101.8773,,100.4186,100.2036,5.368582,46.50469,99.95332,99.51929,46.31086
1995-10,100.4166,,100.6221,100.303,5.930604,46.80219,99.98936,99.58002,46.51286
1995-11,97.62965,,100.885,100.4314,6.488575,47.12752,100.0432,99.6708,46.71412
1995-12,95.57336,,101.2094,100.5899,6.900295,47.4819,100.1055,99.77567,46.91452
1996-01,96.5186,,101.6274,100.7941,7.208134,47.88071,100.1699,99.88419,47.11396
1996-02,98.9474,,102.1857,101.0668,7.524391,48.34646,100.2348,99.99354,47.31234
1996-03,102.6669,,102.8365,101.3847,7.917314,48.85714,100.3041,100.1104,47.50955
1996-04,104.4829,,103.5729,101.7445,8.496763,49.40994,100.3887,100.2529,47.70548
1996-05,104.1684,,104.3561,102.1271,9.267173,49.9866,100.5001,100.4407,47.90002
1996-06,101.5821,,105.0924,102.4867,10.09364,50.54214,100.6439,100.6829,48.09305
1996-07,100.2458,,105.702,102.7845,10.8006,51.03763,100.8107,100.964,48.28447
1996-08,99.37693,,106.1416,102.9993,11.23942,51.45127,100.9842,101.2564,48.47416
1996-09,98.3877,,106.3783,103.1149,11.31311,51.76582,101.1474,101.5313,48.66201
1996-10,97.98686,,106.3775,103.1145,11.02731,51.96322,101.2882,101.7687,48.84793
1996-11,97.54014,,106.1435,103.0002,10.43248,52.04409,101.4,101.957,49.03181
1996-12,98.56729,,105.643,102.7557,9.49579,51.99068,101.4824,102.0959,49.21355
1997-01,98.92983,,104.9064,102.3959,8.219974,51.81649,101.5457,102.2025,49.39307
1997-02,98.19603,,104.0527,101.9788,6.686637,51.57922,101.6028,102.2988,49.57029
1997-03,97.07861,,103.292,101.6072,5.169314,51.38272,101.6634,102.4009,49.74514
1997-04,96.77024,,102.6914,101.3139,3.746411,51.26104,101.7282,102.5102,49.91755
1997-05,98.52956,,102.2419,101.0943,2.448208,51.21037,101.7911,102.6161,50.08747
1997-06,100.394,,101.9585,100.9558,1.37899,51.23911,101.8404,102.6992,50.25485
1997-07,101.6126,,101.8613,100.9083,0.6279284,51.35811,101.8613,102.7343,50.41965
1997-08,101.4813,,101.8952,100.9249,0.1734453,51.54051,101.8414,102.7009,50.58186
1997-09,100.5206,,101.9861,100.9693,-0.03203756,51.74924,101.7795,102.5966,50.74144
1997-10,100.4408,,102.0643,101.0075,-0.02713691,51.94912,101.6965,102.4567,50.8984
1997-11,100.7749,,102.0813,101.0158,0.1368592,52.11532,101.6181,102.3246,51.05275
1997-12,101.0888,,102.057,101.004,0.5137437,52.25778,101.5599,102.2265,51.2045
1998-01,100.98,,102.0293,100.9904,1.118053,52.39582,101.512,102.1459,51.35368
1998-02,100.8295,,101.9904,100.9714,1.834441,52.52541,101.456,102.0515,51.50033
1998-03,100.2458,,101.9215,100.9378,2.440726,52.63684,101.381,101.9251,51.64449
1998-04,100.2791,,101.8369,100.8964,2.880183,52.73745,101.3005,101.7894,51.78621
1998-05,100.7098,,101.8364,100.8962,3.258648,52.87914,101.2456,101.6969,51.92555
1998-06,101.646,,101.8919,100.9233,3.529434,53.04756,101.2593,101.7201,52.06261
1998-07,102.0944,,101.9605,100.9568,3.626774,53.22075,101.3892,101.9389,52.19744
1998-08,102.5193,,102.0317,100.9916,3.594881,53.39333,101.6637,102.4014,52.33015
1998-09,102.5636,,102.0323,100.9919,3.435311,53.52698,102.0598,103.0689,52.46084
1998-10,102.2549,,101.9143,100.9342,3.170765,53.5963,102.458,103.74,52.58958
1998-11,101.795,,101.6269,100.7938,2.799225,53.57414,102.7091,104.1631,52.7165
1998-12,100.9026,,101.0909,100.532,2.220486,53.41816,102.7087,104.1624,52.84172
1999-01,99.24055,,100.3529,100.1715,1.443806,53.15232,102.4711,103.762,52.96538
1999-02,96.80872,,99.53105,99.77003,0.5965132,52.83873,102.069,103.0844,53.08768
1999-03,94.30737,,98.78319,99.4047,-0.143407,52.56135,101.5879,102.2737,53.2088
1999-04,93.40524,97.09078,98.16819,99.10427,-0.730755,52.35207,101.093,101.4397,53.32896
1999-05,94.0472,96.53065,97.63683,98.8447,-1.312142,52.18529,100.6288,100.6575,53.44836
1999-06,96.1554,95.81847,97.26573,98.66342,-1.781399,52.10257,100.2212,99.97076,53.56725
1999-07,98.1551,94.72611,97.07763,98.57153,-2.074051,52.11693,99.87733,99.39124,53.68583
1999-08,99.12773,94.00327,97.04925,98.55767,-2.203694,52.2167,99.59652,98.91805,53.80434
1999-09,99.64115,93.79238,97.09606,98.58054,-2.185572,52.35711,99.37738,98.54877,53.923
1999-10,100.9101,94.12367,97.15201,98.60787,-2.039998,52.50294,99.2196,98.28291,54.04205
1999-11,102.6848,94.81264,97.16086,98.61219,-1.773562,52.62397,99.12408,98.12194,54.1617
1999-12,103.0806,95.55606,97.11183,98.58824,-1.317438,52.71441,99.08867,98.06227,54.28216
2000-01,101.9637,96.12601,97.06592,98.56582,-0.6489127,52.80741,99.09947,98.08048,54.40365
2000-02,100.6219,96.42394,97.13548,98.5998,0.2379464,52.96445,99.13884,98.14682,54.52637
2000-03,100.1847,96.36654,97.3351,98.6973,1.203883,53.19413,99.18986,98.23278,54.65051
2000-04,100.4015,96.10044,97.59657,98.82504,2.115835,53.45975,99.23877,98.31522,54.77627
2000-05,101.0116,96.34451,97.8707,98.95895,2.969168,53.73476,99.27562,98.3773,54.90382
2000-06,102.1258,96.86143,98.10345,99.07265,3.621783,53.98961,99.29485,98.4097,55.03335
2000-07,102.8178,97.49541,98.25272,99.14557,3.999143,54.20116,99.29667,98.41278,55.16504
2000-08,103.4058,97.96861,98.32972,99.18318,4.134122,54.3754,99.28436,98.39204,55.29906
2000-09,103.9278,98.0162,98.34768,99.19196,4.130249,54.51959,99.26252,98.35523,55.43556
