country,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1995-02,,,,,,,98.22618,96.92018,45.30465
1995-03,,,,,,,98.38345,97.17445,45.47377
1995-04,,,,,,,98.52647,97.40567,45.64351
1995-05,,,,,,,98.63792,97.58583,45.81385
1995-06,,,,,,,98.71069,97.70348,45.98475
1995-07,,,,,,,98.76289,97.78786,46.1562
1995-08,,,,,,,98.82355,97.88595,46.32813
1995-09,,,,,,,98.91985,98.04164,46.50051
1995-10,,,,,,,99.06363,98.27408,46.67327
1995-11,,,,,,,99.25489,98.58328,46.84634
1995-12,,,,,,,99.48167,98.94992,47.01964
1996-01,,,101.5469,100.8511,,47.92312,99.71626,99.32916,47.19308
1996-02,,,101.7831,100.9808,,48.21119,99.9272,99.6702,47.36659
1996-03,,,101.9877,101.0931,,48.48502,100.0909,99.93489,47.54005
1996-04,,,102.1707,101.1936,,48.74908,100.2049,100.1191,47.71338
1996-05,,,102.3273,101.2796,,49.00095,100.2772,100.2361,47.88648
1996-06,,,102.4487,101.3462,,49.23609,100.3202,100.3055,48.05926
1996-07,,,102.5023,101.3756,,49.43851,100.3457,100.3469,48.23161
1996-08,,,102.4913,101.3696,,49.60933,100.3642,100.3767,48.40345
1996-09,,,102.4723,101.3592,,49.77559,100.3833,100.4076,48.57467
1996-10,,,102.4727,101.3594,,49.95052,100.4087,100.4486,48.74518
1996-11,,,102.489,101.3683,,50.13236,100.4459,100.5088,48.91488
1996-12,,,102.5502,101.402,,50.33542,100.5031,100.6013,49.08368
1997-01,,,102.6689,101.4671,5.514709,50.56594,100.5919,100.7448,49.25147
1997-02,,,102.7841,101.5303,5.357316,50.79401,100.7244,100.959,49.41817
1997-03,,,102.8542,101.5688,5.184824,50.99889,100.9077,101.2554,49.58369
1997-04,,,102.9033,101.5958,5.011699,51.19224,101.1357,101.624,49.74793
1997-05,,,102.9458,101.6192,4.857367,51.3811,101.3954,102.0438,49.9108
1997-06,,,102.974,101.6346,4.72274,51.56138,101.6704,102.4884,50.07223
1997-07,,,102.9463,101.6194,4.598835,51.7121,101.9422,102.9277,50.23214
1997-08,,,102.8341,101.5578,4.453273,51.81857,102.1913,103.3305,50.39045
1997-09,,,102.5796,101.4181,4.169585,51.85103,102.3991,103.6665,50.54712
1997-10,,,102.1525,101.1836,3.689456,51.79343,102.5508,103.9117,50.70209
1997-11,,,101.6378,100.901,3.103578,51.68826,102.6378,104.0523,50.85534
1997-12,,,101.1236,100.6187,2.472554,51.57999,102.6641,104.0949,51.00686
1998-01,,,100.6329,100.3493,1.808494,51.48042,102.6571,104.0835,51.15664
1998-02,,,100.1982,100.1106,1.205664,51.40641,102.6452,104.0644,51.3047
1998-03,,,99.79408,99.88866,0.6789316,51.34513,102.6392,104.0546,51.45109
1998-04,,,99.31059,99.62321,0.09355224,51.24013,102.6126,104.0117,51.59584
1998-05,,,98.69262,99.2839,-0.6199114,51.06258,102.5205,103.8628,51.73901
1998-06,,,97.97446,98.88959,-1.418805,50.82982,102.3188,103.5367,51.88069
1998-07,,,97.29126,98.51447,-2.127637,50.61186,101.9889,103.0034,52.02097
1998-08,,,96.76111,98.22339,-2.601404,50.47055,101.5327,102.2658,52.15996
1998-09,,,96.52424,98.09333,-2.644091,50.48004,100.9758,101.3654,52.29779
1998-10,,,96.66778,98.17214,-2.135527,50.68736,100.3796,100.4016,52.4346
1998-11,,,97.17448,98.45035,-1.166822,51.08515,99.81493,99.48869,52.57054
1998-12,,,97.90025,98.84885,0.03699882,51.59907,99.33932,98.71979,52.70576
1999-01,,,98.64674,99.25871,1.25275,52.12534,98.97433,98.12971,52.84041
1999-02,,,99.30177,99.61836,2.331086,52.60474,98.72498,97.7266,52.97463
1999-03,,,99.80807,99.89635,3.235925,53.00663,98.5907,97.5095,53.10855
1999-04,,,100.1758,100.0983,4.090116,53.33591,98.56767,97.47225,53.24232
1999-05,,,100.4615,100.2551,5.013027,53.62236,98.65144,97.6077,53.37603
1999-06,,,100.6845,100.3776,5.993044,53.87608,98.83162,97.89899,53.50981
1999-07,,,100.8823,100.4862,6.92564,54.11705,99.07851,98.29813,53.64375
1999-08,,,101.072,100.5903,7.695388,54.35446,99.35492,98.745,53.77795
1999-09,,,101.2623,100.6948,8.147746,54.59303,99.62312,99.1786,53.91248
1999-10,,,101.4554,100.8008,8.180845,54.83402,99.84977,99.54501,54.04743
1999-11,,,101.645,100.9049,7.808574,55.07417,100.0086,99.80176,54.18288
1999-12,,,101.7709,100.9741,7.135346,55.28085,100.0859,99.92678,54.31891
2000-01,,,101.7763,100.977,6.326191,55.42289,100.091,99.93502,54.4556
2000-02,,,101.6048,100.8829,5.445121,55.46914,100.0448,99.86035,54.59302
2000-03,,,101.3027,100.717,4.598772,55.44428,99.9738,99.74553,54.73127
2000-04,,,100.9155,100.5044,3.818919,55.37276,99.90731,99.63804,54.87043
2000-05,,,100.5313,100.2935,3.133986,55.30288,99.87121,99.57967,55.01058
2000-06,,,100.2243,100.1249,2.597497,55.27551,99.8812,99.59583,55.15181
2000-07,,,100.0158,100.0104,2.191292,55.30291,99.93398,99.68116,55.29419
2000-08,,,99.80952,99.89715,1.798829,55.3322,100.0173,99.81583,55.4378
2000-09,,,99.60631,99.78558,1.412037,55.3639,100.1166,99.97639,55.58273
2000-10,,,99.40497,99.67503,1.027478,55.39743,100.2196,100.1428,55.72903
2000-11,,,99.19511,99.5598,0.6407571,55.42706,100.3157,100.2983,55.8768
2000-12,,,99.02142,99.46444,0.3564012,55.47787,100.3958,100.4277,56.02612
2001-01,,,98.99335,99.44902,0.3404152,55.61156,100.4514,100.5177,56.17706
2001-02,,,99.10508,99.51037,0.6426625,55.82561,100.4743,100.5547,56.32972
2001-03,,,99.33471,99.63645,1.197794,56.10839,100.4568,100.5264,56.48417
2001-04,,,99.62072,99.79348,1.901514,56.42569,100.3947,100.426,56.64051
2001-05,,,99.90072,99.94722,2.603059,56.74245,100.2883,100.254,56.79884
2001-06,,,100.1176,100.0663,3.16732,57.02626,100.1459,100.0238,56.95925
2001-07,,,100.2422,100.1347,3.53922,57.26021,99.99087,99.77312,57.12185
2001-08,,,100.2158,100.1202,3.755785,57.41036,99.84924,99.54416,57.28674
2001-09,,,99.9904,99.99646,3.765288,57.44851,99.73942,99.36662,57.45403
2001-10,,,99.59655,99.78021,3.599256,57.39132,99.66018,99.2385,57.62381
2001-11,,,99.06334,99.48745,3.297607,57.25483,99.59958,99.14054,57.79618
2001-12,,,98.46676,99.15989,2.892224,57.08241,99.54137,99.04644,57.97125
2002-01,,,97.88723,98.84169,2.353798,56.92054,99.46976,98.93066,58.1491
2002-02,,,97.34854,98.54592,1.715385,56.78324,99.37365,98.77528,58.32983
2002-03,,98.02068,96.87092,98.28368,1.023373,56.68259,99.25174,98.57819,58.51352
2002-04,,98.02303,96.48514,98.07186,0.3745572,56.63703,99.11895,98.36352,58.70027
2002-05,,98.07552,96.18248,97.90569,-0.1770237,56.642,98.99767,98.16745,58.89014
2002-06,,97.97119,95.9465,97.77612,-0.5926585,56.68829,98.90977,98.02534,59.08323
2002-07,,97.78194,95.78754,97.68884,-0.8343318,56.78247,98.86773,97.95737,59.27959
2002-08,,97.59692,95.78956,97.68995,-0.7584185,56.97495,98.87621,97.97107,59.47929
2002-09,,97.55642,95.92881,97.7664,-0.3410355,57.25259,98.93006,98.05814,59.68238
2002-10,,97.73797,96.19727,97.91381,0.3835989,57.61147,99.00837,98.18474,59.88889
2002-11,,98.26707,96.55214,98.10865,1.348181,58.02673,99.08545,98.30935,60.09885
2002-12,,99.04716,96.94444,98.32404,2.429826,58.46941,99.13982,98.39726,60.31229
2003-01,,99.25495,97.33182,98.53674,3.502545,58.91421,99.16303,98.43478,60.52924
2003-02,,98.80117,97.69205,98.73453,4.516087,59.34762,99.15405,98.42026,60.74969
2003-03,,98.42458,97.98423,98.89495,5.40199,59.74457,99.11568,98.35822,60.97366
2003-04,,98.77384,98.2062,99.01682,6.120172,60.10332,99.05296,98.25682,61.20115
2003-05,,99.2597,98.40847,99.12788,6.730725,60.45442,98.97201,98.12595,61.43213
2003-06,,99.38256,98.56085,99.21156,7.21638,60.77913,98.8804,97.97786,61.6666
2003-07,,99.46613,98.60119,99.2337,7.495526,61.03861,98.78867,97.82954,61.90454
