country,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN,SVN
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
2017-01,102.3858,102.5491,102.0286,101.0638,3.725298,107.9435,100.088,99.8491,105.7973
2017-02,102.6418,102.5946,102.1868,101.1466,4.449698,108.4311,100.1911,100.0138,106.1106
2017-03,102.7259,102.6401,102.1958,101.1513,5.02768,108.7639,100.2849,100.1635,106.4269
2017-04,102.5314,102.8189,102.0898,101.0958,5.410543,108.9767,100.3658,100.2928,106.7459
2017-05,102.2538,103.0226,101.9409,101.0179,5.612112,109.1454,100.4361,100.4051,107.0673
2017-06,102.2254,103.1275,101.8331,100.9614,5.667368,109.3594,100.5025,100.5112,107.3909
2017-07,102.2947,103.2273,101.8055,100.947,5.623112,109.6612,100.576,100.6284,107.7164
2017-08,102.5479,103.3726,101.897,100.9949,5.562448,110.0931,100.665,100.7707,108.0435
2017-09,103.0341,103.6891,102.1051,101.1038,5.474786,110.6534,100.7691,100.937,108.3721
2017-10,103.4608,104.1077,102.364,101.2393,5.318291,111.2716,100.8704,101.0987,108.7019
2017-11,103.7601,104.4532,102.5923,101.3588,5.060478,111.8591,100.9463,101.22,109.0326
2017-12,103.8418,104.6494,102.7299,101.4308,4.733855,112.3496,100.9833,101.279,109.3641
2018-01,103.7051,104.7785,102.7605,101.4468,4.428829,112.7242,100.991,101.2913,109.696
2018-02,103.4077,104.8541,102.6891,101.4094,4.201512,112.9868,100.9893,101.2887,110.0281
2018-03,103.0489,104.9721,102.5134,101.3175,4.018159,113.1342,100.9972,101.3013,110.3604
2018-04,102.81,105.0798,102.2873,101.1992,3.897748,113.2243,101.022,101.3409,110.6924
2018-05,102.6719,105.0447,102.0447,101.0722,3.801258,113.2943,101.064,101.408,111.0242
2018-06,102.4736,104.8587,101.7752,100.9312,3.632782,113.3322,101.1201,101.4975,111.3554
2018-07,102.1531,104.3924,101.483,100.7783,3.35678,113.3423,101.1852,101.6015,111.6859
2018-08,101.972,103.7683,101.201,100.6307,2.968141,113.3609,101.253,101.7097,112.0156
2018-09,101.9111,103.2347,100.9818,100.516,2.524729,113.4471,101.3143,101.8077,112.3442
2018-10,102.0572,103.1664,100.901,100.4737,2.170598,113.6869,101.3569,101.8757,112.6716
2018-11,102.0221,103.3514,100.9478,100.4982,1.975422,114.0688,101.3678,101.8931,112.9978
2018-12,101.8493,103.4954,101.028,100.5402,1.902864,114.4875,101.3376,101.8448,113.3225
2019-01,101.5868,103.6603,101.0381,100.5455,1.864238,114.8256,101.2668,101.7319,113.6458
2019-02,101.1515,103.7775,100.9434,100.4959,1.819448,115.0426,101.1634,101.5666,113.9675
2019-03,100.8749,103.7323,100.7781,100.4094,1.805471,115.1768,101.0422,101.3732,114.2875
2019-04,100.6543,103.6207,100.5745,100.3028,1.801587,115.2641,100.9282,101.1911,114.6058
2019-05,100.5375,103.6699,100.3426,100.1815,1.784475,115.316,100.8474,101.0619,114.9223
2019-06,100.2502,103.7264,100.0836,100.0459,1.765781,115.3334,100.8182,101.0154,115.2371
2019-07,100.186,103.7061,99.835,99.91585,1.779689,115.3594,100.841,101.0518,115.5501
2019-08,100.1531,103.4434,99.58096,99.78291,1.777366,115.3757,100.9065,101.1564,115.8612
2019-09,100.0036,103.024,99.29131,99.63132,1.674894,115.3472,101.0013,101.3078,116.1705
2019-10,99.71741,102.5483,99.00088,99.47934,1.431493,115.3143,101.1097,101.4809,116.478
2019-11,99.5519,102.2393,98.74944,99.34776,1.099746,115.3233,101.2162,101.651,116.7837
2019-12,99.5579,102.1078,98.5667,99.25213,0.8052212,115.4094,101.3068,101.7957,117.0876
2020-01,99.48856,102.0118,98.45296,99.19261,0.6514848,115.5737,101.3707,101.8977,117.3897
2020-02,98.74197,101.3518,98.29948,99.1123,0.5617591,115.6888,101.3976,101.9407,117.6902
2020-03,96.84123,99.66536,98.06257,98.98831,0.4569321,115.7031,90.64989,84.77513,117.989
2020-04,94.64318,97.34986,91.66454,95.64016,-5.932059,108.4266,91.36341,85.91473,118.2863
2020-05,94.28807,96.44447,89.20715,94.35419,-8.266143,105.7838,91.6817,86.42308,118.5822
2020-06,95.28805,96.74223,90.09476,94.81868,-7.137216,107.1018,93.71587,89.67194,118.8768
2020-07,96.98724,97.50584,92.09534,95.86561,-4.862275,109.7503,95.73228,92.89242,119.1703
2020-08,98.56295,98.13641,94.97447,97.37228,-1.661107,113.4592,97.73351,96.08865,119.4628
2020-09,99.43146,98.00206,96.90986,98.38509,0.6126699,116.0539,97.54263,95.78381,119.7545
2020-10,99.5976,97.21027,97.09264,98.48074,1.076352,116.5555,97.35758,95.48825,120.0456
2020-11,99.50505,96.46159,97.35652,98.61884,1.588512,117.1552,97.17486,95.19642,120.3363
2020-12,99.71616,96.31396,97.67158,98.78371,2.086977,117.818,97.35163,95.47875,120.6266
2021-01,100.337,96.71554,98.02794,98.97019,2.560021,118.5324,97.53887,95.7778,120.9169
2021-02,101.2172,97.7135,98.4213,99.17604,3.116091,119.2938,97.73165,96.08569,121.2073
2021-03,102.4325,98.58485,98.83591,99.39301,3.78599,120.0836,97.99855,96.51196,121.4979
2021-04,103.5592,99.45708,99.23859,99.60374,11.46855,120.8616,98.27628,96.95555,121.7889
2021-05,103.9986,100.1874,99.61234,99.79932,14.95809,121.6071,98.53031,97.36127,122.0803
2021-06,103.9039,100.4258,99.95826,99.98035,14.21028,122.3213,98.61038,97.48915,122.3723
2021-07,103.5104,100.2876,100.2638,100.1402,12.06214,122.9885,98.61819,97.50162,122.665
2021-08,102.8956,99.95874,100.5055,100.2667,8.92009,123.5798,98.63802,97.53329,122.9583
2021-09,102.2708,99.64766,100.6908,100.3637,,,,,
2021-10,101.8252,99.29015,100.8353,100.4393,,,,,
2021-11,101.8891,99.04769,100.9685,100.509,,,,,
2021-12,102.1471,98.91668,101.1096,100.5828,,,,,
2022-01,102.2929,98.72159,101.2564,100.6597,,,,,
