country,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,99.8806,99.8287,22.6747
1960-03,,,,,,,99.88141,99.82941,22.76718
1960-04,,,,,,,99.882,99.82993,22.86003
1960-05,,,,,,,99.88209,99.83001,22.95325
1960-06,,,,,,,99.8814,99.82941,23.04686
1960-07,,,,,,,99.87958,99.8278,23.14085
1960-08,,,,,,,99.87627,99.82489,23.23521
1960-09,,,,,,,99.87109,99.82033,23.32995
1960-10,,,,,,,99.86361,99.81374,23.42507
1960-11,,,,,,,99.85353,99.80487,23.52057
1960-12,,,,,,,99.84084,99.79369,23.61644
1961-01,,,,,,,99.82609,99.7807,23.71269
1961-02,,,,,,,99.81048,99.76696,23.80931
1961-03,,,,,,,99.79606,99.75426,23.9063
1961-04,,,,,,,99.78575,99.74519,24.00365
1961-05,,,,,,,99.78293,99.74271,24.10136
1961-06,,,,,,,99.79057,99.74944,24.19944
1961-07,,,,,,,99.80975,99.76632,24.29787
1961-08,,,,,,,99.84058,99.79346,24.39665
1961-09,,,,,,,99.88217,99.83009,24.49577
1961-10,,,,,,,99.93167,99.87366,24.59522
1961-11,,,,,,,99.98562,99.92117,24.69501
1961-12,,,,,,,100.0407,99.96963,24.79512
1962-01,,,,,,,100.0937,100.0164,24.89555
1962-02,,,,,,,100.1417,100.0586,24.99628
1962-03,,,,,,,100.1808,100.093,25.09731
1962-04,,,,,,,100.2068,100.1159,25.19864
1962-05,,,,,,,100.2148,100.123,25.30025
1962-06,,,,,,,100.2004,100.1103,25.40214
1962-07,,,,,,,100.1619,100.0764,25.5043
1962-08,,,,,,,100.0988,100.0208,25.60672
1962-09,,,,,,,100.0119,99.9443,25.7094
1962-10,,,,,,,99.90543,99.85057,25.81232
1962-11,,,,,,,99.78485,99.74439,25.91549
1962-12,,,,,,,99.65615,99.63107,26.01888
1963-01,,,,,,,99.52626,99.51671,26.12251
1963-02,,,,,,,99.40374,99.40883,26.22635
1963-03,,,,,,,99.2996,99.31713,26.33039
1963-04,,,,,,,99.22758,99.25372,26.43462
1963-05,,,,,,,99.20294,99.23203,26.53904
1963-06,,,,,,,99.23901,99.26378,26.64362
1963-07,,,,,,,99.34029,99.35296,26.74835
1963-08,,,,,,,99.50709,99.49982,26.85321
1963-09,,,,,,,99.73532,99.70079,26.95819
1963-10,,,,,,,100.0114,99.94389,27.06324
1963-11,,,,,,,100.3193,100.215,27.16837
1963-12,,,,,,,100.6439,100.5008,27.27353
1964-01,,,,,,,100.9716,100.7894,27.37871
1964-02,,,,,,,101.2902,101.0698,27.48389
1964-03,,,,,,,101.5867,101.3309,27.58904
1964-04,,,,,,,101.8472,101.5603,27.69415
1964-05,,,,,,,102.0573,101.7453,27.7992
1964-06,,,,,,,102.2047,101.875,27.90417
1964-07,,,,,,,102.286,101.9467,28.00906
1964-08,,,,,,,102.3022,101.9609,28.11386
1964-09,,,,,,,102.258,101.922,28.21856
1964-10,,,,,,,102.1672,101.842,28.32317
1964-11,,,,,,,102.0449,101.7343,28.4277
1964-12,,,,,,,101.9044,101.6106,28.53216
1965-01,,,,,,,101.7556,101.4796,28.63656
1965-02,,,,,,,101.605,101.347,28.74092
1965-03,,,,,,,101.4564,101.2162,28.84526
1965-04,,,,,,,101.3117,101.0888,28.9496
1965-05,,,,,,,101.1716,100.9654,29.05398
1965-06,,,,,,,101.0359,100.846,29.15843
1965-07,,,,,,,100.9039,100.7297,29.26297
1965-08,,,,,,,100.7745,100.6158,29.36764
1965-09,,,,,,,100.6467,100.5033,29.47249
1965-10,,,,,,,100.5195,100.3912,29.57754
1965-11,,,,,,,100.3919,100.2789,29.68285
1965-12,,,101.2237,101.1552,,30.15296,100.2638,100.1661,29.78845
1966-01,,,100.9247,100.8728,,30.17083,100.1354,100.0531,29.89439
1966-02,,,100.5618,100.53,,30.16924,100.0082,99.94108,30.00071
1966-03,,,100.1993,100.1876,,30.16745,99.88448,99.83211,30.10745
1966-04,,,99.8508,99.85848,,30.1696,99.76743,99.72906,30.21468
1966-05,,,99.56045,99.58425,,30.18914,99.6609,99.63526,30.32242
1966-06,,,99.31489,99.35233,,30.22225,99.56815,99.55359,30.43073
1966-07,,,99.07514,99.12589,,30.25721,99.49012,99.48489,30.53966
1966-08,,,98.83434,98.89845,,30.29198,99.42664,99.42899,30.64924
1966-09,,,98.58868,98.66643,,30.32542,99.37629,99.38466,30.75953
1966-10,,,98.37322,98.46293,,30.36838,99.33533,99.3486,30.87057
1966-11,,,98.20338,98.30251,,30.42577,99.29951,99.31706,30.9824
1966-12,,,98.06605,98.1728,1.130056,30.49371,99.26509,99.28675,31.09507
1967-01,,,97.95029,98.06346,1.319472,30.56893,99.22929,99.25523,31.20861
1967-02,,,97.85564,97.97407,1.598186,30.6514,99.19023,99.22084,31.32308
1967-03,,,97.77489,97.8978,1.894455,30.73895,99.14668,99.18249,31.4385
1967-04,,,97.74295,97.86764,2.231063,30.8427,99.09786,99.1395,31.55491
1967-05,,,97.75021,97.87449,2.552758,30.95979,99.0432,99.09138,31.67236
1967-06,,,97.79667,97.91837,2.872598,31.09041,98.98219,99.03765,31.79087
1967-07,,,97.91319,98.02843,3.263239,31.24458,98.91441,98.97797,31.91049
1967-08,,,98.07733,98.18346,3.708566,31.41538,98.83945,98.91197,32.03123
1967-09,,,98.27939,98.3743,4.202719,31.59991,98.75696,98.83934,32.15314
1967-10,,,98.48555,98.56902,4.672812,31.78744,98.66706,98.76019,32.27624
1967-11,,,98.68493,98.75733,5.090088,31.97446,98.5704,98.67508,32.40055
1967-12,,,98.88033,98.94189,5.47068,32.16192,98.46849,98.58534,32.5261
1968-01,,,99.09042,99.14032,5.84574,32.35591,98.3643,98.49361,32.65291
1968-02,,,99.31846,99.3557,6.218894,32.55758,98.2628,98.40424,32.78099
1968-03,,,99.56197,99.58569,6.595016,32.76619,98.17134,98.32371,32.91035
1968-04,,,99.84254,99.85069,6.958802,32.98898,98.09965,98.26058,33.04101
1968-05,,,100.1162,100.1091,7.273,33.2115,98.05878,98.22459,33.17297
1968-06,,,100.375,100.3536,7.528738,33.43113,98.05835,98.22422,33.30622
1968-07,,,100.6231,100.5879,7.695942,33.64914,98.10139,98.26212,33.44077
1968-08,,,100.8432,100.7958,7.780737,33.85973,98.18769,98.3381,33.57661
1968-09,,,101.0442,100.9856,7.803323,34.06575,98.3138,98.44915,33.71371
1968-10,,,101.2511,101.1811,7.827538,34.27561,98.46947,98.5862,33.85208
1968-11,,,101.4765,101.3939,7.878447,34.49356,98.64304,98.73904,33.99167
1968-12,,,101.744,101.6466,7.977798,34.72773,98.82436,98.8987,34.13247
1969-01,,,102.0412,101.9273,8.091702,34.97405,99.00604,99.05866,34.27444
1969-02,,,102.3411,102.2105,8.187694,35.22329,99.18342,99.21484,34.41755
1969-03,,,102.6076,102.4623,8.230461,35.463,99.35423,99.36523,34.56176
1969-04,,,102.8019,102.6458,8.155835,35.67951,99.51814,99.50956,34.70704
1969-05,,,102.9001,102.7385,7.986988,35.8641,99.67597,99.64853,34.85333
1969-06,,,102.8768,102.7166,7.706553,36.00752,99.82896,99.78323,35.00061
1969-07,,,102.738,102.5855,7.316837,36.11119,99.97816,99.9146,35.14881
1969-08,,,102.4905,102.3517,6.843764,36.17701,100.1245,100.0434,35.2979
1969-09,,,102.1303,102.0115,6.273825,36.20298,100.2684,100.1701,35.44782
1969-10,,,101.6472,101.5552,5.570418,36.1849,100.41,100.2948,35.59853
1969-11,,,101.0751,101.0148,4.75669,36.13431,100.5488,100.4171,35.74997
1969-12,,,100.5043,100.4757,3.903042,36.08317,100.6836,100.5357,35.9021
1970-01,,,100.0012,100.0005,3.091568,36.0553,100.8123,100.6491,36.05487
1970-02,,,99.5991,99.62075,2.384177,36.06307,100.9311,100.7537,36.20823
1970-03,,,99.29729,99.33569,1.81487,36.10661,101.0343,100.8445,36.36213
1970-04,,,99.07322,99.12407,1.397402,36.1781,101.1136,100.9144,36.51653
1970-05,,,98.91877,98.9782,1.145336,36.27486,101.1599,100.9551,36.67136
1970-06,,,98.85385,98.91687,1.102554,36.40452,101.1645,100.9592,36.82661
1970-07,,,98.88085,98.94238,1.265912,36.56833,101.1246,100.924,36.98222
1970-08,,,98.9749,99.0312,1.604435,36.75744,101.0399,100.8495,37.13815
