country,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,99.21809,98.72039,7.947243
1960-03,,,,,,,99.29826,98.85316,7.972315
1960-04,,,,,,,99.37843,98.98593,7.997466
1960-05,,,,,,,99.45849,99.11852,8.022693
1960-06,,,,,,,99.53838,99.25083,8.047996
1960-07,,,,,,,99.61808,99.38282,8.073371
1960-08,,,,,,,99.69759,99.51452,8.098817
1960-09,,,,,,,99.77693,99.64591,8.124329
1960-10,,,,,,,99.85598,99.77683,8.149904
1960-11,,,,,,,99.93446,99.9068,8.175538
1960-12,,,,,,,100.0118,100.0349,8.201226
1961-01,,,,,,,100.087,100.1594,8.226966
1961-02,,,,,,,100.1584,100.2776,8.252751
1961-03,,,,,,,100.2233,100.3852,8.278579
1961-04,,,,,,,100.2785,100.4765,8.304443
1961-05,,,,,,,100.3197,100.5448,8.330342
1961-06,,,,,,,100.3434,100.5841,8.356272
1961-07,,,,,,,100.3484,100.5923,8.382228
1961-08,,,,,,,100.3342,100.5688,8.408208
1961-09,,,,,,,100.3019,100.5154,8.434208
1961-10,,,,,,,100.2552,100.4381,8.460228
1961-11,,,,,,,100.1985,100.344,8.486263
1961-12,,,,,,,100.1359,100.2404,8.512315
1962-01,,,,,,,100.0715,100.1338,8.538379
1962-02,,,,,,,100.0092,100.0305,8.564455
1962-03,,,,,,,99.95306,99.93761,8.590542
1962-04,,,,,,,99.90783,99.8627,8.616638
1962-05,,,,,,,99.87834,99.81387,8.642742
1962-06,,,,,,,99.86872,99.79793,8.668853
1962-07,,,,,,,99.88021,99.81695,8.694968
1962-08,,,,,,,99.91269,99.87074,8.721087
1962-09,,,,,,,99.96464,99.95678,8.747205
1962-10,,,,,,,100.0316,100.0677,8.773323
1962-11,,,,,,,100.1085,100.195,8.799438
1962-12,,,,,,,100.1906,100.331,8.825546
1963-01,,,,,,,100.2744,100.4698,8.851646
1963-02,,,,,,,100.3571,100.6068,8.877738
1963-03,,,,,,,100.4364,100.7381,8.903818
1963-04,,,,,,,100.5105,100.8608,8.929886
1963-05,,,,,,,100.5777,100.972,8.955941
1963-06,,,,,,,100.6366,101.0696,8.981983
1963-07,,,,,,,100.687,101.1531,9.008014
1963-08,,,,,,,100.7291,101.2228,9.034032
1963-09,,,,,,,100.7636,101.28,9.060042
1963-10,,,,,,,100.7922,101.3273,9.086046
1963-11,,,,,,,100.8166,101.3678,9.112048
1963-12,,,,,,,100.8382,101.4036,9.138054
1964-01,,,,,,,100.8576,101.4357,9.164068
1964-02,,,,,,,100.8744,101.4635,9.190098
1964-03,,,,,,,100.8873,101.4848,9.216151
1964-04,,,,,,,100.8939,101.4958,9.242238
1964-05,,,,,,,100.8915,101.4919,9.268367
1964-06,,,,,,,100.8776,101.4687,9.294551
1964-07,,,,,,,100.8511,101.4249,9.320801
1964-08,,,,,,,100.8122,101.3604,9.347132
1964-09,,,,,,,100.7615,101.2765,9.373557
1964-10,,,,,,,100.7016,101.1774,9.400094
1964-11,,,,,,,100.6353,101.0675,9.42676
1964-12,,,,,,,100.5647,100.9505,9.453571
1965-01,,,,,,,100.4907,100.828,9.480548
1965-02,,,,,,,100.4132,100.6996,9.50771
1965-03,,,,,,,100.3304,100.5626,9.535079
1965-04,,,,,,,100.2396,100.4122,9.562675
1965-05,,,,,,,100.1371,100.2424,9.590519
1965-06,,,,,,,100.0195,100.0476,9.618636
1965-07,,,,,,,99.88516,99.82516,9.647048
1965-08,,,,,,,99.73347,99.57394,9.675778
1965-09,,,,,,,99.56484,99.29466,9.70485
1965-10,,,,,,,99.38209,98.99199,9.734288
1965-11,,,,,,,99.18893,98.6721,9.764114
1965-12,,,,,,,98.98952,98.34185,9.794353
1966-01,,,,,,,98.78851,98.00894,9.825026
1966-02,,,,,,,98.59164,97.68289,9.856153
1966-03,,,,,,,98.40627,97.37588,9.887757
1966-04,,,,,,,98.24152,97.10305,9.919854
1966-05,,,,,,,98.10753,96.88113,9.952463
1966-06,,,,,,,98.01294,96.72447,9.985598
1966-07,,,,,,,97.96032,96.63734,10.01927
1966-08,,,,,,,97.94933,96.61914,10.05349
1966-09,,,,,,,97.97664,96.66436,10.08827
1966-10,,,,,,,98.03262,96.75707,10.12362
1966-11,,,,,,,98.10658,96.87956,10.15952
1966-12,,,,,,,98.18957,97.01701,10.196
1967-01,,,,,,,98.27573,97.1597,10.23303
1967-02,,,,,,,98.36263,97.3036,10.27063
1967-03,,,,,,,98.45106,97.45007,10.30878
1967-04,,,,,,,98.54463,97.60503,10.34747
1967-05,,,,,,,98.64858,97.77719,10.38669
1967-06,,,,,,,98.76801,97.97498,10.42644
1967-07,,,,,,,98.90506,98.20197,10.46669
1967-08,,,,,,,99.0604,98.45923,10.50742
1967-09,,,,,,,99.23299,98.74507,10.54863
1967-10,,,,,,,99.41842,99.05215,10.59029
1967-11,,,,,,,99.61131,99.37162,10.63237
1967-12,,,,,,,99.80669,99.69519,10.67486
1968-01,,,,,,,100.0004,100.016,10.71774
1968-02,,,,,,,100.189,100.3283,10.76097
1968-03,,,,,,,100.3691,100.6267,10.80454
1968-04,,,,,,,100.5376,100.9057,10.84841
1968-05,,,,,,,100.6911,101.1599,10.89257
1968-06,,,,,,,100.8271,101.3851,10.93699
1968-07,,,,,,,100.9451,101.5805,10.98165
1968-08,,,,,,,101.0456,101.747,11.02652
1968-09,,,,,,,101.1301,101.887,11.07158
1968-10,,,,,,,101.202,102.0061,11.11681
1968-11,,,,,,,101.2647,102.1099,11.1622
1968-12,,,,,,,101.3206,102.2024,11.20772
1969-01,,,,,,,101.3706,102.2853,11.25335
1969-02,,,,,,,101.414,102.3572,11.29909
1969-03,,,,,,,101.4482,102.4137,11.34491
1969-04,,,,,,,101.4692,102.4485,11.39081
1969-05,,,,,,,101.4728,102.4545,11.43678
1969-06,,,,,,,101.4562,102.4271,11.4828
1969-07,,,,,,,101.4211,102.3689,11.52888
1969-08,,,,,,,101.3715,102.2867,11.575
1969-09,,,,,,,101.3134,102.1905,11.62117
1969-10,,,,,,,101.255,102.0938,11.66738
1969-11,,,,,,,101.201,102.0043,11.71364
1969-12,,,,,,,101.1466,101.9143,11.75996
1970-01,,,,,,,101.0722,101.7911,11.80633
1970-02,,,,,,,100.9542,101.5957,11.85276
1970-03,,,,,,,100.7784,101.3044,11.89926
1970-04,,,,,,,100.5552,100.9349,11.94585
1970-05,,,,,,,100.3068,100.5235,11.99253
1970-06,,,,,,,100.0565,100.1089,12.03932
1970-07,,,,,,,99.82117,99.71917,12.08624
1970-08,,,,,,,99.61265,99.37383,12.13329
1970-09,,,,,,,99.43828,99.08504,12.18049
1970-10,,,,,,,99.29938,98.85501,12.22785
1970-11,,,,,,,99.19514,98.68237,12.27539
1970-12,,,,,,,99.1238,98.56422,12.32312
1971-01,,,,,,,99.0814,98.494,12.37106
1971-02,,,,,,,99.06435,98.46577,12.4192
1971-03,,,,,,,99.06993,98.47501,12.46755
1971-04,,,,,,,99.09487,98.51631,12.51614
1971-05,,,,,,,99.1367,98.5856,12.56495
1971-06,,,,,,,99.19366,98.67993,12.614
1971-07,,,,,,,99.26323,98.79514,12.66329
1971-08,,,,,,,99.34319,98.92757,12.71282
1971-09,,,,,,,99.43162,99.07402,12.76259
1971-10,,,,,,,99.52606,99.23044,12.8126
1971-11,,,,,,,99.62421,99.39297,12.86285
1971-12,,,,,,,99.72399,99.55824,12.91333
1972-01,,,,,,,99.8234,99.72287,12.96406
1972-02,,,,,,,99.92054,99.88374,13.01501
1972-03,,,,,,,100.0137,100.038,13.06619
1972-04,,,,,,,100.1014,100.1833,13.1176
1972-05,,,,,,,100.1822,100.317,13.16923
1972-06,,,,,,,100.2546,100.437,13.22108
1972-07,,,,,,,100.3178,100.5416,13.27314
1972-08,,,,,,,100.3707,100.6293,13.32541
1972-09,,,,,,,100.4124,100.6984,13.37789
1972-10,,,,,,,100.4425,100.7483,13.43058
1972-11,,,,,,,100.4606,100.7781,13.48347
1972-12,,,,,,,100.466,100.7872,13.53657
1973-01,,,,,,,100.4591,100.7757,13.58988
1973-02,,,,,,,100.4399,100.7439,13.64339
1973-03,,,,,,,100.4084,100.6918,13.69711
1973-04,,,,,,,100.3654,100.6205,13.75104
1973-05,,,,,,,100.3116,100.5314,13.80519
