country,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1998-04,96.69299,,99.04775,99.19579,3.259976,52.77177,99.72244,99.51896,53.27911
1998-05,96.77861,,98.85701,99.03441,2.941998,52.85382,99.59902,99.36958,53.46492
1998-06,96.86981,,98.68378,98.88786,2.66899,52.94431,99.47612,99.22082,53.65047
1998-07,96.95886,,98.55999,98.78312,2.507789,53.06049,99.35683,99.07642,53.83574
1998-08,97.05441,,98.48541,98.72003,2.461751,53.20248,99.23622,98.93044,54.02067
1998-09,97.16772,,98.47082,98.70768,2.533759,53.37632,99.10703,98.77406,54.20522
1998-10,97.29242,,98.54877,98.77364,2.750321,53.60003,98.96539,98.60262,54.38934
1998-11,97.42304,,98.71644,98.91548,3.07009,53.87249,98.8176,98.42374,54.57297
1998-12,97.56217,,98.96401,99.12494,3.4722,54.18879,98.68772,98.26654,54.75605
1999-01,97.72168,,99.2756,99.38855,3.938836,54.54054,98.62569,98.19146,54.93852
1999-02,97.92734,,99.59836,99.66161,4.408879,54.8989,98.67948,98.25657,55.12029
1999-03,98.20306,,99.91828,99.93227,4.890854,55.25609,98.86288,98.47855,55.30128
1999-04,98.50895,,100.2166,100.1847,5.362325,55.60156,99.12868,98.80029,55.48139
1999-05,98.79706,,100.5175,100.4393,5.855317,55.94858,99.40324,99.1326,55.66051
1999-06,99.0369,,100.8692,100.7368,6.383279,56.3239,99.62894,99.40578,55.83853
1999-07,99.25874,,101.2798,101.0842,6.919934,56.73224,99.80651,99.62071,56.01534
1999-08,99.50908,,101.7121,101.4499,7.42521,57.15287,99.96766,99.81577,56.19081
1999-09,99.82405,,102.1243,101.7986,7.842129,57.56216,100.1509,100.0376,56.36483
1999-10,100.1743,,102.5269,102.1392,8.145267,57.96589,100.3786,100.3132,56.53728
1999-11,100.5186,,102.9111,102.4643,8.327707,58.35884,100.664,100.6586,56.70803
1999-12,100.822,,103.2546,102.7549,8.376789,58.72807,101.0154,101.084,56.87697
2000-01,101.0804,,103.5277,102.986,8.279685,59.05633,101.4363,101.5935,57.04396
2000-02,101.2762,,103.7049,103.1358,8.068486,59.32841,101.9259,102.186,57.2089
2000-03,101.3791,,103.7451,103.1699,7.717167,59.52029,102.4748,102.8504,57.37167
2000-04,101.4103,,103.6509,103.0902,7.24989,59.63261,103.0558,103.5536,57.53215
2000-05,101.3785,,103.5082,102.9694,6.73038,59.71413,103.6298,104.2483,57.69027
2000-06,101.288,,103.3551,102.8399,6.14805,59.78672,104.1495,104.8774,57.84593
2000-07,101.2096,,103.1676,102.6813,5.471341,59.83626,104.5643,105.3795,57.99907
2000-08,101.223,,102.943,102.4913,4.738367,59.86098,104.828,105.6987,58.14965
2000-09,101.3468,,102.6887,102.2761,4.000741,59.86507,104.9141,105.8029,58.29765
2000-10,101.3761,,102.4063,102.0372,3.249374,59.84942,104.8242,105.6941,58.44309
2000-11,100.9797,,102.1186,101.7938,2.5161,59.82721,104.5823,105.4013,58.58599
2000-12,99.89008,,101.8134,101.5356,1.810534,59.79136,104.2229,104.9662,58.72641
2001-01,98.52027,,101.4819,101.2552,1.152206,59.73678,103.791,104.4436,58.86445
2001-02,97.4162,,101.1454,100.9704,0.5858731,59.676,103.3276,103.8826,59.00022
2001-03,96.98903,,100.8009,100.679,0.146438,59.60745,102.8606,103.3173,59.13383
2001-04,96.98196,,100.4577,100.3886,-0.1608437,59.53669,102.3997,102.7595,59.26545
2001-05,97.07137,,100.1483,100.1269,-0.3865556,59.4833,101.9459,102.2102,59.39522
2001-06,97.04787,,99.8874,99.90615,-0.5526459,59.45631,101.5003,101.6708,59.52333
2001-07,96.90094,,99.67937,99.73015,-0.6309644,59.45871,101.073,101.1537,59.64997
2001-08,96.66042,,99.51007,99.58691,-0.6323296,59.48247,100.6794,100.6772,59.77533
2001-09,96.36163,,99.37468,99.47237,-0.567993,59.52504,100.3347,100.26,59.89961
2001-10,96.10387,,99.29038,99.40106,-0.421598,59.5971,100.0476,99.91251,60.02303
2001-11,96.02502,,99.29485,99.40483,-0.1763866,59.72168,99.82254,99.64011,60.1458
2001-12,96.23505,,99.38855,99.48411,0.1810516,59.89962,99.6582,99.44119,60.26813
2002-01,96.57068,,99.51891,99.5944,0.607534,60.0997,99.54156,99.30003,60.39023
2002-02,96.82448,,99.62225,99.68182,1.018371,60.28372,99.45551,99.19586,60.51231
2002-03,96.8484,,99.65803,99.7121,1.375308,60.42724,99.38275,99.1078,60.63459
2002-04,96.73909,,99.63238,99.6904,1.674961,60.53391,99.30775,99.01701,60.75727
2002-05,96.62956,,99.54314,99.61489,1.881379,60.60241,99.21863,98.90914,60.88055
2002-06,96.61404,,99.37775,99.47497,1.965695,60.62504,99.10928,98.77679,61.00464
2002-07,96.67302,,99.16243,99.29281,1.949294,60.61774,98.98241,98.62324,61.12974
2002-08,96.77381,,98.9266,99.09328,1.876281,60.59853,98.84638,98.45858,61.25605
2002-09,96.89662,,98.68904,98.8923,1.770672,60.57904,98.71323,98.29742,61.38375
2002-10,97.01871,,98.46568,98.70334,1.631185,60.56924,98.59737,98.15718,61.51304
2002-11,97.11309,,98.2511,98.5218,1.413762,60.566,98.5097,98.05106,61.64409
2002-12,97.14771,,98.04691,98.34904,1.120058,60.57053,98.45042,97.97931,61.77708
2003-01,97.11256,,97.85452,98.18628,0.8056069,60.58387,98.39978,97.91802,61.91217
2003-02,96.98149,,97.7062,98.0608,0.5681606,60.62623,98.33326,97.8375,62.04952
2003-03,96.74364,,97.61845,97.98656,0.4649633,60.7082,98.23589,97.71964,62.18927
2003-04,96.53102,,97.62206,97.98961,0.521103,60.84935,98.11737,97.57619,62.33156
2003-05,96.5461,,97.71754,98.07039,0.7394479,61.05053,97.99872,97.43258,62.47653
2003-06,96.96431,,97.90553,98.22943,1.134197,61.31264,97.90031,97.31346,62.62429
2003-07,97.60872,,98.13429,98.42297,1.626638,61.60377,97.8298,97.22812,62.77497
2003-08,98.26935,,98.35857,98.61272,2.14063,61.89571,97.79103,97.18119,62.92864
2003-09,98.79613,,98.59502,98.81276,2.674253,62.19907,97.79045,97.1805,63.08541
2003-10,99.17572,,98.87737,99.05164,3.24603,62.53533,97.84114,97.24184,63.24534
2003-11,99.39275,,99.22162,99.34288,3.878312,62.91494,97.95528,97.37999,63.4085
2003-12,99.43821,,99.64448,99.70063,4.587024,63.34891,98.13273,97.59478,63.57493
2004-01,99.48036,,100.1037,100.0891,5.326333,63.81076,98.3446,97.85122,63.74467
2004-02,99.74154,,100.5216,100.4427,5.979107,64.25114,98.55295,98.10342,63.91774
2004-03,100.3781,,100.8465,100.7176,6.471104,64.6367,98.72787,98.31514,64.09415
2004-04,101.1416,,101.0658,100.9031,6.753748,64.95897,98.86441,98.4804,64.27391
2004-05,101.6847,,101.1687,100.9902,6.813733,65.21035,98.97057,98.6089,64.45702
2004-06,101.7407,,101.1752,100.9956,6.671531,65.40314,99.0576,98.71424,64.64346
2004-07,101.5232,,101.1096,100.9401,6.410043,65.5526,99.13199,98.80428,64.83323
2004-08,101.3002,,101.0082,100.8544,6.117048,65.68191,99.19569,98.88137,65.0263
2004-09,101.2423,,100.9076,100.7693,5.812859,65.81462,99.24687,98.94333,65.22264
2004-10,101.2763,,100.8206,100.6956,5.474866,65.95906,99.2812,98.98488,65.42223
2004-11,101.2703,,100.7821,100.663,5.123241,66.13822,99.29441,99.00088,65.625
2004-12,101.1282,,100.7811,100.6622,4.729682,66.34512,99.28594,98.99062,65.83094
2005-01,100.9235,,100.778,100.6597,4.2987,66.55379,99.26359,98.96356,66.03998
2005-02,100.7726,,100.73,100.619,3.866959,66.7357,99.239,98.9338,66.25207
2005-03,100.7717,,100.6342,100.538,3.484075,66.88869,99.22392,98.91554,66.46716
2005-04,100.8786,,100.5181,100.4398,3.189261,67.03068,99.22629,98.91841,66.68516
2005-05,101.048,,100.4231,100.3594,3.034378,67.18908,99.25247,98.9501,66.90601
2005-06,101.2578,,100.3711,100.3154,3.0207,67.37877,99.30789,99.01719,67.12964
2005-07,101.4731,,100.37,100.3144,3.131178,67.60516,99.39574,99.12353,67.35596
2005-08,101.6581,,100.4121,100.3501,3.321292,67.8634,99.51817,99.27171,67.58485
2005-09,101.7809,,100.5025,100.4266,3.559121,68.15704,99.67486,99.46136,67.81625
2005-10,101.8495,,100.6464,100.5483,3.837006,68.48991,99.85887,99.68409,68.05004
2005-11,101.8668,,100.8117,100.6881,4.0856,68.84036,100.0598,99.92729,68.2861
2005-12,101.8387,,100.9946,100.8429,4.311955,69.20589,100.2647,100.1753,68.52434
2006-01,101.8352,,101.1746,100.9951,4.535442,69.5723,100.4575,100.4087,68.76463
2006-02,101.9566,,101.3122,101.1115,4.760018,69.91234,100.619,100.6041,69.00685
2006-03,102.2759,,101.3813,101.17,4.961629,70.20745,100.7273,100.7352,69.2509
2006-04,102.6563,,101.3839,101.1722,5.113682,70.45841,100.7606,100.7755,69.49666
2006-05,102.9001,,101.3332,101.1293,5.18646,70.67381,100.7047,100.7079,69.74401
2006-06,102.8365,,101.2579,101.0657,5.186431,70.87332,100.566,100.54,69.99286
2006-07,102.5465,,101.1824,101.0018,5.130527,71.07367,100.3897,100.3266,70.2431
2006-08,102.1115,,101.1423,100.9678,5.063796,71.29986,100.2345,100.1387,70.49463
2006-09,101.5895,,101.1428,100.9683,4.986788,71.55589,100.1496,100.0359,70.74735
2006-10,101.1348,,101.1798,100.9996,4.889697,71.83886,100.1512,100.0379,71.00117
