country,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1955-02,,,,,,,100.6482,100.6261,23.25225
1955-03,,,,,,,100.6838,100.6715,23.29755
1955-04,,,,,,,100.7318,100.7328,23.34294
1955-05,,,,,,,100.8052,100.8267,23.38842
1955-06,,,,,,,100.9048,100.9539,23.43399
1955-07,,,,,,,101.0041,101.0809,23.47967
1955-08,,,,,,,101.0698,101.1647,23.52546
1955-09,,,,,,,101.0806,101.1786,23.57136
1955-10,,,,,,,101.0501,101.1396,23.61738
1955-11,,,,,,,101.004,101.0807,23.66355
1955-12,,,,,,,100.9612,101.026,23.70987
1956-01,,,,,,,100.9155,100.9676,23.75637
1956-02,,,,,,,100.8492,100.8829,23.80306
1956-03,,,,,,,100.7474,100.7528,23.84996
1956-04,,,,,,,100.6126,100.5805,23.89709
1956-05,,,,,,,100.4577,100.3826,23.94449
1956-06,,,,,,,100.3011,100.1824,23.99218
1956-07,,,,,,,100.1632,100.0062,24.04018
1956-08,,,,,,,100.0642,99.87974,24.08852
1956-09,,,,,,,100.0209,99.82436,24.13723
1956-10,,,,,,,100.0401,99.84887,24.18634
1956-11,,,,,,,100.1191,99.94983,24.23587
1956-12,,,,,,,100.2412,100.1059,24.28586
1957-01,,,,,,,100.3667,100.2662,24.33632
1957-02,,,,,,,100.4495,100.3721,24.38729
1957-03,,,,,,,100.4541,100.378,24.43879
1957-04,,,,,,,100.3746,100.2764,24.49084
1957-05,,,,,,,100.2232,100.0829,24.5435
1957-06,,,,,,,100.0237,99.82795,24.59677
1957-07,,,,,,,99.81015,99.55506,24.6507
1957-08,,,,,,,99.61753,99.30891,24.70532
1957-09,,,,,,,99.47318,99.12443,24.76065
1957-10,,,,,,,99.38702,99.01433,24.81674
1957-11,,,,,,,99.35309,98.97097,24.87362
1957-12,,,97.26675,98.20961,,24.24986,99.34647,98.96252,24.93129
1958-01,,,97.3232,98.24659,,24.32087,99.31635,98.92402,24.9898
1958-02,,,97.47935,98.34889,,24.41775,99.21422,98.79351,25.04915
1958-03,,,97.68098,98.481,,24.5271,99.02356,98.54985,25.10939
1958-04,,,97.88067,98.61182,,24.63707,98.79366,98.25605,25.17051
1958-05,,,98.10539,98.75905,,24.7545,98.59521,98.00246,25.23256
1958-06,,,98.38365,98.94135,,24.88666,98.47902,97.85397,25.29553
1958-07,,,98.74928,99.18089,,25.04227,98.43282,97.79494,25.35944
1958-08,,,99.17374,99.45898,,25.21424,98.41692,97.77461,25.4243
1958-09,,,99.60384,99.74075,,25.38913,98.39381,97.74508,25.49011
1958-10,,,100.0018,100.0015,,25.55734,98.35524,97.69579,25.55687
1958-11,,,100.3093,100.203,,25.70383,98.3115,97.63991,25.62457
1958-12,,,100.4326,100.2837,6.410286,25.80434,98.28168,97.6018,25.69319
1959-01,,,100.3719,100.2439,6.322442,25.85854,98.28416,97.60497,25.76274
1959-02,,,100.2091,100.1373,6.017894,25.88719,98.33607,97.6713,25.83317
1959-03,,,100.0354,100.0235,5.653219,25.91367,98.45024,97.8172,25.90448
1959-04,,,99.9044,99.93768,5.336415,25.9518,98.62847,98.04496,25.97663
1959-05,,,99.80689,99.87379,5.028543,25.99929,98.86847,98.35166,26.04959
1959-06,,,99.84318,99.89756,4.804527,26.08235,99.16598,98.73186,26.12332
1959-07,,,100.1084,100.0713,4.727589,26.22616,99.51211,99.17419,26.19777
1959-08,,,100.7023,100.4604,4.930417,26.4574,99.89578,99.6645,26.2729
1959-09,,,101.662,101.0892,5.50412,26.78658,100.3023,100.184,26.34866
1959-10,,,102.7888,101.8274,6.278486,27.16195,100.7089,100.7037,26.425
1959-11,,,103.7814,102.4777,7.003614,27.50402,101.0872,101.187,26.50187
1959-12,,,104.3958,102.8802,7.53078,27.74761,101.4045,101.5925,26.57923
1960-01,,,104.4681,102.9276,7.693893,27.84807,101.6287,101.879,26.65701
1960-02,,,104.0785,102.6724,7.487888,27.82559,101.7355,102.0154,26.73519
1960-03,,,103.471,102.2743,7.064831,27.74442,101.7234,102.0001,26.81371
1960-04,,,102.8153,101.8447,6.542328,27.64965,101.6362,101.8886,26.89255
1960-05,,,102.2235,101.457,6.04669,27.57138,101.5314,101.7547,26.97167
1960-06,,,101.7476,101.1452,5.526439,27.52378,101.4553,101.6574,27.05103
1960-07,,,101.402,100.9188,4.899034,27.51099,101.4184,101.6103,27.13063
1960-08,,,101.1683,100.7657,4.047756,27.52833,101.4138,101.6044,27.21042
1960-09,,,101.014,100.6646,2.913928,27.56712,101.431,101.6264,27.2904
1960-10,,,100.8892,100.5828,1.663904,27.6139,101.468,101.6736,27.37053
1960-11,,,100.7952,100.5213,0.6001706,27.6691,101.5247,101.7461,27.45082
1960-12,,,100.7765,100.509,-0.009334047,27.74502,101.5949,101.8358,27.53124
1961-01,,,100.811,100.5316,-0.04435726,27.83572,101.6566,101.9147,27.61178
1961-02,,,100.8431,100.5527,0.3606156,27.92593,101.6814,101.9464,27.69245
1961-03,,,100.7624,100.4998,0.8669792,27.98496,101.644,101.8986,27.77323
1961-04,,,100.4903,100.3215,1.2335,27.99071,101.5348,101.7591,27.85413
1961-05,,,100.0186,100.0125,1.338287,27.94037,101.3539,101.5279,27.93517
1961-06,,,99.37132,99.58842,1.149674,27.84021,101.1103,101.2166,28.01634
1961-07,,,98.57188,99.06467,0.673957,27.69641,100.8262,100.8535,28.09767
1961-08,,,97.72576,98.51033,0.03626626,27.53832,100.5279,100.4723,28.17918
1961-09,,,97.0212,98.04874,-0.5371513,27.41904,100.2401,100.1045,28.26088
1961-10,,,96.5649,97.74979,-0.8861964,27.36919,99.98106,99.77346,28.34279
1961-11,,,96.37968,97.62845,-0.9874634,27.39587,99.76395,99.49602,28.42495
1961-12,,,96.38231,97.63017,-0.9694403,27.47605,99.59612,99.28155,28.50736
1962-01,,,96.48724,97.69891,-0.8980365,27.58574,99.4753,99.12715,28.59004
1962-02,,,96.66502,97.81538,-0.7489287,27.71679,99.39393,99.02316,28.67303
1962-03,,,96.895,97.96606,-0.4342287,27.86344,99.33995,98.95418,28.75632
1962-04,,,97.16003,98.13969,0.1078572,28.0209,99.29481,98.89649,28.83995
1962-05,,,97.38615,98.28783,0.8142752,28.16788,99.23827,98.82424,28.92391
1962-06,,,97.55925,98.40124,1.652246,28.3002,99.15259,98.71474,29.00822
1962-07,,,97.75313,98.52826,2.681931,28.4392,99.02742,98.55479,29.09288
1962-08,,,98.00225,98.69147,3.837166,28.59501,98.8614,98.34264,29.17791
1962-09,,,98.27055,98.86725,4.880405,28.7572,98.66638,98.09341,29.2633
1962-10,,,98.53742,99.04209,5.665527,28.9198,98.47446,97.84814,29.34905
1962-11,,,98.7849,99.20423,6.138238,29.0775,98.32839,97.66148,29.43516
1962-12,,,99.00397,99.34776,6.374769,29.22758,98.27216,97.58961,29.52163
1963-01,,,99.21548,99.48633,6.490291,29.37614,98.33846,97.67436,29.60842
1963-02,,,99.48775,99.6647,6.590333,29.54342,98.54488,97.93814,29.69553
1963-03,,,99.82833,99.88783,6.705421,29.7318,98.88068,98.36727,29.78293
1963-04,,,100.196,100.1287,6.810016,29.92913,99.28271,98.88104,29.87058
1963-05,,,100.5518,100.3618,6.943621,30.12375,99.67401,99.38109,29.95844
1963-06,,,100.8911,100.5841,7.116577,30.3142,99.9978,99.79487,30.04647
1963-07,,,101.2648,100.8289,7.301771,30.51577,100.2529,100.1208,30.13463
1963-08,,,101.6579,101.0865,7.445185,30.72396,100.4637,100.3903,30.22288
1963-09,,,102.0234,101.326,7.536528,30.9245,100.6552,100.635,30.31117
1963-10,,,102.3001,101.5072,7.534271,31.09869,100.8295,100.8577,30.39947
1963-11,,,102.4354,101.5958,7.403384,31.23022,100.9782,101.0477,30.48773
1963-12,,,102.4475,101.6038,7.173652,31.32427,101.0958,101.198,30.57591
1964-01,,,102.3631,101.5485,6.85073,31.38862,101.1944,101.324,30.66398
1964-02,,,102.2269,101.4593,6.408542,31.43672,101.2911,101.4476,30.7519
1964-03,,,102.1054,101.3797,5.910001,31.48895,101.3957,101.5812,30.83964
1964-04,,,102.0655,101.3535,5.469025,31.56596,101.4997,101.7141,30.92717
1964-05,,,102.1095,101.3823,5.128681,31.6687,101.5873,101.8261,31.01446
1964-06,,,102.2323,101.4628,4.887339,31.79576,101.6473,101.9028,31.10149
