country,DEU,DEU
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,26.08401
1960-Q2,,26.54822
1960-Q3,,27.46591
1960-Q4,,27.74663
1961-Q1,7.45029,28.02735
1961-Q2,5.002099,27.87619
1961-Q3,3.57695,28.44835
1961-Q4,2.996161,28.57796
1962-Q1,3.466854,28.99902
1962-Q2,5.112241,29.30129
1962-Q3,5.465212,30.00311
1962-Q4,4.759933,29.93826
1963-Q1,-0.3724608,28.89101
1963-Q2,3.02141,30.1866
1963-Q3,4.102017,31.23385
1963-Q4,4.832455,31.38501
1964-Q1,10.12713,31.81684
1964-Q2,6.688293,32.20557
1964-Q3,4.182534,32.54021
1964-Q4,5.091161,32.98287
1965-Q1,5.36137,33.52266
1965-Q2,5.732236,34.05167
1965-Q3,5.341682,34.27841
1965-Q4,4.549873,34.48355
1966-Q1,4.73437,35.10974
1966-Q2,3.424304,35.2177
1966-Q3,2.86622,35.2609
1966-Q4,0.657536,34.71029
1967-Q1,-1.629791,34.53753
1967-Q2,-2.237879,34.42957
1967-Q3,0.0,35.2609
1967-Q4,2.892641,35.71433
1968-Q1,4.617509,36.1323
1968-Q2,5.761267,36.41315
1968-Q3,5.5347,37.21249
1968-Q4,5.76758,37.77419
1969-Q1,7.174888,38.72475
1969-Q2,7.712806,39.22162
1969-Q3,7.663339,40.06421
1969-Q4,7.692304,40.67989
1970-Q1,3.372586,40.03078
1970-Q2,6.120868,41.62233
1970-Q3,5.829537,42.39977
1970-Q4,5.111266,42.75915
1971-Q1,4.763644,41.9377
1971-Q2,2.872244,42.81782
1971-Q3,2.733086,43.55859
1971-Q4,1.783876,43.52192
1972-Q1,3.882472,43.56592
1972-Q2,3.408694,44.27735
1972-Q3,4.024254,45.3115
1972-Q4,5.729688,46.01559
1973-Q1,7.083374,46.65186
1973-Q2,6.141302,46.99656
1973-Q3,4.05874,47.15057
1973-Q4,2.721524,47.26791
1974-Q1,2.177399,47.66765
1974-Q2,1.349933,47.63098
1974-Q3,1.018886,47.63098
1974-Q4,-0.5043008,47.02954
1975-Q1,-1.907951,46.75818
1975-Q2,-2.325179,46.52347
1975-Q3,-1.262668,47.02956
1975-Q4,1.965095,47.95372
1976-Q1,3.478331,48.38458
1976-Q2,5.545306,49.10334
1976-Q3,4.440716,49.11801
1976-Q4,4.324486,50.02747
1977-Q1,4.278413,50.45467
1977-Q2,3.334568,50.74073
1977-Q3,3.273852,50.72606
1977-Q4,3.141081,51.59887
1978-Q1,2.689233,51.81152
1978-Q2,2.515067,52.01689
1978-Q3,3.889418,52.69901
1978-Q4,3.326126,53.31512
1979-Q1,3.029295,53.38104
1979-Q2,5.809207,55.03866
1979-Q3,4.439656,55.03866
1979-Q4,3.865566,55.37605
1980-Q1,4.568469,55.81974
1980-Q2,0.7662088,55.46037
1980-Q3,0.3664391,55.24035
1980-Q4,-0.3774867,55.16701
1981-Q1,0.006600282,55.82342
1981-Q2,0.4033505,55.68407
1981-Q3,1.06881,55.83076
1981-Q4,1.123387,55.78675
1982-Q1,0.3087266,55.99577
1982-Q2,-0.05928306,55.65106
1982-Q3,-1.307091,55.101
1982-Q4,-0.9925853,55.23302
