country,JPN,JPN
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,11.98693
1960-Q2,,12.00902
1960-Q3,,12.42148
1960-Q4,,12.89889
1961-Q1,10.87903,13.29099
1961-Q2,13.03391,13.57427
1961-Q3,11.37765,13.83475
1961-Q4,12.17615,14.46948
1962-Q1,10.32829,14.66372
1962-Q2,9.536133,14.86873
1962-Q3,8.78697,15.0504
1962-Q4,6.188324,15.3649
1963-Q1,6.213789,15.57489
1963-Q2,7.83255,16.03333
1963-Q3,9.65481,16.50349
1963-Q4,11.11119,17.07212
1964-Q1,13.10912,17.61662
1964-Q2,12.52573,18.04162
1964-Q3,11.00834,18.32025
1964-Q4,8.653015,18.54938
1965-Q1,6.150947,18.70021
1965-Q2,4.944822,18.93375
1965-Q3,5.690598,19.36278
1965-Q4,6.007142,19.66366
1966-Q1,7.966394,20.18994
1966-Q2,10.80686,20.97989
1966-Q3,10.98615,21.49001
1966-Q4,11.47179,21.91944
1967-Q1,11.4433,22.50034
1967-Q2,10.13228,23.10563
1967-Q3,11.24638,23.90685
1967-Q4,11.17546,24.36903
1968-Q1,10.88931,24.95047
1968-Q2,11.66872,25.80177
1968-Q3,10.36964,26.38591
1968-Q4,14.44549,27.88926
1969-Q1,12.76153,28.13453
1969-Q2,12.21603,28.95372
1969-Q3,12.36026,29.64728
1969-Q4,10.45261,30.80441
1970-Q1,12.84454,31.74829
1970-Q2,10.98154,32.13328
1970-Q3,11.29085,32.99471
1970-Q4,6.765415,32.88846
1971-Q1,4.534989,33.18806
1971-Q2,4.948615,33.72343
1971-Q3,3.453963,34.13433
1971-Q4,4.733731,34.44531
1972-Q1,7.169686,35.56755
1972-Q2,7.453256,36.23693
1972-Q3,8.425771,37.01041
1972-Q4,10.1499,37.94147
1973-Q1,10.24234,39.21049
1973-Q2,9.195429,39.56907
1973-Q3,7.22518,39.68448
1973-Q4,5.886436,40.17488
1974-Q1,-1.060991,38.79448
1974-Q2,-1.251363,39.07391
1974-Q3,-0.2785846,39.57393
1974-Q4,-2.030072,39.3593
1975-Q1,1.588693,39.4108
1975-Q2,3.101463,40.28578
1975-Q3,2.957396,40.74429
1975-Q4,4.607339,41.17271
1976-Q1,5.355843,41.52158
1976-Q2,3.676519,41.76689
1976-Q3,3.951115,42.35414
1976-Q4,2.991759,42.4045
1977-Q1,4.360184,43.332
1977-Q2,4.477405,43.63696
1977-Q3,3.731142,43.93443
1977-Q4,5.013334,44.53038
1978-Q1,4.707019,45.37164
1978-Q2,4.985895,45.81266
1978-Q3,5.623637,46.40514
1978-Q4,5.713888,47.0748
1979-Q1,5.305508,47.77884
1979-Q2,6.197364,48.65183
1979-Q3,5.641056,49.02288
1979-Q4,4.590912,49.23596
1980-Q1,3.44394,49.42432
1980-Q2,1.052248,49.16377
1980-Q3,2.533762,50.26501
1980-Q4,4.25994,51.33338
1981-Q1,4.49937,51.6481
1981-Q2,6.338765,52.28015
1981-Q3,3.7777,52.16387
1981-Q4,2.359574,52.54463
1982-Q1,3.294956,53.34988
1982-Q2,2.746764,53.71616
1982-Q3,3.425808,53.9509
1982-Q4,4.103125,54.7006
1983-Q1,2.596482,54.7351
