country,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE,OECDE
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPOR_GYSA,LORSGPOR_IXOBSA,LORSGPRT,LORSGPTD
measure,,,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,2010=100,,
time,,,,,,,,,,,
1960-02,,,,,,,99.91438,,21.4821,99.70027,21.54669
1960-03,,,,,,,99.94352,,21.58253,99.74792,21.63708
1960-04,,,,,,,99.965,,21.68126,99.78543,21.72788
1960-05,,,,,,,99.98738,,21.78052,99.82323,21.81909
1960-06,,,,,,,100.0158,,21.88166,99.86745,21.91071
1960-07,,,,,,,100.0469,,21.98368,99.91344,22.00272
1960-08,,,,,,,100.0746,,22.08481,99.95331,22.09513
1960-09,,,,,,,100.0961,,22.18419,99.98318,22.18792
1960-10,,,,,,,100.1177,,22.28354,100.011,22.2811
1960-11,,,,,,,100.1476,,22.38523,100.0473,22.37465
1960-12,,,,,,,100.1891,,22.4903,100.0967,22.46857
1961-01,,,,,,,100.2327,,22.5963,100.1482,22.56285
1961-02,,,,,,,100.2646,5.66726,22.69955,100.1856,22.65749
1961-03,,,,,,,100.2758,5.629485,22.79752,100.198,22.75248
1961-04,,,,,,,100.2712,5.58139,22.89137,100.1907,22.84781
1961-05,,,,,,,100.2612,5.52483,22.98386,100.176,22.94349
1961-06,,,,,,,100.2552,5.464729,23.07744,100.1647,23.0395
1961-07,,,,,,,100.2542,5.407405,23.17242,100.1581,23.13584
1961-08,,,,,,,100.2559,5.358255,23.26817,100.1535,23.2325
1961-09,,,,,,,100.2579,5.318738,23.36411,100.1484,23.32949
1961-10,,,,,,,100.262,5.282385,23.46064,100.1445,23.4268
1961-11,,,,,,,100.271,5.241853,23.55863,100.1454,23.52442
1961-12,,,,,,,100.2875,5.195441,23.65877,100.1542,23.62234
1962-01,,,,,,,100.31,5.153609,23.76082,100.1697,23.72057
1962-02,,,,,,,100.3356,5.130224,23.86409,100.1889,23.81911
1962-03,,,,,,,100.3608,5.133412,23.96781,100.2085,23.91793
1962-04,,,,,,,100.3828,5.155003,24.07142,100.2264,24.01705
1962-05,,,,,,,100.3969,5.177295,24.1738,100.2378,24.11645
1962-06,,,,,,,100.3933,5.178505,24.2725,100.2328,24.21614
1962-07,,,,,,,100.3562,5.138481,24.36313,100.1934,24.3161
1962-08,,,,,,,100.2683,5.040164,24.44093,100.1007,24.41634
1962-09,,,,,,,100.1198,4.874627,24.50303,99.9436,24.51685
1962-10,,,,,,,99.91485,4.645032,24.5504,99.7269,24.61763
1962-11,,,,,,,99.67509,4.372854,24.58881,99.47468,24.71867
1962-12,,,,,,,99.44249,4.103253,24.62955,99.23282,24.81997
1963-01,,,,,,,99.27937,3.908868,24.6896,99.0694,24.92152
1963-02,,,,,,,99.24635,3.861602,24.78562,99.05008,25.02333
1963-03,,,,,,,99.3713,3.995601,24.92547,99.20438,25.12537
1963-04,,,,,,,99.62707,4.279891,25.10166,99.5006,25.22764
1963-05,,,,,,,99.95302,4.647883,25.29737,99.87069,25.33013
1963-06,,,,,,,100.2844,5.034833,25.49458,100.2429,25.4328
1963-07,,,,,,,100.5765,5.409184,25.68098,100.5691,25.53565
1963-08,,,,,,,100.804,5.763472,25.84957,100.8227,25.63865
1963-09,,,,,,,100.961,6.103632,25.9986,100.9976,25.7418
1963-10,,,,,,,101.0563,6.435194,26.13026,101.1035,25.84507
1963-11,,,,,,,101.1073,6.751826,26.24901,101.1582,25.94846
1963-12,,,,,,,101.1297,7.021923,26.35902,101.1787,26.05195
1964-01,,,,,,,101.1317,7.181053,26.46257,101.1739,26.15553
1964-02,,,,,,,101.1157,7.1609,26.5605,101.1474,26.25919
1964-03,,,,,,,101.0824,6.931176,26.6531,101.1006,26.36294
1964-04,,,,,,,101.0335,6.530215,26.74085,101.0356,26.46676
1964-05,,,,,,,100.9719,6.03696,26.82456,100.9556,26.57066
1964-06,,,,,,,100.9013,5.53351,26.90533,100.8648,26.67464
1964-07,,,,,,,100.8264,5.076828,26.98476,100.7695,26.7787
1964-08,,,,,,,100.752,4.700281,27.06458,100.676,26.88284
1964-09,,,,,,,100.6826,4.414459,27.1463,100.59,26.98708
1964-10,,,,,,,100.6208,4.212216,27.23092,100.5149,27.09142
1964-11,,,,,,,100.5689,4.076529,27.31906,100.4529,27.19588
1964-12,,,,,,,100.5278,3.990289,27.41082,100.4043,27.30045
1965-01,,,,,,,100.4992,3.944504,27.50639,100.3694,27.40516
1965-02,,,,,,,100.4838,3.934523,27.60553,100.3472,27.51003
1965-03,,,,,,,100.48,3.956549,27.70764,100.3353,27.61505
1965-04,,,,,,,100.4829,4.003993,27.81155,100.3293,27.72025
1965-05,,,,,,,100.4868,4.068948,27.91604,100.3248,27.82566
1965-06,,,,,,,100.4871,4.143983,28.02028,100.3187,27.93127
1965-07,,,,,,,100.4827,4.222468,28.12418,100.3105,28.03713
1965-08,,,,,,,100.4738,4.298734,28.22801,100.3012,28.14324
1965-09,,,,,,,100.4612,4.367872,28.33201,100.2916,28.24962
1965-10,,,,,,,100.4446,4.425583,28.43605,100.2812,28.35631
1965-11,,,,,,,100.4242,4.469151,28.53999,100.2694,28.46332
1965-12,,,,,,,100.4014,4.499129,28.64407,100.2569,28.57067
1966-01,,,,,,,100.3801,4.518684,28.74932,100.2473,28.6784
1966-02,,,,,,,100.3636,4.531871,28.85658,100.2433,28.78653
1966-03,,,,,,,100.3517,4.539698,28.96548,100.2436,28.89508
1966-04,,,,,,,100.3374,4.537766,29.07357,100.2395,29.00409
1966-05,,,,,,,100.31,4.517282,29.17709,100.2181,29.11358
1966-06,,,,,,,100.2586,4.467591,29.27211,100.1661,29.22359
1966-07,,,,,,,100.1757,4.379505,29.35588,100.0742,29.33413
