country,G4E,G4E,G4E,G4E,G4E,G4E,G4E,G4E,G4E
subject,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPOR_GYSA,LORSGPOR_IXOBSA,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,2010=100,,
time,,,,,,,,,
1963-07,101.1446,100.828,5.615161,30.18125,100.6352,4.976155,30.01002,100.562,29.83971
1963-08,101.2999,100.9451,5.791359,30.34155,100.9174,5.434555,30.21687,100.8766,29.9522
1963-09,101.4036,101.0264,5.911925,30.48679,101.1072,5.87303,30.3947,101.092,30.06481
1963-10,101.4496,101.0689,5.984373,30.61497,101.2158,6.29855,30.54663,101.2193,30.17753
1963-11,101.4445,101.0786,6.009882,30.7279,101.2669,6.706144,30.67957,101.2822,30.29035
1963-12,101.396,101.0613,5.98589,30.8277,101.2819,7.058906,30.79993,101.3027,30.40326
1964-01,101.3107,101.0213,5.886546,30.91623,101.2702,7.274353,30.91049,101.2903,30.51624
1964-02,101.1847,100.9524,5.671957,30.99216,101.233,7.26355,31.01167,101.2469,30.62929
1964-03,101.0291,100.8602,5.335112,31.05876,101.17,6.98581,31.10351,101.1731,30.74241
1964-04,100.8697,100.7622,4.942435,31.12392,101.0846,6.488726,31.1871,101.0729,30.85558
1964-05,100.7218,100.6689,4.551638,31.19234,100.9827,5.872515,31.26456,100.9533,30.96882
1964-06,100.591,100.5835,4.196443,31.26583,100.8712,5.241923,31.33843,100.8229,31.08212
1964-07,100.451,100.4873,3.847287,31.3362,100.7575,4.67025,31.41156,100.6908,31.1955
1964-08,100.31,100.3873,3.522458,31.40603,100.6479,4.202241,31.48665,100.5658,31.30896
1964-09,100.1606,100.2799,3.240064,31.47295,100.5477,3.853379,31.56592,100.4546,31.4225
1964-10,99.99914,100.1642,3.002078,31.53588,100.4601,3.613778,31.65051,100.3608,31.53615
1964-11,99.84146,100.0521,2.819199,31.59973,100.3878,3.460498,31.74124,100.2867,31.64991
1964-12,99.71281,99.96051,2.710754,31.67258,100.3344,3.373474,31.83896,100.2348,31.7638
1965-01,99.63496,99.90318,2.694538,31.76146,100.3078,3.349773,31.94592,100.2117,31.87783
1965-02,99.58971,99.86557,2.75596,31.86077,100.3144,3.392437,32.06372,100.2223,31.99203
1965-03,99.54115,99.82298,2.845016,31.95908,100.354,3.499662,32.19202,100.2649,32.1064
1965-04,99.48219,99.772,2.927108,32.05412,100.4131,3.653048,32.32637,100.3253,32.22096
1965-05,99.43084,99.72617,3.006974,32.1517,100.4739,3.826838,32.461,100.3856,32.33574
1965-06,99.39885,99.69375,3.091565,32.25567,100.5216,3.997343,32.59114,100.4308,32.45075
1965-07,99.39796,99.68394,3.221323,32.36996,100.5513,4.150771,32.71538,100.4568,32.56602
1965-08,99.43301,99.69982,3.394342,32.49626,100.5642,4.28004,32.83429,100.4655,32.68156
1965-09,99.507,99.74301,3.623497,32.63572,100.5642,4.38278,32.94939,100.4615,32.79741
1965-10,99.62024,99.81316,3.914049,32.7886,100.5563,4.461058,33.06246,100.4505,32.91359
1965-11,99.77203,99.911,4.247883,32.95483,100.5445,4.517099,33.17502,100.4368,33.03013
1965-12,99.95612,100.0331,4.590109,33.13251,100.5312,4.550657,33.28784,100.4229,33.14706
1966-01,100.143,100.1582,4.882747,33.31197,100.5161,4.553228,33.40049,100.4073,33.2644
1966-02,100.2811,100.2479,5.088052,33.47602,100.4966,4.515937,33.5117,100.3861,33.3822
1966-03,100.3253,100.2687,5.195474,33.60945,100.4687,4.434983,33.61974,100.3541,33.50048
1966-04,100.2359,100.1917,5.168074,33.6986,100.4275,4.31992,33.72285,100.3062,33.61928
1966-05,99.991,100.0016,4.959556,33.7356,100.3663,4.182374,33.81864,100.2353,33.73864
1966-06,99.60829,99.71136,4.576195,33.72596,100.276,4.02736,33.9037,100.1314,33.85859
