country,CRI,CRI
subject,BSCICP03,CSCICP03
measure,,
unit,Index,Index
powercode,Units,Units
reference_period,,
time,,
2002-08,,101.1776
2002-09,,100.739
2002-10,,100.3098
2002-11,,99.91447
2002-12,,99.58878
2003-01,,99.34196
2003-02,,99.21445
2003-03,,99.25671
2003-04,,99.38871
2003-05,,99.52905
2003-06,,99.63416
2003-07,,99.72929
2003-08,,99.86422
2003-09,,100.0788
2003-10,,100.3287
2003-11,,100.549
2003-12,,100.6811
2004-01,,100.7312
2004-02,,100.6825
2004-03,,100.4912
2004-04,,100.1796
2004-05,,99.74111
2004-06,,99.1646
2004-07,,98.58569
2004-08,,98.20028
2004-09,,98.18021
2004-10,,98.39546
2004-11,,98.71066
2004-12,,99.0461
2005-01,,99.33901
2005-02,,99.51465
2005-03,,99.50006
2005-04,,99.35509
2005-05,,99.12534
2005-06,,98.82566
2005-07,,98.50822
2005-08,,98.24117
2005-09,,98.105
2005-10,,98.13849
2005-11,,98.44765
2005-12,,99.14497
2006-01,,100.013
2006-02,,100.7813
2006-03,,101.2324
2006-04,,101.4077
2006-05,,101.3269
2006-06,,100.9832
2006-07,,100.5943
2006-08,,100.4426
2006-09,,100.7606
2006-10,,101.379
2006-11,,102.1039
2006-12,,102.7945
2007-01,,103.3336
2007-02,,103.5482
2007-03,,103.2821
2007-04,,102.7925
2007-05,,102.3921
2007-06,,102.3146
2007-07,,102.4914
2007-08,,102.8494
2007-09,,103.3554
2007-10,,103.8788
2007-11,,104.2494
2007-12,,104.2966
2008-01,,104.0428
2008-02,,103.433
2008-03,,102.3665
2008-04,,101.0835
2008-05,,99.8522
2008-06,,98.87216
2008-07,,98.12588
2008-08,,97.629
2008-09,,97.44676
2008-10,,97.46101
2008-11,,97.59042
2008-12,,97.81426
2009-01,,98.08099
2009-02,,98.35584
2009-03,,98.62546
2009-04,,98.89449
2009-05,,99.17851
2009-06,,99.49771
2009-07,,99.85534
2009-08,,100.2712
2009-09,,100.7768
2009-10,,101.3518
2009-11,,101.9842
2009-12,,102.6611
2010-01,,103.3016
2010-02,,103.7739
2010-03,,103.9484
2010-04,,103.9193
2010-05,104.6521,103.7634
2010-06,103.575,103.5027
2010-07,102.5356,103.194
2010-08,101.6208,102.8831
2010-09,100.9408,102.6078
2010-10,100.478,102.4026
2010-11,100.2837,102.3295
2010-12,100.4579,102.4376
2011-01,100.8597,102.5922
2011-02,101.3613,102.6064
2011-03,101.8729,102.3267
2011-04,102.2683,101.859
2011-05,102.3592,101.3251
2011-06,101.9839,100.8061
2011-07,101.402,100.3535
2011-08,100.935,100.0413
2011-09,100.813,99.95258
2011-10,100.9076,100.0252
2011-11,101.0523,100.2163
2011-12,101.147,100.5049
2012-01,101.2124,100.7767
2012-02,101.3056,100.8768
2012-03,101.4659,100.6796
2012-04,101.6317,100.3308
2012-05,101.7003,100.0088
2012-06,101.5818,99.83937
2012-07,101.3508,99.78223
2012-08,101.0909,99.78227
2012-09,100.8535,99.80844
2012-10,100.6436,99.83537
2012-11,100.4624,99.85051
2012-12,100.3225,99.86065
2013-01,100.2335,99.91
2013-02,100.2278,100.0674
2013-03,100.3347,100.3743
2013-04,100.4721,100.6843
2013-05,100.5316,100.7787
2013-06,100.4331,100.4785
2013-07,100.2574,99.97159
2013-08,100.1093,99.50175
2013-09,100.0576,99.26306
2013-10,100.0479,99.25811
2013-11,99.99753,99.52538
2013-12,99.84882,100.133
2014-01,99.66272,100.9005
2014-02,99.53275,101.6235
2014-03,99.53632,102.1401
2014-04,99.62981,102.4398
2014-05,99.76424,102.4651
2014-06,99.91103,102.1291
2014-07,100.0468,101.6076
2014-08,100.1433,101.0836
2014-09,100.1691,100.6777
2014-10,100.1295,100.381
2014-11,100.0214,100.184
2014-12,99.85228,100.0972
2015-01,99.72898,100.0719
2015-02,99.81464,100.061
2015-03,100.2403,100.0179
2015-04,100.8072,99.88199
2015-05,101.2562,99.55187
2015-06,101.3949,98.95206
2015-07,101.3434,98.2937
2015-08,101.2532,97.87573
2015-09,101.2159,97.94474
2015-10,101.2106,98.31435
2015-11,101.1844,98.771
2015-12,101.0999,99.1792
2016-01,101.0041,99.49968
2016-02,100.9687,99.69264
2016-03,101.041,99.70872
2016-04,101.1346,99.60753
2016-05,101.1208,99.43251
2016-06,100.8991,99.20327
2016-07,100.5746,98.98162
2016-08,100.2871,98.84843
2016-09,100.1428,98.87297
2016-10,100.1091,98.99371
2016-11,100.148,99.1491
2016-12,100.2397,99.31201
2017-01,100.332,99.48966
2017-02,100.3673,99.7085
2017-03,100.3066,99.98439
2017-04,100.2121,100.2516
2017-05,100.1691,100.406
2017-06,100.2419,100.3569
2017-07,100.3775,100.1923
2017-08,100.5043,100.0142
2017-09,100.5669,99.89162
2017-10,100.5699,99.82496
2017-11,100.5156,99.81805
2017-12,100.401,99.89355
2018-01,100.272,100.0487
2018-02,100.181,100.2987
2018-03,100.1592,100.6403
2018-04,100.1506,100.9205
2018-05,100.0734,100.8918
2018-06,99.86808,100.328
2018-07,99.61375,99.44986
2018-08,99.41367,98.51182
2018-09,99.32913,97.70365
2018-10,99.25947,97.11172
2018-11,99.06109,96.87924
2018-12,98.65186,97.15028
2019-01,98.24411,97.65436
2019-02,98.15348,98.07359
2019-03,98.60636,98.1769
2019-04,99.23013,98.03906
2019-05,99.49692,97.74924
2019-06,98.99645,97.36076
2019-07,98.06583,96.99283
2019-08,97.14789,96.79887
2019-09,96.57977,96.91436
2019-10,96.36872,97.23061
2019-11,96.55466,97.64129
2019-12,97.21574,98.08817
2020-01,98.07691,98.51243
2020-02,98.82368,98.83664
2020-03,99.21597,98.96941
2020-04,99.3162,98.91009
2020-05,99.15121,98.60738
2020-06,98.66608,98.01008
2020-07,97.94323,97.36123
2020-08,97.01952,96.99273
2020-09,95.94102,97.17162
2020-10,95.01872,97.66583
2020-11,94.74483,98.19398
2020-12,95.55305,98.55965
2021-01,96.93021,98.75185
2021-02,98.26269,98.76308
2021-03,99.11368,98.58089
2021-04,99.54521,98.36036
2021-05,99.62963,98.29682
2021-06,99.38056,98.53697
2021-07,99.03094,98.93296
2021-08,98.83921,99.2954
2021-09,98.99602,99.4906
2021-10,99.37309,99.57128
2021-11,99.82433,99.61041
2021-12,100.2667,
2022-01,100.6869,
2022-02,101.0957,
