country,POL,POL,POL,POL,POL,POL,POL,POL,POL
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1991-06,,,98.96199,99.13054,,,,,
1991-07,,,99.09768,99.24432,,,,,
1991-08,,,99.14487,99.28389,,,,,
1991-09,,,99.1175,99.26094,,,,,
1991-10,,,99.04203,99.19765,,,,,
1991-11,,,98.94551,99.11671,,,,,
1991-12,,,98.84751,99.03454,,,,,
1992-01,,,98.72886,98.93504,,,,,
1992-02,,,98.57367,98.8049,,,,,
1992-03,,,98.38337,98.64532,,,,,
1992-04,,,98.16525,98.46242,,,,,
1992-05,,,97.94052,98.27397,,,,,
1992-06,,,97.73009,98.09751,,,,,
1992-07,,,97.75341,98.11707,,,,,
1992-08,,,97.91685,98.25412,,,,,
1992-09,,,98.1988,98.49055,,,,,
1992-10,,,98.50375,98.74627,,,,,
1992-11,,,98.74316,98.94704,,,,,
1992-12,,,98.87929,99.06118,,,,,
1993-01,,,98.88945,99.0697,,,,,
1993-02,,,98.83259,99.02202,,,,,
1993-03,,,98.66223,98.87917,,,,,
1993-04,,,98.43819,98.69129,,,,,
1993-05,,,98.22601,98.51337,,,,,
1993-06,,,98.09398,98.40265,,,,,
1993-07,,,98.11665,98.42167,,,,,
1993-08,,,98.34552,98.61359,,,,,
1993-09,,,98.69018,98.9026,,,,,
1993-10,,,99.04642,99.20133,,,,,
1993-11,,,99.36803,99.47102,,,,,
1993-12,,,99.64021,99.69927,,,,,
1994-01,,,99.89179,99.91023,,,,,
1994-02,,,100.1373,100.1161,,,,,
1994-03,,,100.3936,100.331,,,,,
1994-04,,,100.6435,100.5406,,,,,
1994-05,,,100.9031,100.7583,,,,,
1994-06,,,101.1604,100.9741,,,,,
1994-07,,,101.3809,101.1589,,,,,
1994-08,,,101.5345,101.2877,,,,,
1994-09,,,101.6161,101.3562,,,,,
1994-10,,,101.633,101.3704,,,,,
1994-11,,,101.6235,101.3624,,,,,
1994-12,,,101.5861,101.331,,,,,
1995-01,,,101.491,101.2513,,,,,
1995-02,,,101.3851,101.1625,,45.90401,97.83339,97.42324,45.27687
1995-03,,,101.3186,101.1067,,46.07145,98.12479,97.74812,45.47186
1995-04,,,101.2927,101.085,,46.25804,98.42418,98.08191,45.66768
1995-05,,,101.3198,101.1077,,46.46962,98.73549,98.42899,45.86432
1995-06,,,101.385,101.1624,,46.69972,99.04845,98.77791,46.06176
1995-07,,,101.4325,101.2023,,46.92265,99.32625,99.08762,46.25996
1995-08,,,101.4233,101.1945,,47.12014,99.53059,99.31544,46.4589
1995-09,,,101.3317,101.1177,,47.2799,99.64899,99.44746,46.65854
1995-10,,,101.2182,101.0225,,47.42966,99.72686,99.53427,46.85884
1995-11,,,101.1117,100.9332,,47.58294,99.82844,99.64752,47.05978
1995-12,,,101.0451,100.8774,,47.75524,100.0006,99.83949,47.2613
1996-01,,,101.0509,100.8822,,47.96215,100.2349,100.1007,47.46336
1996-02,,,101.0965,100.9205,4.976831,48.18858,100.4902,100.3854,47.66592
1996-03,,,101.1861,100.9956,5.133821,48.43667,100.7108,100.6312,47.86892
1996-04,,,101.3093,101.0989,5.282753,48.70174,100.8423,100.7778,48.07232
1996-05,,,101.4201,101.1918,5.362685,48.96164,100.8362,100.771,48.27606
1996-06,,,101.5053,101.2632,5.375097,49.20987,100.6604,100.575,48.48011
1996-07,,,101.5577,101.3072,5.370793,49.44277,100.3191,100.1945,48.68442
1996-08,,,101.526,101.2806,5.337177,49.63502,99.85649,99.67879,48.88896
1996-09,,,101.4185,101.1904,5.309176,49.79007,99.37126,99.13781,49.09369
1996-10,,,101.2861,101.0794,5.277151,49.9326,99.00064,98.72461,49.29859
1996-11,,,101.1803,100.9907,5.264381,50.08789,98.88029,98.59042,49.5036
1996-12,,,101.1679,100.9803,5.306206,50.28923,99.0592,98.7899,49.7087
1997-01,,,101.2867,101.0799,5.408226,50.55605,99.47134,99.24939,49.91381
1997-02,,,101.526,101.2807,5.592876,50.88371,99.96847,99.80363,50.11887
1997-03,,,101.8623,101.5626,5.830908,51.26097,100.4095,100.2953,50.32381
1997-04,,,102.2172,101.8603,6.051403,51.64888,100.7071,100.6271,50.52855
1997-05,,,102.5004,102.0977,6.208709,52.00152,100.8387,100.7738,50.73302
1997-06,,,102.6865,102.2537,6.290804,52.30557,100.8294,100.7635,50.93716
1997-07,103.7539,,102.7173,102.2796,6.245209,52.53057,100.7461,100.6706,51.14092
1997-08,104.415,,102.6172,102.1957,6.150898,52.68802,100.6651,100.5803,51.34423
1997-09,104.9339,,102.3731,101.991,5.985642,52.77032,100.6473,100.5605,51.54704
1997-10,104.844,,101.9488,101.6352,5.658019,52.75779,100.7122,100.6328,51.74929
1997-11,104.2738,,101.351,101.1339,5.120819,52.6528,100.8502,100.7867,51.95092
1997-12,103.0541,,100.648,100.5443,4.375856,52.48981,101.0284,100.9854,52.15189
1998-01,101.1439,,99.93558,99.94695,3.485942,52.3184,101.1907,101.1663,52.35213
1998-02,99.9948,,99.32546,99.43533,2.581183,52.19711,101.2796,101.2655,52.55159
1998-03,99.64341,,98.8946,99.07402,1.76771,52.16712,101.2596,101.2431,52.75022
1998-04,99.59717,,98.70641,98.91621,1.189132,52.26305,101.1448,101.1152,52.94799
1998-05,99.76082,,98.76003,98.96117,0.9314117,52.48587,100.9704,100.9207,53.14485
1998-06,99.95544,,98.98073,99.14625,0.9397376,52.7971,100.7702,100.6975,53.34079
1998-07,99.97044,,99.27724,99.39489,1.176962,53.14884,100.559,100.462,53.53578
1998-08,99.63261,,99.54511,99.61952,1.513341,53.48537,100.3418,100.2198,53.72978
1998-09,99.19851,,99.73783,99.78113,1.916017,53.78141,100.1231,99.97601,53.92278
1998-10,98.85348,,99.86005,99.88362,2.428502,54.03902,99.91742,99.74672,54.11475
1998-11,98.47473,,99.964,99.97078,3.10206,54.28613,99.74626,99.5559,54.30568
1998-12,98.21607,,100.0926,100.0786,3.917304,54.546,99.63447,99.43127,54.49553
1999-01,98.02385,,100.2679,100.2256,4.802106,54.83079,99.60463,99.39799,54.68429
1999-02,97.96753,,100.4762,100.4003,5.625109,55.13325,99.6755,99.47701,54.87193
1999-03,97.90467,,100.6091,100.5117,6.185231,55.39377,99.8547,99.6768,55.05842
1999-04,97.8488,,100.608,100.5108,6.345916,55.57962,100.1242,99.97723,55.24372
1999-05,97.72073,,100.511,100.4295,6.144854,55.71105,100.4547,100.3457,55.4278
1999-06,97.71594,,100.3722,100.3131,5.720987,55.81762,100.8136,100.7459,55.61062
1999-07,97.8336,,100.2643,100.2226,5.250836,55.9396,101.1688,101.1419,55.79214
1999-08,98.07294,,100.2141,100.1806,4.87391,56.0922,101.4886,101.4984,55.97233
1999-09,98.31576,,100.2004,100.169,4.615462,56.26367,101.7432,101.7823,56.15117
1999-10,98.61419,,100.1906,100.1608,4.43566,56.436,101.9078,101.9658,56.32863
1999-11,99.01986,,100.1633,100.1379,4.256758,56.59695,101.9661,102.0308,56.50469
1999-12,99.54903,,100.0707,100.0602,3.984549,56.71941,101.9207,101.9802,56.67936
2000-01,99.84882,,99.90456,99.92094,3.5885,56.79839,101.8103,101.8571,56.85265
2000-02,99.89033,,99.71738,99.76398,3.138117,56.8634,101.6849,101.7173,57.02456
2000-03,100.0043,,99.52512,99.60276,2.761582,56.92352,101.586,101.607,57.19512
2000-04,100.1207,,99.35445,99.45964,2.544885,56.99406,101.5286,101.543,57.36437
2000-05,100.2058,,99.16869,99.30386,2.410683,57.05407,101.515,101.5279,57.53234
2000-06,100.1701,,98.93359,99.10672,2.26837,57.08377,101.5459,101.5623,57.69908
2000-07,99.99841,,98.66426,98.88087,2.059579,57.09172,101.628,101.6538,57.86464
2000-08,99.90597,,98.39158,98.65221,1.789058,57.09572,101.7615,101.8027,58.02907
2000-09,99.81464,,98.14645,98.44665,1.511015,57.11382,101.9238,101.9836,58.19246
2000-10,99.73318,,97.93905,98.27274,1.269017,57.15219,102.0494,102.1237,58.35485
2000-11,99.65675,,97.71679,98.08635,1.030701,57.1803,102.0635,102.1394,58.51635
2000-12,99.52859,,97.43166,97.84725,0.7944397,57.17001,101.9185,101.9778,58.67704
2001-01,99.36434,,97.10269,97.5714,0.58796,57.13234,101.6381,101.6651,58.83703
2001-02,99.06872,,96.74915,97.27493,0.3783797,57.07856,101.2791,101.2649,58.99644
