country,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,98.4243,98.0262,26.56251
1960-03,,,,,,,98.76859,98.43808,26.66072
1960-04,,,,,,,99.12475,98.86417,26.75929
1960-05,,,,,,,99.50213,99.31565,26.85821
1960-06,,,,,,,99.89624,99.78716,26.95747
1960-07,,,,,,,100.274,100.2391,27.05707
1960-08,,,,,,,100.5914,100.6188,27.157
1960-09,,,,,,,100.8123,100.8831,27.25723
1960-10,,,,,,,100.9319,101.0261,27.35777
1960-11,,,,,,,100.9589,101.0584,27.4586
1960-12,,,,,,,100.9058,100.9949,27.55972
1961-01,,,101.042,100.8382,,27.94936,100.7847,100.8501,27.66112
1961-02,,,100.8511,100.6848,,27.99911,100.6092,100.6401,27.76282
1961-03,,,100.637,100.5128,,28.04229,100.4009,100.3909,27.8648
1961-04,,,100.413,100.3328,,28.08259,100.2001,100.1506,27.96707
1961-05,,,100.1996,100.1613,,28.12567,100.0471,99.96762,28.06964
1961-06,,,100.0251,100.0211,,28.17958,99.96456,99.86888,28.1725
1961-07,,,99.88908,99.91185,,28.24431,99.93555,99.83418,28.27567
1961-08,,,99.78463,99.82793,,28.31802,99.9287,99.82597,28.37914
1961-09,,,99.70506,99.76399,,28.39891,99.91875,99.81408,28.48291
1961-10,,,99.65556,99.72423,,28.48853,99.90554,99.79828,28.58699
1961-11,,,99.65146,99.72092,,28.59138,99.90185,99.79386,28.69138
1961-12,,,99.67252,99.73785,,28.70178,99.92159,99.81747,28.79608
1962-01,,,99.69923,99.75932,3.094205,28.81417,99.96732,99.87219,28.90109
1962-02,,,99.70853,99.76678,3.29567,28.92187,100.0364,99.95483,29.00642
1962-03,,,99.70692,99.7655,3.510563,29.02673,100.125,100.0609,29.11205
1962-04,,,99.70012,99.76003,3.731103,29.13038,100.2306,100.1872,29.218
1962-05,,,99.67336,99.73853,3.921001,29.22847,100.3443,100.3232,29.32426
1962-06,,,99.60564,99.68411,4.028404,29.31476,100.4423,100.4405,29.43083
1962-07,,,99.49635,99.5963,4.052615,29.38894,100.4768,100.4817,29.53771
1962-08,,,99.3539,99.48183,4.009257,29.45336,100.3944,100.3831,29.6449
1962-09,,,99.18886,99.34923,3.916215,29.51107,100.1607,100.1035,29.75241
1962-10,,,99.00542,99.20184,3.772442,29.56324,99.77093,99.63723,29.86023
1962-11,,,98.82602,99.0577,3.585589,29.61655,99.26087,99.02703,29.96837
1962-12,100.233,,98.66364,98.92723,3.390497,29.67492,98.70714,98.36456,30.07685
1963-01,100.0893,,98.54671,98.83328,3.237332,29.74698,98.23601,97.80093,30.18566
1963-02,100.0533,,98.50603,98.8006,3.182193,29.84222,97.97193,97.485,30.29482
1963-03,100.0947,,98.57165,98.85332,3.249725,29.97002,97.98268,97.49786,30.4043
1963-04,100.1671,,98.70524,98.96065,3.393861,30.11902,98.24634,97.81329,30.51411
1963-05,100.2977,,98.87284,99.09532,3.594302,30.27903,98.679,98.33091,30.62421
1963-06,100.4717,,99.05767,99.24383,3.855418,30.44497,99.17807,98.92796,30.73459
1963-07,100.5886,,99.24152,99.39155,4.159085,30.61125,99.65342,99.49666,30.84521
1963-08,100.6786,,99.41975,99.53475,4.49198,30.7764,100.0386,99.95751,30.95602
1963-09,100.7427,,99.59471,99.67533,4.845737,30.9411,100.3044,100.2754,31.06701
1963-10,100.7931,,99.78829,99.83086,5.239201,31.11212,100.4592,100.4606,31.17813
1963-11,100.9186,,100.0374,100.031,5.687742,31.30106,100.5378,100.5547,31.28935
1963-12,101.1917,,100.3517,100.2836,6.187642,31.51109,100.5777,100.6025,31.40065
1964-01,101.4999,,100.724,100.5827,6.700389,31.74014,100.6017,100.6311,31.51198
1964-02,101.7503,,101.0807,100.8693,7.113564,31.96507,100.6208,100.654,31.62332
1964-03,101.9512,,101.3758,101.1064,7.344729,32.17124,100.639,100.6757,31.73465
1964-04,102.1351,,101.6018,101.288,7.42722,32.35603,100.6576,100.698,31.84592
1964-05,102.2444,,101.7574,101.413,7.396884,32.51874,100.6776,100.7219,31.95711
1964-06,102.2953,,101.83,101.4713,7.259195,32.65503,100.7012,100.7502,32.0682
1964-07,102.3556,,101.8155,101.4597,7.030515,32.76338,100.7342,100.7896,32.17915
1964-08,102.4505,,101.7427,101.4012,6.74629,32.85266,100.7838,100.8489,32.28996
1964-09,102.5027,,101.6519,101.3282,6.446801,32.93581,100.8564,100.9358,32.40059
1964-10,102.4972,,101.5753,101.2667,6.1425,33.02318,100.9541,101.0527,32.51102
1964-11,102.4725,,101.534,101.2335,5.816342,33.12164,101.0759,101.1984,32.62125
1964-12,102.4389,,101.5136,101.2171,5.44432,33.22666,101.2176,101.3679,32.73124
1965-01,102.3597,,101.4804,101.1904,5.000059,33.32717,101.3695,101.5497,32.841
1965-02,102.2285,,101.3906,101.1183,4.516275,33.4087,101.519,101.7285,32.95049
1965-03,102.0608,,101.2449,101.0012,4.041047,33.47129,101.6518,101.8875,33.05973
1965-04,101.8525,,101.071,100.8615,3.609608,33.52396,101.7544,102.0101,33.16872
1965-05,101.6173,,100.8853,100.7123,3.239068,33.57204,101.8156,102.0834,33.27744
1965-06,101.4219,,100.6909,100.5561,2.944562,33.61658,101.8318,102.1028,33.38591
1965-07,101.3183,,100.5115,100.412,2.753371,33.66548,101.8139,102.0813,33.49415
1965-08,101.2365,,100.3431,100.2767,2.632375,33.71747,101.7797,102.0404,33.60217
1965-09,101.0872,,100.1768,100.143,2.531536,33.76959,101.7495,102.0043,33.71
1965-10,100.8447,,100.003,100.0034,2.408871,33.81867,101.7415,101.9947,33.81767
1965-11,100.6078,,99.84928,99.87988,2.271738,33.87408,101.7671,102.0254,33.92521
1965-12,100.4106,,99.73412,99.78735,2.153471,33.94218,101.8242,102.0937,34.03267
1966-01,100.2852,,99.6414,99.71284,2.071872,34.01767,101.8877,102.1696,34.14009
1966-02,100.1562,,99.51885,99.61437,2.017588,34.08274,101.9231,102.212,34.24753
1966-03,99.96667,,99.31889,99.4537,1.941205,34.12104,101.8996,102.1838,34.35504
1966-04,99.7191,,99.0189,99.21268,1.791587,34.12457,101.8044,102.07,34.46268
1966-05,99.40544,,98.62253,98.8942,1.555732,34.09433,101.6325,101.8643,34.57053
1966-06,99.03719,,98.14268,98.50865,1.243426,34.03458,101.3796,101.5617,34.67867
1966-07,98.61185,,97.60354,98.07545,0.8555865,33.95351,101.0425,101.1584,34.78717
1966-08,98.09096,,97.03358,97.61751,0.4256031,33.86097,100.6201,100.6532,34.89614
1966-09,97.39227,,96.47089,97.16539,0.001991591,33.77026,100.1215,100.0566,35.00565
1966-10,96.69344,,95.9618,96.75635,-0.3574894,33.69777,99.57861,99.40716,35.11582
1966-11,96.13313,,95.57834,96.44823,-0.6050556,33.66912,99.03181,98.75299,35.22673
1966-12,95.98952,,95.37513,96.28497,-0.7013617,33.70412,98.51794,98.13822,35.33849
1967-01,96.11292,,95.36176,96.27423,-0.6196462,33.80688,98.05997,97.59032,35.45118
1967-02,96.24236,,95.52065,96.40189,-0.325396,33.97184,97.67575,97.13066,35.56492
1967-03,96.40251,,95.81556,96.63884,0.192649,34.18677,97.38264,96.78,35.67977
1967-04,96.64417,,96.21504,96.95982,0.9271963,34.44097,97.19684,96.55772,35.79583
1967-05,96.92697,,96.69703,97.34709,1.855492,34.72695,97.12987,96.4776,35.91315
1967-06,97.26802,,97.24243,97.78531,2.948857,35.03821,97.17721,96.53423,36.03181
1967-07,97.76207,,97.82255,98.25143,4.156129,35.36467,97.30593,96.68823,36.15186
1967-08,98.28345,,98.40886,98.72252,5.419796,35.69617,97.47044,96.88503,36.27333
1967-09,98.81537,,98.96336,99.16805,6.658822,36.01897,97.62973,97.07561,36.39627
1967-10,99.31866,,99.44804,99.55748,7.778976,36.31911,97.76198,97.23383,36.52069
1967-11,99.67727,,99.84188,99.87392,8.67133,36.58868,97.85848,97.34927,36.64663
1967-12,99.84534,,100.1426,100.1156,9.264188,36.82654,97.91919,97.42191,36.77409
1968-01,100.0088,,100.3736,100.3012,9.566301,37.04094,97.95052,97.45937,36.90307
1968-02,100.2874,,100.5995,100.4826,9.66609,37.25559,97.96342,97.47483,37.03358
1968-03,100.7009,,100.8545,100.6875,9.642343,37.48318,97.9734,97.48676,37.16561
