country,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPOR_GYSA,LORSGPOR_IXOBSA,LORSGPRT,LORSGPTD
measure,,,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,2010=100,,
time,,,,,,,,,,,
1959-01,,,101.7802,101.4873,,,,,,,
1959-02,,,102.0861,101.7595,,,,,,,
1959-03,,,102.2916,101.9443,,,,,,,
1959-04,,,102.3891,102.034,,,,,,,
1959-05,,,102.3733,102.0241,,,,,,,
1959-06,,,102.2626,101.9283,,,,,,,
1959-07,,,102.0958,101.7781,,,,,,,
1959-08,,,101.9335,101.624,,,,,,,
1959-09,,,101.8283,101.511,,,,,,,
1959-10,,,101.7885,101.4507,,,,,,,
1959-11,,,101.7842,101.4243,,,,,,,
1959-12,,,101.7631,101.3921,,,,,,,
1960-01,,,101.6404,101.2839,,,,,,,
1960-02,,,101.4019,101.0856,,19.95846,100.3205,,19.73383,100.2606,19.68253
1960-03,,,101.1096,100.8455,,19.97644,100.2535,,19.79519,100.1923,19.7572
1960-04,,,100.8202,100.6089,,19.99519,100.1528,,19.84885,100.0823,19.83253
1960-05,,,100.5681,100.4032,,20.0216,100.0419,,19.90019,99.95824,19.90851
1960-06,,,100.3633,100.2361,,20.05777,99.93858,,19.95343,99.84127,19.98516
1960-07,,,100.1969,100.0993,,20.10199,99.84065,,20.008,99.72844,20.06248
1960-08,,,100.0641,99.98919,,20.1534,99.73826,,20.06155,99.608,20.1405
1960-09,,,99.95389,99.89709,,20.20989,99.62633,,20.11288,99.4741,20.21921
1960-10,,,99.87519,99.83191,,20.2733,99.51648,,20.16494,99.34137,20.29863
1960-11,,,99.8462,99.80941,,20.34743,99.42711,,20.22239,99.23261,20.37877
1960-12,,,99.88993,99.84847,,20.43711,99.37318,,20.28909,99.16642,20.45963
1961-01,,,100.0155,99.95753,,20.54442,99.35471,,20.3652,99.14304,20.54123
1961-02,,,100.1638,100.0885,3.501774,20.65736,99.36575,3.62599,20.44938,99.15536,20.62357
1961-03,,,100.3581,100.2617,4.031245,20.78174,99.41019,3.779436,20.54334,99.20679,20.70759
1961-04,,,100.5646,100.4495,4.573864,20.90974,99.47491,4.001794,20.64316,99.28249,20.79235
1961-05,,,100.7454,100.6185,5.053882,21.03347,99.56017,4.265011,20.74894,99.38255,20.87785
1961-06,,,100.8817,100.7516,5.440118,21.14894,99.66671,4.547739,20.86086,99.50761,20.96409
1961-07,,,100.9588,100.8355,5.72537,21.2529,99.7917,4.849343,20.97826,99.65413,21.05107
1961-08,,,100.9791,100.8702,5.916323,21.34575,99.93027,5.175915,21.09991,99.81616,21.13878
1961-09,,,100.9532,100.8615,6.035029,21.42956,100.0752,5.524773,21.22407,99.98514,21.22722
1961-10,,,100.8998,100.8235,6.091283,21.5082,100.2155,5.866919,21.348,100.1483,21.31639
1961-11,,,100.8346,100.7693,6.081915,21.58494,100.3391,6.16294,21.46868,100.2914,21.40629
1961-12,,,100.744,100.6892,5.968176,21.65684,100.4353,6.379482,21.58343,100.4025,21.49691
1962-01,,,100.5912,100.5596,5.702057,21.71587,100.4987,6.509102,21.6908,100.4751,21.58824
1962-02,,,100.4037,100.3986,5.375597,21.76782,100.5271,6.556324,21.7901,100.5065,21.68028
1962-03,,,100.1866,100.2104,4.965514,21.81366,100.5211,6.513592,21.88145,100.4979,21.77304
1962-04,,,99.95825,100.0105,4.531962,21.85736,100.487,6.409576,21.9663,100.4564,21.86649
1962-05,,,99.73555,99.81507,4.132011,21.90258,100.4308,6.25191,22.04614,100.3893,21.96065
1962-06,,,99.53548,99.63968,3.802201,21.95306,100.3547,6.043087,22.1215,100.2992,22.05551
1962-07,,,99.38838,99.50982,3.588617,22.01559,100.2549,5.782727,22.19137,100.1819,22.15107
1962-08,,,99.30327,99.43314,3.497553,22.09232,100.1257,5.470603,22.25421,100.0309,22.24733
1962-09,,,99.28035,99.41026,3.518133,22.18348,99.96454,5.113524,22.30937,99.84375,22.34428
1962-10,,,99.30867,99.43266,3.619914,22.28678,99.77715,4.732766,22.35835,99.62759,22.44193
1962-11,,,99.38174,99.49489,3.780272,22.40091,99.57868,4.361928,22.40513,99.40045,22.54027
1962-12,100.9591,,99.48248,99.58171,3.995509,22.52214,99.39433,4.043596,22.45617,99.19111,22.6393
1963-01,100.9745,,99.60219,99.68407,4.294986,22.64857,99.25842,3.823985,22.52025,99.03789,22.73902
1963-02,100.982,,99.74229,99.80146,4.65253,22.78057,99.20428,3.743983,22.60592,98.97761,22.83943
1963-03,101.0676,,99.90196,99.93243,5.062753,22.91803,99.24906,3.82204,22.71776,99.02899,22.94052
1963-04,101.258,,100.0608,100.0606,5.485212,23.05629,99.38087,4.036263,22.85292,99.17823,23.04227
1963-05,101.3919,,100.1912,100.1638,5.873127,23.18894,99.57021,4.344777,23.004,99.39214,23.14469
1963-06,101.3302,,100.2787,100.2306,6.192674,23.31254,99.78289,4.704987,23.16232,99.63255,23.24774
1963-07,101.1744,,100.3326,100.2686,6.420419,23.42908,99.98863,5.086162,23.32006,99.86568,23.35143
1963-08,101.1055,,100.3644,100.2886,6.558261,23.54119,100.1655,5.469768,23.47146,100.0671,23.45572
1963-09,101.1425,,100.384,100.3008,6.615779,23.65109,100.3046,5.848059,23.61403,100.2267,23.56061
1963-10,101.1598,,100.3905,100.3056,6.603578,23.7585,100.4119,6.220918,23.74924,100.3514,23.66607
1963-11,101.0965,,100.3862,100.3052,6.530956,23.8639,100.5006,6.584228,23.88033,100.4553,23.77211
1963-12,101.0209,,100.3823,100.3095,6.428514,23.96998,100.5794,6.917213,24.00951,100.5479,23.87868
1964-01,101.087,,100.3861,100.324,6.313186,24.07841,100.6442,7.172286,24.13547,100.624,23.98579
