country,ZAF,ZAF
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960,,18.92911
1961,3.8447,19.65688
1962,6.178004,20.87128
1963,7.373625,22.41025
1964,7.93966,24.18955
1965,6.122818,25.67063
1966,4.438359,26.80999
1967,7.196585,28.73939
1968,4.153351,29.93304
1969,4.715909,31.34465
1970,5.24862,32.98981
1971,4.278941,34.40143
1972,1.65482,34.97071
1973,4.571969,36.56956
1974,6.111082,38.80436
1975,1.695448,39.46226
1976,2.249871,40.35011
1977,-0.09398891,40.31219
1978,3.014483,41.52739
1979,3.790505,43.10149
1980,6.62061,45.95507
1981,5.360774,48.41862
1982,-0.3833974,48.23298
1983,-1.846551,47.34233
1984,5.099128,49.75638
1985,-1.211523,49.15357
1986,0.01786806,49.16235
1987,2.100722,50.19512
1988,4.200106,52.30337
1989,2.394778,53.55592
1990,-0.3177613,53.38574
1991,-1.01825,52.84214
1992,-2.137039,51.71288
1993,1.270131,52.3697
1994,3.2,54.04553
1995,3.1,55.72094
1996,4.3,58.11694
1997,2.6,59.62798
1998,0.5,59.92612
1999,2.4,61.36435
2000,4.2,63.94165
2001,2.7,65.66808
2002,3.700374,68.09805
2003,2.949075,70.10631
2004,4.55456,73.29934
2005,5.277052,77.16738
2006,5.603806,81.49169
2007,5.360474,85.86003
2008,3.191045,88.59987
2009,-1.538089,87.23712
2010,3.039732,89.88889
2011,3.168556,92.73708
2012,2.396232,94.95927
2013,2.485468,97.31946
2014,1.413826,98.69538
2015,1.321862,100.0
2016,0.6645523,100.6646
2017,1.157947,101.8302
2018,1.487617,103.345
2019,0.1130537,103.4619
2020,-6.431975,96.80723
