country,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,103.1312,103.2158,21.46837
1960-03,,,,,,,103.0851,103.1665,21.5454
1960-04,,,,,,,102.998,103.0735,21.62271
1960-05,,,,,,,102.8207,102.8839,21.70032
1960-06,,,,,,,102.53,102.5732,21.77823
1960-07,,,,,,,102.1698,102.1881,21.85647
1960-08,,,,,,,101.8064,101.7998,21.93506
1960-09,,,,,,,101.4904,101.462,22.01405
1960-10,,,,,,,101.2187,101.1715,22.09345
1960-11,,,,,,,100.9589,100.8938,22.17331
1960-12,,,,,,,100.6697,100.5846,22.25366
1961-01,,,,,,,100.3198,100.2107,22.33454
1961-02,,,,,,,99.89243,99.75382,22.416
1961-03,,,,,,,99.39294,99.21993,22.49807
1961-04,,,,,,,98.86258,98.65301,22.5808
1961-05,,,,,,,98.3577,98.11334,22.66424
1961-06,,,,,,,97.9323,97.65863,22.74843
1961-07,,,,,,,97.61936,97.32412,22.8334
1961-08,,,,,,,97.44025,97.13267,22.91919
1961-09,,,,,,,97.40588,97.09592,23.00584
1961-10,,,,,,,97.50784,97.20491,23.09336
1961-11,,,,,,,97.73106,97.44351,23.18178
1961-12,,,,,,,98.05607,97.79092,23.27111
1962-01,,,,,,,98.4522,98.21436,23.36136
1962-02,,,,,,,98.88785,98.68002,23.45255
1962-03,,,,,,,99.3353,99.1583,23.54468
1962-04,,,,,,,99.77237,99.6255,23.63774
1962-05,,,,,,,100.1704,100.0509,23.73174
1962-06,,,,,,,100.4821,100.3842,23.82668
1962-07,,,,,,,100.6326,100.545,23.92255
1962-08,,,,,,,100.5406,100.4466,24.01936
1962-09,,,,,,,100.1521,100.0314,24.11711
1962-10,,,,,,,99.48941,99.32304,24.2158
1962-11,,,,,,,98.64217,98.41741,24.31543
1962-12,,,,,,,97.77534,97.49085,24.41602
1963-01,,,,,,,97.10172,96.77079,24.51756
1963-02,,,,,,,96.82769,96.47789,24.62005
1963-03,,,,,,,97.04109,96.70599,24.7235
1963-04,,,,,,,97.66602,97.37399,24.82788
1963-05,,,,,,,98.50629,98.27217,24.93314
1963-06,102.2246,,99.55511,99.61302,,24.92788,99.35178,99.17593,25.03927
1963-07,102.2715,,99.77414,99.80398,,25.08942,100.0716,99.94534,25.14622
1963-08,102.2897,,99.94701,99.9547,,25.24057,100.6209,100.5325,25.25395
1963-09,102.2835,,100.0779,100.0688,,25.38219,101.0153,100.9541,25.36242
1963-10,102.2723,,100.1736,100.1522,,25.51582,101.2792,101.2361,25.4716
1963-11,102.2431,,100.2484,100.2175,,25.64499,101.4354,101.4031,25.58145
1963-12,102.215,,100.3267,100.2857,,25.77587,101.5041,101.4766,25.69194
1964-01,102.2154,,100.4201,100.3671,,25.91143,101.5089,101.4817,25.80303
1964-02,102.254,,100.5287,100.4618,,26.05171,101.4727,101.443,25.9147
1964-03,102.3223,,100.6408,100.5596,,26.19371,101.4179,101.3844,26.02692
1964-04,102.3555,,100.7429,100.6486,,26.33384,101.3696,101.3328,26.13966
1964-05,102.3263,,100.8167,100.713,,26.46731,101.3499,101.3117,26.25289
1964-06,102.2119,,100.8544,100.7458,6.675303,26.59189,101.3712,101.3345,26.36661
1964-07,102.0766,,100.8643,100.7544,6.45784,26.70966,101.4278,101.395,26.48078
1964-08,101.9703,,100.8605,100.7512,6.274422,26.82426,101.5078,101.4805,26.5954
1964-09,101.9014,,100.8507,100.7426,6.128207,26.93766,101.602,101.5812,26.71044
1964-10,101.8893,,100.8343,100.7282,6.011468,27.04969,101.7107,101.6974,26.8259
1964-11,101.8709,,100.7969,100.6957,5.893818,27.15647,101.8319,101.827,26.94176
1964-12,101.8214,,100.7213,100.6297,5.731372,27.25318,101.9473,101.9503,27.05802
1965-01,101.7194,,100.5912,100.5164,5.495314,27.33534,102.0078,102.015,27.17467
1965-02,101.5423,,100.4036,100.3528,5.182618,27.40187,101.9616,101.9656,27.29173
1965-03,101.26,,100.1667,100.1463,4.81479,27.45488,101.7853,101.7772,27.40918
1965-04,100.903,,99.91123,99.9235,4.438294,27.50261,101.5228,101.4966,27.52705
1965-05,100.5731,,99.68605,99.72718,4.12298,27.55855,101.2439,101.1985,27.64534
1965-06,100.4222,,99.53436,99.59492,3.921944,27.63481,101.0104,100.9489,27.76409
1965-07,100.4409,,99.48006,99.54758,3.851273,27.73832,100.8439,100.7708,27.8833
1965-08,100.5561,,99.51492,99.57798,3.887882,27.86716,100.7339,100.6533,28.003
1965-09,100.7745,,99.62103,99.67049,4.005453,28.01663,100.6421,100.5551,28.12321
1965-10,101.0673,,99.76707,99.79782,4.171902,28.17818,100.5004,100.4037,28.24396
1965-11,101.3146,,99.90822,99.92088,4.355424,28.33924,100.2498,100.1358,28.36528
1965-12,101.4461,,100.0109,100.0104,4.539377,28.4903,99.87998,99.74052,28.48718
1966-01,101.3566,,100.0406,100.0363,4.704456,28.62132,99.47713,99.30991,28.60971
1966-02,101.1526,,99.9899,99.99209,4.846835,28.73,99.15833,98.96915,28.7329
1966-03,101.0799,,99.8715,99.88885,4.971102,28.81969,99.01077,98.81142,28.85678
1966-04,101.0772,,99.69363,99.73378,5.053919,28.89257,99.02598,98.82767,28.98137
1966-05,101.0653,,99.44808,99.51971,5.034728,28.94605,99.14753,98.9576,29.10669
1966-06,100.9493,,99.11841,99.23228,4.849899,28.97507,99.30511,99.12603,29.23278
1966-07,100.6846,,98.69193,98.86045,4.460536,28.9756,99.44044,99.27069,29.35964
1966-08,100.3393,,98.17707,98.41158,3.884885,28.94977,99.51259,99.34782,29.4873
1966-09,99.87091,,97.5929,97.90228,3.163313,28.90289,99.50479,99.33948,29.61577
1966-10,99.20091,,96.96631,97.35598,2.358254,28.84269,99.43535,99.26525,29.74506
1966-11,98.35793,,96.36201,96.82911,1.584722,28.78834,99.33645,99.15954,29.8752
1966-12,97.66042,,95.88514,96.41336,0.9869393,28.77148,99.23721,99.05345,30.0062
1967-01,97.42233,,95.61111,96.17445,0.6778571,28.81534,99.14896,98.95912,30.13806
1967-02,97.62221,,95.54641,96.11803,0.6706328,28.92267,99.07353,98.8785,30.27081
1967-03,97.92523,,95.6216,96.18359,0.8796815,29.07321,99.01052,98.81115,30.40444
1967-04,98.07956,,95.77328,96.31583,1.23075,29.24817,98.96331,98.76068,30.53897
1967-05,98.1007,,95.9845,96.49999,1.715637,29.44266,98.93699,98.73254,30.67439
1967-06,98.17083,,96.27051,96.74934,2.36946,29.66162,98.93494,98.73035,30.8107
1967-07,98.40156,,96.64734,97.07788,3.225917,29.91033,98.95381,98.75053,30.9479
1967-08,98.65494,,97.09212,97.46566,4.25661,30.18205,98.99091,98.79018,31.08599
1967-09,98.909,,97.5672,97.87986,5.40577,30.46531,99.04983,98.85316,31.22495
1967-10,99.11326,,98.03835,98.29063,6.611085,30.74951,99.14454,98.9544,31.36477
1967-11,99.42196,,98.48961,98.68407,7.78524,31.02958,99.28576,99.10535,31.50544
1967-12,99.77384,,98.90992,99.05051,8.795062,31.30195,99.46454,99.29646,31.64693
1968-01,100.1244,,99.28844,99.38052,9.535516,31.56303,99.63217,99.47565,31.78922
1968-02,100.3654,,99.62324,99.67241,9.989788,31.81199,99.73028,99.58051,31.93229
1968-03,100.5703,,99.93403,99.94338,10.25597,32.05495,99.72141,99.57104,32.07611
1968-04,100.7539,,100.2261,100.198,10.41203,32.2935,99.62415,99.46707,32.22066
1968-05,100.9379,,100.4923,100.4301,10.46981,32.52525,99.48598,99.31937,32.3659
1968-06,101.0768,,100.7207,100.6293,10.39899,32.74613,99.36234,99.18722,32.51181
1968-07,101.1985,,100.9071,100.7918,10.17802,32.95461,99.29897,99.11947,32.65835
1968-08,101.2659,,101.0475,100.9142,9.830695,33.14915,99.32417,99.14642,32.8055
1968-09,101.2704,,101.1462,101.0002,9.406186,33.33094,99.43698,99.267,32.95321
1968-10,101.219,,101.2185,101.0632,8.960382,33.50478,99.5884,99.42886,33.10145
1968-11,101.1828,,101.2774,101.1146,8.525081,33.67488,99.71691,99.56622,33.25016
1968-12,101.1327,,101.333,101.1631,8.122722,33.84452,99.78077,99.63448,33.3993
1969-01,101.1915,,101.3996,101.2211,7.779125,34.01835,99.79166,99.64612,33.54882
1969-02,101.3053,,101.4741,101.2861,7.492277,34.19543,99.78844,99.64268,33.69867
