country,FRA,FRA
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,22.13971
1960-Q2,,22.22289
1960-Q3,,22.38925
1960-Q4,,22.65461
1961-Q1,3.971438,23.01898
1961-Q2,5.239927,23.38736
1961-Q3,6.121194,23.75974
1961-Q4,6.660063,24.16342
1962-Q1,6.86151,24.59843
1962-Q2,6.877658,24.99586
1962-Q3,6.717294,25.35575
1962-Q4,6.248001,25.67315
1963-Q1,2.630487,25.24549
1963-Q2,5.50874,26.37282
1963-Q3,7.442327,27.2428
1963-Q4,6.444313,27.32761
1964-Q1,10.28537,27.84208
1964-Q2,6.583462,28.10906
1964-Q3,4.445013,28.45375
1964-Q4,5.061879,28.7109
1965-Q1,3.34945,28.77464
1965-Q2,4.914833,29.49057
1965-Q3,5.141568,29.91672
1965-Q4,5.650559,30.33322
1966-Q1,6.367614,30.60689
1966-Q2,5.355112,31.06983
1966-Q3,5.038778,31.42416
1966-Q4,4.162074,31.59571
1967-Q1,4.999723,32.13715
1967-Q2,4.567421,32.48892
1967-Q3,4.376944,32.79957
1967-Q4,4.822062,33.11928
1968-Q1,6.05459,34.08292
1968-Q2,-3.046592,31.49911
1968-Q3,6.957438,35.08158
1968-Q4,7.010255,35.44102
1969-Q1,4.175765,35.50615
1969-Q2,15.48619,36.37712
1969-Q3,4.673238,36.72103
1969-Q4,4.430437,37.01122
1970-Q1,6.231298,37.71864
1970-Q2,4.996378,38.19466
1970-Q3,5.445563,38.7207
1970-Q4,6.261521,39.32869
1971-Q1,4.403152,39.37945
1971-Q2,4.98047,40.09694
1971-Q3,5.242838,40.75076
1971-Q4,4.503637,41.09991
1972-Q1,5.735934,41.63823
1972-Q2,4.242857,41.79819
1972-Q3,3.481127,42.16935
1972-Q4,4.305489,42.86946
1973-Q1,5.008155,43.72354
1973-Q2,5.73643,44.19592
1973-Q3,5.705915,44.57549
1973-Q4,5.308799,45.14531
1974-Q1,4.242214,45.57838
1974-Q2,3.64434,45.80657
1974-Q3,3.731282,46.23873
1974-Q4,0.8752422,45.54044
1975-Q1,-0.5327757,45.33555
1975-Q2,-0.7781192,45.45014
1975-Q3,-1.324734,45.62619
1975-Q4,1.541171,46.2423
1976-Q1,3.497158,46.92101
1976-Q2,4.467073,47.48043
1976-Q3,4.556114,47.70497
1976-Q4,4.448314,48.2993
1977-Q1,4.075391,48.83323
1977-Q2,3.296345,49.04555
1977-Q3,3.281466,49.27039
1977-Q4,2.243418,49.38285
1978-Q1,2.530302,50.06885
1978-Q2,3.783741,50.90131
1978-Q3,3.219253,50.85653
1978-Q4,3.860699,51.28938
1979-Q1,3.318718,51.7305
1979-Q2,2.600582,52.22504
1979-Q3,3.864765,52.82202
1979-Q4,3.184112,52.92249
1980-Q1,3.498868,53.54048
1980-Q2,1.952558,53.24476
1980-Q3,0.7104297,53.19728
1980-Q4,0.3801496,53.12368
1981-Q1,-0.3357954,53.36069
1981-Q2,0.8712813,53.70867
1981-Q3,1.610247,54.05389
1981-Q4,2.257817,54.32311
1982-Q1,2.690586,54.79641
1982-Q2,2.680349,55.14825
1982-Q3,2.087894,55.18248
1982-Q4,2.128359,55.4793
