country,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,97.40062,96.87399,29.558
1960-03,,,,,,,97.70922,97.24215,29.68974
1960-04,,,,,,,98.02478,97.61861,29.82205
1960-05,,,,,,,98.35014,98.00675,29.95493
1960-06,,,,,,,98.67549,98.3949,30.08836
1960-07,,,,,,,98.96771,98.74352,30.22233
1960-08,,,,,,,99.19228,99.01142,30.35679
1960-09,,,,,,,99.33751,99.18468,30.49173
1960-10,,,,,,,99.44306,99.3106,30.62712
1960-11,,,,,,,99.56409,99.45499,30.76291
1960-12,,,,,,,99.73803,99.66249,30.89908
1961-01,,,,,,,99.95004,99.91542,31.03559
1961-02,,,,,,,100.1617,100.1679,31.17239
1961-03,,,,,,,100.3363,100.3763,31.30944
1961-04,,,,,,,100.4645,100.5292,31.44671
1961-05,,,,,,,100.5525,100.6341,31.58415
1961-06,,,,,,,100.6135,100.7069,31.72172
1961-07,,,,,,,100.6624,100.7652,31.85938
1961-08,,,,,,,100.7097,100.8217,31.99709
1961-09,,,,,,,100.7571,100.8783,32.13482
1961-10,,,,,,,100.7923,100.9202,32.27253
1961-11,,,,,,,100.7991,100.9283,32.41019
1961-12,,,,,,,100.7684,100.8917,32.54776
1962-01,,,,,,,100.7108,100.823,32.68522
1962-02,,,,,,,100.6446,100.7441,32.82253
1962-03,,,,,,,100.5859,100.674,32.95966
1962-04,,,,,,,100.5397,100.6189,33.0966
1962-05,,,,,,,100.5019,100.5737,33.23331
1962-06,,,,,,,100.4609,100.5249,33.36978
1962-07,,,,,,,100.3987,100.4507,33.50597
1962-08,,,,,,,100.2961,100.3282,33.64188
1962-09,,,,,,,100.1404,100.1425,33.77748
1962-10,,,,,,,99.93566,99.89826,33.91274
1962-11,,,,,,,99.70213,99.61967,34.04765
1962-12,,,,,,,99.47967,99.35427,34.1822
1963-01,,,,,,,99.33317,99.1795,34.31636
1963-02,,,,,,,99.327,99.17213,34.45011
1963-03,,,,,,,99.49477,99.37229,34.58344
1963-04,,,,,,,99.79884,99.73504,34.7163
1963-05,,,,,,,100.1701,100.1779,34.84867
1963-06,,,,,,,100.5372,100.6159,34.98052
1963-07,,,,,,,100.852,100.9915,35.11182
1963-08,,,,,,,101.0851,101.2696,35.24252
1963-09,,,,,,,101.226,101.4376,35.37261
1963-10,,,,,,,101.2882,101.5119,35.50206
1963-11,,,,,,,101.2993,101.5251,35.63086
1963-12,,,,,,,101.2954,101.5204,35.75898
1964-01,,,,,,,101.3204,101.5502,35.88643
1964-02,,,,,,,101.4068,101.6533,36.01319
1964-03,,,,,,,101.5549,101.83,36.13926
1964-04,,,,,,,101.707,102.0115,36.26463
1964-05,,,,,,,101.7869,102.1068,36.38932
1964-06,,,,,,,101.7386,102.0491,36.51332
1964-07,,,,,,,101.5703,101.8483,36.63667
1964-08,,,,,,,101.3255,101.5563,36.75938
1964-09,,,,,,,101.0629,101.2431,36.88148
1964-10,,,,,,,100.8417,100.9792,37.00302
1964-11,,,,,,,100.7078,100.8194,37.12403
1964-12,,,,,,,100.6779,100.7838,37.24456
1965-01,,,,,,,100.7174,100.8309,37.36465
1965-02,,,,,,,100.7725,100.8966,37.48434
1965-03,,,,,,,100.7974,100.9264,37.60369
1965-04,,,,,,,100.7805,100.9061,37.72274
1965-05,,,,,,,100.7252,100.8402,37.84155
1965-06,,,,,,,100.6351,100.7327,37.96019
1965-07,,,,,,,100.501,100.5727,38.07872
1965-08,,,,,,,100.3097,100.3445,38.1972
1965-09,,,,,,,100.0564,100.0422,38.3157
1965-10,,,,,,,99.76019,99.68892,38.4343
1965-11,,,,,,,99.4585,99.32902,38.55307
1965-12,,,,,,,99.20367,99.02501,38.67207
1966-01,99.84339,,,,,,99.06099,98.85479,38.7914
1966-02,99.84637,,,,,,99.08231,98.88023,38.91111
1966-03,99.93755,,,,,,99.27192,99.10643,39.03128
1966-04,100.1019,,,,,,99.53934,99.42546,39.15197
1966-05,100.3004,,,,,,99.76699,99.69704,39.27322
1966-06,100.6187,,,,,,99.87194,99.82224,39.3951
1966-07,100.7417,,,,,,99.87055,99.82059,39.51768
1966-08,100.6828,,,,,,99.82765,99.76942,39.64101
1966-09,100.7408,,,,,,99.81226,99.75105,39.76516
1966-10,100.8041,,,,,,99.85647,99.80379,39.89019
1966-11,100.8505,,,,,,99.96093,99.92841,40.01616
1966-12,100.7773,,,,,,100.0956,100.0891,40.14314
1967-01,100.5286,,,,,,100.1959,100.2087,40.27118
1967-02,99.93393,,97.9315,98.38511,,39.56466,100.1898,100.2014,40.40034
1967-03,99.8381,,98.07803,98.4995,,39.75171,100.0275,100.0079,40.53069
1967-04,99.61518,,98.32468,98.69205,,39.98107,99.71861,99.63933,40.66229
1967-05,99.42017,,98.64206,98.9398,,40.24124,99.30354,99.14414,40.79521
1967-06,99.34097,,98.98882,99.2105,,40.51565,98.83614,98.58654,40.92952
1967-07,99.37852,,99.34727,99.49033,,40.79725,98.37344,98.03456,41.06528
1967-08,99.50488,,99.68884,99.75696,,41.07437,97.96645,97.54903,41.20258
1967-09,99.63538,,100.0247,100.0191,,41.35164,97.65105,97.17275,41.34144
1967-10,99.70414,,100.2962,100.2311,,41.60483,97.43534,96.91542,41.48194
1967-11,99.6498,,100.5002,100.3904,,41.83232,97.31316,96.76965,41.6241
1967-12,99.65266,,100.6426,100.5015,,42.03639,97.26978,96.7179,41.76797
1968-01,99.7184,,100.7248,100.5657,,42.21735,97.28059,96.7308,41.91356
1968-02,99.98151,,100.7505,100.5857,7.107051,42.37654,97.3248,96.78355,42.06087
1968-03,100.1742,,100.7691,100.6002,7.000542,42.53454,97.39477,96.86701,42.20992
1968-04,100.3675,,100.8704,100.6793,6.874031,42.72938,97.50292,96.99604,42.36069
1968-05,100.632,,100.9952,100.7767,6.697161,42.93626,97.66694,97.1917,42.51317
1968-06,100.8764,,101.1137,100.8692,6.483504,43.14248,97.89194,97.46014,42.66732
1968-07,101.0205,,101.2344,100.9635,6.261367,43.35171,98.14822,97.76588,42.8231
1968-08,101.0746,,101.4345,101.1197,6.141696,43.59703,98.38708,98.05083,42.98046
1968-09,101.2151,,101.6674,101.3015,6.062702,43.85867,98.55419,98.25019,43.13935
1968-10,101.6119,,101.9182,101.4973,6.070097,44.13028,98.60412,98.30975,43.2997
1968-11,102.1152,,102.1534,101.6809,6.131629,44.39732,98.51485,98.20326,43.46143
1968-12,102.3842,,102.3861,101.8625,6.254098,44.66539,98.30996,97.95882,43.62447
1969-01,102.5856,,102.6011,102.0303,6.420008,44.92771,98.08916,97.69541,43.78873
1969-02,102.9655,,102.7003,102.1078,6.52369,45.14105,97.9727,97.55649,43.95415
1969-03,103.5482,,102.6391,102.06,6.466369,45.28498,98.04811,97.64644,44.12061
1969-04,103.9148,,102.3479,101.8327,6.081231,45.32785,98.31779,97.96817,44.28801
1969-05,103.7597,,101.8849,101.4713,5.491622,45.29416,98.73209,98.46242,44.45622
1969-06,103.6223,,101.3739,101.0724,4.857679,45.23821,99.21397,99.03729,44.62511
1969-07,103.7153,,100.9407,100.7342,4.300169,45.2159,99.67295,99.58485,44.79453
1969-08,103.8359,,100.5817,100.454,3.736247,45.22592,100.0295,100.0103,44.96434
1969-09,103.9739,,100.3251,100.2537,3.243328,45.28115,100.2419,100.2636,45.1344
1969-10,103.9966,,100.2302,100.1796,2.897232,45.40884,100.3396,100.3801,45.30455
1969-11,103.9109,,100.1516,100.1182,2.581773,45.54356,100.3814,100.43,45.47464
1969-12,103.8336,,100.0161,100.0125,2.208681,45.6519,100.4207,100.4769,45.64454
1970-01,103.6853,,99.76205,99.81411,1.730258,45.70507,100.4753,100.542,45.81409
1970-02,103.6517,,99.44534,99.56688,1.300435,45.72808,100.5417,100.6213,45.98313
1970-03,103.7203,,99.1027,99.2994,0.9990631,45.7374,100.6088,100.7014,46.15152
1970-04,103.8866,,98.70997,98.99282,0.868607,45.72157,100.6705,100.7749,46.3191
1970-05,104.022,,98.31178,98.68197,0.8981064,45.70094,100.7223,100.8367,46.48573
1970-06,103.9022,,97.94219,98.39346,1.001458,45.69125,100.7592,100.8807,46.65125
1970-07,103.6139,,97.81209,98.29189,1.272362,45.79121,100.7737,100.898,46.8155
1970-08,103.3181,,97.91422,98.37162,1.708219,45.99848,100.7596,100.8813,46.97834
