country,HUN,HUN,HUN,HUN,HUN,HUN,HUN,HUN,HUN
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
2000-03,100.5474,99.72114,103.505,101.9592,8.230642,75.01299,100.0368,99.67643,72.47283
2000-04,101.2006,99.64692,103.6155,102.0211,8.287258,75.35067,100.0242,99.65954,72.72144
2000-05,101.6064,99.69958,103.6411,102.0354,8.154409,75.62945,100.0188,99.65219,72.97248
2000-06,101.5232,99.68012,103.5924,102.0081,7.834052,75.85645,100.0246,99.6601,73.22591
2000-07,101.2876,99.59292,103.5032,101.9582,7.378978,76.05595,100.0477,99.69112,73.48171
2000-08,101.1458,99.51134,103.3903,101.895,6.845417,76.23984,100.0919,99.75066,73.73983
2000-09,101.1679,99.44131,103.2312,101.8058,6.235308,76.3913,100.1546,99.83508,74.00024
2000-10,101.3624,99.52864,103.0346,101.6958,5.579187,76.51649,100.2198,99.92291,74.26288
2000-11,101.5736,99.76559,102.7791,101.5527,4.866172,76.59888,100.2676,99.98727,74.52771
2000-12,101.475,100.2111,102.4409,101.3633,4.094349,76.62032,100.2829,100.0078,74.79469
2001-01,101.1632,100.4603,102.0203,101.1277,3.29743,76.58029,100.2652,99.98409,75.06377
2001-02,101.042,100.5691,101.5553,100.8673,2.541516,76.50654,100.2216,99.92539,75.33489
2001-03,101.0336,100.6232,101.0543,100.5867,1.855874,76.40514,100.1613,99.84407,75.60802
2001-04,100.7268,100.7272,100.5202,100.2876,1.230486,76.27785,100.092,99.7508,75.88311
2001-05,100.1103,100.797,99.95384,99.97046,0.6551716,76.12495,100.0204,99.65435,76.1601
2001-06,99.47618,100.8607,99.38895,99.65411,0.1521595,75.97187,99.95185,99.56205,76.43895
2001-07,98.96393,100.9475,98.8828,99.37064,-0.254373,75.86248,99.8912,99.48038,76.7196
2001-08,98.57683,100.9812,98.50574,99.15948,-0.5095277,75.85137,99.84419,99.41707,77.00198
2001-09,98.10406,101.0718,98.29751,99.04287,-0.5511762,75.97025,99.81844,99.38238,77.28604
2001-10,97.53461,101.3135,98.28394,99.03526,-0.3606582,76.24053,99.82326,99.38888,77.57172
2001-11,97.18124,101.5964,98.43617,99.12052,0.05544502,76.64134,99.86504,99.44515,77.85892
2001-12,97.23019,101.8821,98.69791,99.26711,0.6652542,77.13004,99.94022,99.5464,78.14759
2002-01,97.34328,102.1166,98.98955,99.43043,1.390403,77.64507,100.0256,99.66132,78.43764
2002-02,97.46761,102.4479,99.21461,99.55647,2.096689,78.11064,100.0924,99.7513,78.72897
2002-03,97.6688,102.9492,99.30966,99.6097,2.710359,78.47599,100.12,99.78852,79.02151
2002-04,98.11396,103.3581,99.28426,99.59547,3.237632,78.74744,100.1104,99.77551,79.31514
2002-05,98.84373,103.5956,99.18001,99.53709,3.720261,78.95699,100.0763,99.72972,79.60979
2002-06,99.16609,103.8327,99.03667,99.45682,4.164339,79.1356,100.0331,99.67154,79.90535
2002-07,99.26107,104.0709,98.88987,99.3746,4.546257,79.31139,99.99096,99.61473,80.20173
2002-08,99.40226,104.1987,98.77887,99.31245,4.83109,79.51582,99.95517,99.56653,80.49882
2002-09,99.40566,104.1313,98.70975,99.27373,4.980608,79.75403,99.92632,99.52767,80.79651
2002-10,99.34715,104.0042,98.69246,99.26405,4.97612,80.03435,99.89964,99.49175,81.0947
2002-11,99.1834,103.7928,98.72968,99.2849,4.851121,80.35931,99.86913,99.45065,81.39326
2002-12,98.83726,103.5521,98.80682,99.32809,4.650971,80.71734,99.83131,99.39972,81.69207
2003-01,98.4688,103.166,98.92361,99.39351,4.460567,81.10847,99.78939,99.34327,81.99101
2003-02,98.23112,102.7423,99.05553,99.46738,4.355483,81.51274,99.74971,99.28983,82.28995
2003-03,98.1022,102.5229,99.17124,99.53218,4.368577,81.90427,99.71854,99.24785,82.58874
2003-04,98.22986,102.4133,99.25619,99.57975,4.474139,82.27071,99.69886,99.22134,82.88725
2003-05,98.38981,102.1596,99.28963,99.59849,4.606803,82.59439,99.69167,99.21167,83.18531
2003-06,98.58257,101.7799,99.27743,99.59165,4.731065,82.87955,99.69659,99.21828,83.48278
2003-07,98.87347,101.3705,99.23351,99.56705,4.823948,83.13732,99.71146,99.23831,83.77949
2003-08,98.87795,100.8844,99.14857,99.51949,4.833746,83.35941,99.73455,99.2694,84.07526
2003-09,98.89273,100.6525,99.0309,99.45358,4.762458,83.55228,99.76583,99.31154,84.36992
2003-10,99.35473,100.5836,98.89011,99.37474,4.609594,83.72361,99.80792,99.36823,84.66328
2003-11,100.0213,100.5361,98.71027,99.27402,4.355617,83.85945,99.86384,99.44353,84.95515
2003-12,100.1521,100.3449,98.49564,99.15382,4.020924,83.96292,99.93413,99.53819,85.24532
2004-01,99.88223,99.99458,98.29967,99.04408,3.662711,84.07925,100.0131,99.64452,85.53359
2004-02,99.71513,99.75467,98.18109,98.97767,3.36885,84.25878,100.0924,99.7514,85.81976
2004-03,99.93434,99.76126,98.16222,98.9671,3.195115,84.52121,100.1647,99.84873,86.10361
2004-04,100.1264,100.047,98.20445,98.99075,3.115451,84.83382,100.2263,99.93173,86.3849
