country,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN
subject,BSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,
unit,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,
time,,,,,,,,
1956-01,,102.5799,102.1467,,,,,
1956-02,,102.3896,101.9883,,,,,
1956-03,,102.1846,101.8177,,,,,
1956-04,,101.9479,101.6208,,,,,
1956-05,,101.6869,101.4036,,,,,
1956-06,,101.4336,101.1928,,,,,
1956-07,,101.2082,101.0053,,,,,
1956-08,,101.0065,100.8374,,,,,
1956-09,,100.8037,100.6687,,,,,
1956-10,,100.5903,100.4911,,,,,
1956-11,,100.375,100.312,,,,,
1956-12,,100.1661,100.1381,,,,,
1957-01,,99.9418,99.95151,,,,,
1957-02,,99.68681,99.73933,,,,,
1957-03,,99.41483,99.51301,,,,,
1957-04,,99.1246,99.2715,,,,,
1957-05,,98.81818,99.01654,,,,,
1957-06,,98.47923,98.73449,,,,,
1957-07,,98.10069,98.4195,,,,,
1957-08,,97.70486,98.09013,,,,,
1957-09,,97.34588,97.79142,,,,,
1957-10,,97.08405,97.57355,,,,,
1957-11,,96.96512,97.47459,,,,,
1957-12,,96.99166,97.49667,,,,,
1958-01,,97.17688,97.65079,,,,,
1958-02,,97.53265,97.94683,,,,,
1958-03,,98.0344,98.36434,,,,,
1958-04,,98.65094,98.87737,,,,,
1958-05,,99.34096,99.45154,,,,,
1958-06,,100.0442,100.0367,,,,,
1958-07,,100.7015,100.5836,,,,,
1958-08,,101.2677,101.0548,,,,,
1958-09,,101.7211,101.432,,,,,
1958-10,,102.0564,101.7111,,,,,
1958-11,,102.276,101.8938,,,,,
1958-12,,102.4079,102.0036,,,,,
1959-01,,102.4875,102.0698,,,,,
1959-02,,102.511,102.0894,,,,,
1959-03,,102.4582,102.0454,,,,,
1959-04,,102.318,101.9287,,,,,
1959-05,,102.0789,101.7298,,,,,
1959-06,,101.7407,101.4484,,,,,
1959-07,,101.3182,101.0968,,,,,
1959-08,,100.8558,100.7121,,,,,
1959-09,,100.4325,100.3598,,,,,
1959-10,,100.1104,100.0918,,,,,
1959-11,,99.8854,99.90457,,,,,
1959-12,,99.72169,99.76836,,,,,
1960-01,,99.55493,99.62959,,,,,
1960-02,,99.34942,99.45858,,,,,
1960-03,,99.13953,99.28394,,,,,
1960-04,,98.95622,99.1314,,,,,
1960-05,,98.82926,99.02576,,,,,
1960-06,,98.77097,98.97724,,,,,
1960-07,,98.7729,98.97885,,,,,
1960-08,,98.82725,99.02408,,,,,
1960-09,,98.89485,99.08033,,,,,
1960-10,,98.97353,99.14581,,,,,
1960-11,,99.07987,99.23428,,,,,
1960-12,,99.23225,99.36108,,,,,
1961-01,,99.44182,99.53547,,,,,
1961-02,,99.71601,99.76363,,18.01532,98.55885,98.29578,18.06663
1961-03,,100.0472,100.0392,,18.16884,98.82274,98.58525,18.16027
1961-04,,100.4132,100.3437,,18.32982,99.0826,98.87029,18.25439
1961-05,,100.7799,100.6489,,18.49211,99.33056,99.1423,18.349
1961-06,,101.1278,100.9384,,18.6521,99.55746,99.3912,18.44408
1961-07,,101.431,101.1907,,18.80495,99.75505,99.60794,18.53964
1961-08,,101.6562,101.3781,,18.94431,99.91809,99.78678,18.63566
1961-09,,101.7735,101.4757,,19.06436,100.0483,99.92963,18.73215
1961-10,,101.7931,101.492,,19.16671,100.1604,100.0526,18.82908
1961-11,,101.7315,101.4407,,19.25418,100.2695,100.1722,18.92646
1961-12,,101.5869,101.3204,,19.32618,100.379,100.2924,19.02428
1962-01,,101.3531,101.1259,,19.38128,100.4698,100.3919,19.12253
1962-02,,101.0511,100.8746,7.81514,19.42324,100.5155,100.4421,19.2212
1962-03,,100.6907,100.5747,7.072007,19.45374,100.5,100.4251,19.3203
1962-04,,100.2923,100.2431,6.256149,19.47656,100.4367,100.3557,19.4198
1962-05,,99.89883,99.91575,5.450133,19.49996,100.3525,100.2633,19.5197
1962-06,,99.55929,99.63321,4.725692,19.53354,100.274,100.1772,19.62001
1962-07,,99.31597,99.43075,4.152457,19.58582,100.2161,100.1137,19.72071
1962-08,,99.19283,99.32828,3.787399,19.66181,100.1828,100.0772,19.82181
1962-09,,99.1959,99.33083,3.665109,19.76309,100.1665,100.0592,19.92329
1962-10,,99.30442,99.42113,3.752075,19.88586,100.1451,100.0358,20.02515
1962-11,,99.47633,99.56418,3.987749,20.02198,100.0943,99.98009,20.12738
1962-12,,99.6696,99.72501,4.330755,20.16315,99.99983,99.87645,20.22999
1963-01,,99.85898,99.88258,4.762348,20.30429,99.87118,99.73533,20.33296
1963-02,,100.0399,100.0331,5.257577,20.44443,99.72849,99.57881,20.43629
1963-03,,100.2188,100.182,5.814649,20.58491,99.59164,99.4287,20.53997
1963-04,,100.3941,100.3279,6.411833,20.72536,99.47059,99.2959,20.644
1963-05,,100.5229,100.435,6.958515,20.85686,99.37395,99.1899,20.74838
1963-06,,100.5751,100.4785,7.369236,20.97302,99.31637,99.12672,20.85308
1963-07,,100.5843,100.4861,7.631756,21.08056,99.32391,99.13501,20.95811
1963-08,,100.5908,100.4915,7.761568,21.18788,99.42255,99.24321,21.06344
1963-09,,100.6309,100.5249,7.789994,21.30263,99.62189,99.46187,21.16907
