country,DNK,DNK,DNK,DNK,DNK,DNK,DNK,DNK,DNK
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,99.7533,99.70891,28.22056
1960-03,,,,,,,99.60765,99.54798,28.33669
1960-04,,,,,,,99.46843,99.39415,28.4533
1960-05,,,,,,,99.34528,99.25809,28.57038
1960-06,,,,,,,99.24815,99.15076,28.68794
1960-07,,,,,,,99.18293,99.0787,28.80598
1960-08,,,,,,,99.15395,99.04668,28.92449
1960-09,,,,,,,99.16399,99.05778,29.04346
1960-10,,,,,,,99.21168,99.11047,29.16289
1960-11,,,,,,,99.29446,99.20194,29.28276
1960-12,,,,,,,99.40878,99.32824,29.40306
1961-01,,,,,,,99.54747,99.48148,29.52378
1961-02,,,,,,,99.70334,99.65371,29.64489
1961-03,,,,,,,99.87065,99.83857,29.76638
1961-04,,,,,,,100.0453,100.0315,29.88823
1961-05,,,,,,,100.2251,100.2302,30.01043
1961-06,,,,,,,100.4093,100.4337,30.13293
1961-07,,,,,,,100.5976,100.6418,30.25574
1961-08,,,,,,,100.79,100.8543,30.37883
1961-09,,,,,,,100.9855,101.0704,30.50217
1961-10,,,,,,,101.1813,101.2867,30.62576
1961-11,,,,,,,101.3719,101.4974,30.74957
1961-12,,,,,,,101.5484,101.6924,30.8736
1962-01,,,,,,,101.6978,101.8574,30.99783
1962-02,,,,,,,101.8045,101.9753,31.12226
1962-03,,,,,,,101.8536,102.0295,31.24689
1962-04,,,,,,,101.8367,102.0109,31.37173
1962-05,,,,,,,101.7472,101.912,31.49677
1962-06,,,,,,,101.5795,101.7267,31.62204
1962-07,,,,,,,101.3337,101.4551,31.74755
1962-08,,,,,,,101.0108,101.0983,31.87332
1962-09,,,,,,,100.6135,100.6594,31.99939
1962-10,,,,,,,100.1525,100.15,32.12577
1962-11,,,,,,,99.64296,99.58699,32.25252
1962-12,,,,,,,99.10628,98.99401,32.37965
1963-01,,,,,,,98.57497,98.40697,32.50719
1963-02,,,,,,,98.08509,97.86569,32.63519
1963-03,,,,,,,97.66888,97.40582,32.76367
1963-04,,,,,,,97.34495,97.0479,32.89265
1963-05,,,,,,,97.12659,96.80663,33.02215
1963-06,,,,,,,97.02334,96.69255,33.15217
1963-07,,,,,,,97.03504,96.70548,33.28273
1963-08,,,,,,,97.16042,96.84402,33.4138
1963-09,,,,,,,97.39717,97.10561,33.54536
1963-10,,,,,,,97.7338,97.47754,33.67741
1963-11,,,,,,,98.15573,97.94374,33.8099
1963-12,,,,,,,98.64408,98.48332,33.94279
1964-01,,,,,,,99.16776,99.06194,34.07603
1964-02,,,,,,,99.69304,99.64233,34.20957
1964-03,,,,,,,100.1904,100.1918,34.34336
1964-04,,,,,,,100.6409,100.6896,34.47734
1964-05,,,,,,,101.032,101.1217,34.61145
1964-06,,,,,,,101.3556,101.4793,34.74564
1964-07,,,,,,,101.6111,101.7616,34.87985
1964-08,,,,,,,101.7991,101.9694,35.01403
1964-09,,,,,,,101.9212,102.1042,35.14814
1964-10,,,,,,,101.983,102.1726,35.28214
1964-11,,,,,,,101.991,102.1813,35.41599
1964-12,,,,,,,101.9518,102.1381,35.54965
1965-01,,,,,,,101.8772,102.0556,35.68311
1965-02,,,,,,,101.7785,101.9466,35.81634
1965-03,,,,,,,101.6651,101.8213,35.94932
1965-04,,,,,,,101.5436,101.6871,36.08205
1965-05,,,,,,,101.4181,101.5483,36.21453
1965-06,,,,,,,101.2904,101.4073,36.34674
1965-07,,,,,,,101.1614,101.2647,36.4787
1965-08,,,,,,,101.0311,101.1207,36.6104
1965-09,,,,,,,100.8993,100.9751,36.74187
1965-10,,,,,,,100.7661,100.8279,36.87312
1965-11,,,,,,,100.6321,100.6799,37.00415
1965-12,,,,,,,100.4985,100.5323,37.13501
1966-01,,,,,,,100.3674,100.3874,37.26569
1966-02,,,99.82088,99.83279,,37.32925,100.2411,100.2479,37.39624
1966-03,,,99.93903,99.94278,,37.50379,100.1221,100.1164,37.52667
1966-04,,,100.0601,100.0555,,37.67964,100.0117,99.99444,37.65701
1966-05,,,100.1927,100.1789,,37.86012,99.91084,99.88298,37.78729
1966-06,,,100.2938,100.273,,38.02892,99.82022,99.78285,37.91753
1966-07,,,100.3032,100.2817,,38.16312,99.73979,99.69398,38.04778
1966-08,,,100.1871,100.1737,,38.24949,99.66942,99.61623,38.17804
1966-09,,,99.96956,99.97119,,38.29669,99.60887,99.54933,38.30835
1966-10,,,99.70277,99.72286,,38.32449,99.55718,99.49222,38.43874
1966-11,,,99.46073,99.49758,,38.36123,99.51313,99.44354,38.56922
1966-12,,,99.28368,99.33279,,38.42262,99.47513,99.40156,38.69983
1967-01,,,99.1674,99.22455,,38.50729,99.44061,99.36343,38.83059
1967-02,,,99.10439,99.1659,3.437867,38.61258,99.4068,99.32607,38.96152
1967-03,,,99.06078,99.12531,3.257494,38.72547,99.3712,99.28673,39.09264
1967-04,,,98.99051,99.0599,3.047714,38.82801,99.33208,99.2435,39.22397
1967-05,,,98.85624,98.93492,2.76085,38.90538,99.28814,99.19495,39.35552
1967-06,,,98.67236,98.76378,2.456378,38.96306,99.23845,99.14005,39.4873
1967-07,,,98.51043,98.61304,2.269377,39.02919,99.18269,99.07845,39.61934
1967-08,,,98.43523,98.54306,2.301044,39.12962,99.12093,99.01021,39.75164
1967-09,,,98.45094,98.55768,2.532048,39.26638,99.05383,98.93606,39.88421
1967-10,,,98.5208,98.6227,2.871877,39.42512,98.98322,98.85805,40.01705
1967-11,,,98.59093,98.68797,3.188589,39.58442,98.91226,98.77964,40.15016
1967-12,,,98.63825,98.73203,3.415597,39.73498,98.84576,98.70616,40.28354
1968-01,,,98.69949,98.78903,3.594839,39.89157,98.79054,98.64515,40.41719
1968-02,,,98.69118,98.78129,3.645893,40.02036,98.75463,98.60547,40.5511
1968-03,,,98.72967,98.81711,3.726052,40.1684,98.74564,98.59554,40.68524
1968-04,,,98.82708,98.90778,3.89622,40.34083,98.7678,98.62002,40.81961
1968-05,,,99.02203,99.08924,4.236625,40.55366,98.82444,98.6826,40.95418
1968-06,,,99.33074,99.37659,4.750319,40.81393,98.91837,98.78639,41.08892
1968-07,,,99.72939,99.74763,5.337168,41.11224,99.04961,98.93139,41.2238
1968-08,,,100.1683,100.1562,5.874762,41.4284,99.21779,99.11722,41.35878
1968-09,,,100.5991,100.5571,6.305677,41.74239,99.42196,99.34281,41.49382
1968-10,,,100.9811,100.9128,6.625726,42.03732,99.65748,99.60304,41.62888
1968-11,,,101.2823,101.1931,6.858887,42.29947,99.91769,99.89056,41.76391
1968-12,,,101.4797,101.3768,7.006074,42.51884,100.1932,100.195,41.89886
1969-01,,,101.5468,101.4393,6.99975,42.68388,100.4693,100.5001,42.03368
1969-02,,,101.4871,101.3837,6.934137,42.79542,100.7295,100.7876,42.16832
1969-03,,,101.3229,101.2309,6.706692,42.86238,100.9588,101.0409,42.30274
1969-04,,,101.0813,101.0059,6.33329,42.89573,101.1483,101.2502,42.43688
1969-05,,,100.8424,100.7836,5.85808,42.92933,101.2916,101.4086,42.5707
1969-06,,,100.6717,100.6248,5.334214,42.99103,101.3845,101.5112,42.70417
1969-07,,,100.5686,100.5288,4.788334,43.08083,101.4267,101.5579,42.83723
1969-08,,,100.5127,100.4768,4.252628,43.19019,101.4188,101.5492,42.96988
1969-09,,,100.4907,100.4563,3.764035,43.31359,101.3618,101.4861,43.10207
1969-10,,,100.4812,100.4474,3.341114,43.44183,101.2601,101.3738,43.23378
1969-11,,,100.4631,100.4305,2.993761,43.56581,101.1194,101.2183,43.36501
1969-12,,,100.4396,100.4087,2.747216,43.68693,100.9463,101.0271,43.49572
1970-01,,,100.4195,100.39,2.635799,43.80894,100.7523,100.8127,43.62593
1970-02,,,100.3875,100.3602,2.639885,43.92517,100.549,100.5881,43.75562
1970-03,,,100.3354,100.3117,2.728727,44.03197,100.3464,100.3642,43.88478
1970-04,,,100.2413,100.2241,2.853151,44.11961,100.151,100.1484,44.01342
1970-05,,,100.0541,100.0499,2.879417,44.16544,99.967,99.94502,44.14154
1970-06,,,99.74857,99.76549,2.714054,44.15783,99.79662,99.75677,44.26914
1970-07,,,99.36044,99.40423,2.394211,44.11227,99.64032,99.58408,44.39621
1970-08,,,98.96432,99.03553,2.01775,44.06166,99.49805,99.42688,44.52277
