country,USA,USA,USA,USA,USA,USA,USA,USA,USA
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1947-02,,,,,,,102.2311,102.6515,11.38353
1947-03,,,,,,,101.8564,102.2001,11.42444
1947-04,,,,,,,101.4904,101.7591,11.4655
1947-05,,,,,,,101.1463,101.3445,11.50672
1947-06,,,,,,,100.8427,100.9788,11.54809
1947-07,,,,,,,100.6014,100.688,11.58964
1947-08,,,,,,,100.4428,100.497,11.63136
1947-09,,,,,,,100.3786,100.4196,11.67327
1947-10,,,,,,,100.3971,100.4419,11.71538
1947-11,,,,,,,100.4776,100.5388,11.75769
1947-12,,,,,,,100.5983,100.6843,11.80022
1948-01,,,,,,,100.7399,100.8549,11.84298
1948-02,,,,,,,100.8848,101.0295,11.88598
1948-03,,,,,,,101.0153,101.1867,11.92923
1948-04,,,,,,,101.1113,101.3024,11.97274
1948-05,,,,,,,101.1518,101.3511,12.01654
1948-06,,,,,,,101.1193,101.312,12.06064
1948-07,,,,,,,101.008,101.1779,12.10505
1948-08,,,,,,,100.815,100.9454,12.1498
1948-09,,,,,,,100.5381,100.6118,12.19491
1948-10,,,,,,,100.1788,100.1788,12.24039
1948-11,,,,,,,99.74175,99.65226,12.28628
1948-12,,,,,,,99.24091,99.04883,12.3326
1949-01,,,,,,,98.70986,98.409,12.37937
1949-02,,,,,,,98.18789,97.78011,12.42661
1949-03,,,,,,,97.70853,97.20255,12.47434
1949-04,,,,,,,97.28805,96.69594,12.5226
1949-05,,,,,,,96.93147,96.2663,12.57139
1949-06,,,,,,,96.63418,95.90813,12.62073
1949-07,,,,,,,96.37889,95.60054,12.67064
1949-08,,,,,,,96.15417,95.32978,12.72111
1949-09,,,,,,,95.96954,95.10734,12.77215
1949-10,,,,,,,95.86815,94.98518,12.82377
1949-11,,,,,,,95.90144,95.02528,12.87595
1949-12,,,,,,,96.09829,95.26246,12.92869
1950-01,101.1263,,,,,,96.44783,95.6836,12.98197
1950-02,101.6873,,,,,,96.91148,96.24223,13.03577
1950-03,102.4351,,,,,,97.44675,96.88715,13.09006
1950-04,103.5006,,,,,,98.02251,97.58084,13.14481
1950-05,104.5746,,,,,,98.61486,98.29454,13.19999
1950-06,105.2065,,,,,,99.19978,98.99928,13.25555
1950-07,105.2304,,,,,,99.74379,99.65472,13.31147
1950-08,104.5649,,,,,,100.2125,100.2194,13.36769
1950-09,103.3943,,,,,,100.5816,100.6642,13.42417
1950-10,102.4473,,,,,,100.8537,100.992,13.48088
1950-11,102.417,,,,,,101.0443,101.2216,13.53777
1950-12,102.8856,,,,,,101.1756,101.3798,13.59479
1951-01,103.2403,,,,,,101.2748,101.4993,13.65192
1951-02,103.1144,,,,,,101.3667,101.61,13.70909
1951-03,102.1921,,,,,,101.4681,101.7322,13.76629
1951-04,100.6745,,,,,,101.583,101.8706,13.82346
1951-05,99.33892,,,,,,101.705,102.0177,13.88056
1951-06,98.32831,,,,,,101.8186,102.1545,13.93757
1951-07,97.85026,,,,,,101.8997,102.2523,13.99445
1951-08,98.00566,,,,,,101.9244,102.2821,14.05115
1951-09,98.49381,,,,,,101.88,102.2285,14.10765
1951-10,98.798,,,,,,101.7794,102.1073,14.16393
1951-11,98.72031,,,,,,101.6446,101.9449,14.21995
1951-12,98.4184,,,,,,101.4941,101.7636,14.27568
1952-01,97.93764,,,,,,101.3328,101.5692,14.33111
1952-02,97.35387,,,,,,101.1606,101.3617,14.3862
1952-03,96.84502,,,,,,100.9823,101.147,14.44095
1952-04,96.61562,,,,,,100.818,100.949,14.49532
1952-05,96.99649,,,,,,100.6968,100.803,14.54931
1952-06,97.92393,,,,,,100.6508,100.7475,14.60289
1952-07,99.19545,,,,,,100.7056,100.8136,14.65605
1952-08,100.406,,,,,,100.8766,101.0195,14.70877
1952-09,100.8133,,,,,,101.1572,101.3577,14.76104
1952-10,100.8775,,,,,,101.5114,101.7844,14.81284
1952-11,100.8767,,,,,,101.8849,102.2344,14.86415
1952-12,100.8655,,,,,,102.2233,102.6422,14.91497
1953-01,100.812,,,,,,102.4895,102.9628,14.96528
1953-02,100.3815,,,,,,102.6564,103.164,15.01508
1953-03,99.80895,,,,,,102.7056,103.2233,15.06436
1953-04,99.41988,,,,,,102.6326,103.1352,15.11313
1953-05,99.08892,,,,,,102.4387,102.9017,15.16139
1953-06,98.76545,,,,,,102.1328,102.5331,15.20915
1953-07,98.30438,,,,,,101.7263,102.0434,15.25642
1953-08,97.69869,,,,,,101.2387,101.4559,15.30322
1953-09,97.04041,,,,,,100.696,100.802,15.34957
1953-10,96.48981,,,,,,100.1354,100.1265,15.39548
1953-11,96.1835,,,,,,99.59473,99.47513,15.44098
1953-12,96.14854,,,,,,99.1052,98.88532,15.48609
1954-01,96.49509,,,,,,98.6821,98.37555,15.53083
1954-02,97.15586,,,,,,98.33398,97.95612,15.57522
1954-03,97.94872,,,,,,98.06685,97.63427,15.61928
1954-04,98.66614,,,,,,97.88326,97.41307,15.66303
1954-05,99.19154,,,,,,97.78716,97.29728,15.70649
1954-06,99.46388,,,,,,97.78299,97.29227,15.74965
1954-07,99.49786,,,,,,97.86869,97.39552,15.79254
1954-08,99.56616,,,,,,98.04181,97.6041,15.83515
1954-09,100.0746,,,,,,98.29931,97.91434,15.87749
1954-10,100.789,,,,,,98.63102,98.314,15.91956
1954-11,101.4408,,,,,,99.02332,98.78666,15.96135
1954-12,102.0811,,,,,,99.45737,99.30964,16.00285
1955-01,102.565,,101.4975,101.3192,,16.28432,99.90301,99.84655,16.04406
1955-02,103.0483,,101.857,101.6359,,16.38368,100.3278,100.3584,16.08497
1955-03,103.3213,,102.1543,101.8978,,16.47297,100.7058,100.8138,16.12558
1955-04,103.4167,,102.3629,102.0816,,16.54785,101.0275,101.2014,16.16586
1955-05,103.2688,,102.4823,102.1868,,16.60811,101.2903,101.518,16.20583
1955-06,102.8902,,102.5199,102.2199,,16.65483,101.4931,101.7624,16.24546
1955-07,102.7024,,102.5191,102.2191,,16.69499,101.6348,101.9331,16.28476
1955-08,102.5042,,102.5008,102.2031,,16.73196,101.712,102.0261,16.32373
1955-09,102.3194,,102.4708,102.1766,,16.76665,101.7214,102.0374,16.36236
1955-10,102.2764,,102.413,102.1257,,16.79642,101.6669,101.9718,16.40067
1955-11,102.2474,,102.2934,102.0204,,16.81566,101.5565,101.8388,16.43865
1955-12,102.187,,102.0873,101.8387,,16.82022,101.4043,101.6554,16.47632
1956-01,101.7748,,101.7876,101.5748,3.221229,16.80888,101.236,101.4526,16.51368
1956-02,101.2944,,101.4402,101.2687,2.47466,16.78912,101.0783,101.2626,16.55075
1956-03,100.8173,,101.0995,100.9686,1.802683,16.76993,100.9491,101.1069,16.58755
1956-04,100.2295,,100.7814,100.6883,1.245745,16.754,100.8481,100.9852,16.6241
1956-05,99.48077,,100.5059,100.4456,0.8223283,16.74468,100.7687,100.8896,16.6604
1956-06,98.87709,,100.3167,100.279,0.5676455,16.74937,100.7092,100.8179,16.69649
1956-07,98.76102,,100.2486,100.219,0.4730855,16.77397,100.6812,100.7842,16.73238
1956-08,99.31966,,100.3024,100.2664,0.5189976,16.8188,100.6995,100.8062,16.76809
1956-09,99.90515,,100.4224,100.3721,0.6440679,16.87463,100.7693,100.8903,16.80366
1956-10,100.1355,,100.5489,100.4835,0.8043601,16.93152,100.87,101.0117,16.83909
1956-11,100.2183,,100.6322,100.557,0.9839321,16.98112,100.9709,101.1332,16.87443
1956-12,100.084,,100.6242,100.5499,1.159412,17.01524,101.0431,101.2202,16.90969
1957-01,99.82569,,100.5055,100.4453,1.318788,17.03055,101.0731,101.2563,16.9449
1957-02,99.31097,,100.3214,100.2831,1.462624,17.03468,101.0572,101.2372,16.9801
1957-03,98.64449,,100.0771,100.0679,1.541505,17.02844,101.0006,101.169,17.01533
1957-04,98.09181,,99.81105,99.83353,1.578039,17.01838,100.9178,101.0693,17.0506
1957-05,97.95022,,99.55212,99.60542,1.581156,17.00944,100.8206,100.9521,17.08597
1957-06,98.10117,,99.27534,99.3616,1.480755,16.99739,100.7065,100.8146,17.12146
1957-07,98.22009,,98.94647,99.07189,1.206607,16.97637,100.5492,100.6252,17.15712
1957-08,98.19376,,98.54401,98.71735,0.7364995,16.94267,100.3144,100.3422,17.193
1957-09,97.95586,,98.07135,98.30096,0.131534,16.89683,99.9778,99.93667,17.22912
