country,EA19,EA19,EA19,EA19,EA19,EA19,EA19,EA19,EA19,EA19,EA19
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPOR_GYSA,LORSGPOR_IXOBSA,LORSGPRT,LORSGPTD
measure,,,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,2010=100,,
time,,,,,,,,,,,
1966-07,,,98.74868,99.27422,,31.15289,100.294,4.638494,31.60288,100.1751,31.54765
1966-08,,,98.4289,99.00791,,31.17786,100.1681,4.495772,31.68601,100.0331,31.67552
1966-09,,,98.09515,98.73073,,31.19833,99.99619,4.307435,31.75208,99.83627,31.80415
1966-10,,,97.76597,98.45912,,31.22018,99.79695,4.091196,31.80752,99.60521,31.93359
1966-11,,,97.48494,98.22862,,31.25745,99.5957,3.874151,31.86151,99.36887,32.06387
1966-12,,,97.26317,98.05244,2.669361,31.31392,99.41438,3.679895,31.92232,99.15292,32.19504
1967-01,,,97.11895,97.94089,2.440441,31.39576,99.26121,3.516002,31.99363,98.96838,32.32713
1967-02,,,97.04609,97.88889,2.328346,31.50132,99.13786,3.383777,32.07682,98.81905,32.46016
1967-03,,,97.02953,97.88353,2.343102,31.62599,99.04416,3.285612,32.17252,98.70632,32.59418
1967-04,,,97.06321,97.91912,2.492596,31.76803,98.98052,3.228678,32.28122,98.63117,32.72922
1967-05,,,97.14335,97.99223,2.768317,31.92645,98.94734,3.224162,32.40317,98.59386,32.8653
1967-06,,,97.27106,98.10361,3.163301,32.10182,98.9421,3.282724,32.53739,98.59086,33.00244
1967-07,,,97.44684,98.25354,3.664614,32.29452,98.95636,3.409826,32.68049,98.61147,33.14066
1967-08,,,97.66327,98.43542,4.248016,32.5023,98.97823,3.603275,32.82774,98.64117,33.27996
1967-09,,,97.90291,98.63468,4.875882,32.71952,98.99544,3.849664,32.97443,98.66563,33.42038
1967-10,,,98.12829,98.82199,5.488563,32.93372,98.99783,4.116565,33.11689,98.67406,33.5619
1967-11,,,98.31832,98.98093,6.015521,33.13774,98.97579,4.364436,33.25209,98.65756,33.70455
1967-12,,,98.47289,99.1111,6.442778,33.3314,98.91973,4.55793,33.37732,98.60854,33.8483
1968-01,,,98.60952,99.22574,6.767599,33.5205,98.82146,4.679718,33.49084,98.52225,33.99317
1968-02,,,98.76826,99.35565,7.038823,33.71864,98.68526,4.732294,33.5948,98.40549,34.13914
1968-03,,,98.96736,99.51506,7.292014,33.93216,98.54154,4.745213,33.69918,98.28785,34.28621
1968-04,,,99.21086,99.70742,7.537716,34.16262,98.44955,4.774622,33.82252,98.2232,34.43435
1968-05,,,99.48628,99.92283,7.7661,34.40589,98.47296,4.881077,33.98479,98.26865,34.58355
1968-06,,,99.80002,100.1658,7.982427,34.66433,98.63986,5.094916,34.19514,98.44921,34.73379
1968-07,,,100.1329,100.4217,8.165071,34.93139,98.92282,5.400093,34.44526,98.73942,34.88502
1968-08,,,100.4489,100.6629,8.28311,35.1945,99.25808,5.749959,34.71533,99.08131,35.03721
1968-09,,,100.7307,100.8767,8.33733,35.44746,99.58424,6.099757,34.98579,99.4188,35.19031
1968-10,,,100.9907,101.0729,8.382648,35.69444,99.86427,6.42405,35.24434,99.71723,35.34428
1968-11,,,101.2337,101.2561,8.447363,35.93701,100.0866,6.719254,35.48638,99.96423,35.49907
1968-12,,,101.4428,101.4148,8.513466,36.16906,100.2552,6.994947,35.71204,100.161,35.65463
1969-01,,,101.6168,101.5477,8.560137,36.3899,100.3831,7.265982,35.92428,100.3166,35.81091
1969-02,,,101.7944,101.6851,8.584596,36.61325,100.4845,7.535883,36.12646,100.441,35.96785
1969-03,,,101.9591,101.8128,8.549404,36.83315,100.5689,7.779809,36.32091,100.5412,36.12541
1969-04,,,102.1005,101.9222,8.439191,37.04567,100.6372,7.939459,36.50785,100.6183,36.28352
1969-05,,,102.1824,101.9853,8.229949,37.23748,100.6855,7.948733,36.68615,100.6696,36.44215
1969-06,,,102.1744,101.9786,7.883557,37.39711,100.7086,7.776548,36.85434,100.6915,36.60123
1969-07,,,102.0715,101.8981,7.416936,37.52223,100.7023,7.447699,37.01064,100.6798,36.76073
1969-08,,,101.8922,101.758,6.889361,37.61918,100.6663,7.027077,37.1548,100.6344,36.92058
1969-09,,,101.6521,101.5699,6.335823,37.69335,100.6071,6.584163,37.28931,100.5625,37.08074
1969-10,,,101.3836,101.3582,5.776763,37.75643,100.5421,6.17753,37.42157,100.4844,37.24117
1969-11,,,101.1051,101.1367,5.226148,37.81513,100.492,5.845211,37.56063,100.4246,37.40181
1969-12,,,100.8213,100.9104,4.705857,37.87112,100.4739,5.605776,37.71398,100.4029,37.56263
1970-01,,,100.5441,100.6902,4.228935,37.92881,100.5018,5.465894,37.88786,100.4355,37.72357
1970-02,,,100.2817,100.4834,3.763815,37.9913,100.5807,5.420354,38.08464,100.5281,37.88459
1970-03,,,100.0403,100.2948,3.333418,38.06096,100.7075,5.456936,38.30292,100.6762,38.04564
1970-04,,,99.81928,100.1238,2.947635,38.13764,100.8602,5.546726,38.53284,100.8537,38.20668
1970-05,,,99.62511,99.9751,2.64881,38.22383,101.0124,5.659577,38.76243,101.0289,38.36767
1970-06,,,99.45929,99.84971,2.468411,38.32022,101.1384,5.767484,38.97991,101.1715,38.52855
1970-07,,,99.31796,99.74501,2.40706,38.42541,101.2181,5.850498,39.17595,101.2579,38.68929
1970-08,,,99.19677,99.65713,2.441874,38.53779,101.2352,5.889173,39.34291,101.2691,38.84985
1970-09,,,99.09077,99.58124,2.552573,38.6555,101.1784,5.862789,39.4755,101.1928,39.01019
1970-10,,,98.99757,99.51495,2.704705,38.77763,101.0471,5.75066,39.57356,101.0295,39.17028
1970-11,,,98.92062,99.46009,2.883626,38.90558,100.8501,5.539313,39.64123,100.7911,39.3301
1970-12,,,98.84621,99.40585,3.070595,39.03399,100.6092,5.235807,39.68861,100.5039,39.48962
1971-01,,,98.76041,99.34118,3.23902,39.15733,100.3682,4.876863,39.7356,100.2189,39.64882
1971-02,,,98.6586,99.26273,3.375467,39.27369,100.1738,4.51341,39.80356,99.98967,39.80767
1971-03,,,98.53765,99.1674,3.470107,39.38171,100.0577,4.188385,39.90719,99.85246,39.96616
1971-04,,,98.4056,99.06092,3.531623,39.48452,100.0167,3.925002,40.04525,99.8031,40.12426
1971-05,,,98.27312,98.95191,3.564506,39.58632,100.0292,3.729159,40.20795,99.81631,40.28194
1971-06,,,98.13916,98.84065,3.565881,39.68668,100.0668,3.597416,40.38218,99.85903,40.43918
1971-07,,,98.01617,98.73663,3.55284,39.7906,100.1016,3.520165,40.55501,99.89913,40.59595
1971-08,,,97.91542,98.6498,3.541787,39.90272,100.1119,3.490627,40.71622,99.91164,40.75223
1971-09,,,97.87419,98.61022,3.577383,40.03835,100.0876,3.509618,40.86094,99.88501,40.90798
1971-10,,,97.91967,98.63976,3.691036,40.20892,100.0375,3.587058,40.99308,99.82932,41.06317
1971-11,,,98.05738,98.744,3.885031,40.41707,99.9785,3.731388,41.1204,99.76375,41.21778
1971-12,,,98.28175,98.91806,4.167918,40.6609,99.92588,3.934762,41.25027,99.70631,41.37177
1972-01,,,98.57067,99.14402,4.53108,40.93158,99.88501,4.152611,41.38567,99.66419,41.52511
1972-02,,,98.90009,99.40233,4.954126,41.21936,99.85707,4.331613,41.52769,99.6399,41.67777
1972-03,,,99.25444,99.67961,5.424191,41.51785,99.8439,4.436209,41.67756,99.63624,41.82972
1972-04,,,99.62273,99.96695,5.921343,41.82253,99.85211,4.4773,41.8382,99.66006,41.98091
1972-05,,,99.99716,100.2585,6.425931,42.13011,99.88998,4.489473,42.01307,99.71937,42.13131
1972-06,,,100.3758,100.5527,6.937016,42.43975,99.96306,4.511827,42.20415,99.81856,42.28087
1972-07,,,100.7538,100.846,7.435882,42.74939,100.068,4.571643,42.40904,99.95165,42.42955
1972-08,,,101.1193,101.1292,7.89712,43.05389,100.1978,4.684609,42.62362,100.1087,42.57732
1972-09,,,101.4625,101.3948,8.268585,43.34896,100.3451,4.853134,42.84398,100.2805,42.72411
1972-10,,,101.7739,101.6353,8.509219,43.63039,100.5036,5.060126,43.06739,100.4607,42.8699
1972-11,,,102.0451,101.8437,8.603354,43.8943,100.6682,5.281367,43.29212,100.6451,43.01463
1972-12,,,102.2721,102.0165,8.553588,44.13886,100.8342,5.49442,43.51673,100.8306,43.15825
1973-01,,105.3883,102.4455,102.145,8.375096,44.35964,100.9964,5.687452,43.73946,101.0132,43.30073
1973-02,,104.751,102.4646,102.1498,7.989824,44.51271,101.1496,5.853069,43.95834,101.1885,43.44203
1973-03,,104.0183,102.4282,102.1096,7.520894,44.64037,101.2897,5.984228,44.17164,101.3527,43.58211
1973-04,,103.2732,102.3515,102.0371,6.997447,44.74904,101.4184,6.075636,44.38013,101.5078,43.72092
1973-05,,102.7306,102.2448,101.9403,6.439335,44.84301,101.5386,6.121505,44.5849,101.6563,43.85846
1973-06,,102.476,102.1148,101.8253,5.856136,44.92508,101.654,6.119809,44.78696,101.8009,43.99468
1973-07,,102.3932,101.9643,101.6962,5.256278,44.99641,101.7683,6.079072,44.98711,101.9432,44.12957
1973-08,,102.3387,101.791,101.5521,4.649961,45.05587,101.8836,6.009819,45.18522,102.0833,44.26311
1973-09,,102.2062,101.5781,101.3821,4.029972,45.09591,101.9982,5.918211,45.37957,102.2171,44.39529
1973-10,,101.831,101.3273,101.1877,3.407511,45.1171,102.1048,5.80214,45.56622,102.3359,44.52612
1973-11,,101.0844,101.0575,100.9837,2.810208,45.12782,102.1933,5.654791,45.7402,102.4288,44.65559
1973-12,,100.1022,100.7987,100.7925,2.27132,45.1414,102.2548,5.470146,45.89716,102.4862,44.78373
1974-01,,99.20966,100.5682,100.627,1.817184,45.16574,102.2826,5.246169,46.0341,102.5018,44.91054
1974-02,,98.86333,100.3489,100.4721,1.528757,45.1932,102.2727,4.983871,46.14917,102.4716,45.03606
1974-03,,98.87521,100.1158,100.3074,1.281954,45.21264,102.2215,4.684793,46.24099,102.3929,45.16033
1974-04,,99.05942,99.8363,100.1067,1.028456,45.20926,102.1281,4.347265,46.30946,102.2659,45.28339
1974-05,,99.13725,99.46812,99.83708,0.7153766,45.1638,101.9889,3.966103,46.35319,102.0876,45.40531
1974-06,,98.99371,98.98457,99.47694,0.3089125,45.06385,101.7956,3.531404,46.36857,101.8504,45.52614
1974-07,,98.69807,98.38949,99.02871,-0.1902197,44.91082,101.5366,3.030781,46.35057,101.5437,45.64595
1974-08,,98.37361,97.71017,98.5133,-0.7523399,44.7169,101.2018,2.455297,46.29465,101.1577,45.76484
1974-09,,98.083,97.01218,97.98079,-1.294882,44.51197,100.7913,1.810399,46.20113,100.6936,45.88287
1974-10,,97.89526,96.38382,97.49889,-1.729733,44.33669,100.328,1.129573,46.08092,100.1756,46.00014
1974-11,,97.95605,95.90064,97.1256,-1.997803,44.22625,99.84489,0.4585859,45.94995,99.63834,46.11674
1974-12,,98.20218,95.59444,96.88575,-2.094376,44.19596,99.37473,-0.1589037,45.82423,99.11632,46.23278
1975-01,,98.57431,95.4637,96.77985,-2.036731,44.24583,98.94195,-0.6912786,45.71588,98.63543,46.34833
1975-02,,98.94948,95.48419,96.79077,-1.83191,44.3653,98.56559,-1.114741,45.63472,98.21627,46.4635
1975-03,,99.26754,95.63906,96.90254,-1.471963,44.54712,98.26015,-1.410962,45.58855,97.87492,46.57838
1975-04,,99.54569,95.89832,97.09599,-0.9543036,44.77783,98.03237,-1.571964,45.58149,97.61947,46.69303
1975-05,,99.7454,96.24874,97.36017,-0.2482775,45.05167,97.88642,-1.589453,45.61642,97.45528,46.80754
1975-06,,99.79523,96.68259,97.6899,0.669127,45.36539,97.82333,-1.453853,45.69444,97.38386,46.92199
1975-07,,99.80065,97.18649,98.07564,1.786234,45.71304,97.83875,-1.158482,45.81361,97.40031,47.03641
1975-08,,99.77937,97.75387,98.51249,3.074667,46.0918,97.92452,-0.701786,45.96976,97.49506,47.15087
1975-09,,99.7931,98.35856,98.98016,4.442832,46.48956,98.06876,-0.09611044,46.15672,97.65436,47.2654
1975-10,,99.97286,98.9547,99.44264,5.747089,46.88476,98.25098,0.6142593,46.36398,97.85554,47.38002
1975-11,,100.4185,99.48797,99.85742,6.840581,47.25159,98.45008,1.372755,46.58073,98.07549,47.49478
1975-12,,101.0487,99.91999,100.1947,7.637813,47.57157,98.64987,2.126605,46.79873,98.2967,47.60966
1976-01,,101.635,100.2261,100.4358,8.106449,47.8326,98.84354,2.840755,47.01455,98.51201,47.72469
1976-02,,101.9247,100.4114,100.5832,8.275352,48.03669,99.02964,3.490575,47.22763,98.72025,47.83987
1976-03,,101.9494,100.5076,100.6601,8.196895,48.1986,99.20839,4.0574,47.43826,98.92207,47.95518
1976-04,,101.8518,100.5428,100.6879,7.936342,48.33155,99.37857,4.528865,47.64581,99.11628,48.07062
1976-05,,101.7484,100.5301,100.6773,7.524535,48.4416,99.53844,4.895105,47.8494,99.30107,48.18618
1976-06,,101.6823,100.4715,100.6301,6.974872,48.52957,99.68722,5.151824,48.04854,99.47558,48.30185
1976-07,,101.6307,100.3707,100.5496,6.308989,48.59706,99.82697,5.30536,48.24419,99.64188,48.41759
1976-08,,101.5875,100.2264,100.4354,5.535606,48.64326,99.95916,5.366628,48.43679,99.80097,48.53339
1976-09,,101.5628,100.047,100.2947,4.694617,48.67207,100.0817,5.34677,48.62461,99.94942,48.64922
1976-10,,101.5519,99.8407,100.1343,3.844789,48.68738,100.1865,5.259049,48.80228,100.0763,48.76506
1976-11,,101.6132,99.61675,99.96227,3.051687,48.69356,100.2627,5.113882,48.96282,100.1676,48.88089
1976-12,,101.7035,99.37514,99.77869,2.352123,48.69051,100.3009,4.918197,49.10038,100.2117,48.99667
1977-01,,101.7497,99.12156,99.58756,1.773609,48.68096,100.2967,4.67486,49.21242,100.2037,49.11238
1977-02,,101.5932,98.86801,99.39796,1.319945,48.67075,100.2501,4.386621,49.29933,100.1449,49.228
1977-03,,101.2296,98.62597,99.21638,0.9686905,48.6655,100.1654,4.059464,49.36399,100.0415,49.34349
1977-04,,100.7555,98.41843,99.05956,0.7139448,48.67661,100.0535,3.708862,49.41293,99.90717,49.45884
1977-05,,100.4576,98.27286,98.94796,0.5701754,48.7178,99.9283,3.35442,49.45447,99.75884,49.57402
1977-06,,100.4917,98.20448,98.89247,0.5507231,48.79683,99.80582,3.016583,49.49796,99.61552,49.689
1977-07,,100.7423,98.21066,98.89167,0.6493013,48.91261,99.70329,2.714176,49.55362,99.49773,49.80377
1977-08,,101.0162,98.28356,98.94057,0.859753,49.06147,99.63559,2.463799,49.63018,99.42284,49.91828
1977-09,,101.3075,98.40674,99.02736,1.157334,49.23537,99.61028,2.277126,49.73186,99.39907,50.03252
1977-10,,101.6022,98.56561,99.14091,1.519396,49.42714,99.62302,2.158274,49.85557,99.41997,50.14643
1977-11,,101.8404,98.73785,99.26357,1.914177,49.62564,99.6634,2.106948,49.99444,99.47163,50.25999
1977-12,,102.0341,98.91275,99.38689,2.330974,49.82548,99.72083,2.120403,50.14151,99.54012,50.37316
1978-01,,102.1441,99.08623,99.50835,2.759999,50.02456,99.78833,2.194313,50.29229,99.61655,50.48588
1978-02,,102.1827,99.28123,99.64668,3.212788,50.23443,99.86129,2.322156,50.44414,99.69568,50.59812
1978-03,,102.1844,99.51849,99.81847,3.699031,50.46565,99.93557,2.493967,50.59512,99.7738,50.70982
1978-04,,102.1965,99.79972,100.0254,4.196137,50.71915,100.0051,2.691229,50.74274,99.84615,50.82093
1978-05,,102.2828,100.116,100.261,4.665014,50.9905,100.0644,2.89295,50.88516,99.90919,50.93141
1978-06,,102.4458,100.4619,100.5199,5.082545,51.27695,100.1121,3.079616,51.02231,99.96299,51.0412
1978-07,,102.6596,100.8248,100.7918,5.437364,51.57216,100.1536,3.23649,51.15742,100.014,51.15025
1978-08,,102.9262,101.1711,101.0511,5.701617,51.85876,100.1968,3.353452,51.2945,100.0702,51.2585
1978-09,,103.214,101.4685,101.2737,5.859331,52.12023,100.247,3.426655,51.436,100.1364,51.36591
1978-10,,103.3939,101.6872,101.4383,5.895005,52.34087,100.3027,3.459498,51.58032,100.2096,51.47241
1978-11,,103.4487,101.8324,101.5491,5.838575,52.52307,100.362,3.46253,51.72551,100.2861,51.57795
1978-12,,103.3701,101.9142,101.6145,5.712526,52.67177,100.4278,3.452692,51.87274,100.3681,51.68247
1979-01,,103.2119,101.9584,101.6545,5.54837,52.8001,100.5117,3.452191,52.02848,100.4684,51.78592
1979-02,,103.0342,102.0011,101.6951,5.359191,52.92659,100.6271,3.481899,52.20055,100.6019,51.88824
1979-03,,102.8602,102.0458,101.737,5.126881,53.05296,100.7793,3.55176,52.39213,100.7747,51.98938
1979-04,,102.6307,102.0872,101.7751,4.845025,53.1765,100.9559,3.652445,52.5961,100.9729,52.08929
1979-05,,102.3624,102.1194,101.804,4.517535,53.29401,101.1368,3.764423,52.80069,101.1741,52.18793
1979-06,,102.0946,102.116,101.8044,4.123914,53.39157,101.3047,3.868454,52.99609,101.3596,52.28523
1979-07,,101.8668,102.0588,101.7637,3.6598,53.4596,101.4561,3.955556,53.18098,101.5269,52.38116
1979-08,,101.6398,101.9436,101.6788,3.156312,53.49559,101.5941,4.02231,53.35772,101.6808,52.47569
1979-09,,101.3792,101.7693,101.5498,2.645158,53.49889,101.7212,4.067369,53.52809,101.8249,52.56878
1979-10,,101.0798,101.5566,101.3909,2.176582,53.48011,101.8346,4.089524,53.68971,101.9546,52.66041
1979-11,,100.7025,101.3209,101.2138,1.759776,53.44736,101.9267,4.081963,53.83693,102.0595,52.75055
1979-12,,100.2196,101.0665,101.0234,1.387808,53.40275,101.986,4.028508,53.96243,102.1258,52.8392
1980-01,,99.6771,100.7868,100.8152,1.027797,53.34278,101.9994,3.902404,54.05884,102.1397,52.92635
1980-02,,99.36883,100.474,100.5822,0.6361672,53.26329,101.9561,3.67809,54.12054,102.0911,53.012
1980-03,,99.22942,100.1299,100.3235,0.2113932,53.16511,101.8531,3.348238,54.14635,101.9779,53.09616
1980-04,,99.15787,99.77124,100.0512,-0.2243207,53.05722,101.7033,2.94277,54.14388,101.8146,53.17887
1980-05,,99.10896,99.43678,99.79393,-0.6264032,52.96017,101.5271,2.507551,54.12469,101.6233,53.26014
1980-06,,98.99488,99.16177,99.57923,-0.9339692,52.89291,101.3454,2.08419,54.10062,101.4259,53.34002
1980-07,,98.89593,98.95386,99.41461,-1.122128,52.85971,101.1741,1.692495,54.08107,101.2402,53.41855
1980-08,,98.82275,98.80113,99.292,-1.198516,52.85444,101.0247,1.340032,54.07273,101.0785,53.49578
1980-09,,98.66305,98.69045,99.20162,-1.17512,52.87022,100.9029,1.029189,54.07899,100.9468,53.57177
1980-10,,98.35783,98.6088,99.13369,-1.084297,52.90023,100.8067,0.7611284,54.09836,100.8422,53.64656
1980-11,,97.98644,98.55113,99.08422,-0.9457121,52.9419,100.7307,0.539252,54.12725,100.7577,53.72023
1980-12,,97.69173,98.5121,99.05035,-0.7683053,52.99246,100.6688,0.3694531,54.1618,100.6859,53.79284
1981-01,,97.40759,98.48638,99.02842,-0.550446,53.04916,100.6158,0.2593206,54.19902,100.6211,53.86446
1981-02,,97.08886,98.46813,99.01426,-0.2897905,53.10894,100.5681,0.2152306,54.23702,100.5597,53.93516
1981-03,,96.82076,98.45344,99.00438,0.008794722,53.16979,100.5234,0.237614,54.27501,100.4999,54.00501
1981-04,,96.68183,98.44099,98.99766,0.3276812,53.23108,100.4808,0.3129916,54.31334,100.4425,54.07409
1981-05,,96.60787,98.4304,98.99353,0.6278126,53.29266,100.4406,0.4220632,54.35314,100.3891,54.14249
1981-06,,96.46339,98.4393,99.00473,0.8910621,53.36422,100.4043,0.5457519,54.39588,100.3424,54.21027
1981-07,,96.301,98.47917,99.03867,1.120615,53.45207,100.3736,0.6689558,54.44284,100.3046,54.27754
1981-08,,96.11304,98.54127,99.08815,1.319066,53.55162,100.3505,0.7809042,54.49499,100.2772,54.34436
1981-09,,96.12411,98.61707,99.1465,1.490708,53.65836,100.3359,0.8753811,54.55239,100.2602,54.41082
1981-10,,96.27732,98.69573,99.20527,1.637549,53.76649,100.3282,0.9519916,54.61337,100.2503,54.47702
1981-11,,96.47063,98.77044,99.25951,1.757584,53.87239,100.3233,1.011369,54.67467,100.2413,54.54304
1981-12,,96.75548,98.83786,99.30772,1.852845,53.97433,100.3138,1.051548,54.73134,100.2241,54.60896
1982-01,,97.10342,98.88843,99.34342,1.918914,54.06713,100.2886,1.065399,54.77646,100.1858,54.67488
1982-02,,97.39879,98.89761,99.34876,1.936579,54.13744,100.2367,1.044519,54.80354,100.1144,54.74089
1982-03,,97.67701,98.83778,99.30289,1.881365,54.1701,100.1509,0.9835948,54.80885,100.0032,54.80709
1982-04,,97.88919,98.69263,99.19305,1.737855,54.15615,100.0354,0.8880779,54.79569,99.85809,54.87356
1982-05,,97.9533,98.47018,99.02535,1.514723,54.0999,99.89944,0.7684043,54.77079,99.6913,54.94039
1982-06,,97.70378,98.19542,98.819,1.219573,54.01503,99.75459,0.6361694,54.74193,99.51687,55.00769
1982-07,,97.15937,97.91621,98.61036,0.8901632,53.92788,99.61216,0.5024632,54.7164,99.34792,55.07554
1982-08,,96.62965,97.69342,98.44595,0.598433,53.87209,99.48267,0.3775572,54.70074,99.19612,55.14403
1982-09,,96.18138,97.56968,98.35865,0.397034,53.8714,99.37505,0.2712058,54.70034,99.07102,55.21326
