country,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE,CZE
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1993-02,93.84084,,,,,,,,
1993-03,93.26161,,,,,,,,
1993-04,92.97652,,,,,,,,
1993-05,92.87816,,,,,,,,
1993-06,93.35468,,,,,,,,
1993-07,94.29168,,,,,,,,
1993-08,94.62121,,,,,,,,
1993-09,95.08192,,,,,,,,
1993-10,95.33982,,,,,,,,
1993-11,95.23581,,,,,,,,
1993-12,95.36928,,,,,,,,
1994-01,95.57021,,,,,,,,
1994-02,95.83669,,,,,,,,
1994-03,96.1339,,,,,,,,
1994-04,96.61213,,,,,,,,
1994-05,97.28407,,,,,,,,
1994-06,98.18398,,,,,,,,
1994-07,98.59383,,,,,,,,
1994-08,98.7441,,,,,,,,
1994-09,98.89401,,,,,,,,
1994-10,99.48716,,,,,,,,
1994-11,100.4662,,,,,,,,
1994-12,101.1387,,,,,,,,
1995-01,101.6202,99.89545,101.8874,101.1159,,,,,
1995-02,102.111,99.86146,102.1265,101.2573,,63.1623,98.91132,97.86072,61.84712
1995-03,102.5163,99.8457,102.3419,101.3846,,63.35674,99.08172,98.15008,61.90696
1995-04,102.44,99.85948,102.5442,101.5043,,63.54343,99.26352,98.45881,61.96685
1995-05,102.1567,99.92303,102.7118,101.6033,,63.70879,99.46785,98.80582,62.02677
1995-06,101.3358,100.1107,102.8821,101.704,,63.87612,99.69439,99.19053,62.08669
1995-07,100.8298,100.4876,103.0383,101.7964,,64.03481,99.9178,99.56992,62.14659
1995-08,100.3077,100.7148,103.1395,101.8562,,64.15937,100.1077,99.89236,62.20642
1995-09,100.0105,100.8254,103.171,101.8748,,64.24059,100.2489,100.1322,62.26614
1995-10,99.6669,100.9087,103.122,101.8458,,64.27152,100.3644,100.3284,62.32571
1995-11,99.12192,100.9108,102.9695,101.7557,,64.23763,100.4906,100.5427,62.38511
1995-12,98.96113,100.9062,102.7274,101.6125,,64.14739,100.6538,100.8198,62.4443
1996-01,99.2962,100.9772,102.4491,101.448,,64.03397,100.846,101.1461,62.50324
1996-02,99.18628,101.0415,102.2244,101.3152,1.252686,63.95353,101.0425,101.4799,62.5619
1996-03,98.72518,101.1357,102.0684,101.223,0.8819453,63.91551,101.2178,101.7775,62.62025
1996-04,98.84538,101.2325,101.963,101.1606,0.5747782,63.90867,101.3604,102.0197,62.67828
1996-05,99.25481,101.1768,101.8728,101.1073,0.3171591,63.91085,101.467,102.2009,62.73596
1996-06,99.46407,100.8838,101.7579,101.0394,0.03294437,63.89717,101.5385,102.3223,62.79331
1996-07,99.21836,100.4245,101.6656,100.9848,-0.2149667,63.89716,101.5781,102.3895,62.85033
1996-08,99.25725,100.0822,101.6018,100.9471,-0.3813744,63.91468,101.5884,102.407,62.90704
1996-09,99.92844,99.83633,101.5461,100.9141,-0.4726739,63.93694,101.5711,102.3775,62.96348
1996-10,100.3075,99.61602,101.5156,100.8961,-0.4616525,63.97481,101.5276,102.3037,63.01968
1996-11,100.3568,99.45732,101.5029,100.8886,-0.3331233,64.02364,101.4591,102.1875,63.0757
1996-12,100.4703,99.2801,101.5014,100.8877,-0.1058368,64.0795,101.3671,102.0311,63.13161
1997-01,100.3529,98.98757,101.479,100.8745,0.137543,64.12205,101.256,101.8425,63.18748
1997-02,100.2331,98.55492,101.374,100.8124,0.24833,64.11234,101.1309,101.6301,63.24341
1997-03,100.3173,97.87833,101.1414,100.6749,0.1665894,64.02199,100.9955,101.4001,63.29947
1997-04,100.4764,96.91206,100.8,100.473,-0.07205864,63.86262,100.8518,101.1561,63.35579
1997-05,100.8496,96.25639,100.4146,100.2452,-0.3684686,63.67536,100.7013,100.9005,63.41246
1997-06,101.3035,95.81806,100.069,100.0409,-0.6006003,63.5134,100.5469,100.6383,63.4696
1997-07,101.8229,95.43639,99.77685,99.86813,-0.8006389,63.38557,100.3953,100.3808,63.52734
1997-08,102.1854,95.17384,99.55988,99.73985,-0.9524304,63.30594,100.2544,100.1415,63.5858
1997-09,102.2062,94.92902,99.35155,99.61668,-1.101941,63.23239,100.1308,99.93163,63.6451
1997-10,101.962,94.61067,99.10735,99.47231,-1.310061,63.1367,100.0263,99.75426,63.70537
1997-11,102.0004,94.29372,98.84354,99.31635,-1.553066,63.02931,99.9407,99.60881,63.76675
1997-12,102.0281,93.97595,98.62741,99.18857,-1.757604,62.95323,99.87236,99.49276,63.82935
1998-01,102.0965,93.71767,98.48831,99.10633,-1.863032,62.92743,99.81836,99.40105,63.8933
1998-02,102.0643,93.7525,98.4335,99.07392,-1.802348,62.95681,99.7752,99.32777,63.95872
1998-03,101.3757,94.30222,98.45029,99.08385,-1.543925,63.03354,99.73872,99.26582,64.02575
1998-04,100.2659,95.33504,98.45592,99.08717,-1.186612,63.10481,99.70306,99.20525,64.09448
1998-05,99.17455,96.04543,98.38499,99.04523,-0.8583957,63.12878,99.66259,99.13653,64.16505
1998-06,98.88701,96.45226,98.221,98.94829,-0.6591145,63.09477,99.61374,99.05357,64.23756
1998-07,98.43807,96.77702,97.9803,98.80598,-0.5874782,63.0132,99.55696,98.95715,64.31211
1998-08,97.54152,96.91887,97.69386,98.63663,-0.6350278,62.90393,99.4947,98.8514,64.38882
1998-09,96.35059,96.89835,97.40001,98.4629,-0.6970481,62.79163,99.4298,98.7412,64.46779
1998-10,94.95216,96.74516,97.18846,98.33783,-0.637381,62.73428,99.36425,98.62988,64.5491
1998-11,93.92021,96.54823,97.13342,98.30529,-0.3953754,62.78011,99.2999,98.5206,64.63286
1998-12,93.29205,96.22459,97.2064,98.34843,-0.06685136,62.91115,99.23923,98.41757,64.71915
1999-01,93.09023,95.71632,97.38155,98.45199,0.2918185,63.11106,99.18581,98.32685,64.80804
1999-02,93.3388,95.25507,97.64027,98.60495,0.6533532,63.36814,99.14433,98.25642,64.8996
1999-03,93.57674,95.04257,98.00451,98.8203,1.05249,63.69696,99.11999,98.21507,64.9939
1999-04,94.54713,95.20947,98.45284,99.08535,1.551574,64.08393,99.11681,98.20966,65.091
1999-05,95.68996,95.31821,98.91659,99.35954,2.147795,64.48465,99.13822,98.24603,65.19094
1999-06,96.92549,95.52651,99.30888,99.59146,2.769992,64.84249,99.18587,98.32694,65.29375
1999-07,97.63888,95.44389,99.60255,99.76508,3.374455,65.13955,99.25645,98.44682,65.39948
1999-08,97.99442,95.22411,99.83385,99.90183,3.966964,65.39931,99.34544,98.59795,65.50815
1999-09,99.42054,95.32261,100.0247,100.0147,4.529783,65.63596,99.44888,98.77359,65.61975
1999-10,100.7101,95.94768,100.2199,100.1301,5.012557,65.87887,99.56363,98.96847,65.73431
1999-11,101.7703,96.42991,100.4407,100.2606,5.355067,66.14202,99.68742,99.1787,65.85184
1999-12,102.2822,96.75503,100.6901,100.4081,5.589539,66.42759,99.81781,99.40013,65.97231
2000-01,102.3994,96.90434,100.9943,100.5879,5.770548,66.75292,99.95022,99.62498,66.09574
2000-02,102.7724,96.91389,101.3626,100.8057,5.927787,67.12447,100.0798,99.84512,66.22211
2000-03,103.6148,96.96165,101.7126,101.0126,5.951287,67.48775,100.2033,100.0547,66.3514
2000-04,104.5599,97.23971,101.9862,101.1743,5.80515,67.8041,100.3199,100.2528,66.48362
2000-05,105.6034,97.52223,102.1368,101.2634,5.516998,68.04227,100.4295,100.439,66.61874
2000-06,106.1583,97.6264,102.1515,101.2721,5.167199,68.19303,100.5303,100.6101,66.75677
2000-07,105.6173,97.75071,102.1032,101.2435,4.858966,68.30466,100.6168,100.757,66.89768
2000-08,104.7364,98.04561,102.0468,101.2102,4.609179,68.41367,100.683,100.8694,67.04149
2000-09,104.2883,98.28226,101.9931,101.1784,4.405159,68.52732,100.7266,100.9435,67.18819
2000-10,103.955,98.38533,101.9106,101.1297,4.16746,68.62435,100.7541,100.9902,67.33778
2000-11,103.3367,98.2851,101.7618,101.0416,3.836089,68.67929,100.7742,101.0243,67.49027
2000-12,102.7696,98.16901,101.5253,100.9018,3.386952,68.67746,100.7918,101.0542,67.64569
2001-01,102.6692,98.70026,101.2512,100.7398,2.845529,68.6524,100.803,101.0732,67.80405
2001-02,102.4912,99.4784,100.9307,100.5503,2.195134,68.59795,100.8002,101.0685,67.96539
2001-03,102.5658,100.0748,100.5886,100.3481,1.545473,68.53075,100.7777,101.0302,68.12972
