country,EST,EST,EST,EST,EST,EST,EST,EST,EST
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1992-04,92.97334,,,,,,,,
1992-05,92.56781,,,,,,,,
1992-06,91.74306,,,,,,,,
1992-07,90.44655,,,,,,,,
1992-08,90.10241,,,,,,,,
1992-09,91.00918,,,,,,,,
1992-10,92.93748,87.51299,,,,,,,
1992-11,94.44521,87.7461,,,,,,,
1992-12,95.57699,87.96172,,,,,,,
1993-01,96.54678,88.1264,,,,,,,
1993-02,96.76447,88.20974,,,,,,,
1993-03,96.14838,88.12031,,,,,,,
1993-04,95.03437,87.8234,,,,,,,
1993-05,94.85531,87.66512,,,,,,,
1993-06,95.92681,87.6972,,,,,,,
1993-07,98.00667,88.00284,,,,,,,
1993-08,99.44526,88.83231,,,,,,,
1993-09,100.1456,90.56542,,,,,,,
1993-10,100.3784,93.21725,,,,,,,
1993-11,100.3669,94.93968,,,,,,,
1993-12,100.1493,95.73844,,,,,,,
1994-01,99.81203,96.01882,,,,,,,
1994-02,99.92944,96.05508,,,,,,,
1994-03,100.7597,95.8777,,,,,,,
1994-04,102.2225,95.5052,,,,,,,
1994-05,103.1958,95.3898,,,,,,,
1994-06,103.5396,95.51604,,,,,,,
1994-07,103.4079,95.75089,,,,,,,
1994-08,103.0952,95.91862,,,,,,,
1994-09,102.4706,95.80058,,,,,,,
1994-10,101.4813,95.40321,,,,,,,
1994-11,100.9665,95.21021,,,,,,,
1994-12,100.8581,95.23911,,,,,,,
1995-01,100.9167,95.4688,96.87112,98.90977,,,,,
1995-02,101.0309,96.07895,96.58356,98.80943,,42.3946,100.9776,102.5345,43.89422
1995-03,101.1582,97.35429,96.25931,98.69628,,42.47692,100.6706,101.7344,44.1276
1995-04,101.3059,99.30914,95.91608,98.57652,,42.55052,100.3716,100.9552,44.36224
1995-05,101.4991,100.6132,95.60108,98.46661,,42.63631,100.0897,100.2204,44.59815
1995-06,101.7595,101.2624,95.38287,98.39046,,42.76524,99.83439,99.55518,44.83535
1995-07,102.0395,101.5097,95.29007,98.35809,,42.95093,99.61253,98.97701,45.07388
1995-08,102.1831,101.4169,95.36667,98.38481,,43.21422,99.42873,98.49802,45.31376
1995-09,102.0268,100.8419,95.49161,98.42841,,43.50121,99.28392,98.12065,45.55501
1995-10,101.4776,99.7996,95.56554,98.45421,,43.76677,99.17122,97.82696,45.79765
1995-11,101.0812,99.30533,95.53482,98.44349,,43.98584,99.0825,97.59575,46.04168
1995-12,100.7331,99.3666,95.36718,98.38499,,44.14271,99.01254,97.41344,46.28711
1996-01,100.2019,99.71211,95.02345,98.26506,,44.21815,98.96144,97.28028,46.53393
1996-02,99.6352,99.93153,94.53283,98.09386,4.31629,44.22447,98.93334,97.20705,46.78213
1996-03,98.76027,99.80046,93.98562,97.90292,4.063607,44.20302,98.93383,97.20831,47.03168
1996-04,97.48193,99.29559,93.50154,97.73402,3.89982,44.20992,98.96571,97.29142,47.28255
1996-05,96.82108,98.92694,93.22131,97.63623,3.931275,44.31246,99.02995,97.45879,47.53469
1996-06,96.76962,98.60023,93.18726,97.62436,4.132146,44.53237,99.12408,97.70413,47.78804
1996-07,97.10979,98.18666,93.57429,97.7594,4.667,44.95545,99.23844,98.00214,48.04253
1996-08,97.5291,98.05066,94.08459,97.93746,5.153,45.44105,99.36321,98.3273,48.29808
1996-09,98.04077,98.08925,94.63113,98.12817,5.624104,45.94777,99.49413,98.66848,48.5546
1996-10,98.69133,98.1361,95.20897,98.32979,6.184204,46.4734,99.63721,99.04134,48.812
1996-11,99.11229,98.2247,95.83576,98.54849,6.91344,47.02677,99.80342,99.47449,49.07017
1996-12,99.29601,98.34034,96.60316,98.81626,7.952991,47.65338,100.0024,99.99294,49.32901
1997-01,99.33318,98.43208,97.57657,99.15591,9.427142,48.38666,100.2341,100.5968,49.5884
1997-02,99.38767,98.43123,98.76737,99.57143,11.32702,49.23379,100.493,101.2716,49.84823
1997-03,99.50079,98.26008,100.1987,100.0708,13.58485,50.20793,100.7697,101.9926,50.10838
1997-04,99.72703,97.93342,101.8583,100.65,16.04808,51.30476,101.0499,102.7228,50.36873
1997-05,100.116,97.83018,103.6751,101.2839,18.45394,52.48985,101.3191,103.4243,50.62918
1997-06,100.8984,97.94746,105.6471,101.972,20.72887,53.76342,101.5664,104.0689,50.88963
1997-07,102.1284,98.17139,107.7099,102.6917,22.55149,55.09357,101.7896,104.6505,51.14998
1997-08,102.9334,98.39445,109.4554,103.3008,23.83338,56.27119,101.9881,105.1677,51.41016
1997-09,103.1681,98.59324,110.4038,103.6317,24.15357,57.04579,102.1578,105.6099,51.67011
1997-10,102.927,98.77305,110.2626,103.5824,23.20837,57.25912,102.2875,105.9479,51.92979
1997-11,102.7212,98.93664,109.2708,103.2364,21.26611,57.02753,102.3622,106.1428,52.18918
1997-12,102.5154,99.10555,107.8742,102.7491,18.72858,56.57818,102.3695,106.1616,52.44828
1998-01,102.1871,99.29063,106.426,102.2438,15.92883,56.09409,102.3089,106.0038,52.70712
1998-02,101.9543,99.49068,105.0386,101.7596,13.0006,55.63448,102.1857,105.6828,52.96575
1998-03,101.7529,99.675,103.6686,101.2816,9.896654,55.17684,102.0082,105.2202,53.22425
1998-04,101.5646,99.81797,102.238,100.7824,6.578159,54.67966,101.7903,104.6522,53.48273
1998-05,101.7134,100.0164,100.8302,100.2912,3.23414,54.18745,101.544,104.0105,53.7413
1998-06,102.4198,100.3467,99.60644,99.8642,0.04495504,53.78759,101.2764,103.313,54.00011
1998-07,103.5889,100.7666,98.6839,99.5423,-2.8104,53.54523,100.9873,102.5595,54.25933
1998-08,103.9766,100.886,98.06947,99.3279,-4.984012,53.46663,100.6744,101.7442,54.51914
1998-09,103.0961,100.4851,97.61099,99.16793,-6.266464,53.47104,100.3395,100.8714,54.77973
1998-10,100.9561,99.56289,97.18034,99.01766,-6.583739,53.48932,99.99594,99.97618,55.0413
1998-11,99.06866,98.8385,96.72053,98.85722,-6.202511,53.49039,99.66227,99.10664,55.30408
1998-12,97.13699,98.22655,96.17409,98.66655,-5.542592,53.44228,99.35638,98.3095,55.56828
1999-01,94.81606,97.56148,95.55546,98.45069,-4.887407,53.35254,99.08989,97.61501,55.83411
1999-02,93.48586,97.20944,95.05269,98.27526,-4.148868,53.32627,98.87046,97.04319,56.10181
1999-03,93.27877,97.15804,94.76636,98.17535,-3.181702,53.42128,98.70151,96.6029,56.37156
1999-04,93.966,97.26769,94.68155,98.14576,-1.917799,53.63102,98.57848,96.28228,56.64358
1999-05,94.72086,97.25607,94.75048,98.16981,-0.4748866,53.93012,98.49608,96.06754,56.91805
1999-06,95.74553,97.02419,94.94438,98.23746,0.9592848,54.30357,98.45197,95.9526,57.19513
1999-07,97.2943,96.6345,95.24228,98.34142,2.232279,54.74051,98.44755,95.94107,57.475
1999-08,98.45868,96.4757,95.66058,98.48737,3.338202,55.25145,98.48729,96.04463,57.7578
1999-09,99.39072,96.6804,96.19344,98.6733,4.419508,55.83419,98.57529,96.27396,58.04366
1999-10,100.2654,97.18332,96.7925,98.88233,5.556905,56.46167,98.70842,96.6209,58.3327
1999-11,100.5387,97.41602,97.42548,99.1032,6.777463,57.11568,98.87962,97.06704,58.625
1999-12,100.0701,97.24541,98.11313,99.34314,8.170732,57.80891,99.07762,97.58304,58.92066
2000-01,99.00751,96.74097,98.88622,99.61289,9.760804,58.56018,99.28366,98.11998,59.21976
2000-02,98.38273,96.37895,99.59774,99.86117,11.17016,59.28291,99.4773,98.62462,59.52234
2000-03,98.35303,96.23945,100.1853,100.0662,12.20122,59.93932,99.64155,99.05264,59.82847
2000-04,98.7942,96.30145,100.5956,100.2094,12.8011,60.49638,99.76862,99.38377,60.1382
2000-05,99.23508,96.51529,100.8677,100.3043,13.06504,60.97611,99.85703,99.61418,60.45157
2000-06,99.74779,96.97522,101.0972,100.3844,13.13325,61.43539,99.91107,99.75502,60.76864
2000-07,100.5068,97.67216,101.3388,100.4687,13.09235,61.90732,99.94261,99.8372,61.08945
2000-08,101.2129,98.00014,101.5995,100.5596,12.93167,62.39639,99.96407,99.89313,61.41405
2000-09,101.8238,97.83603,101.8816,100.6581,12.6626,62.90425,99.9829,99.94221,61.74249
2000-10,102.3871,97.27854,102.1489,100.7513,12.304,63.40872,99.99661,99.97794,62.07481
