country,IND,IND,IND,IND,IND,IND,IND,IND
subject,BSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,
unit,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,
time,,,,,,,,
1994-04,,98.22061,99.08221,,,,,
1994-05,,98.86435,99.41429,,,,,
1994-06,,99.45871,99.7209,,,,,
1994-07,,99.99648,99.99832,,,,,
1994-08,,100.4742,100.2448,,,,,
1994-09,,100.892,100.4603,,,,,
1994-10,,101.2554,100.6478,,,,,
1994-11,,101.5702,100.8102,,,,,
1994-12,,101.8457,100.9523,,,,,
1995-01,,102.0913,101.079,,,,,
1995-02,,102.3171,101.1955,,,,,
1995-03,,102.5285,101.3045,,,,,
1995-04,,102.7258,101.4063,,,,,
1995-05,,102.9057,101.4991,,,,,
1995-06,,103.0632,101.5804,,,,,
1995-07,,103.1935,101.6476,,,,,
1995-08,,103.2893,101.697,,,,,
1995-09,,103.3469,101.7267,,,,,
1995-10,,103.3651,101.7361,,,,,
1995-11,,103.3466,101.7266,,,,,
1995-12,,103.2938,101.6993,,,,,
1996-01,,103.208,101.6551,,,,,
1996-02,,103.0892,101.5938,,,,,
1996-03,,102.9361,101.5148,,,,,
1996-04,,102.7491,101.4183,,,,,
1996-05,,102.5289,101.3047,,28.82002,100.9877,101.0177,28.10917
1996-06,,102.2795,101.1761,,28.87532,100.9126,100.885,28.23179
1996-07,,102.0068,101.0354,,28.92397,100.8381,100.7532,28.35493
1996-08,,101.7212,100.8881,,28.96881,100.7644,100.623,28.47863
1996-09,,101.4352,100.7405,,29.01337,100.6916,100.4943,28.60287
1996-10,,101.1617,100.5994,,29.06141,100.619,100.366,28.72768
1996-11,,100.9121,100.4707,,29.11623,100.5457,100.2365,28.85305
1996-12,,100.6941,100.3582,,29.18017,100.4713,100.1049,28.97901
1997-01,,100.5081,100.2623,,29.25346,100.3962,99.97221,29.10557
1997-02,,100.3492,100.1803,,29.33481,100.3219,99.84079,29.23273
1997-03,,100.2098,100.1084,,29.42211,100.2503,99.71421,29.36052
1997-04,,100.0811,100.042,,29.51285,100.184,99.597,29.48895
1997-05,,99.95146,99.9751,2.719064,29.60365,100.1256,99.49382,29.61803
1997-06,,99.80853,99.90136,2.824187,29.69081,100.0775,99.40865,29.74777
1997-07,,99.64204,99.81548,2.929326,29.77125,100.0408,99.34389,29.8782
1997-08,,99.44745,99.7151,3.019416,29.8435,100.0163,99.30053,30.00932
1997-09,,99.22623,99.60098,3.08319,29.90791,100.0037,99.27834,30.14113
1997-10,,98.98215,99.47506,3.110967,29.96551,100.0023,99.27579,30.27365
1997-11,,98.72159,99.34064,3.097636,30.01814,100.0107,99.29065,30.40687
1997-12,,98.45608,99.20367,3.046945,30.06927,100.0275,99.3204,30.5408
1998-01,,98.19736,99.07021,2.970634,30.12247,100.0514,99.36253,30.67544
1998-02,,97.95732,98.94638,2.886051,30.18143,100.081,99.41491,30.81079
1998-03,,97.74464,98.83666,2.810048,30.24889,100.1156,99.476,30.94685
1998-04,,97.56841,98.74575,2.761303,30.32779,100.1546,99.54512,31.08361
1998-05,,97.43929,98.67915,2.762983,30.42159,100.1982,99.62208,31.22108
1998-06,,97.37029,98.64355,2.841816,30.53457,100.2461,99.70687,31.35923
1998-07,,97.37495,98.64595,3.022992,30.67123,100.2984,99.79925,31.49808
1998-08,,97.46329,98.69152,3.322481,30.83504,100.3549,99.89909,31.6376
1998-09,,97.64065,98.78302,3.745297,31.02805,100.4157,100.0067,31.7778
1998-10,,97.9091,98.92151,4.290823,31.25127,100.4815,100.123,31.91866
1998-11,,98.26859,99.10696,4.953466,31.50508,100.5529,100.2491,32.06018
1998-12,,98.71534,99.33743,5.71806,31.78865,100.6302,100.3858,32.20234
1999-01,,99.24165,99.60893,6.564491,32.09986,100.7133,100.5327,32.34515
1999-02,,99.83755,99.91634,7.469456,32.43582,100.8012,100.688,32.48859
1999-03,,100.4938,100.2549,8.413188,32.79379,100.8921,100.8488,32.63266
1999-04,,101.1986,100.6185,9.372402,33.17023,100.9833,101.0101,32.77734
1999-05,,101.8016,100.9295,10.17097,33.51577,101.0716,101.1662,32.92264
1999-06,,102.425,101.2511,10.92492,33.87045,101.1542,101.3121,33.06855
1999-07,,103.0568,101.577,11.60418,34.23038,101.2291,101.4445,33.21507
1999-08,,103.6818,101.8995,12.17924,34.59052,101.2949,101.5608,33.3622
1999-09,,104.2829,102.2095,12.62437,34.94514,101.3504,101.6589,33.50996
1999-10,,104.8343,102.494,12.90899,35.2855,101.3939,101.7358,33.65835
1999-11,,105.3043,102.7365,12.99968,35.60064,101.4236,101.7883,33.80739
1999-12,,105.6608,102.9204,12.86841,35.87935,101.4373,101.8127,33.95711
2000-01,,105.875,103.0309,12.49684,36.11133,101.4331,101.8052,34.10752
2000-02,,105.9317,103.0601,11.88489,36.29078,101.4093,101.7631,34.25866
2000-03,,105.8366,103.0111,11.05449,36.41897,101.3656,101.6859,34.41057
2000-04,,105.6034,102.8908,10.03848,36.50002,101.3038,101.5766,34.56329
2000-05,101.5067,105.2576,102.7124,9.029684,36.54214,101.2268,101.4405,34.71687
2000-06,102.5119,104.8278,102.4906,7.925577,36.55488,101.1379,101.2833,34.87137
